"Daucus_carota_carota"	"Sonchus_tenerrinus"	"Carpobrotus_sp1_M_PL_058"	"Opuntia_stricta"	"Cistus_monspeliensis"	"Lavandula_stoechas"	"Cistus_salvifolius"	"Cistus_albidus"	"Urospermum_picrioides"	"Rosmarinus_officinalis"	"Aetheorrina_bulbosa"	"Galactites_tomentosa"	"Eryngium_campestre"	"Convolvulus_althaeoides"	"Scabiosa_stellata"	"Sedum_sediforme"	"Thymelaea_hirusta"	"Ruta_chalepensis"	"Helichrysum_stoechas"	"Psoralea_bituminosa"	"Dorychnium_pentaphylum"	"Alyssum_maritimum"	"Helianthemum_guttatum"	"Lathyrus_clymenum"	"Equium_sabulicola"	"Euphorbia_segatalis"	"Allium_ampeloprasum"	"Brassica_fruticulosa"	"Dianthus_caryophillus"	"Hypericum_perfolatum"	"Linum_sp1_M_PL_058"	"Vicea_lutea"	"Andrena_sp1_M_PL_058"	"Apis_mellifera"	"Mordellistena_pumila"	"Oedemera_lurida"	"Oxythyrea_funesta"	"Anthidium_sticticum"	"Psilothrix_sp1_M_PL_058"	"Unidentified_sp35_M_PL_058"	"Bombus_terrestris"	"Oedemera_flavipes"	"Myrabilis_quadripunctata"	"Lasioglossum_sp1_M_PL_058"	"Mordella_bipunctata"	"Halictus_gemmeus"	"Unidentified_sp38_M_PL_058"	"Criptocephalus_sp1_M_PL_058"	"Unidentified_sp43_M_PL_058"	"Xylocopa_sp1_M_PL_058"	"Halictus_pyrenaicus"	"Colletes_sp1_M_PL_058"	"Amegilla_femorata"	"Megachile_sp2_M_PL_058"	"Plagiolepsis_pigmaea"	"Anthidium_sp1_M_PL_058"	"Oedemera_nobilis"	"Halictus_sp1_M_PL_058"	"Osmia_sp1_M_PL_058"	"Oedemera_barbara"	"Camponotus_aethiops"	"Hylaeus_sp2_M_PL_058"	"Trichodes_apiarius"	"Nomada_sp1_M_PL_058"	"Polistes_gallicum"	"Unidentified_sp37_M_PL_058"	"Unidentified_sp41_M_PL_058"	"Conophorus_virescens"	"Scolia_sp1_M_PL_058"	"Unidentified_sp46_M_PL_058"	"Halyctus_sp1_M_PL_058"	"Hylaeus_nigritus"	"Sphaerophoria_sp1_M_PL_058"	"Unidentified_sp42_M_PL_058"	"Callophrys_rubi"	"Sphecodes_sp1_M_PL_058"	"Anthophora_sp1_M_PL_058"	"Ceratina_cucurbitina"	"Unidentified_sp39_M_PL_058"	"Unidentified_sp53_M_PL_058"	"Unidentified_sp61_M_PL_058"	"Unidentified_sp64_M_PL_058"	"Unidentified_sp40_M_PL_058"	"Unidentified_sp45_M_PL_058"	"Unidentified_sp49_M_PL_058"	"Unidentified_sp62_M_PL_058"	"Vanesa_atlantica"	"Zygaena_sp1_M_PL_058"	"Cerceris_sp1_M_PL_058"	"Eucera_sp1_M_PL_058"	"Helorus_coruscus"	"Hylaeus_variegatus"	"Lassiopogon_sp1_M_PL_058"	"Megachile_sp1_M_PL_058"	"Papilion_machaon"	"Pieris_rapae"	"Pyronia_tithonus"	"Stenopterus_rufus"	"Unidentified_sp36_M_PL_058"	"Unidentified_sp44_M_PL_058"	"Unidentified_sp47_M_PL_058"	"Unidentified_sp48_M_PL_058"	"Unidentified_sp50_M_PL_058"	"Unidentified_sp51_M_PL_058"	"Unidentified_sp52_M_PL_058"	"Unidentified_sp54_M_PL_058"	"Unidentified_sp55_M_PL_058"	"Unidentified_sp56_M_PL_058"	"Unidentified_sp57_M_PL_058"	"Unidentified_sp58_M_PL_058"	"Unidentified_sp59_M_PL_058"	"Unidentified_sp60_M_PL_058"	"Unidentified_sp63_M_PL_058"
"Daucus_carota_carota"	1.62494663369632	0.398689893596766	0.274664368470893	0.254216883452467	0.256668300982126	0.179684765643694	0.201916961668673	0.174389158824492	0.179912798778784	0.122242881821874	0.163904498154985	0.135973212705055	0.13711543910322	0.153124709194356	0.146799455105967	0.206035376964941	0.129894318760089	0.122281050462601	0.0545870390677608	0.0975693369729554	0.0186873220942302	0.0636313567623805	0.0512871933158488	0.00946132653506472	0.0229548136913133	0.0286150084223033	0	0.00928602900309527	0.0140514547739565	0.00948938629978923	0.00874663901974436	0.0123302813910988	0.301406878449082	0.193666641862449	0.220047809958496	0.203019523536237	0.127743242201578	0.105125850389608	0.145802261624626	0.14937926648156	0.088416034404226	0.234190912899274	0.135683090321065	0.213625942117508	0.129268889549461	0.143530646757547	0.0443720395808014	0.0477679044093279	0.0489385570975631	0.01345854088866	0.0604305337695564	0.0619068600206351	0.0387755178979192	0.0496917033387053	0.0529565421074925	0.0632625753319282	0.0515152318075369	0.0745209649456479	0.0485924389985798	0.0930016657648077	0.0799336304489641	0.0902901918965768	0.114043388718286	0.0563402416062722	0.0298052911794188	0.0417835248494886	0.113624928575913	0.0397468213282889	0.105110785361042	0.0199927536485588	0.0293549678767443	0.0393981898452422	0.0329833184729134	0.0297274137495437	0.0176795997723945	0.0323264859720268	0.019306151562481	0.0204927053607348	0.00941353011034998	0.0285041372843128	0.0239017411139625	0.00851138363575393	0.0218077159006495	0.00899268360646771	0.066475089560304	0.0128150322941817	0.013711543910322	0.00941353011034998	0.0122281050462601	0.0107477361575567	0.010794767926727	0.0110000700420911	0.0109765504094575	0.0104633495294695	0.0101630391996439	0.0101630391996438	0.00941353011034998	0.0664750895603039	0.013711543910322	0.00899268360646772	0.0101630391996438	0.0128150322941817	0.0128150322941818	0.066475089560304	0.0101630391996438	0.0107477361575567	0.066475089560304	0	0.00851138363575393	0.0122281050462601	0.066475089560304	0.00851138363575393	0.0107477361575567
"Sonchus_tenerrinus"	0.313256344968887	1.5669458368181	0.275729220477522	0.229336002474475	0.288829442029728	0.211947026641419	0.211694581366193	0.18661057353221	0.200267735033668	0.163862232795221	0.156176859230265	0.140141914883883	0.117817397884001	0.1316040433766	0.146991480671618	0.216423515400115	0.169361225618404	0.108423949787699	0.0509502875954265	0.092752156568326	0.0383005689452633	0.0644786631592176	0.0455428409730646	0.013958550300255	0.0219457611240171	0.0382784545803714	0	0.0181894534152271	0.0128783795802774	0.00959012859254779	0.00908009792262852	0.0117931689902098	0.28827746420513	0.187189786829926	0.161293294581804	0.186711341076598	0.174692889145463	0.155095003336167	0.13292449166215	0.129362635475448	0.129082357350572	0.21463965967129	0.120327885907321	0.201015025892084	0.111875388123538	0.122336404382087	0.0445201415552763	0.0859496912293087	0.0554687304624381	0.0121413177780604	0.0998873136459434	0.12126302276818	0.0452923971851722	0.0541852602316565	0.0560036779293877	0.0639341906169852	0.0542889644307017	0.0764765446995308	0.0504449884590473	0.0749628882660209	0.0249563500722422	0.0755595531360378	0.0971852876576634	0.0999028376054934	0.0340509392803092	0.0893827356890498	0.0583467811989585	0.0412352759583162	0.0883078771796881	0.0241034125858449	0.0314137293466689	0.0347654525452304	0.0750341883014976	0.0340710309398839	0.0223292634584457	0.07278411684066	0.0220556601008241	0.0200519257830735	0.00970213256888418	0.0341430085846489	0.0232325501429464	0.0100395959988041	0.062091124110867	0.0117250079274279	0.0128150322941818	0.050366116183439	0.0117817397884001	0.00970213256888417	0.0108423949787699	0.0107894042795552	0.0120160641020201	0.0123784046584169	0.0104346176139367	0.0111966344119326	0.0101763332772658	0.0101763332772658	0.00970213256888418	0.0128150322941817	0.0117817397884001	0.0117250079274279	0.0101763332772658	0.050366116183439	0.050366116183439	0.0128150322941818	0.0101763332772658	0.0107894042795552	0.0128150322941818	0	0.010039595998804	0.0108423949787699	0.0128150322941818	0.010039595998804	0.0107894042795552
"Carpobrotus_sp1_M_PL_058"	0.262722439406941	0.33567035536394	1.50529890551487	0.2090104513751	0.264217840243683	0.236617950417303	0.274532545332461	0.228684561935961	0.202561879304819	0.135118292575245	0.158331023936337	0.186313149499143	0.0944082315005601	0.167711379107081	0.140649451164483	0.180643443178744	0.158694959735919	0.0940221346747082	0.0582643309753659	0.0971481735170622	0.019761748717637	0.0645249360627498	0.0500888564352342	0.0146649577314369	0.0180025063276904	0.0395848821859731	0	0.0091575229759507	0.0133447841896065	0.00987396358325742	0.0213184663154883	0.0122137714520973	0.298558857717934	0.196079866712695	0.211555867394139	0.206933931482449	0.190019441496157	0.162943974793743	0.144319533057375	0.142992511643651	0.138939790916665	0.222413069826775	0.0767461733272489	0.155170204515386	0.115298363372747	0.0778949802580067	0.0976750897506952	0.0948004741923082	0.0561296093344758	0.0110652591904465	0.0561706045437448	0.0610501531730047	0.0463923396384732	0.10574803672695	0.109550554406487	0.0658264238883828	0.111403017049285	0.12946125116597	0.118435923974935	0.0309779635871679	0.0218129953480031	0.0328607621618412	0.05151523019131	0.0565917039730973	0.0322642522588264	0.0471298921852726	0.110048007136939	0.0456012851872727	0.043441006218283	0.0223101958602929	0.0838378466211823	0.0299082958079733	0.0322468979474278	0.0375815729259241	0.0213420906471208	0.033321244708262	0.0233619314622667	0.0178383975434633	0.012898602657633	0.0335184145642704	0.0221085992886524	0.0112082187039775	0.0217759784151189	0.0109865741355636	0.0107477361575567	0.0107894042795552	0.00944082315005602	0.012898602657633	0.00940221346747082	0.0589030006505818	0.0121537127582891	0.0113236217247293	0.0109291695206695	0.0137210737161577	0.00973726969600264	0.00973726969600264	0.012898602657633	0.0107477361575567	0.00944082315005602	0.0109865741355636	0.00973726969600264	0.0107894042795552	0.0107894042795552	0.0107477361575567	0.00973726969600264	0.0589030006505817	0.0107477361575567	0	0.0112082187039775	0.00940221346747082	0.0107477361575567	0.0112082187039775	0.0589030006505818
"Opuntia_stricta"	0.328986555056134	0.377729886428547	0.282778845978076	1.37824693012738	0.263302909227469	0.220669392607575	0.206277590799695	0.179356571109242	0.193688984210736	0.141081984235305	0.140044616290737	0.166604843569277	0.133394869634169	0.136175214163901	0.152132238657514	0.226322017305304	0.160396714264622	0.127086297136166	0.0575994210880591	0.117032785303481	0.0192321278176599	0.0684095846764176	0.0492766632059781	0.0159307264881225	0.0241523487857038	0.0294583923688847	0	0.00981114176958687	0.014470599724742	0.0211037801468007	0.00938120358648518	0.0130226589730713	0.318331663786188	0.209774847861079	0.228517985484426	0.151140971107525	0.196785962824499	0.17700807209025	0.0921043369901463	0.157212677868119	0.153684107516859	0.241176662079033	0.145170042316448	0.225897681308793	0.134668648721738	0.0878271006919971	0.0438051575574861	0.046286111899484	0.0531644313626184	0.0729660139479202	0.121592402212406	0.0654076117972458	0.0426321994555597	0.0565499904167345	0.0526426752681515	0.140691867645338	0.0552960535275029	0.0799267018003964	0.0521177977026954	0.0389393456301374	0.0864245548365803	0.0368842690621835	0.062420041325714	0.056597501223025	0.0326505353349098	0.0418710491025467	0.0578849986555859	0.0444650604961492	0.112145193652959	0.0223887983060907	0.0318318994328953	0.0990141306249537	0.0340068769911713	0.0316564226241872	0.021033909520112	0.0338784888759875	0.0220740997551082	0.0214007888606254	0.011534181477873	0.0328415590085548	0.0246665702596633	0.0104527607024641	0.0232457056886881	0.0111043879106277	0.01345854088866	0.0121413177780604	0.0133394869634169	0.011534181477873	0.0127086297136166	0.0110652591904465	0.0116213390526441	0.011284410395463	0.0131661883466417	0.0107613942665546	0.0105322319070587	0.0105322319070587	0.011534181477873	0.01345854088866	0.0133394869634169	0.0111043879106277	0.0105322319070587	0.0121413177780604	0.0121413177780604	0.01345854088866	0.0105322319070587	0.0110652591904465	0.01345854088866	0	0.0104527607024641	0.0127086297136166	0.01345854088866	0.0104527607024641	0.0110652591904465
"Cistus_monspeliensis"	0.268890601028894	0.385105922706305	0.289381444076414	0.213149974136523	1.4427463859106	0.277849448221931	0.256227110378954	0.182432354376668	0.195954865666022	0.184331816732285	0.134042167901924	0.145310574387449	0.0997909343850827	0.149320532889932	0.150920560554514	0.172406485410308	0.199831857655956	0.0955769620019852	0.0522459238480136	0.0938232147027092	0.0201130857431795	0.0691620536031237	0.0491485699023254	0.0157704899138758	0.0232844784212931	0.0414506966919202	0	0.00994610298769055	0.0132461513464423	0.00960783185010902	0.00969613203189416	0.0123931652725198	0.30294403999493	0.203249179166474	0.205947861262028	0.200555787672819	0.194968998305601	0.175227665709732	0.143015759579046	0.093325441368682	0.090619589730299	0.220769189107371	0.129255623157512	0.21571846513799	0.0672979824100216	0.0764438744377124	0.0981840997204504	0.0464264047878103	0.112077865894012	0.011284410395463	0.107596484086057	0.0663073532512704	0.101629519394084	0.0598204775163374	0.110619308728026	0.0640522123340601	0.0568981732884463	0.0793120362932389	0.0538674001771898	0.0333575681390163	0.0222844804375541	0.0852104626681053	0.0537289065252529	0.0599499755102357	0.03582741843011	0.0451865900243955	0.0564538540032995	0.0469761033255482	0.0450072742205894	0.0756665011899327	0.0372962668962947	0.0308212000341698	0.0880352788809355	0.0375821830364692	0.0269861759075391	0.0873716822786319	0.0249185815925791	0.0209263617895098	0.010059962842208	0.0888277908425504	0.0214028173526417	0.0131612896526178	0.0262129178807524	0.0138345132223354	0.0110000700420911	0.0123784046584169	0.00997909343850828	0.010059962842208	0.00955769620019852	0.0113236217247293	0.0117572919399613	0.0618319879675972	0.0105551116540548	0.0109459412626001	0.0104483464999279	0.0104483464999279	0.010059962842208	0.0110000700420911	0.00997909343850828	0.0138345132223355	0.0104483464999279	0.0123784046584169	0.0123784046584169	0.0110000700420911	0.0104483464999279	0.0113236217247293	0.0110000700420911	0	0.0131612896526178	0.00955769620019851	0.0110000700420911	0.0131612896526178	0.0113236217247293
"Lavandula_stoechas"	0.208056044429541	0.312342986629459	0.286432255768314	0.197441035490988	0.307096758561082	1.58273343581386	0.258020218444576	0.181280029436845	0.198380180966872	0.206745523145141	0.109906350709165	0.161613505711866	0.0850969356838733	0.120801898653532	0.17939665954632	0.16789757781477	0.192185851236442	0.0794302973567624	0.0440992913241683	0.12965467448689	0.0193121248452629	0.062467308029334	0.0400351286459356	0.0167234939239376	0.0249260674142949	0.0285440694229946	0	0.00974785525005025	0.0092410588891085	0.0210299960759564	0.00991818444864862	0.0126010965808551	0.308026805309791	0.214615984461243	0.143659053753103	0.138840228287984	0.205436128824731	0.185816599154862	0.0875934493229004	0.0875052530989576	0.0895648022130475	0.154017648151808	0.0810737604652495	0.222283332924803	0.059278151495181	0.0639536871008193	0.0471543109868404	0.0421429633460892	0.128959567350263	0.0104527607024641	0.0556303118807845	0.0649857016670017	0.116539798612441	0.124947929468041	0.0557175318137388	0.140199973839709	0.0580774695689431	0.141648655796937	0.0551010247147146	0.0270606732029453	0.018964144338218	0.0317122692871758	0.0489876327769426	0.0531749235157695	0.0298114248789437	0.0425078648676119	0.0494725335992537	0.114878514341535	0.0390775950059083	0.0264664639689868	0.0990808134279153	0.0269054840065277	0.0387067998873074	0.0392837269243251	0.0904774980375946	0.0981724694531309	0.0868743946597215	0.0236364990742549	0.0111886273185138	0.101438047770696	0.0190817586142217	0.0749715838017091	0.0233447703151731	0.013305174316369	0.00851138363575394	0.010039595998804	0.00850969356838734	0.0111886273185138	0.00794302973567624	0.0112082187039775	0.0119028108580123	0.0131612896526178	0.0145861508797751	0.0108768017662107	0.0124197687378222	0.0124197687378222	0.0111886273185138	0.00851138363575393	0.00850969356838734	0.013305174316369	0.0124197687378222	0.010039595998804	0.0100395959988041	0.00851138363575394	0.0124197687378222	0.0112082187039775	0.00851138363575394	0	0.0749715838017091	0.00794302973567623	0.00851138363575394	0.074971583801709	0.0112082187039775
"Cistus_salvifolius"	0.246787397595045	0.329302682125189	0.350791585702589	0.194817724644156	0.298931628775446	0.27235467502483	1.3610414763305	0.243789100064348	0.193095217474109	0.18192897215575	0.133873494472368	0.181886908116231	0.0947730439796487	0.159809368231907	0.161940284889754	0.164530002706489	0.142590470254472	0.094294685410082	0.0611967678527965	0.105299664180465	0.0352217380595827	0.0620777493698999	0.0511575621509755	0.0107388180253559	0.0189714077935403	0.0414961460509831	0	0.0106711035810935	0.0136857550650126	0.00997544625551413	0.023412504984251	0.0127145134144574	0.310799216797847	0.210304412288939	0.217264563045687	0.214558180363093	0.204480499366074	0.119320200281733	0.152436978717522	0.151463954708305	0.0927994510361224	0.22809591775021	0.0784489879717922	0.156872099903291	0.065546170032116	0.0734877481107283	0.107665368548343	0.0468503552947548	0.11862036366175	0.0103138795399847	0.055167477338078	0.0711406905406231	0.107409113169383	0.0629728443537093	0.120114212363638	0.0665029750367609	0.120583930697348	0.0849638844001952	0.130069472134728	0.0301578815497082	0.0204097276234184	0.033491932670691	0.0511930963475084	0.0575033318690508	0.0317499602969974	0.109113931015508	0.0624784192115401	0.104010547451424	0.0408662568541174	0.0226830034596419	0.0946797120053768	0.0292206524789578	0.0370407574989386	0.0963240927320672	0.02654568383391	0.0362970955094861	0.0244867239706754	0.0197483839994607	0.0125921705618929	0.0355840143818707	0.0213822516463588	0.0129010109222288	0.0204563770090038	0.00987164794069421	0.0100958480834337	0.0105847290683096	0.00947730439796488	0.0125921705618929	0.0094294685410082	0.0137266272666231	0.0115857130484465	0.0128113555189477	0.0118462122203023	0.0146273460038609	0.0112112504923676	0.0112112504923676	0.0125921705618929	0.0100958480834337	0.00947730439796488	0.00987164794069422	0.0112112504923675	0.0105847290683096	0.0105847290683096	0.0100958480834337	0.0112112504923676	0.0137266272666231	0.0100958480834337	0	0.0129010109222288	0.0094294685410082	0.0100958480834337	0.0129010109222288	0.0137266272666231
"Cistus_albidus"	0.255770766275922	0.348339737260126	0.35064966163514	0.203270780590475	0.255405296127335	0.229621370620003	0.292546920077218	1.3613318272842	0.19589973614454	0.168287521704612	0.146356190550005	0.197310991987506	0.0921128263218246	0.139856579964979	0.140209845839088	0.17093027383498	0.175795575530682	0.0908174681109304	0.0529436634873101	0.0968496709995904	0.0391553885177952	0.0707802616003846	0.0488164242999276	0.0173060725003264	0.0179834977996729	0.0296721996516037	0	0.0110025301684782	0.014578625863917	0.00978894662484956	0.0265678971358107	0.0131993462276088	0.32265068556377	0.222687121307287	0.16079535482248	0.227102105819605	0.215927428319868	0.192289694448072	0.166362836138382	0.0950205212881177	0.1631521186173	0.242977097731949	0.0757237271078507	0.15514743266888	0.0683728657628499	0.0736262383114569	0.0507371720706624	0.0486462897053994	0.0587784886416852	0.0107613942665546	0.0549137705398584	0.0733502011231879	0.0490716531605175	0.129343836028229	0.0596388319661435	0.0652596441656637	0.135442305278724	0.081417314403332	0.147599428532282	0.0308712665735846	0.0212247437960241	0.0326059252040022	0.0507043826637616	0.0549502722739951	0.0301538696279291	0.125123814885854	0.12928174137936	0.0461065712386931	0.0426771946380555	0.023116404183955	0.0392252214862292	0.0290544237098301	0.0347641398023786	0.108928819768759	0.0234983658940566	0.0330193774407434	0.0226307859348831	0.0177994094910204	0.0136599917529812	0.0339932059501657	0.0212395118975825	0.0108768017662107	0.0233670973332875	0.0121704629213549	0.0104633495294695	0.0111966344119326	0.00921128263218247	0.0136599917529812	0.00908174681109305	0.0137210737161577	0.0117539841686724	0.0109459412626001	0.0108955879874539	0.0816799096370522	0.00970683548116763	0.00970683548116763	0.0136599917529812	0.0104633495294695	0.00921128263218247	0.0121704629213549	0.00970683548116763	0.0111966344119326	0.0111966344119326	0.0104633495294695	0.00970683548116763	0.0137210737161577	0.0104633495294695	0	0.0108768017662107	0.00908174681109304	0.0104633495294695	0.0108768017662107	0.0137210737161577
"Urospermum_picrioides"	0.26387210487555	0.37383310539618	0.310594881600723	0.2195141821055	0.274336811932431	0.251281562558038	0.231714260968931	0.19589973614454	1.35839164050748	0.149725023860611	0.16128145996247	0.176961573210545	0.107576607892206	0.145824734957728	0.150085731825959	0.202919380012972	0.140522529657154	0.0997245153378959	0.0571477421148971	0.0983719161956424	0.0343979228118096	0.0688655299388579	0.0551296886161797	0.0102397140470623	0.0244768762488506	0.0289254798687214	0	0.0229600868303076	0.0148169754186129	0.0102342206568378	0.0102554024419463	0.0132764967402055	0.324536586982802	0.149360442770043	0.234962076525922	0.226601306009176	0.210361701783964	0.113774600522914	0.164760788189676	0.0940277941143482	0.0920904822073496	0.246949590310215	0.149150352688685	0.230915393477456	0.0719568024555699	0.0808429776460064	0.0474278324250566	0.118869031105869	0.0568657433008401	0.0116213390526441	0.129073356325853	0.153067245535384	0.0464751926359661	0.056605831179402	0.056105476385673	0.0682281377122517	0.12924809424351	0.152308036028415	0.0569744580108129	0.0335684928179677	0.0224161069793712	0.0345681239687084	0.0553489970281891	0.0572940034680719	0.0283785783168243	0.0508348265844533	0.0598293353471593	0.0449459151433428	0.0466073338821696	0.0214857747623796	0.035642236664748	0.0323514513756543	0.0350027328315272	0.0345690740066648	0.0231321876475582	0.0356761668999937	0.0934063092884611	0.0214051449768569	0.0122511858376531	0.033388585620392	0.0245793427394187	0.0119028108580123	0.0217445469244384	0.00972848282241832	0.010794767926727	0.0120160641020201	0.0107576607892206	0.0122511858376531	0.0099724515337896	0.0121537127582892	0.0815034984304487	0.0117572919399613	0.0110668405720098	0.0117539841686724	0.0103905506648741	0.0103905506648741	0.0122511858376531	0.010794767926727	0.0107576607892206	0.00972848282241833	0.0103905506648741	0.0120160641020201	0.0120160641020201	0.010794767926727	0.0103905506648741	0.0121537127582892	0.010794767926727	0	0.0119028108580123	0.00997245153378959	0.010794767926727	0.0119028108580123	0.0121537127582892
"Rosmarinus_officinalis"	0.224111950006769	0.382345209855517	0.258976727435886	0.199866144333349	0.322580679281499	0.32734707831314	0.272893458233625	0.210359402130765	0.187156279825764	1.32269850213682	0.135181496221095	0.1454873378513	0.0929711806553096	0.119817066558629	0.159208249928558	0.19184563406859	0.17071017634192	0.0866170065670219	0.0468127005885165	0.0909525768581181	0.0389322981062063	0.0692028531334201	0.0430245116081367	0.0194331790857813	0.0262324971259509	0.0483897543547496	0	0.0263153244106399	0.00991224060534789	0.0100408380879138	0.00998211894174405	0.0137534220847642	0.336194762072015	0.241395774338676	0.149200821449845	0.146517861017351	0.231456944969444	0.215924212064237	0.0939725598596913	0.0863858143343242	0.0900496971392865	0.165204010089131	0.0783475699653742	0.248273933183865	0.0647439466374602	0.0717909591355172	0.047406645646361	0.0447132204286022	0.153199970673188	0.0105811488176479	0.0594358173658721	0.175435496070933	0.142177861062749	0.0603119120270845	0.061923571952786	0.0669389205860918	0.0577016860849987	0.0792774254725262	0.0554562163430225	0.0307550016618131	0.0197493649542884	0.0352827698512035	0.0526524319075383	0.148580023706715	0.0349970237867985	0.0560754386469616	0.0527871709805162	0.0504048616545438	0.0435497704580454	0.0256432830785928	0.0392844590907102	0.028539967539881	0.125316941374824	0.125468624699788	0.114708301896147	0.0416204679504485	0.0267352910254314	0.0228267333171166	0.0100722003127823	0.0411491973144784	0.0211912531559461	0.0155059142358856	0.024108064283313	0.0118183968236714	0.00916821613664054	0.0122896674596416	0.00929711806553096	0.0100722003127823	0.00866170065670219	0.0101338719431434	0.0112293767895458	0.0138248862549214	0.0102321648965383	0.0126215641278459	0.0110221096104386	0.0110221096104386	0.0100722003127823	0.00916821613664054	0.00929711806553096	0.0118183968236714	0.0110221096104386	0.0122896674596416	0.0122896674596416	0.00916821613664054	0.0110221096104386	0.0101338719431434	0.00916821613664054	0	0.0155059142358856	0.00866170065670219	0.00916821613664054	0.0155059142358856	0.0101338719431434
