"Sideroxylon_cinereum"	"Geniostoma_borbonicum"	"Croton_fothergillifolius"	"Aphloia_theiformis"	"Psiadia_terebinthina"	"Erythroxylum_macrocarpum"	"Toddalia_asiatica"	"Molinaea_alternifolia"	"Claoxylon_linostachys"	"Antirhea_borbonica"	"Roussea_simplex"	"Pachycerina_crinicornis"	"Melanostoma_annulipes"	"Apis_mellifera"	"Stomorhina_lunata"	"Musca_domestica"	"Stomoxys_niger"	"Fannia_pusio"	"Stomoxys_calcitrans"	"Brachymyrmex_sp1_M_PL_060"	"Nacoleia_sp1_M_PL_060"	"Technomyrmex_albipes"	"Zosterops_mauritianus"	"Chrysomya_megacephala"	"Henotesia_narcissus"	"Miridae_sp1_M_PL_060"	"Nyctemera_insulare"	"Orthellia_albigena"	"Ceratitis_roas"	"Chaetocnema_sp1_M_PL_060"	"Homoneura_quadrivittata"	"Lygistorrhina_sp1_M_PL_060"	"Ophyra_capensis"	"Orchisia_costata"	"Chironomidae_sp1_M_PL_060"	"Cicadellidae_sp1_M_PL_060"	"Dysauxes_florida"	"Episyrphus_sp1_M_PL_060"	"Eristalinus_flaveolus"	"Ischiodon_aegyptius"	"Limnophora_quaterna"	"Ornidia_obesa"	"Pelecophora_intemipta"	"Psyllidae_sp1_M_PL_060"	"Sapromyza_sp1_M_PL_060"	"Scirtidae_sp1_M_PL_060"	"Scirtidae_sp2_M_PL_060"	"Syritta_nigrofemorata"	"Tarundia_servillei"	"Tettigoniidae_sp1_M_PL_060"
"Sideroxylon_cinereum"	1.83471680559845	0.551256306813289	0.470691849170228	0.635685265188892	0.47710555269628	0.42795143067995	0.37671017002348	0.145630488236464	0.243288451353782	0.075415792845341	0.024705782130689	0.371151560506812	0.474097298237774	0.150113193185327	0.342015530433743	0.343549520569627	0.305704990727959	0.265452488813865	0.342015530433743	0.0262134878825635	0.145542382239739	0.103572236919202	0.233773817586894	0.115203278878307	0.0823526071022968	0.113192326073176	0.0763033867715688	0.0744738142949656	0.0782330485059922	0.0729398241590816	0.0354379054379972	0.0364932677030673	0.0818310519249634	0.0693418207401104	0.150113193185327	0.0390359088569684	0.0353018886877671	0.0339039153021132	0.0354379054379972	0.0353018886877671	0.0408654813335716	0.0353018886877671	0.0408654813335716	0.0353018886877671	0.150113193185327	0.0339039153021132	0.0354379054379972	0.0353018886877671	0.0354379054379972	0.0262134878825635
"Geniostoma_borbonicum"	0.433129955353299	2.08571028316995	0.432591013563479	0.60322153720305	0.46410674838757	0.380987608579343	0.374824844554996	0.139702913969602	0.227881096022033	0.0968043211152465	0.0241975728182786	0.346630904929396	0.453438134803719	0.0354379054379972	0.216466126037386	0.316813265374076	0.2805787334375	0.246270178498881	0.216466126037386	0.0251465245145283	0.248866173257386	0.0981072163094579	0.112315193687556	0.109195223731505	0.0806585760609286	0.106015161271189	0.172859902738264	0.172053745669259	0.172180136204574	0.071706606332569	0.134081375346639	0.0341821644033049	0.0760711311805536	0.167815611356589	0.0354379054379972	0.0379723703226194	0.0324443260172609	0.0337342360099496	0.134081375346639	0.0324443260172609	0.0387785273916247	0.0324443260172609	0.0387785273916247	0.0324443260172609	0.0354379054379972	0.0337342360099496	0.134081375346639	0.0324443260172609	0.134081375346639	0.0251465245145283
"Croton_fothergillifolius"	0.431467528406042	0.504689515824059	2.0695468064401	0.596386174820278	0.474811983154181	0.349921333581503	0.363487105489519	0.139679962538804	0.205695545157181	0.1036954053179	0.0237765340072773	0.363717760861276	0.470515219869466	0.0353018886877671	0.335411236428588	0.335141722951792	0.171931791075202	0.144933579110635	0.335411236428588	0.0251423932569848	0.27266238013177	0.0943358362690084	0.108633133284364	0.232403374888614	0.0792551133575911	0.0985603046257841	0.0707834372557073	0.0712925791844212	0.0674364593754112	0.071562092661217	0.0324443260172609	0.0308543317735771	0.0738403865253105	0.0651581655113176	0.0353018886877671	0.0388482531671602	0.155216010483007	0.0327138394940567	0.0324443260172609	0.155216010483007	0.0383391112384464	0.155216010483007	0.0383391112384464	0.155216010483007	0.0353018886877671	0.0327138394940567	0.0324443260172609	0.155216010483007	0.0324443260172609	0.0251423932569848
"Aphloia_theiformis"	0.499466994076986	0.60322153720305	0.511188149845952	1.84301715682301	0.475864443683476	0.395122882983491	0.362926030660733	0.18704803325173	0.262654697803757	0.0953882470026928	0.0272597214019633	0.347458705334968	0.46356435076984	0.0408654813335716	0.308794261571129	0.314909446203288	0.277034176061302	0.237058046666492	0.308794261571129	0.0336686459853114	0.238522024148476	0.191546525023068	0.198857443999114	0.195753149179742	0.0908657380065443	0.111573835728379	0.157258201758818	0.0777128909657272	0.0782908156899738	0.0715977063335685	0.0387785273916247	0.0393982046705636	0.0784466518724517	0.0714418701510906	0.0408654813335716	0.0389343635741025	0.0383391112384464	0.0326633427594659	0.0387785273916247	0.0383391112384464	0.118479674367193	0.0383391112384464	0.118479674367194	0.0383391112384464	0.0408654813335716	0.0326633427594659	0.0387785273916247	0.0383391112384464	0.0387785273916246	0.0336686459853114
"Psiadia_terebinthina"	0.47710555269628	0.590681316129635	0.51797670889547	0.605645655597151	1.74215065813154	0.419288343272223	0.442767077110177	0.146633653355177	0.217396840959354	0.0762888990512648	0.0272231895385676	0.369789058306341	0.472441954810564	0.0390359088569684	0.341135996167041	0.339259329549745	0.190481003224816	0.258482242055362	0.341135996167041	0.0263940576039319	0.150084991636951	0.0979379473219374	0.119899106758293	0.220322216042935	0.0907439651285586	0.114387397411041	0.0769067338967219	0.180511969624291	0.0799012046498417	0.182388636241588	0.0379723703226194	0.032609526143903	0.184468433628894	0.0778214072625353	0.0390359088569684	0.142539599301672	0.0388482531671602	0.0398490369399159	0.0379723703226194	0.0388482531671602	0.0389343635741025	0.0388482531671603	0.0389343635741026	0.0388482531671603	0.0390359088569684	0.0398490369399159	0.0379723703226194	0.0388482531671603	0.0379723703226194	0.0263940576039319
"Erythroxylum_macrocarpum"	0.523051748608828	0.592647391123422	0.46656177810867	0.614635595752098	0.51246353066605	1.58570645134402	0.426054122992121	0.155507179815311	0.281050247907534	0.0782184113902805	0.0272614370285124	0.277829568165072	0.499589790791856	0.042795143067995	0.356143915255409	0.355897805044053	0.32113437454481	0.162335026551501	0.356143915255409	0.0279912923667559	0.14780146764006	0.109661117851235	0.240878076500746	0.116433255983722	0.090871456761708	0.239073053389823	0.0776110491562834	0.0800275951851566	0.196669405992336	0.0802737053965132	0.0380987608579343	0.04215753718613	0.200499479461624	0.0764436319272252	0.042795143067995	0.0419288343272223	0.0349921333581503	0.0383448710692909	0.0380987608579343	0.0349921333581503	0.0395122882983491	0.0349921333581503	0.0395122882983491	0.0349921333581503	0.042795143067995	0.0383448710692909	0.0380987608579343	0.0349921333581503	0.0380987608579343	0.0279912923667559
"Toddalia_asiatica"	0.414381187025828	0.524754782376994	0.436184526587423	0.508096442925026	0.487043784821194	0.383448710692909	1.83372972138772	0.245010197780808	0.270248044408265	0.0743135745969284	0.0859469221337427	0.378437252091636	0.49432506733009	0.0339039153021132	0.342510680489738	0.211209241574792	0.17918357180206	0.140150531011445	0.342510680489738	0.0441018356005455	0.13255252683209	0.117302385021251	0.10491212913087	0.105226219193439	0.286489740445809	0.243917752655426	0.0663975787694155	0.0735832729498655	0.0720791070792406	0.204884711864811	0.0337342360099496	0.0405372066612398	0.0781939080092068	0.198769910934845	0.0339039153021132	0.0398490369399159	0.0327138394940567	0.165035674924895	0.0337342360099496	0.0327138394940567	0.0326633427594659	0.0327138394940567	0.0326633427594659	0.0327138394940567	0.0339039153021132	0.165035674924895	0.0337342360099496	0.0327138394940567	0.0337342360099496	0.0441018356005455
"Molinaea_alternifolia"	0.32038707412022	0.391168159114885	0.335231910093131	0.523734493104844	0.322594037381389	0.279912923667559	0.490020395561616	2.01206108625938	0.333963064081852	0.0871233139024159	0.166961437449548	0.230761404456143	0.660129183605675	0.0262134878825635	0.183511712696093	0.164556401610076	0.163114410361437	0.111422715986335	0.183511712696093	0.362170995526689	0.123163055012912	0.445934101124278	0.0878734262346308	0.0852050968462281	0.556538124831828	0.122187587579579	0.0588151704998397	0.0515405821184602	0.0531378168812842	0.0704958932044773	0.0251465245145283	0.0500944596122778	0.0543853499706878	0.0692483601150738	0.0262134878825635	0.0263940576039319	0.0251423932569848	0.0441018356005455	0.0251465245145283	0.0251423932569848	0.0336686459853114	0.0251423932569848	0.0336686459853114	0.0251423932569848	0.0262134878825635	0.0441018356005455	0.0251465245145283	0.0251423932569848	0.0251465245145283	0.362170995526689
"Claoxylon_linostachys"	0.446028827481934	0.531722557384743	0.411391090314362	0.612860961542101	0.398560875092148	0.4215753718613	0.450413407347109	0.278302553401544	1.59053617493416	0.0845201851280537	0.0372458902493908	0.452655127595779	0.582941207701811	0.0364932677030673	0.222050074138481	0.215695031880546	0.39081160020319	0.142683162920839	0.222050074138481	0.0500944596122778	0.14246878415507	0.328073090522965	0.118049009559761	0.102862062588044	0.124152967497969	0.321275170087494	0.0735803690738685	0.0667916905472079	0.076339701589435	0.0731467328051428	0.0341821644033049	0.238580426240124	0.0747670633300331	0.0747193710645447	0.0364932677030673	0.032609526143903	0.0308543317735771	0.0405372066612398	0.0341821644033049	0.0308543317735771	0.0393982046705636	0.0308543317735772	0.0393982046705636	0.0308543317735771	0.0364932677030673	0.0405372066612398	0.0341821644033049	0.0308543317735771	0.0341821644033049	0.0500944596122779
"Antirhea_borbonica"	0.414786860649376	0.677630247806726	0.622172431907401	0.66771772901885	0.419588944781957	0.351982851256262	0.371567872984642	0.21780828475604	0.253560555384161	1.23648734914018	0.0298547670512486	0.272891891275842	0.903714974770636	0.0339371067804035	0.226494148591983	0.236614984525227	0.193656130866727	0.154753767006545	0.226494148591984	0.0392054912560872	0.689568895159209	0.120164285714923	0.112060103057241	0.123917648117336	0.0995158901708287	0.106673477001868	0.0864866556530727	0.0778919490749302	0.0787602296274872	0.067771113141687	0.043561944501861	0.0380340833076242	0.0695282896986954	0.0770030530704787	0.0339371067804035	0.0343300045730692	0.0466629323930551	0.0334411085686178	0.043561944501861	0.046662932393055	0.0429247111512118	0.0466629323930551	0.0429247111512118	0.0466629323930551	0.0339371067804035	0.0334411085686178	0.043561944501861	0.0466629323930551	0.043561944501861	0.0392054912560872
