"Syzygium_coriaceum"	"Diospyros_revaughanii"	"Syzygium_petrinese"	"Casearia_coriacea"	"Labourdonnaisia_callophylloides"	"Calophyllum_eputamen"	"Gaertnera_sp1_M_PL_070"	"Ocotea_laevigata"	"Stillingia_lineata"	"Syzygium_mauritianum"	"Cordemoya_integrifolia"	"Tristhema_mauritiana"	"Euodia_obtusifolia"	"Syzygium_commersonii"	"Technomyrmex_albipes"	"Apis_mellifera"	"Musca_domestica"	"Chaetocnema_sp1_M_PL_070"	"Phelsuma_cepediana"	"Eristalinus_flaveolus"	"Brachymyrmex_sp1_M_PL_070"	"Chrysomya_megacephala"	"Episyrphus_sp1_M_PL_070"	"Panara_naso"	"Paragus_borbonicus"	"Anthomyia_faciata"	"Macroglossum_milvus"	"Melanagromyza_sojae"	"Nacoleia_sp1_M_PL_070"	"Ornidia_obesa"	"Phorinia_sp1_M_PL_070"	"Polistes_hebraeus"	"Syritta_sp1_M_PL_070"	"Thelairodrino_sp1_M_PL_070"
"Syzygium_coriaceum"	2.5769092467274	0.131413725482689	0.374047388614201	0.267565966087422	0.157904416696704	0.328613793436424	0.474725458734261	0.282461647946885	0.312713604250698	0.095932019602363	0.0488853832344449	0.109019033462259	0.055919574093173	0.0470466363679181	0.605661297012552	0.271585462413583	0.48168322667488	0.399674017003871	0.209096161635192	0.155947313194205	0.352326516944806	0.461807248922866	0.124265720207051	0.0712088188101391	0.316082494643662	0.0712088188101391	0.0712088188101391	0.231921832205466	0.0394241176448067	0.231921832205466	0.231921832205466	0.0841606624381951	0.231921832205466	0.0938140812752093
"Diospyros_revaughanii"	0.438045751608963	2.05089395461046	0.518652430073872	0.114712400288846	0.301266257947248	0.376416994316172	0.145312703140636	0.0864610583686782	0.0992947319663709	0.497152586865635	0.227523971657056	0.0737422862901917	0.0640541523941385	0.269628615208578	0.409679368278843	1.26402206476142	0.116947760216417	0.153906360955857	1.19834940092701	0.0477352229816988	0.0910446977747874	0.171853164347644	0.142342560875863	0.0217969054710953	0.156120914411428	0.0217969054710953	0.0217969054710953	0.0394241176448067	0.615268186383137	0.0394241176448067	0.0394241176448067	0.116696796766621	0.0394241176448067	0.0297884195899113
"Syzygium_petrinese"	0.935118471535502	0.388989322555404	2.00820599514833	0.25298780421901	0.25139203097555	0.221268560361887	0.19283436040587	0.114736444441493	0.128162175140574	0.283962205465445	0.0875065552080773	0.163885475767473	0.037652843254859	0.196455650257367	0.910474865374848	0.486147528933763	0.185955402373696	0.172394741061792	0.873136223366077	0.0633460873933282	0.19800517433675	0.197292175912948	0.0836729850107977	0.0289251540608805	0.536007011346571	0.0289251540608805	0.0289251540608805	0.0841606624381951	0.116696796766621	0.0841606624381951	0.0841606624381951	0.451846348908375	0.0841606624381951	0.0384486525421722
"Casearia_coriacea"	1.33782983043711	0.172068600433269	0.50597560843802	1.6171225266585	0.298452882828914	0.225586369658534	0.257541722167933	0.15323732468992	0.170262169397104	0.125610078316286	0.0629797759514658	0.235473106877448	0.0383875965175236	0.0626303023648206	1.30818392709693	0.34988764417481	0.256085791290637	0.222240268731641	0.278356899399203	0.084602455732166	0.848109821735663	0.255764073644676	0.0853057700389414	0.03863125832519	0.234249196637895	0.03863125832519	0.03863125832519	0.12040468473934	0.0516205801299807	0.12040468473934	0.12040468473934	0.113844511898554	0.12040468473934	0.0510786508191311
"Labourdonnaisia_callophylloides"	0.789522083483521	0.451899386920872	0.5027840619511	0.298452882828913	1.42387985304982	0.397326104906766	0.205242704537988	0.122119409200103	0.138505557947541	0.329886552452237	0.217839323374842	0.206040529674976	0.0676122153307732	0.112047229077395	1.14466960930542	1.21021846319357	0.180030883338508	0.202007028501802	0.497987684788421	0.067422228440729	0.205360784786528	0.227877589558268	0.150249367401718	0.0307864056806982	0.184183401452514	0.0307864056806982	0.0307864056806982	0.0710569875135169	0.135569816076262	0.0710569875135169	0.0710569875135169	0.113126413938997	0.0710569875135169	0.0415516673842622
"Calophyllum_eputamen"	0.82153448359106	0.282312745737129	0.221268560361887	0.112793184829267	0.198663052453383	1.75189380822823	0.483358077312055	0.287598056000673	0.336762515798097	0.206088304388104	0.141982634137481	0.0566804183159025	0.298116383332955	0.0641056702506236	0.314891212866125	0.788792411874892	0.333749986659634	0.569142965113976	0.284914090002771	0.15878312839701	0.124695036696366	0.626897338771557	0.662480851851011	0.0725037115968082	0.12372352960462	0.0725037115968082	0.0725037115968082	0.0739381035231954	0.0846938237211386	0.0739381035231954	0.0739381035231954	0.0497854260814246	0.0739381035231954	0.101028754739429
"Gaertnera_sp1_M_PL_070"	0.791209097890434	0.0726563515703178	0.12855624027058	0.0858472407226443	0.0684142348459959	0.322238718208036	2.67472942363682	0.591464007063909	0.330710361360563	0.053039136646332	0.0319950288342496	0.0364192060117463	0.0548347398631322	0.0210441078120823	0.202328922287479	0.177750160190276	0.749070542883004	0.242925638815116	0.0935293680536993	0.578648615664696	0.109840077135329	0.722361146071643	0.121854977473627	0.401209413545523	0.10013397287102	0.401209413545523	0.401209413545523	0.071208818810139	0.0217969054710953	0.071208818810139	0.071208818810139	0.0289251540608805	0.0712088188101391	0.0992131084081687
"Ocotea_laevigata"	0.941538826489617	0.0864610583686782	0.15298192592199	0.102158216459947	0.0814129394667351	0.383464074667563	1.18292801412782	1.70384216840605	0.393545330019069	0.0631165726091351	0.0380740843127571	0.0433388551539781	0.0652533404371274	0.025042488296378	0.2407714175221	0.211522690626428	0.891393946030774	0.289081510189988	0.111299947983902	0.688591852640988	0.130709691791042	0.859609763825256	0.145007423193616	0.177439202119173	0.119159427716513	0.177439202119173	0.177439202119173	0.0847384943840654	0.0259383175106035	0.0847384943840655	0.0847384943840655	0.0344209333324478	0.0847384943840655	0.118063599005721
"Stillingia_lineata"	1.04237868083566	0.0992947319663709	0.170882900187432	0.113508112931402	0.0923370386316938	0.449016687730795	0.661420722721125	0.393545330019069	1.97108869564967	0.0724851543354507	0.0440306551427446	0.0483063834889493	0.0764083019037698	0.0284544991927062	0.268368797160829	0.244614750793025	0.902417397384001	0.786169444709541	0.126464440856472	0.217276707413889	0.14489273209434	0.412119543428528	0.169796226452822	0.0992131084081687	0.132262733817382	0.0992131084081687	0.0992131084081687	0.0938140812752093	0.0297884195899113	0.0938140812752093	0.0938140812752093	0.0384486525421722	0.0938140812752093	0.591326608694903
"Syzygium_mauritianum"	0.479660098011815	0.745728880298452	0.567924410930889	0.125610078316286	0.329886552452237	0.412176608776208	0.159117409938996	0.0946748589137026	0.108727731503176	1.54438208261787	0.249138748964477	0.0807478034877599	0.0701392968715816	0.295243333653393	0.448598908265333	1.38410416091376	0.128057797436976	0.168527465246663	1.31219259401508	0.0522700691649602	0.0996939440633922	0.18817921496067	0.15586510415907	0.0238676114908494	0.170952401280514	0.0238676114908494	0.0238676114908494	0.0431694088210633	0.223718664089536	0.0431694088210633	0.0431694088210633	0.12778299245945	0.0431694088210633	0.0326183194509529
"Cordemoya_integrifolia"	0.488853832344449	0.682571914971169	0.350026220832309	0.125959551902932	0.435678646749684	0.567930536549922	0.191970173005498	0.114222252938271	0.132091965428234	0.498277497928954	1.35502448431705	0.0806541624326378	0.0966436417238313	0.143253013611907	0.448078680181321	1.97235824620581	0.146686636371777	0.211408805263203	0.636680060497366	0.063062201832306	0.10067864326732	0.234843417467039	0.214763648275181	0.0287955259508247	0.12275274459827	0.0287955259508247	0.0287955259508247	0.0439968449110004	0.204771574491351	0.0439968449110004	0.0439968449110004	0.0787558996872696	0.0439968449110004	0.0396275896284701
"Tristhema_mauritiana"	1.09019033462259	0.221226858870575	0.65554190306989	0.470946213754895	0.412081059349952	0.22672167326361	0.218515236070478	0.130016565461934	0.144919150466848	0.16149560697552	0.0806541624326378	1.33142689691731	0.0385807889377151	0.080841444542882	1.84126053842952	0.448078680181321	0.21337513030524	0.1926052517404	0.359295309079476	0.0717822550491519	0.310042926305736	0.220911761649498	0.0857350865282558	0.0327772854105717	0.245614058306759	0.0327772854105716	0.0327772854105717	0.0981171301160333	0.0663680576611725	0.0981171301160333	0.0981171301160333	0.147496928190725	0.0981171301160333	0.0434757451400543
"Euodia_obtusifolia"	0.55919574093173	0.192162457182415	0.150611373019436	0.0767751930350473	0.135224430661546	1.19246553333182	0.329008439178794	0.195760021311382	0.229224905711309	0.140278593743163	0.0966436417238313	0.0385807889377151	1.88359182394932	0.043634952019332	0.214337716320639	0.536909120687952	0.227174360667482	0.387399833396908	0.19393312008592	0.108079272270234	0.084876453549627	0.426711633953749	1.96353738655405	0.049351265876819	0.0842151756132288	0.049351265876819	0.049351265876819	0.0503276166838557	0.0576487371547246	0.0503276166838557	0.0503276166838557	0.0338875589293731	0.0503276166838557	0.0687674717133928
