"Sideroxylon_cinereum"	"Homalanthus_populifolius"	"Croton_fothergillifolius"	"Toddalia_asiatica"	"Aphloia_theiformis"	"Erythroxylum_macrocarpum"	"Psiadia_terebinthina"	"Antirhea_borbonica"	"Doratoxylon_apetalum"	"Dodonaea_viscosa"	"Trochetia_blackburniana"	"Chaetocnema_sp1_M_PL_073"	"Fannia_pusio"	"Apis_mellifera"	"Stomorhina_lunata"	"Melanostoma_annulipes"	"Musca_domestica"	"Stomoxys_calcitrans"	"Dysauxes_florida"	"Nacoleia_sp2_M_PL_073"	"Pachycerina_crinicornis"	"Episyrphus_sp1_M_PL_073"	"Gelechioidea_sp1_M_PL_073"	"Mauritiborium_undulatus"	"Technomyrmex_albipes"	"Allograpta_nasuta"	"Chrysomya_megacephala"	"Nacoleia_sp1_M_PL_073"	"Stomoxys_niger"	"Cotesia_sp1_M_PL_073"	"Orthellia_albigena"	"Cheloninae_sp1_M_PL_073"	"Henotesia_narcissus"	"Hydrotaea_fuliginosa"	"Lygistorrhina_sp1_M_PL_073"	"Melanostoma_bituberculatum"	"Panara_naso"	"Sapromyza_sp1_M_PL_073"	"Scopariinae_sp1_M_PL_073"	"Zosterops_mauritianus"	"Brachymyrmex_sp1_M_PL_073"	"Cixiidae_sp1_M_PL_073"	"Lecithoceridae_sp1_M_PL_073"	"Melanagromyza_sojae"	"Polistes_hebraeus"	"Psyllidae_sp1_M_PL_073"	"Scirtidae_sp1_M_PL_073"	"Thelairodrino_sp1_M_PL_073"
"Sideroxylon_cinereum"	2.09019472152487	0.33307309120424	0.674539275284422	0.443010857859037	0.541971896758608	0.439836734684647	0.392536336026387	0.0552372160277621	0.067575415997558	0.176276574857296	0.0489057745120124	0.206783253744661	0.183796374209895	0.271698747288958	0.354765644029337	0.356086490304749	0.22729672439121	0.258133785706315	0.0988131877051572	0.0569733565237428	0.231813283832636	0.1229523601967	0.188496045081007	0.0925434229977993	0.0679713667922254	0.231813283832636	0.263929893143886	0.131552024853679	0.124273206472113	0.0299765782083816	0.117573453085774	0.0317297834743132	0.117573453085774	0.0299765782083816	0.0304502354781679	0.0304502354781679	0.0779934878311228	0.0737674742297969	0.158045809602839	0.117573453085774	0.0362463429157394	0.0317297834743132	0.117573453085774	0.117573453085774	0.0375211313140575	0.0304502354781679	0.0404723565170653	0.0404723565170653
"Homalanthus_populifolius"	0.532916945926784	1.75843299099437	0.527695119672444	0.464188182504294	0.441125035707846	0.583173079209116	0.510547708061189	0.100646137129069	0.112930497104815	0.20273016584256	0.0287720325843593	0.340584741106162	0.226214580511863	0.159844625468663	0.421380043011711	0.407052749166205	0.128669140789394	0.174323317011063	0.120124639187318	0.0870628469130873	0.130156744051721	0.29122329895999	0.102011806257052	0.240404575262823	0.0709129464173281	0.130156744051721	0.171928829256727	0.273190471191908	0.276896005114484	0.158258969189493	0.0299765782083816	0.0364914298516608	0.0299765782083816	0.158258969189493	0.0403735208683234	0.0403735208683234	0.0622011327293513	0.0685184586629924	0.0616382853887282	0.0299765782083816	0.0379790331139877	0.0364914298516608	0.0299765782083816	0.0299765782083816	0.0305394255490047	0.0403735208683234	0.0316617071803466	0.0316617071803466
"Croton_fothergillifolius"	0.719508560303383	0.351796746448296	1.86765669069114	0.459508093380985	0.598985694804529	0.467106582991454	0.419859655591518	0.0807969046206242	0.0698580585919195	0.179031519053657	0.0490493882593426	0.289475767455091	0.109730180428583	0.272496601440792	0.36138425033852	0.362173797401815	0.226225671797736	0.260690300060638	0.104286418423732	0.0707107607185869	0.231596115099249	0.129788135239271	0.184869906011788	0.0983520088729072	0.0738063884627988	0.231596115099249	0.265948268738555	0.217675832432267	0.130577682302565	0.0316617071803466	0.0404723565170653	0.0322256734296582	0.0404723565170653	0.0316617071803466	0.0323381480532545	0.0323381480532545	0.153527641851012	0.0790643571407158	0.152531757958533	0.0404723565170653	0.0375961167311715	0.0322256734296582	0.0404723565170653	0.0404723565170653	0.0414682404095443	0.0323381480532545	0.112059401441468	0.112059401441468
"Toddalia_asiatica"	0.644379429613145	0.421989256822085	0.626601945519525	1.69202384565076	0.586391423304676	0.48414134971446	0.447947802016503	0.0928483348363286	0.0765785873422802	0.157802421755565	0.0324534981615166	0.324777546562617	0.21266369067388	0.180297212008425	0.395484253782382	0.389428325394358	0.142843224868621	0.184606541720215	0.208606067411749	0.0784320253867891	0.252877103596772	0.14260715018561	0.107359937704066	0.108146785881584	0.0741138073628633	0.252877103596772	0.289527378307214	0.25579521516566	0.136551221797585	0.0379790331139877	0.0362463429157394	0.0284044359160016	0.0362463429157394	0.0379790331139877	0.0335174780571549	0.0335174780571549	0.0781924460368798	0.179034643949861	0.0738424596469109	0.0362463429157394	0.138438314644153	0.0284044359160016	0.0362463429157394	0.0362463429157394	0.0405963293057084	0.0335174780571549	0.0375961167311715	0.0375961167311715
"Aphloia_theiformis"	0.667042334472133	0.339326950544497	0.691137340159072	0.49617735818088	1.76995849944143	0.500949389165487	0.431114377810525	0.059186709488141	0.0721063663927463	0.18529504659383	0.0508635224881011	0.30509368979287	0.108656886168771	0.282575124933895	0.375062685983664	0.375967929493817	0.23487806853336	0.271479066252215	0.110550435411453	0.0619070138177974	0.242121289452178	0.132941396531485	0.113670483281212	0.100493531654749	0.157216699980479	0.242121289452178	0.277394284000312	0.139238014533921	0.133846640041639	0.0305394255490047	0.0375211313140575	0.0333531083868894	0.0375211313140575	0.0305394255490047	0.0346811115576107	0.0346811115576107	0.164003828832413	0.163131917728577	0.0789893717236018	0.0375211313140575	0.0405963293057084	0.0333531083868894	0.0375211313140575	0.0375211313140575	0.122535588422868	0.0346811115576107	0.0414682404095443	0.0414682404095443
"Erythroxylum_macrocarpum"	0.541337519611874	0.448594676314705	0.538969134220909	0.409658065143005	0.500949389165487	1.9190123955863	0.519127020893069	0.0617807843622075	0.103210665005805	0.190458776255905	0.0300594681775833	0.316238991828324	0.104341234403646	0.166997045431018	0.393134026559105	0.380971807032555	0.131752074815096	0.272798228381014	0.208846211349136	0.0702753819451536	0.130986973146188	0.262147053412916	0.195643087841243	0.215702254160304	0.167535815867431	0.130986973146188	0.173461002128348	0.134030499941726	0.249984833886367	0.0403735208683235	0.0304502354781679	0.0342825797260628	0.0304502354781679	0.0403735208683234	0.13285470430982	0.13285470430982	0.0670192596108652	0.0681985896147656	0.0627883835314224	0.0304502354781679	0.0335174780571549	0.0342825797260628	0.0304502354781679	0.0304502354781679	0.0346811115576107	0.13285470430982	0.0323381480532545	0.0323381480532545
"Psiadia_terebinthina"	0.570961943311108	0.464134280055627	0.572535893988433	0.447947802016503	0.509498810139712	0.613513751964536	1.61416495854254	0.12180234754467	0.104436411328299	0.193940020521999	0.0502216753234212	0.322589579147619	0.110538969226697	0.27900930735234	0.401702573556603	0.389615392152829	0.13665096119265	0.276283828543421	0.211192345755173	0.186879098457673	0.138392032209131	0.263310541347472	0.108942791932716	0.216314156249738	0.077747023530294	0.138392032209131	0.270460074271702	0.167585569949855	0.251223359943698	0.0417720852050064	0.0321166093112498	0.0349092036939598	0.0321166093112498	0.0417720852050064	0.0424740289821602	0.0424740289821602	0.0696251481874399	0.0719232692585751	0.0664687629505558	0.0321166093112498	0.0366502747104412	0.0349092036939598	0.0321166093112498	0.0321166093112498	0.0352729945481339	0.0424740289821602	0.034352153639306	0.034352153639306
"Antirhea_borbonica"	0.441897728222096	0.503230685645343	0.605976784654682	0.510665841599808	0.384713611672917	0.401575098354349	0.669912911495686	1.51157914148241	0.0680923468964895	0.13487069293242	0.0306430517806408	0.232677548091468	0.111929259596922	0.170239176559116	0.288175851407381	0.281811020031797	0.112126098289273	0.170461782919532	0.124394160034443	0.735021670062188	0.129631124237785	0.158544727169596	0.0890167072547672	0.127903171066176	0.0544353722326568	0.129631124237785	0.184442180632887	0.803641733130796	0.152179895794012	0.045290761708081	0.0248567472124929	0.0242767247278357	0.0248567472124929	0.0452907617080809	0.0278013529629934	0.0278013529629934	0.0629926263489443	0.0684157699460113	0.0612153542917738	0.0248567472124929	0.0417817506763479	0.0242767247278357	0.0248567472124929	0.0248567472124929	0.0266340192696635	0.0278013529629934	0.0363586070792809	0.0363586070792809
"Doratoxylon_apetalum"	0.540603327980464	0.564652485524076	0.523935439439396	0.421182230382541	0.468691381552851	0.670869322537736	0.574400262305645	0.0680923468964896	1.25355633238021	0.146826225836301	0.0303485399011365	0.24260426359464	0.115688025200094	0.168602999450758	0.837113550364635	0.299441921444075	0.120721649092535	0.187734112792348	0.127901548654373	0.077637941201155	0.128753292746027	0.708360257618608	0.108289862817877	0.144259908047514	0.0788926641293483	0.128753292746027	0.175749677843761	0.147356770470977	0.170688628698048	0.0508187236971669	0.0304089371989011	0.0264287206505342	0.0304089371989011	0.0508187236971668	0.0464447992526125	0.0464447992526125	0.0638839912430996	0.0669082291807619	0.0618450635652648	0.0304089371989011	0.0344603643040261	0.0264287206505342	0.0304089371989011	0.0304089371989011	0.0324478648767359	0.0464447992526125	0.0314361263663638	0.0314361263663638
"Dodonaea_viscosa"	0.564085039543346	0.40546033168512	0.53709455716097	0.347165327862242	0.481767121143958	0.495192818265352	0.426668045148398	0.0539482771729682	0.0587304903345205	1.86464588830867	0.028399998111298	0.199666431004233	0.0966256492419756	0.157777767284989	0.25782493512908	0.567032474374107	0.432944825186422	0.166500348710884	0.0975962193360243	0.0591859284217955	0.125713001206862	0.132111933922218	0.0982380366300343	0.105683213271683	0.0676356881129522	0.125713001206862	0.160622204900822	0.121398263925156	0.441319473167244	0.0364914298516608	0.0317297834743132	0.335636259895561	0.0317297834743132	0.0364914298516608	0.0342825797260629	0.0342825797260629	0.0655787818165476	0.061757544302891	0.0639554569039714	0.0317297834743132	0.0284044359160016	0.335636259895561	0.0317297834743132	0.0317297834743132	0.0333531083868894	0.0342825797260629	0.0322256734296582	0.0322256734296582
