"Psiadia_terebinthina"	"Gaertnera_sp1_M_PL_079"	"Stillingia_lineata"	"Syzygium_coriaceum"	"Antidesma_madagascariense"	"Psathura_terniflora"	"Tabernaemontana_persicarifolia"	"Labourdonnaisia_callophylloides"	"Euodia_obtusifolia"	"Tristhema_mauritiana"	"Olea_lancea"	"Psidium_cattleianum"	"Villa_unifasciata"	"Nacoleia_sp1_M_PL_079"	"Chaetocnema_sp1_M_PL_079"	"Technomyrmex_albipes"	"Ahasverus_advena"	"Apis_mellifera"	"Dysauxes_florida"	"Brachymyrmex_sp1_M_PL_079"	"Allograpta_nasuta"	"Polistes_hebraeus"	"Syritta_nigrofemorata"	"Chrysomya_megacephala"	"Miridae_sp1_M_PL_079"	"Orthellia_albigena"	"Pachycerina_crinicornis"	"Phalanta_phalantha"	"Phorinia_sp1_M_PL_079"	"Stomorhina_lunata"
"Psiadia_terebinthina"	2.43148056462782	0.553428339865611	0.652569329306457	0.351758098958512	0.201392021398214	0.2369288238655	0.197433667846741	0.140862393550106	0.111529372515897	0.176153097169855	0.104811092816064	0.104811092816064	0.815197388569385	0.286347651102812	0.495686100070656	0.153942867441728	0.440650557034561	0.469541311833688	0.440392436831453	0.0633164578125322	0.341033455858751	0.0996171011758099	0.243148056462782	0.0633164578125322	0.243148056462782	0.0978853993959685	0.0978853993959685	0.0792688937264348	0.0633164578125322	0.243148056462782
"Gaertnera_sp1_M_PL_079"	0.9961710117581	1.98447502591364	0.785030112869653	0.214496756224575	0.111898365851505	0.199061479775469	0.245902523513043	0.187735317468603	0.0702176763603111	0.213776084475772	0.127196770263085	0.127196770263085	0.989308213157325	0.585616157175773	0.312078561601383	0.0889636807536006	0.574577122770714	0.625784391562008	0.239549031707948	0.0386094161204235	0.217371618106258	0.357205504664456	0.09961710117581	0.0386094161204235	0.09961710117581	0.117754516930448	0.117754516930448	0.0961992380140975	0.0386094161204235	0.0996171011758099
"Stillingia_lineata"	0.978853993959685	0.654191760724711	2.26964827399201	0.209249487144571	0.109319093029708	0.193400524849487	0.238067559542032	0.0886191436957876	0.0684679115950831	0.207004632969757	0.123167756617006	0.123167756617006	0.957971440354488	0.565332159823164	0.30430182931148	0.0868584995493913	0.556087157425218	0.295397145652625	0.234109227441606	0.0376649076860227	0.43833264049477	0.117754516930448	0.0978853993959685	0.0376649076860227	0.0978853993959685	0.340447241098801	0.340447241098801	0.0931520848363907	0.0376649076860227	0.0978853993959685
"Syzygium_coriaceum"	0.633164578125322	0.214496756224575	0.251099384573485	2.97112508260131	0.418687320582756	0.131290969271182	0.25964771732982	0.0418873454518996	0.20171297834836	0.0639478366338505	0.038048962797141	0.038048962797141	0.295936377311097	0.193115796604865	0.896502125992712	0.723211809130476	0.139590781618978	0.139624484839665	0.310806688246804	0.534802514868236	0.100981365498555	0.0386094161204234	0.0633164578125322	0.534802514868236	0.0633164578125322	0.0376649076860227	0.0376649076860227	0.0287765264852327	0.534802514868236	0.0633164578125322
"Antidesma_madagascariense"	0.906264096291962	0.279745914628762	0.327957279089124	1.04671830145689	1.75715798753472	0.386259714333207	0.147131663588458	0.0579372633954959	0.0974045320550528	0.117160338978619	0.0697104016922783	0.0697104016922783	0.542192013162164	0.165757105111352	0.43290903135579	0.979130388652863	0.190174266125742	0.19312421131832	1.05516437546976	0.18840929426224	0.139820001492565	0.0503542646331771	0.0906264096291962	0.18840929426224	0.0906264096291962	0.0491935918633686	0.0491935918633686	0.0527221525403785	0.18840929426224	0.0906264096291962
"Psathura_terniflora"	1.06617970739475	0.497653699438672	0.580201574548463	0.328227423177956	0.386259714333207	1.46166850552957	0.135129771916705	0.0806283438240148	0.0639048820835804	0.302878663237407	0.180212804626257	0.180212804626257	1.40165514709311	0.237416299443748	0.284021698149246	0.232897807621975	0.283225872820705	0.268761146080049	0.938185669677726	0.0590809361720321	0.193648206921744	0.089577665898961	0.106617970739475	0.0590809361720321	0.106617970739475	0.0870302361822694	0.0870302361822694	0.136295398456833	0.0590809361720321	0.106617970739475
"Tabernaemontana_persicarifolia"	0.888451505310335	0.614756308782608	0.714202678626097	0.649119293324549	0.147131663588458	0.135129771916705	1.52209300964775	0.0819868299090012	0.251274492132867	0.11827047557008	0.0703709329641977	0.0703709329641977	0.547329478610426	0.90272839171627	1.11677552059052	0.183050721413225	0.306631687905817	0.273289433030004	0.215862796508357	0.116841472798419	0.195975552324948	0.110656135580869	0.0888451505310335	0.116841472798419	0.0888451505310335	0.107130401793914	0.107130401793914	0.053221714006536	0.116841472798419	0.0888451505310335
"Labourdonnaisia_callophylloides"	1.26776154195096	0.938676587343012	0.531714862174726	0.209436727259498	0.115874526790992	0.16125668764803	0.163973659818002	1.49139915339048	0.0672215112281868	0.144220382252492	0.085811127440233	0.085811127440233	0.667419880090701	0.322507161966052	0.298762272125275	0.0898421479626559	0.375495169243047	1.63799717796827	0.251485200692655	0.0376986109067097	0.206533383521305	0.168961785721742	0.126776154195096	0.0376986109067097	0.126776154195096	0.0797572293262089	0.0797572293262089	0.0648991720136215	0.0376986109067097	0.126776154195096
"Euodia_obtusifolia"	1.00376435264308	0.351088381801556	0.410807469570499	1.0085648917418	0.194809064110105	0.127809764167161	0.502548984265734	0.0672215112281868	1.3972597626419	0.0909971290259456	0.0541432917704376	0.0541432917704376	0.421114491547848	0.350964072079435	1.76559894507512	0.269205759363072	0.225193464424163	0.224071704093956	0.245554907989078	0.181541680513524	0.161997555699883	0.06319590872428	0.100376435264308	0.181541680513524	0.100376435264308	0.0616211204355748	0.0616211204355748	0.0409487080616755	0.181541680513524	0.100376435264308
"Tristhema_mauritiana"	0.792688937264348	0.534440211189431	0.621013898909272	0.159869591584626	0.117160338978619	0.302878663237406	0.11827047557008	0.0721101911262462	0.0454985645129728	2.05444156272321	0.222392729820313	0.222392729820313	1.72972123193577	0.242573036857024	0.202215842279879	0.0814986790256112	0.268620216576923	0.240367303754154	0.268286444723646	0.0287765264852327	0.172420978562826	0.0961992380140975	0.0792688937264348	0.0287765264852327	0.0792688937264348	0.0931520848363907	0.0931520848363907	0.924498703225446	0.0287765264852327	0.0792688937264348
