"Stillingia_lineata"	"Aphloia_theiformis"	"Croton_grangeroides"	"Phyllanthus_phillyreifolius"	"Psiadia_terebinthina"	"Syzygium_petrinese"	"Badula_insularis"	"Calophyllum_eputamen"	"Diospyros_revaughanii"	"Molinaea_macrantha"	"Rubus_alcefolius"	"Psidium_cattleianum"	"Embelia_angustifolia"	"Tabernaemontana_persicarifolia"	"Apis_mellifera"	"Technomyrmex_albipes"	"Musca_domestica"	"Brachymyrmex_sp1_M_PL_083"	"Chaetocnema_sp1_M_PL_083"	"Chrysomya_megacephala"	"Dysauxes_florida"	"Orthellia_albigena"	"Eristalinus_flaveolus"	"Ophyra_capensis"	"Paragus_borbonicus"	"Pheidole_megacephala"	"Nacoleia_sp1_M_PL_083"	"Ornidia_obesa"	"Polistes_hebraeus"	"Stomorhina_lunata"	"Fannia_pusio"	"Macroglossum_milvus"	"Musca_confiscata"	"Phelsuma_cepediana"	"Sapromyza_sp1_M_PL_083"	"Sarcophaga_arno"	"Simulium_sp1_M_PL_083"	"Syritta_sp1_M_PL_083"
"Stillingia_lineata"	2.44811503928434	0.698789343014526	0.623468588734692	0.144803289438337	0.0598528508539252	0.322222563185673	0.222632758262841	0.0827971753748637	0.0992951061233781	0.0700939550319006	0.062740445593911	0.212593942467235	0.215752837371219	0	0.207392028490983	0.311528689030669	0.564998210655065	0.0269337828842664	0.508462677436469	0.57687452041054	0.0935202883102037	0.419576049360165	0.104818401452179	0.118708154193618	0.295427466579431	0.0434409868315011	0	0.0781219163148643	0.02823320051726	0.101036911658859	0.0483333844778509	0.0297885318370134	0.314757647907986	0.0483333844778509	0.0935202883102037	0.314757647907986	0.314757647907986	0.0935202883102037
"Aphloia_theiformis"	0.815254233516947	2.00556341366267	0.629913714291673	0.253723683187334	0.0845181312014908	0.356515752573905	0.225111720509417	0.0845496097032035	0.105817274506064	0.134930000661867	0.0653722101384366	0.21134702745137	0.290541123332465	0	0.216091472402054	0.599688891830518	0.589873781887274	0.0380331590406709	0.300605732825168	0.563544078880741	0.0944870571437508	0.405652913501579	0.3008345120494	0.167627626882957	0.52606507469276	0.0761171049562001	0	0.0852225452379052	0.0294174945622965	0.101451432601853	0.0534773628860858	0.0317451823518194	0.104818401452179	0.0534773628860858	0.0944870571437509	0.104818401452179	0.104818401452179	0.0944870571437509
"Croton_grangeroides"	0.727380020190473	0.629913714291672	2.50403282279431	0.133059794862716	0.0478667734578654	0.223185205621636	0.24206992319209	0.079104814095323	0.0812436423884634	0.0686529200423529	0.05592431233895	0.220823136291443	0.249900815169544	0	0.18486092134264	0.305124089077124	0.333940493123495	0.0215400480560394	0.578056677165791	0.629859209760534	0.375604923419147	0.188007345453955	0.0944870571437509	0.0949357673580997	0.582547347389192	0.0399179384588149	0	0.0578508735597845	0.0251659405525275	0.101844107230328	0.0334777808432454	0.024373092716539	0.0935202883102037	0.0334777808432455	0.375604923419147	0.0935202883102037	0.0935202883102037	0.375604923419147
"Phyllanthus_phillyreifolius"	0.337874342022787	0.507447366374667	0.266119589725432	2.0682759503341	0.462518837736423	0.591418440637462	0.300173887720015	0.0702320439722234	0.135409125137819	0.234642735290719	0.0683154364940732	0.113795335954627	0.1069348033365	0	0.225820470633187	1.04285660129208	0.256391519384745	0.20813347698139	0.218437174764323	0.193614631032904	0.0399179384588148	0.119558091787701	0.0761171049562001	0.917329028177238	0.16415570491644	0.620482785100229	0	0.129335503636965	0.030741946422333	0.0657430205738886	0.0887127660956192	0.0406227375413457	0.0434409868315011	0.0887127660956192	0.0399179384588148	0.0434409868315011	0.0434409868315011	0.0399179384588148
"Psiadia_terebinthina"	0.209484977988738	0.253554393604472	0.143600320373596	0.693778256604634	2.39085375878098	0.830059687663014	0.113806115755825	0.0842233325916453	0.181825363667844	0.0839001408466973	0.0876589285127967	0.111192927975727	0.0792196903708683	0	0.289761458139522	0.37288951487421	0.22512475574128	1.07588419145144	0.0996865830304273	0.119864868373695	0.0215400480560394	0.0649669419249372	0.0380331590406708	1.40852662158229	0.095222067763601	0.20813347698139	0	0.179056562249805	0.0394465178307585	0.0712583780589583	0.124508953149452	0.0545476091003534	0.0269337828842664	0.124508953149452	0.0215400480560394	0.0269337828842664	0.0269337828842664	0.0215400480560394
"Syzygium_petrinese"	0.375926323716618	0.356515752573905	0.223185205621636	0.295709220318731	0.276686562554338	2.23693308769577	0.0876099141146489	0.216751163377086	0.48414396587854	0.0512392261128424	0.230374245845827	0.265084270481182	0.162998956445718	0	0.761514868212593	0.227729893834855	0.510700240918875	0.124508953149452	0.121235626672688	0.214813809351537	0.0334777808432454	0.101810747363937	0.0534773628860858	0.548761682399437	0.160304674129904	0.0887127660956192	0	0.480783152917928	0.103668410630622	0.177063304664043	0.335539963154365	0.145243189763562	0.0483333844778509	0.335539963154366	0.0334777808432454	0.0483333844778509	0.0483333844778509	0.0334777808432454
"Badula_insularis"	0.779214653919944	0.67533516152825	0.726209769576271	0.450260831580023	0.113806115755825	0.262829742343947	1.53030130656083	0.0562404321803826	0.0745198054250206	0.260975768178701	0.0447029859154132	0.135210874401365	0.153550447370871	0	0.147768203442616	1.15989230301645	0.310007178116	0.0512127520901214	0.897751794607092	0.350979743204366	0.108931465436441	0.201485015447516	0.101300274229238	0.22571546291572	0.27932944098257	0.135078249474007	0	0.0617804029790982	0.020116343661936	0.0658714568015816	0.039424461351592	0.0223559416275062	0.100184741218279	0.039424461351592	0.108931465436441	0.100184741218279	0.100184741218279	0.108931465436441
"Calophyllum_eputamen"	0.289790113812023	0.25364882910961	0.237314442285969	0.105348065958335	0.0842233325916453	0.650253490131259	0.0562404321803826	1.72003730920951	0.517257155064611	0.0267912052575558	0.443488901982494	0.79891746233331	0.0798471548201445	0	1.46597720377547	0.119072023366914	0.208775296473884	0.0379004996662404	0.0981640897427562	0.350578458328018	0.0355971663428953	0.0753060532851302	0.0380473243664416	0.16704294297343	0.109575710378402	0.0316044197875006	0	0.252715170039072	0.199570005892122	1.01369202784427	0.0975380235196888	0.155177146519383	0.0372587289186886	0.0975380235196889	0.0355971663428953	0.0372587289186886	0.0372587289186886	0.0355971663428953
"Diospyros_revaughanii"	0.231688580954549	0.211634549012129	0.162487284776927	0.135409125137819	0.121216909111896	0.96828793175708	0.0496798702833471	0.344838103376407	2.16411189146241	0.0267246004290295	0.373591831977359	0.390527758638194	0.0829594578197006	0	1.23492855570294	0.118776001906798	0.24410865997126	0.0545476091003533	0.0765175661810586	0.20306513449683	0.024373092716539	0.0615337141888328	0.0317451823518194	0.240413536405261	0.0934500310872237	0.0406227375413457	0	0.794476757202284	0.168116324389812	0.272335474110842	0.145243189763562	0.649233567438722	0.0297885318370134	0.145243189763562	0.024373092716539	0.0297885318370134	0.0297885318370134	0.024373092716539
"Molinaea_macrantha"	0.490657685223304	0.809580003971199	0.411917520254117	0.703928205872156	0.167800281693395	0.307435356677055	0.521951536357401	0.0535824105151115	0.0801738012870885	1.4140264226791	0.0452966809917924	0.116892201449518	0.139915787765601	0	0.149730695500647	1.84011743412935	0.293598968120469	0.0755101267620275	0.359750378927659	0.281376848597363	0.0617876280381176	0.18452156012439	0.12143700059568	0.332803892025232	0.246186733128318	0.211178461761647	0	0.0701674438876847	0.0203835064463066	0.0591797451666556	0.0461153035015582	0.0240521403861266	0.0630845595287105	0.0461153035015582	0.0617876280381176	0.0630845595287105	0.0630845595287105	0.0617876280381176
