"Phoradendron_sp1_M_SD_004"	"Schefflera_morototoni"	"Cecropia_schreberiana"	"Ficus_sp1_M_SD_004"	"Guarea_guidonia"	"Cordia_sulcata"	"Alchornea_latifolia"	"Miconia_serrulata"	"Clusia_rosea"	"Anthurium_scandens"	"Miconia_affinis"	"Inga_vera"	"Musa_acuminata"	"Inga_laurina"	"Dendropemon_bicolor"	"Myrcine_coriacea"	"Syzigium_jambos"	"Andira_inermis"	"Coffea_arabica"	"Miconia_racemosa"	"Palicourea_guianensis"	"Tilandsia_sp1_M_SD_004"	"Buchenavia_capitata"	"Casearia_arborea"	"Citrus_sinensis"	"Dendropanax_arboreus"	"Henriettea_fascicularis"	"Momordica_charantia"	"Palicourea_crocea"	"Philodendron_angustatum"	"Piper_sp1_M_SD_004"	"Solanum_rugosum"	"Unidentified_sp1_M_SD_004"	"Zanthoxylum_martinicensis"	"Spindalis_portoricensis"	"Euphonia_musica"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"	"Vireo_altiloquous"	"Melanerpes_portoricensis"	"Columba_squamosa"	"Margarops_fuscatus"	"Tyrannus_dominicensis"	"Zenaida_asiatica"	"Coereba_flaveola"	"Dendroica_tigrina"	"Vireo_flavirostris"	"Dendroica_caerulescens"	"Icterus_dominicensis"	"Myarchus_antillarum"	"Tiaris_bicolor"	"Todus_mexicanus"	"Tyrannus_caudifasciatus"	"Vireo_latimeri"
"Phoradendron_sp1_M_SD_004"	1.4239296599438	0.496505629465234	0.39255519636444	0.166600659467972	0.270360048577893	0.0448022676950603	0.224352124196536	0.152072134633428	0.205178703339132	0.110345479608044	0.130938177806042	0.086135910110982	0.130806913836724	0.0892115227806588	0.0860046461416638	0.130413901227262	0.0860046461416638	0.0892115227806588	0.0886872462018789	0.0860046461416638	0.0860046461416638	0.0417266550253835	0.0886872462018789	0.0865289227204438	0.0865289227204438	0.0448022676950603	0.065543211912984	0.065543211912984	0.0442779911162803	0.0417266550253835	0	0.0356624816619299	0.0417266550253835	0.0442779911162803	0.746704461584338	0.43695474608656	0.927259000564077	0.737966518604672	0.690810634664866	0.0700323251373139	0.0406231878653373	0.198124898121833	0.0713999933662071	0.0336528186294805	0.262955378065985	0.0798787075017814	0.231741479308224	0.039255519636444	0.0307768055008698	0.0307768055008698	0	0.0336528186294805	0.0406231878653373	0.0336528186294805
"Schefflera_morototoni"	0.315958127841512	1.76688352922033	0.446937536586464	0.175194499941234	0.209206427386734	0.0399798316293937	0.200095855983114	0.132690728192441	0.274239930390084	0.09499519655051	0.117986962034718	0.0780071304053241	0.116440967188491	0.0802914303927866	0.0764611355590973	0.11677273432249	0.0764611355590973	0.0802914303927866	0.0790772026805589	0.0764611355590973	0.0764611355590973	0.0376955316419313	0.0790772026805589	0.077675363271325	0.077675363271325	0.0399798316293937	0.0550153649211163	0.0550153649211163	0.0387656039171661	0.0376955316419313	0	0.0572075379065161	0.0376955316419313	0.0387656039171661	0.666330527156562	0.366769099474109	0.837678480931806	0.646093398619435	0.627069314097222	0.0858297432171591	0.1445631978453	0.317819655036201	0.185699187403813	0.0300143783974671	0.229880139369284	0.189256951503946	0.0782803447949493	0.0446937536586464	0.0411359895585126	0.0411359895585126	0	0.0300143783974671	0.1445631978453	0.0300143783974671
"Cecropia_schreberiana"	0.305320708283454	0.546256989161234	1.6358026404134	0.185687116825064	0.221731538307711	0.0408872644088351	0.210284873173101	0.11120437351404	0.296200748362212	0.0716140238805208	0.123403401719357	0.0825161373105221	0.121784061494512	0.0838130520858379	0.0808967970856764	0.123822584762679	0.0808967970856764	0.0838130520858379	0.0842322351291599	0.0808967970856764	0.0808967970856764	0.0395903496335193	0.0842322351291599	0.0804776140423544	0.0804776140423544	0.0408872644088351	0.0307267594716857	0.0307267594716857	0.0413064474521571	0.0395903496335193	0	0.0622837151057071	0.0395903496335193	0.0413064474521571	0.681454406813919	0.204845063144571	0.87978554741154	0.688440790869286	0.667734474975599	0.208010376295672	0.0446937536586464	0.346020639476151	0.0891238659129782	0.0315427309759651	0.247529537336431	0.208274017699987	0.079167196531832	0.16358026404134	0.0444301122543318	0.0444301122543318	0	0.0315427309759651	0.0446937536586464	0.0315427309759651
"Ficus_sp1_M_SD_004"	0.291551154068951	0.481784874838393	0.417796012856395	1.23979745824491	0.259136431670997	0.0524894662671228	0.23357387208017	0.131600745066077	0.229358571492495	0.084188574389485	0.15241855260757	0.0999290863404469	0.133871708900438	0.105006381930978	0.0813822426333154	0.13389915829717	0.0813822426333154	0.105006381930978	0.0864869876205781	0.0813822426333154	0.0813822426333154	0.0474121706765921	0.0864869876205781	0.0999016369437149	0.0999016369437149	0.0524894662671228	0.0316991081223622	0.0316991081223622	0.0339700719567233	0.0474121706765921	0	0.0873789056373442	0.0474121706765921	0.0339700719567233	0.87482443778538	0.211327387482415	1.05360379281316	0.566167865945388	0.816929799215518	0.0761833870095137	0.0394187624867776	0.485438364651912	0.0738225482106519	0.0350360808120254	0.118683512152711	0.0811983637724171	0.0841297060810733	0.0417796012856395	0.0344037857238743	0.0344037857238743	0	0.0350360808120254	0.0394187624867776	0.0350360808120254
"Guarea_guidonia"	0.37850406800905	0.460254140250814	0.399116768953879	0.207309145336798	1.35653983196153	0.0329338487689292	0.223530035457705	0.108788562586245	0.218742914761211	0.0632233807830102	0.1281799078306	0.0952460590616706	0.128884675642134	0.0826147260273647	0.095950826873205	0.14563170413164	0.095950826873205	0.0826147260273647	0.100066522328405	0.095950826873205	0.095950826873205	0.0455651818032351	0.100066522328405	0.0784990305721643	0.0784990305721643	0.0329338487689292	0.030289532014081	0.030289532014081	0.0503856450699699	0.0455651818032351	0	0.079129237506198	0.0455651818032351	0.0503856450699699	0.548897479482153	0.201930213427207	1.01255959562745	0.839760751166164	0.77281364624233	0.0727231141095696	0.037657156929612	0.439606875034433	0.0704685941437937	0.0335295053186558	0.126233642569021	0.077568833825	0.292841978497097	0.0399116768953879	0.0328114372141817	0.0328114372141817	0	0.0335295053186558	0.037657156929612	0.0335295053186558
"Cordia_sulcata"	0.313615873865422	0.439778147923331	0.367985379679516	0.209957865068491	0.164669243844646	1.10665110000619	0.290344145853247	0.182098351713028	0.174640513131681	0.147162735457219	0.17781103142406	0.0711599314178677	0.171466067876432	0.142875415168251	0.0648149678702399	0.101039283032299	0.0648149678702399	0.142875415168251	0.06610366677649	0.0648149678702399	0.0648149678702399	0.0349356162558088	0.06610366677649	0.141586716262001	0.141586716262001	0.106651100006192	0.0405116354510272	0.0405116354510272	0.0298793516144311	0.0349356162558088	0	0.0321468336444314	0.0349356162558088	0.0298793516144311	1.77751833343654	0.270077569673515	0.776347027906861	0.497989193573852	0.563489346965361	0.0629946149377038	0.0359818484664544	0.178593520246841	0.0621779254362065	0.0435516218779871	0.11310242735996	0.072780386434406	0.0699625048175905	0.0367985379679516	0.0261960769697522	0.0261960769697522	0	0.0435516218779871	0.0359818484664544	0.0435516218779871
"Alchornea_latifolia"	0.261744144895959	0.366842402635708	0.315427309759651	0.155715914720113	0.186275029548088	0.0483906909755412	1.92692423801409	0.10481989007558	0.17995956409204	0.0748561192748503	0.127765932392261	0.0793752414167193	0.127072221803126	0.0978021615915307	0.0786815308275843	0.128093001443574	0.0786815308275843	0.0978021615915307	0.098129230642844	0.0786815308275843	0.0786815308275843	0.0299637708007298	0.098129230642844	0.078354461776271	0.078354461776271	0.0483906909755412	0.0264654282993091	0.0264654282993091	0.0487177600268545	0.0299637708007298	0	0.0279499823278525	0.0299637708007298	0.0487177600268545	0.806511516259021	0.176436188662061	0.665861573349551	0.811962667114242	0.768622876248725	0.0585366655897711	0.0300143783974671	0.155277679599181	0.057008313011273	0.289038635702114	0.0952099280029127	0.0615571093734322	0.0671823239481362	0.0315427309759651	0.026993934613806	0.026993934613806	0	0.289038635702114	0.0300143783974671	0.289038635702114
"Miconia_serrulata"	0.354834980811331	0.486532670038951	0.33361312054212	0.175467660088103	0.181314270977076	0.0606994505710094	0.20963978015116	1.21994551679715	0.195776768067233	0.169090529811129	0.144260788840638	0.0835613382696287	0.14288430489236	0.0934058018546141	0.0821848543213502	0.114891205604955	0.0821848543213502	0.0934058018546141	0.064036218618931	0.0821848543213502	0.0821848543213502	0.050854986986024	0.064036218618931	0.111554437557033	0.111554437557033	0.0606994505710094	0.108391079240119	0.108391079240119	0.0313298673353262	0.050854986986024	0	0.0312068712474647	0.050854986986024	0.0313298673353262	1.01165750951682	0.72260719493413	1.13011082191164	0.52216445558877	0.50876546441163	0.062727827264297	0.0398072184577324	0.173371506930359	0.0691737336678173	0.031445967022674	0.118790170901973	0.0731685305119444	0.0782582091659019	0.033361312054212	0.029366515210085	0.029366515210085	0	0.031445967022674	0.0398072184577324	0.031445967022674
"Clusia_rosea"	0.239375153895654	0.502773205715154	0.444301122543318	0.15290571432833	0.182285762301009	0.0291067521886136	0.17995956409204	0.0978883840336166	1.89829700329224	0.0550035103971442	0.120088723331717	0.090981971143103	0.101863716764606	0.0772038496952442	0.072756964575992	0.120854062082623	0.072756964575992	0.0772038496952442	0.0779691884461502	0.072756964575992	0.072756964575992	0.0428848736364724	0.0779691884461502	0.071991625825086	0.071991625825086	0.0291067521886136	0.0258967582085306	0.0258967582085306	0.0298720909395196	0.0428848736364724	0	0.0328169909966134	0.0428848736364724	0.0298720909395196	0.485112536476893	0.172645054723537	0.952997191921609	0.497868182325327	0.748177072325365	0.329174662748168	0.0411359895585126	0.182316616647852	0.325880540052349	0.026993934613806	0.116342907313714	0.0855661018128444	0.0635882427150515	0.0444301122543318	0.284744550493836	0.284744550493836	0	0.026993934613806	0.0411359895585126	0.026993934613806
"Anthurium_scandens"	0.386209178628155	0.522473581027805	0.322263107462344	0.16837714877897	0.158058451957525	0.0735813677286097	0.224568357824551	0.253635794716693	0.165010531191432	1.2211147242941	0.138024266650228	0.0644428989216186	0.134217414829183	0.105503196227631	0.0606360471005737	0.0925578755995952	0.0606360471005737	0.105503196227631	0.0600368051769981	0.0606360471005737	0.0606360471005737	0.0325210704225971	0.0600368051769981	0.106102438151207	0.106102438151207	0.0735813677286097	0.147533356565486	0.147533356565486	0.0281149766779766	0.0325210704225971	0	0.0303528821287418	0.0325210704225971	0.0281149766779766	1.22635612881016	0.983555710436577	0.72269045383549	0.468582944632944	0.496561776651446	0.0569778904249492	0.0427478384477295	0.168627122937454	0.0674994181264444	0.0336852536736826	0.124629615017584	0.0749741491939639	0.0781059871759745	0.0322263107462344	0.0247515796787149	0.0247515796787149	0	0.0336852536736826	0.0427478384477295	0.0336852536736826
