"Ficus_sp1_M_SD_018"	"Ficus_sp3_M_SD_018"	"Dysoxylum_sp2_M_SD_018"	"Elmerillia_tsiampaca"	"Piper_sp2_M_SD_018"	"Elaeocarpus_sp1_M_SD_018"	"Psychotriasp._sp1_M_SD_018"	"Rhus_sp1_M_SD_018"	"Aglaia_sp1_M_SD_018"	"Ficus_dammaropsis"	"Gynotroches_sp1_M_SD_018"	"Myristica_subaluata"	"Symplocos_sp1_M_SD_018"	"Dracantomelon_sp1_M_SD_018"	"Dysoxylum_sp1_M_SD_018"	"Eurya_sp1_M_SD_018"	"Ficus_sp2_M_SD_018"	"Ficus_sp4_M_SD_018"	"Ficus_sp5_M_SD_018"	"Heritiera_sp1_M_SD_018"	"Musa_sp1_M_SD_018"	"Myristica_fatua"	"Osmoxylum_sp1_M_SD_018"	"Pandanus_limbatus"	"Piper_sp1_M_SD_018"	"Poikilospermum_sp1_M_SD_018"	"Schefflera_sp1_M_SD_018"	"Sloanea_sp1_M_SD_018"	"Syzigium_sp1_M_SD_018"	"Manucodia_chalybata"	"Parasidea_raggiana"	"Meliphaga_sp1_M_SD_018"	"Rhyticeros_plicatus"	"Cicinnurus_magnificus"	"Oriolus_szalayi"	"Ailuroedus_buccoides"	"Coracina_boyeri"	"Coracina_schisticeps"	"Ducula_rufigaster"	"Ducula_zoeae"	"Melanocharis_nigra"	"Pitohui_kirhocephalus"	"Ptilinopus_pulchellus"	"Ptilinopus_rivoli"	"Cacatua_galerita"	"Coracina_melaena"	"Cracticus_cassicus"	"Cyclopsittaca_gulielmiterti"	"Dicrurus_hottentottus"	"Glycichaera_fallax"	"Gymnophaps_albertisii"	"Macropygia_amboinensis"	"Melilestes_megarhycus"	"Microdynamis_parva"	"Mino_dumonti"	"Parotia_lawesii"	"Philemon_buceroides"	"Ptilinopus_ornatus"	"Reinwardtoena_reinwardtii"	"Xanthotis_flaviventer"	"Xanthotis_polygramma"
"Ficus_sp1_M_SD_018"	2.09428710880176	0.403803422272557	0.444081437291503	0.281628242215448	0.344065457160712	0.136483548463564	0.158846047722975	0.0718858839650046	0.128249963024449	0.142653849215591	0.130268271639899	0.139131484986087	0.142653849215591	0.0297616717052567	0.083269439162455	0.0468391630756599	0.0297616717052567	0	0.0827832335667215	0	0.083269439162455	0.0297616717052567	0	0.0827832335667215	0.0827832335667215	0	0.031078574554495	0.031078574554495	0.0319494224362063	0.735850965037525	0.647651193485761	0.565860268555176	0.132274096467807	0.103595248514983	0.387795283874709	0.102876846827997	0.11852979845734	0.107557280132795	0.0709987165249029	0.099956719693319	0.104087029057022	0.0734833480531158	0.0928626474026836	0.100864958570272	0.0215657651895014	0.0666122155937254	0	0	0.0215657651895014	0	0.0422442363323172	0.0641942321470158	0.0641942321470158	0.0519175828636144	0.26926548541737	0.062609168243739	0.0476538143168924	0.0422442363323172	0	0.26926548541737	0.26926548541737
"Ficus_sp3_M_SD_018"	0.403803422272557	2.08765805067937	0.548046370350465	0.116455953742225	0.233703322094974	0.296989964980454	0.0457224158863978	0.371649015615448	0.0557410292264006	0.0410616361888074	0.0404921008275117	0.137546665831598	0.0410616361888074	0.15386742684716	0.0365926939304543	0.0318150741003241	0.15386742684716	0	0.0818402661698007	0	0.0365926939304543	0.15386742684716	0	0.0818402661698007	0.0818402661698007	0	0.00894569006473	0.00894569006473	0.0132113897102524	0.727469032620451	0.284609841681311	0.162877823548936	0.683855230431822	0.0298189668824334	0.402537716360674	0.131163587471231	0.35062013349706	0.171303945046706	0.029358643800561	0.042551856213214	0.070700164667387	0.379907882629125	0.357510167438626	0.035689838433714	0.111494704684634	0.0822069555525697	0	0	0.111494704684634	0	0.0174683930613338	0.0184777362849633	0.0184777362849633	0.26841317794449	0.0519175828636144	0.061895999624219	0.0137167247659193	0.0174683930613338	0	0.0519175828636144	0.0519175828636144
"Dysoxylum_sp2_M_SD_018"	0.51809501017342	0.639387432075542	1.89765125668242	0.25567236984475	0.321337067471842	0.321198138302418	0.06234046015611	0.113825015380481	0.127537596905221	0.0559856964061814	0.0634098737632584	0.151995180246543	0.0559856964061814	0.0471250063677151	0.0844533485673928	0.0437450461600322	0.0471250063677151	0	0.0904371322466931	0	0.0844533485673928	0.0471250063677151	0	0.0904371322466931	0.0904371322466931	0	0.0121970465522824	0.0121970465522824	0.0290048486798666	0.803885619970605	0.656859377746389	0.222076595744519	0.2094444727454	0.0406568218409413	0.433466859648658	0.154200113635657	0.366854644054933	0.381007129993088	0.0644552192885925	0.0957427740840618	0.0972112136889605	0.116354460166714	0.178566397043295	0.0668852986701789	0.0341475046141443	0.284647688502363	0	0	0.0341475046141443	0	0.0383508554767126	0.0251935633827816	0.0251935633827816	0.0822069555525697	0.0666122155937254	0.0683978311109444	0.018702138046833	0.0383508554767126	0	0.0666122155937254	0.0666122155937254
"Elmerillia_tsiampaca"	0.328566282584689	0.135865279365929	0.25567236984475	2.57798453973833	0.249561984235823	0.0761902227986934	0.0861095885673187	0.0241870057772314	0.359585547102722	0.0773318848003176	0.275895207383732	0.0442349751059693	0.0773318848003176	0.0100137285064971	0.112755517382083	0.0339739844085743	0.0100137285064971	0	0.0263198101880517	0	0.112755517382083	0.0100137285064971	0	0.0263198101880517	0.0263198101880517	0	0.0168475281979536	0.0168475281979536	0.292460430978719	0.233953868338238	0.876987357416203	0.306749809707926	0.0445054600288758	0.0561584273265122	0.0980634848703635	0.0677782240020562	0.0558192485380463	0.0612079223163206	0.649912068841597	0.548511177156975	0.0754977431301651	0.0247244947945032	0.0403254599009418	0.51085052428343	0.00725610173316941	0.0383508554767126	0	0	0.00725610173316941	0	0.38669768096075	0.0347993481601429	0.0347993481601429	0.0174683930613338	0.0422442363323172	0.0199057387976862	0.0258328765701956	0.38669768096075	0	0.0422442363323172	0.0422442363323172
"Piper_sp2_M_SD_018"	0.481691640024996	0.327184650932963	0.38560448096621	0.299474381082988	1.66925542104836	0.302803295226604	0.173656495179117	0.0582460587375165	0.135733100883221	0.155954572579565	0.141702183583628	0.143022712950413	0.155954572579565	0.0241146103053412	0.0880326272312668	0.227243174966247	0.0241146103053412	0	0.0850985142054957	0	0.0880326272312668	0.0241146103053412	0	0.0850985142054957	0.0850985142054957	0	0.0339762707959143	0.0339762707959143	0.0339739844085743	0.756431237382184	0.684698211798742	0.618619804565609	0.107176045801517	0.113254235986381	0.161839052410955	0.391306964356686	0.0999072701220268	0.148681660712913	0.0754977431301651	0.106001052559898	0.504984833258327	0.0595404155983502	0.132907586545076	0.108687139775081	0.017473817621255	0.0578406721449315	0	0	0.017473817621255	0	0.0449211571624482	0.0701795576608045	0.0701795576608045	0.0420665979770953	0.0619317822889281	0.0643602208276858	0.0520969485537352	0.0449211571624482	0	0.0619317822889281	0.0619317822889281
"Elaeocarpus_sp1_M_SD_018"	0.318461613081649	0.692976584954392	0.642396276604837	0.152380445597387	0.504672158711006	1.88963670386349	0.0639195212015452	0.123365062376496	0.0723808120117709	0.0574037936110333	0.0557253131992331	0.0981448999476551	0.0574037936110333	0.0510747073533264	0.0474380175015637	0.0687032686648596	0.0510747073533264	0	0.0583962154688548	0	0.0474380175015637	0.0510747073533264	0	0.0583962154688548	0.0583962154688548	0	0.0125059932785632	0.0125059932785632	0.0172868572736531	0.519077470834265	0.368962358345495	0.227701714657099	0.226998699348117	0.0416866442618773	0.226401495523931	0.657731999727029	0.185456430984862	0.663250452649774	0.0384152383858958	0.0554284322449049	0.152673930366355	0.126106508207085	0.655988000653184	0.0479334577792629	0.0370095187129488	0.0963594414907255	0	0	0.0370095187129488	0	0.022857066839608	0.025831707124965	0.025831707124965	0.0890969894941361	0.0409450645390692	0.0441652049764448	0.0191758563604636	0.022857066839608	0	0.0409450645390692	0.0409450645390692
"Psychotriasp._sp1_M_SD_018"	0.370640778020274	0.106685637068262	0.12468092031222	0.172219177134637	0.289427491965196	0.0639195212015452	2.18165025126145	0.0189923881374268	0.0495164375481808	0.278588351333809	0.222426161128783	0.0408891473849894	0.278588351333809	0.00786309063014484	0.0278645644880862	0.039401053528035	0.00786309063014484	0	0.0243290426940687	0	0.0278645644880862	0.00786309063014484	0	0.0243290426940687	0.0243290426940687	0	0.426844614377239	0.426844614377239	0.0195374696749379	0.216258157280611	0.216724390462893	1.10506712695744	0.0349470694673104	1.42281538125747	0.0800726771296447	0.0712728049141988	0.0324188628127523	0.0378779944072966	0.0434165992776396	0.048115273466877	0.0875578967289667	0.0194144412071474	0.0328925811263829	0.125924649078148	0.00569771644122804	0.018702138046833	0	0	0.00569771644122804	0	0.0258328765701956	0.125364758100214	0.125364758100214	0.0137167247659193	0.0476538143168924	0.0184001163232452	0.654495075378434	0.0258328765701956	0	0.0476538143168924	0.0476538143168924
"Rhus_sp1_M_SD_018"	0.167733729251677	0.867181036436046	0.227650030760962	0.0483740115544628	0.0970767645625275	0.123365062376496	0.0189923881374268	3.23130036033257	0.023153965986351	0.0170563719553508	0.016819795728351	0.0571347688838945	0.0170563719553508	0.063914161921128	0.0152000420941887	0.0132154923185962	0.063914161921128	0	0.0339951874859172	0	0.0152000420941887	0.063914161921128	0	0.0339951874859172	0.0339951874859172	0	0.00371590202688785	0.00371590202688785	0.00548780803348947	0.302179444319264	0.118222549621468	0.067656942089558	0.28406294187168	0.0123863400896262	0.16720797448828	0.0544833363342038	0.145642209298779	0.0711570233270932	0.0121951289633099	0.0176753864270274	0.0293677607079915	1.08088481278441	0.148504223397583	0.0148250098109274	0.969390108099772	0.0341475046141443	0	0	0.969390108099771	0	0.00725610173316941	0.00767536737990784	0.00767536737990784	0.111494704684634	0.0215657651895014	0.0257106459977525	0.00569771644122803	0.00725610173316941	0	0.0215657651895014	0.0215657651895014
"Aglaia_sp1_M_SD_018"	0.44887487058557	0.195093602292402	0.382612790715662	1.07875664130817	0.339332752208052	0.108571218017656	0.0742746563222713	0.0347309489795265	1.56372932750753	0.0667033632590949	0.141071566680204	0.0622659486330759	0.0667033632590949	0.0143790553099951	0.174258065398954	0.0461948788720205	0.0143790553099951	0	0.0370482394366802	0	0.174258065398954	0.0143790553099951	0	0.0370482394366802	0.0370482394366802	0	0.0145319979760966	0.0145319979760966	0.122379955106389	0.329317683881601	1.35534050865853	0.26459000759441	0.0639069124888669	0.0484399932536552	0.140187865120231	0.0936512608027462	0.0824753817592295	0.0899632840126462	0.271955455791975	0.865491693574613	0.102655286382268	0.0355027478457382	0.0576548285571771	0.225295701202317	0.010419284693858	0.0573919186073493	0	0	0.010419284693858	0	0.161813496196225	0.0300165134665927	0.0300165134665927	0.0250834631518803	0.0577124833610019	0.0280196768848841	0.0222823968966814	0.161813496196225	0	0.0577124833610018	0.0577124833610019
"Ficus_dammaropsis"	0.499288472254567	0.143715726660826	0.167957089218544	0.231995654400953	0.389886431448914	0.08610569041655	0.417882527000713	0.0255845579330261	0.0667033632590949	2.05595734430682	0.29962924957319	0.0550815807118948	0.375285075399252	0.0105923329022083	0.0375362255270639	0.053076976382121	0.0105923329022083	0	0.0327735405235774	0	0.0375362255270639	0.0105923329022083	0	0.0327735405235774	0.0327735405235774	0	0.0817596248479657	0.0817596248479657	0.0263188347429652	0.291320360209577	0.291948420766052	1.4886307990837	0.0470770351209257	0.272532082826552	0.107865531814761	0.0960112647857694	0.043671299667745	0.0510252705077466	0.0584862994288116	0.0648158616267356	0.117948836404713	0.0261531036648712	0.0443094434099283	0.169632510468079	0.00767536737990784	0.0251935633827816	0	0	0.00767536737990784	0	0.0347993481601429	0.168878283929664	0.925180804938067	0.0184777362849633	0.0641942321470158	0.0247867113203527	0.125364758100214	0.0347993481601429	0	0.0641942321470158	0.0641942321470158
