"Leycesteria_formosa"	"Juniperus_brevifolia"	"Duchesnea_indica"	"Vaccinium_cylindraceum"	"Ilex_perado"	"Rubus_ulmifolius"	"Cerastium_sp1_M_SD_031"	"Pittosporum_undulatum"	"Morella_faya"	"Potentilla_erecta"	"Solanum_nigrum"	"Fragaria_vesca"	"Acacia_melanoxylon"	"Clethra_arborea"	"Hedera_azorica"	"Unidentified_sp1_M_SD_031"	"Hedychium_gardneranum"	"Juncus_effusus"	"Laurus_azorica"	"Bellis_perennis"	"Hypericum_humifusum"	"Myrsine_africana"	"Calluna_vulgaris"	"Carex_viridula"	"Holcus_lanatus"	"Lotus_pedunculatus"	"Aphanes_microcarpa"	"Carex_vulcani"	"Centaurium_erythraea"	"Conyza_bonariensis"	"Cryptomeria_japonica"	"Epilobium_parviflorum"	"Persicaria_capitata"	"Sonchus_tenerrimus"	"Unidentified_sp2_M_SD_031"	"Unidentified_sp3_M_SD_031"	"Unidentified_sp4_M_SD_031"	"Unidentified_sp5_M_SD_031"	"Unidentified_sp6_M_SD_031"	"Unidentified_sp7_M_SD_031"	"Viburnum_tinus"	"Turdus_merula"	"Sylvia_atricapilla"	"Fringilla_coelebs"	"Erithacus_rubecula"	"Pyrrhula_murina"	"Serinus_serinus"	"Carduelis_carduelis"	"Regulus_regulus"
"Leycesteria_formosa"	1.54519856342031	0.102271645703926	0.223383010470561	0.191912788265202	0.04824380102254	0.102271645703926	0.132012634990677	0.154570257466705	0.102271645703926	0.24695561479729	0.195967599005441	0.102271645703926	0.154570257466705	0.130049425233184	0.102271645703926	0.102271645703926	0.102271645703926	0.19871181377475	0.04824380102254	0.100542412785319	0.0923853573305843	0.102271645703926	0.102271645703926	0.0522986117627789	0.0314702222053586	0.0522986117627789	0.0522986117627789	0.0522986117627789	0.04824380102254	0.0314702222053586	0.04824380102254	0.0522986117627789	0.0522986117627789	0.0295070124478653	0.04824380102254	0.0522986117627789	0.0522986117627789	0.0522986117627789	0.0314702222053586	0.0923853573305843	0.04824380102254	1.28650136060107	1.02052595509286	1.04597223525558	0.398405078050115	0.513251985169913	0.174834567807548	0.065571138773034	0.231779784513046
"Juniperus_brevifolia"	0.306814937111779	1.14668970935002	0.224190707623939	0.192022473817114	0.0699408004789894	0.14668970935002	0.138050898480342	0.182631573544548	0.14668970935002	0.220062156134595	0.158023537532653	0.14668970935002	0.182631573544548	0.136956924958137	0.14668970935002	0.14668970935002	0.14668970935002	0.150121355655606	0.0699408004789894	0.105882664673517	0.0374305825900472	0.14668970935002	0.14668970935002	0.0359418641945281	0.0321682338068249	0.0359418641945281	0.0359418641945281	0.0359418641945281	0.0699408004789894	0.0321682338068249	0.0699408004789894	0.0359418641945281	0.0359418641945281	0.0310742602846193	0.0699408004789894	0.0359418641945281	0.0359418641945281	0.0359418641945281	0.0321682338068249	0.0374305825900472	0.0699408004789894	1.86508801277305	1.44970161200836	0.718837283890561	0.201478953187083	0.207947681055818	0.178712410037916	0.0690539117435983	0.0460222405667669
"Duchesnea_indica"	0.335074515705842	0.112095353811969	1.34943522476174	0.220189499937054	0.0537518003383992	0.112095353811969	0.218151406611807	0.147249235260693	0.112095353811969	0.181745309960469	0.201591581047378	0.112095353811969	0.147249235260693	0.11499756665943	0.112095353811969	0.112095353811969	0.112095353811969	0.127993509622069	0.0537518003383992	0.0889056817871226	0.0344960746997758	0.112095353811969	0.112095353811969	0.0351538814487234	0.129245724824685	0.0351538814487234	0.0351538814487234	0.0351538814487234	0.0537518003383992	0.129245724824685	0.0537518003383992	0.0351538814487234	0.0351538814487234	0.0260918848723077	0.0537518003383992	0.0351538814487234	0.0351538814487234	0.0351538814487234	0.129245724824685	0.0344960746997758	0.0537518003383992	1.43338134235731	1.10204489894521	0.703077628974467	0.480418427222597	0.191644859443199	0.718031804581583	0.057981966382906	0.0502611773558762
"Vaccinium_cylindraceum"	0.383825576530405	0.128014982544743	0.293585999916072	1.25633440483845	0.0604407610148916	0.128014982544743	0.134390497653597	0.164713124105831	0.128014982544743	0.203689701405088	0.232591785384652	0.128014982544743	0.164713124105831	0.125647058766757	0.128014982544743	0.128014982544743	0.128014982544743	0.143248940390197	0.0604407610148916	0.0971389025759804	0.0389765772992568	0.128014982544743	0.128014982544743	0.0366981415610888	0.0372515950776171	0.0366981415610888	0.0366981415610888	0.0366981415610888	0.0604407610148916	0.0372515950776171	0.0604407610148916	0.0366981415610888	0.0366981415610888	0.0285081561907769	0.0604407610148916	0.0366981415610888	0.0366981415610888	0.0366981415610888	0.0372515950776171	0.0389765772992568	0.0604407610148916	1.61175362706378	1.27640196223052	0.733962831221776	0.570308543527609	0.216536540551427	0.206953305986761	0.0633514582017263	0.0575738364795607
"Ilex_perado"	0.28946280613524	0.139881600957979	0.215007201353597	0.181322283044675	1.09019276932615	0.139881600957979	0.15937511770306	0.175379031025972	0.139881600957979	0.208944645220286	0.126626943786522	0.139881600957979	0.175379031025972	0.162577540520679	0.139881600957979	0.139881600957979	0.139881600957979	0.118751875894141	0.0901927693261454	0.125690199394138	0.0335656141943146	0.139881600957979	0.139881600957979	0.035497430067993	0.0336849183089221	0.035497430067993	0.035497430067993	0.035497430067993	0.0901927693261454	0.0336849183089221	0.0901927693261454	0.035497430067993	0.035497430067993	0.0368873411265406	0.0901927693261454	0.035497430067993	0.035497430067993	0.035497430067993	0.0336849183089221	0.0335656141943146	0.0901927693261454	2.40514051536388	0.938566819712408	0.70994860135986	0.184180809274204	0.186475634412859	0.187138435049567	0.0819718691700903	0.043419420920286
"Rubus_ulmifolius"	0.306814937111779	0.14668970935002	0.224190707623939	0.192022473817114	0.0699408004789894	1.14668970935002	0.138050898480342	0.182631573544548	0.14668970935002	0.220062156134595	0.158023537532653	0.14668970935002	0.182631573544548	0.136956924958137	0.14668970935002	0.14668970935002	0.14668970935002	0.150121355655606	0.0699408004789894	0.105882664673517	0.0374305825900472	0.14668970935002	0.14668970935002	0.0359418641945281	0.0321682338068249	0.0359418641945281	0.0359418641945281	0.0359418641945281	0.0699408004789894	0.0321682338068249	0.0699408004789894	0.0359418641945281	0.0359418641945281	0.0310742602846193	0.0699408004789894	0.0359418641945281	0.0359418641945281	0.0359418641945281	0.0321682338068249	0.0374305825900472	0.0699408004789894	1.86508801277305	1.44970161200836	0.718837283890561	0.201478953187083	0.207947681055818	0.178712410037916	0.0690539117435983	0.0460222405667669
"Cerastium_sp1_M_SD_031"	0.264025269981355	0.0920339323202283	0.290868542149077	0.134390497653597	0.0531250392343535	0.0920339323202283	1.27128775765998	0.153718606250371	0.0920339323202283	0.186025293200503	0.142950132349387	0.0920339323202283	0.153718606250371	0.148503868114946	0.0920339323202283	0.0920339323202283	0.0920339323202283	0.132900253966149	0.0531250392343535	0.114809713164496	0.0323066869501317	0.0920339323202283	0.0920339323202283	0.0616846739301429	0.156478044495479	0.0616846739301429	0.0616846739301429	0.0616846739301429	0.0531250392343535	0.156478044495479	0.0531250392343535	0.0616846739301429	0.0616846739301429	0.03369415495045	0.0531250392343535	0.0616846739301429	0.0616846739301429	0.0616846739301429	0.156478044495479	0.0323066869501317	0.0531250392343535	1.41666771291609	0.734945758288746	1.23369347860286	0.188251401481641	0.179481594167398	0.869322469419329	0.0748758998898889	0.0396037904972032
"Pittosporum_undulatum"	0.309140514933411	0.121754382363032	0.196332313680924	0.164713124105831	0.0584596770086573	0.121754382363032	0.153718606250371	1.18539412202965	0.121754382363032	0.224447803674601	0.169893186763796	0.121754382363032	0.185394122029654	0.157932941134328	0.121754382363032	0.121754382363032	0.121754382363032	0.165988126665944	0.0584596770086573	0.122099416675279	0.0390536816449473	0.121754382363032	0.121754382363032	0.0636397396666215	0.0316191895750923	0.0636397396666215	0.0636397396666215	0.0636397396666215	0.0584596770086573	0.0316191895750923	0.0584596770086573	0.0636397396666215	0.0636397396666215	0.0358335244590492	0.0584596770086573	0.0636397396666215	0.0636397396666215	0.0636397396666215	0.0316191895750923	0.0390536816449473	0.0584596770086573	1.55892472023086	1.19556665669375	1.27279479333243	0.190927741079108	0.216964898027485	0.175662164306068	0.0796300543534427	0.0463710772400116
"Morella_faya"	0.306814937111779	0.14668970935002	0.224190707623939	0.192022473817114	0.0699408004789894	0.14668970935002	0.138050898480342	0.182631573544548	1.14668970935002	0.220062156134595	0.158023537532653	0.14668970935002	0.182631573544548	0.136956924958137	0.14668970935002	0.14668970935002	0.14668970935002	0.150121355655606	0.0699408004789894	0.105882664673517	0.0374305825900472	0.14668970935002	0.14668970935002	0.0359418641945281	0.0321682338068249	0.0359418641945281	0.0359418641945281	0.0359418641945281	0.0699408004789894	0.0321682338068249	0.0699408004789894	0.0359418641945281	0.0359418641945281	0.0310742602846193	0.0699408004789894	0.0359418641945281	0.0359418641945281	0.0359418641945281	0.0321682338068249	0.0374305825900472	0.0699408004789894	1.86508801277305	1.44970161200836	0.718837283890561	0.201478953187083	0.207947681055818	0.178712410037916	0.0690539117435983	0.0460222405667669
"Potentilla_erecta"	0.370433422195935	0.110031078067298	0.181745309960469	0.152767276053816	0.0522361613050716	0.110031078067298	0.139518969900377	0.168335852755951	0.110031078067298	1.27768871221296	0.158835889437398	0.110031078067298	0.168335852755951	0.142982297644057	0.110031078067298	0.110031078067298	0.110031078067298	0.225452550907893	0.0522361613050716	0.110540935993725	0.109352859457014	0.110031078067298	0.110031078067298	0.0583047746886531	0.0289780339066524	0.0583047746886531	0.0583047746886531	0.0583047746886531	0.0522361613050716	0.0289780339066524	0.0522361613050716	0.0583047746886531	0.0583047746886531	0.0324413616503322	0.0522361613050716	0.0583047746886531	0.0583047746886531	0.0583047746886531	0.0289780339066524	0.109352859457014	0.0522361613050716	1.39296430146858	1.09168176106427	1.16609549377306	0.18993865771786	0.607515885872301	0.16098907725918	0.0720919147785161	0.0555650133293902
