"Themeda"	"Cynodon"	"Sporobolus"	"Brachiaria"	"Sedges"	"Elyonorus"	"Hyparrhenia"	"Harpachne"	"Aristida"	"Solanum"	"Indigofera"	"Croton"	"Acacia"	"Sida"	"Grewia"	"Olea"	"Hibiscus"	"T._Gazelle"	"G._gazelle"	"Impala"	"Kongoni"	"Topi"	"Wilde-beest"	"Zebra"	"Giraffe"	"Buffalo"	"Elephant"
"Themeda"	1.35191657286581	0.314310026556765	0.351916572865813	0.351916572865813	0.351916572865813	0.199100505970354	0.275363701950432	0.351916572865813	0.351916572865813	0.339391935658051	0.116219958850589	0.103297011673487	0.103297011673487	0.231224293423003	0.180903033942693	0.0280869670472342	0.260464010795866	0.519324967975688	0.551453327547193	0.543205668908473	0.486374654897527	0.45124004727774	0.521240642552703	0.451691010884077	0.187246446981561	0.481903695878566	0.543161642359625
"Cynodon"	0.35359877987636	1.32330145585568	0.35359877987636	0.35359877987636	0.35359877987636	0.205536689112063	0.275306327298718	0.35359877987636	0.35359877987636	0.338616648221872	0.119575407280218	0.095452639729387	0.095452639729387	0.229069767985905	0.175064128806982	0.0270020380426854	0.257187473415779	0.535188998821633	0.565100465762268	0.437628013632071	0.501645943565374	0.466490774413044	0.537518565749439	0.467285478367488	0.180013586951236	0.494867378380317	0.551102899620285
"Sporobolus"	0.351916572865813	0.314310026556765	1.35191657286581	0.351916572865813	0.351916572865813	0.199100505970354	0.275363701950432	0.351916572865813	0.351916572865813	0.339391935658051	0.116219958850589	0.103297011673487	0.103297011673487	0.231224293423003	0.180903033942693	0.0280869670472342	0.260464010795866	0.519324967975688	0.551453327547193	0.543205668908473	0.486374654897527	0.45124004727774	0.521240642552703	0.451691010884077	0.187246446981561	0.481903695878566	0.543161642359625
"Brachiaria"	0.351916572865813	0.314310026556765	0.351916572865813	1.35191657286581	0.351916572865813	0.199100505970354	0.275363701950432	0.351916572865813	0.351916572865813	0.339391935658051	0.116219958850589	0.103297011673487	0.103297011673487	0.231224293423003	0.180903033942693	0.0280869670472342	0.260464010795866	0.519324967975688	0.551453327547193	0.543205668908473	0.486374654897527	0.45124004727774	0.521240642552703	0.451691010884077	0.187246446981561	0.481903695878566	0.543161642359625
"Sedges"	0.351916572865813	0.314310026556765	0.351916572865813	0.351916572865813	1.35191657286581	0.199100505970354	0.275363701950432	0.351916572865813	0.351916572865813	0.339391935658051	0.116219958850589	0.103297011673487	0.103297011673487	0.231224293423003	0.180903033942693	0.0280869670472342	0.260464010795866	0.519324967975688	0.551453327547193	0.543205668908473	0.486374654897527	0.45124004727774	0.521240642552703	0.451691010884077	0.187246446981561	0.481903695878566	0.543161642359625
"Elyonorus"	0.358380910746638	0.328858702579302	0.358380910746638	0.358380910746638	0.358380910746638	1.237118575152	0.283039089507637	0.358380910746638	0.358380910746638	0.333979607731332	0.123142632722667	0.083463208124559	0.083463208124559	0.229596374019382	0.145639182956479	0.024376847361844	0.240195001977251	0.610368915248287	0.450293364732646	0.42643189575041	0.578934650971108	0.541979448635	0.615877440787908	0.544495194868201	0.162512315745627	0.378911118812939	0.427037759711028
"Hyparrhenia"	0.354039045364841	0.314635802627107	0.354039045364841	0.354039045364841	0.354039045364841	0.202170778219741	1.29231827894769	0.354039045364841	0.354039045364841	0.337762540695958	0.112925436381829	0.0969484169355058	0.0969484169355058	0.225053043499674	0.179062722570365	0.0271944554252649	0.253903730309154	0.418267301928565	0.580263059204952	0.569157950656158	0.517900112981829	0.483010667712744	0.551777743896377	0.484142156456878	0.181296369501766	0.512627471765452	0.438399271158433
"Harpachne"	0.351916572865813	0.314310026556765	0.351916572865813	0.351916572865813	0.351916572865813	0.199100505970354	0.275363701950432	1.35191657286581	0.351916572865813	0.339391935658051	0.116219958850589	0.103297011673487	0.103297011673487	0.231224293423003	0.180903033942693	0.0280869670472342	0.260464010795866	0.519324967975688	0.551453327547193	0.543205668908473	0.486374654897527	0.45124004727774	0.521240642552703	0.451691010884077	0.187246446981561	0.481903695878566	0.543161642359625
"Aristida"	0.351916572865813	0.314310026556765	0.351916572865813	0.351916572865813	0.351916572865813	0.199100505970354	0.275363701950432	0.351916572865813	1.35191657286581	0.339391935658051	0.116219958850589	0.103297011673487	0.103297011673487	0.231224293423003	0.180903033942693	0.0280869670472342	0.260464010795866	0.519324967975688	0.551453327547193	0.543205668908473	0.486374654897527	0.45124004727774	0.521240642552703	0.451691010884077	0.187246446981561	0.481903695878566	0.543161642359625
"Solanum"	0.339391935658051	0.300992576197219	0.339391935658051	0.339391935658051	0.339391935658051	0.185544226517406	0.262704198319079	0.339391935658051	0.339391935658051	1.3578574799204	0.114369963413474	0.125834816342025	0.125834816342025	0.230035127418889	0.202877893508904	0.0490301843682602	0.27172499844085	0.510432864347176	0.547329178475241	0.554657414434227	0.47496205816462	0.339607112287856	0.509273047188662	0.440456789051787	0.326867895788402	0.478512920338366	0.554742825186818
"Indigofera"	0.348659876551767	0.318867752747248	0.348659876551767	0.348659876551767	0.348659876551767	0.205237721204445	0.263492684890934	0.348659876551767	0.348659876551767	0.343109890240421	1.16343223957347	0.0855634098983563	0.0855634098983563	0.254936086854413	0.169263202856444	0.0258410475091223	0.255891189753029	0.736492707681559	0.763894925293468	0.430330677176376	0.388440370898678	0.348789264671864	0.737470042770718	0.350199957870516	0.172273650060815	0.376624840393265	0.432325668445892
"Croton"	0.309891035020461	0.254540372611699	0.309891035020461	0.309891035020461	0.309891035020461	0.139105346874265	0.226212972849513	0.309891035020461	0.309891035020461	0.377504449026075	0.0855634098983562	1.20619892864716	0.206198928647161	0.224056167982471	0.266314358117805	0.0955286699716084	0.322588079987958	0.378112878722111	0.4300950258266	0.799509568126574	0.34005277054909	0.310169510733278	0.365721793518597	0.30644434535172	0.636857799810722	0.370817577659723	0.799060834964738
"Acacia"	0.309891035020461	0.254540372611699	0.309891035020461	0.309891035020461	0.309891035020461	0.139105346874265	0.226212972849513	0.309891035020461	0.309891035020461	0.377504449026075	0.0855634098983562	0.206198928647161	1.20619892864716	0.224056167982471	0.266314358117805	0.0955286699716084	0.322588079987958	0.378112878722111	0.4300950258266	0.799509568126574	0.34005277054909	0.310169510733278	0.365721793518597	0.30644434535172	0.636857799810722	0.370817577659723	0.799060834964738
"Sida"	0.346836440134505	0.30542635731454	0.346836440134505	0.346836440134505	0.346836440134505	0.191330311682818	0.262561884082953	0.346836440134505	0.346836440134505	0.345052691128334	0.127468043427206	0.112028083991235	0.112028083991235	1.25396020645961	0.184672334664097	0.02916620621241	0.258445050975369	0.570970147902552	0.603529668564133	0.598145640732827	0.533259041988222	0.343888391317566	0.571499455016384	0.34516501101928	0.1944413747494	0.377195224567029	0.598748149405761
"Grewia"	0.325625461096847	0.280102606091172	0.325625461096847	0.325625461096847	0.325625461096847	0.145639182956479	0.250687811598511	0.325625461096847	0.325625461096847	0.365180208316028	0.101557921713866	0.159788614870683	0.159788614870683	0.221606801596916	1.24877901162967	0.0687927334893065	0.307481621022437	0.392861641635145	0.623658100858986	0.657552350081979	0.355092203909337	0.32486651411251	0.385559580423497	0.3218511836698	0.458618223262043	0.559949704105288	0.65683260320457
"Olea"	0.252782703425108	0.216016304341483	0.252782703425108	0.252782703425108	0.252782703425108	0.12188423680922	0.190361187976854	0.252782703425108	0.252782703425108	0.441271659314342	0.0775231425273669	0.286586009914825	0.286586009914825	0.17499723727446	0.343963667446532	1.21306520083064	0.39420701783564	0.342228072635965	0.40667738003342	0.531070208985688	0.292762380324483	0.27306938823789	0.316019323082693	0.266512794733314	1.4204346722043	0.357170851684041	0.530897033341367
"Hibiscus"	0.334882299594685	0.293928541046604	0.334882299594685	0.334882299594685	0.334882299594685	0.171567858555179	0.253903730309154	0.334882299594685	0.334882299594685	0.349360712281092	0.109667652751298	0.138252034280554	0.138252034280554	0.221524329407459	0.21962972930174	0.0563152882622343	1.30146218669286	0.5332744242039	0.574570326263744	0.591554290138943	0.365688041129177	0.464854173064745	0.398588336954566	0.332459391718058	0.375435255081562	0.508441381027235	0.591976485681224
"T._Gazelle"	0.389493725981766	0.356792665881089	0.389493725981766	0.389493725981766	0.389493725981766	0.254320381353453	0.24398925945833	0.389493725981766	0.389493725981766	0.382824648260382	0.18412317692039	0.0945282196805279	0.0945282196805279	0.285485073951276	0.16369235068131	0.0285190060529971	0.311076747452275	1.49595083995444	0.511007842078099	0.472348645898677	0.432088352707675	0.390978708604239	0.487325305783792	0.389265591614984	0.190126707019981	0.412948127909291	0.481117773165657
"G._gazelle"	0.381775380609595	0.34775413277678	0.381775380609595	0.381775380609595	0.381775380609595	0.173189755666402	0.312449339571897	0.381775380609595	0.381775380609595	0.378920200482859	0.176283444298493	0.0992526982676771	0.0992526982676771	0.278552154721908	0.239868500330379	0.0312828753871861	0.309384021834324	0.47169954653363	1.5238737785181	0.491418024251775	0.419208625524628	0.379311727932469	0.472093658814175	0.377425802316342	0.208552502581241	0.42920592202027	0.490368306244205
"Impala"	0.376065463090481	0.269309546850505	0.376065463090481	0.376065463090481	0.376065463090481	0.164012267596312	0.306469665737931	0.376065463090481	0.376065463090481	0.383993594608311	0.0993070793483944	0.184502208029209	0.184502208029209	0.276067218799766	0.25290475003153	0.0408515545373606	0.318529233151739	0.436014134675701	0.491418024251775	1.5420299012441	0.404671495060837	0.365815811328121	0.434463618865355	0.363261412240872	0.272343696915737	0.420215817627292	0.532923982527048
