"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"
"R1"	1.10823243555118	0.250956671535698	0.147686972341135	0.0641128715904869	0.24143079158271	0.24143079158271	0.24143079158271	0.0927242576351853	0.147418728846661	0.147686972341135	0.0927242576351853	0.0927242576351853	0.250956671535698	0.24143079158271	0.250956671535698	0.24143079158271	0.24143079158271	0.222961984872662	0.147686972341135	0.147686972341135	0.141300747450005	0.175373450831574	0.16669112461041	0.16669112461041	0.114716796151767	0.114716796151767	0.219370457278607	0.361857484706617	0.393966469903877	0.393966469903877	0.0928814314201301	0.393966469903877	0.393966469903877	0.382405499657968	0.393966469903877	0.0928814314201301	0.103442788598309	0.0529215552943785	0.125578671720144	0.103442788598309	0.186131023933944	0.114716796151767	0.159762531504414	0.219370457278607	0.208096449725149	0.114716796151767
"R2"	0.0798498500340859	1.28084133767968	0.127165012153818	0.0724364265306938	0.26326601341378	0.26326601341378	0.26326601341378	0.0682540463053958	0.127558692787562	0.127165012153818	0.0682540463053958	0.0682540463053958	0.280841337679676	0.26326601341378	0.280841337679676	0.26326601341378	0.26326601341378	0.239094966185263	0.127165012153818	0.127165012153818	0.133700807590352	0.169446278673366	0.152764295941177	0.152764295941177	0.165291483316828	0.165291483316828	0.260302344379338	0.270568753669434	0.290417610527259	0.290417610527259	0.143072957229426	0.290417610527259	0.290417610527259	0.279478453542593	0.290417610527259	0.143072957229426	0.154398508259254	0.09764069036609	0.175090400647039	0.154398508259254	0.228061103096086	0.165291483316828	0.207791728980515	0.260302344379338	0.249409369321764	0.165291483316828
"R3"	0.0939826187625403	0.254330024307636	1.14962345121703	0.0743368462524948	0.244706507691369	0.244706507691369	0.244706507691369	0.0804033107510387	0.145088073334211	0.149623451217028	0.0804033107510387	0.0804033107510387	0.254330024307636	0.244706507691369	0.254330024307636	0.244706507691369	0.244706507691369	0.225850388477284	0.149623451217028	0.149623451217028	0.141198134601964	0.173679982275274	0.169044497420364	0.169044497420364	0.116001078819135	0.116001078819135	0.304767040713186	0.31685052026837	0.341881483168464	0.341881483168464	0.0941377608051463	0.341881483168463	0.341881483168463	0.330328908519212	0.341881483168463	0.0941377608051463	0.104835937101439	0.0534639812014811	0.128694448924302	0.104835937101439	0.270193096762352	0.116001078819135	0.162816042233554	0.304767040713186	0.29360189899549	0.116001078819135
"R4"	0.0747983501889013	0.265600230612544	0.136284218129574	1.10927819911587	0.255670508262844	0.255670508262844	0.255670508262844	0.0581631881379352	0.145744167497476	0.136284218129574	0.0581631881379352	0.0581631881379352	0.265600230612544	0.255670508262844	0.265600230612544	0.255670508262844	0.255670508262844	0.224234963472074	0.136284218129574	0.136284218129574	0.146019818532178	0.15781459959903	0.177408808992258	0.177408808992258	0.119107117345091	0.119107117345091	0.378536850450637	0.38815378118921	0.2479354859839	0.2479354859839	0.0983402369206864	0.2479354859839	0.2479354859839	0.235988409922177	0.2479354859839	0.0983402369206864	0.108961893085153	0.0551651241650026	0.289296263417764	0.108961893085153	0.188273521726285	0.119107117345091	0.323789518439203	0.378536850450637	0.3683916261907	0.119107117345091
"R5"	0.0804769305275701	0.275802490243008	0.128179599266908	0.0730487166465267	1.26584936021581	0.265849360215806	0.265849360215806	0.0687938935599793	0.128541148379194	0.128179599266908	0.0687938935599793	0.0687938935599793	0.275802490243008	0.265849360215806	0.275802490243008	0.265849360215806	0.265849360215806	0.233487649545386	0.128179599266908	0.128179599266908	0.126949021034225	0.170970615829008	0.154040051501754	0.154040051501754	0.167117803806242	0.167117803806242	0.26225716198548	0.272604195910453	0.292604140515465	0.292604140515465	0.145066894351551	0.292604140515465	0.292604140515465	0.282217402430846	0.292604140515465	0.14506689435155	0.156126835645806	0.0552951668177881	0.177352824364157	0.156126835645806	0.230396113354675	0.167117803806242	0.209316506792237	0.262257161985479	0.251266193825043	0.167117803806242
"R6"	0.0804769305275701	0.275802490243008	0.128179599266908	0.0730487166465267	0.265849360215806	1.26584936021581	0.265849360215806	0.0687938935599793	0.128541148379194	0.128179599266908	0.0687938935599793	0.0687938935599793	0.275802490243008	0.265849360215806	0.275802490243008	0.265849360215806	0.265849360215806	0.233487649545386	0.128179599266908	0.128179599266908	0.126949021034225	0.170970615829008	0.154040051501754	0.154040051501754	0.167117803806242	0.167117803806242	0.26225716198548	0.272604195910453	0.292604140515465	0.292604140515465	0.145066894351551	0.292604140515465	0.292604140515465	0.282217402430846	0.292604140515465	0.14506689435155	0.156126835645806	0.0552951668177881	0.177352824364157	0.156126835645806	0.230396113354675	0.167117803806242	0.209316506792237	0.262257161985479	0.251266193825043	0.167117803806242
"R7"	0.0804769305275701	0.275802490243008	0.128179599266908	0.0730487166465267	0.265849360215806	0.265849360215806	1.26584936021581	0.0687938935599793	0.128541148379194	0.128179599266908	0.0687938935599793	0.0687938935599793	0.275802490243008	0.265849360215806	0.275802490243008	0.265849360215806	0.265849360215806	0.233487649545386	0.128179599266908	0.128179599266908	0.126949021034225	0.170970615829008	0.154040051501754	0.154040051501754	0.167117803806242	0.167117803806242	0.26225716198548	0.272604195910453	0.292604140515465	0.292604140515465	0.145066894351551	0.292604140515465	0.292604140515465	0.282217402430846	0.292604140515465	0.14506689435155	0.156126835645806	0.0552951668177881	0.177352824364157	0.156126835645806	0.230396113354675	0.167117803806242	0.209316506792237	0.262257161985479	0.251266193825043	0.167117803806242
"R8"	0.108178300574383	0.250264836453118	0.147406069710238	0.0581631881379352	0.240778627459927	0.240778627459927	0.240778627459927	1.09824417966103	0.147079558977739	0.147406069710238	0.0982441796610258	0.0982441796610258	0.250264836453118	0.240778627459927	0.250264836453118	0.240778627459927	0.240778627459927	0.222411262623614	0.147406069710238	0.147406069710238	0.139963632123945	0.175064134499324	0.16623736292848	0.16623736292848	0.114418218308312	0.114418218308312	0.21788751599972	0.231796154644998	0.41728155727177	0.41728155727177	0.0926288250414095	0.417281557271769	0.417281557271769	0.405829987370719	0.41728155727177	0.0926288250414095	0.103164095376212	0.0527011610732809	0.124370784282966	0.103164095376212	0.185677685779801	0.114418218308312	0.158391406616998	0.21788751599972	0.206633393067621	0.114418218308312
"R9"	0.0938119183569663	0.255117385575123	0.145088073334211	0.0794968186349867	0.245396737814825	0.245396737814825	0.245396737814825	0.0802252139878574	1.14998535253911	0.145088073334211	0.0802252139878574	0.0802252139878574	0.255117385575123	0.245396737814825	0.255117385575123	0.245396737814825	0.245396737814825	0.226498329640952	0.145088073334211	0.145088073334211	0.146237293463865	0.169125454411522	0.169621104387352	0.169621104387352	0.116013098139079	0.116013098139079	0.304961569585694	0.317023101945875	0.341199925445163	0.341199925445163	0.0944118792521879	0.341199925445163	0.341199925445163	0.329235055979938	0.341199925445163	0.0944118792521878	0.105140747498338	0.0540035986683227	0.129822401116454	0.105140747498338	0.18698246666293	0.116013098139079	0.24660584949012	0.304961569585694	0.294089218944953	0.116013098139079
"R10"	0.0939826187625403	0.254330024307636	0.149623451217028	0.0743368462524948	0.244706507691369	0.244706507691369	0.244706507691369	0.0804033107510387	0.145088073334211	1.14962345121703	0.0804033107510387	0.0804033107510387	0.254330024307636	0.244706507691369	0.254330024307636	0.244706507691369	0.244706507691369	0.225850388477284	0.149623451217028	0.149623451217028	0.141198134601964	0.173679982275274	0.169044497420364	0.169044497420364	0.116001078819135	0.116001078819135	0.304767040713186	0.31685052026837	0.341881483168464	0.341881483168464	0.0941377608051463	0.341881483168463	0.341881483168463	0.330328908519212	0.341881483168463	0.0941377608051463	0.104835937101439	0.0534639812014811	0.128694448924302	0.104835937101439	0.270193096762352	0.116001078819135	0.162816042233554	0.304767040713186	0.29360189899549	0.116001078819135
