"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"	"C28"	"C29"	"C30"	"C31"	"C32"	"C33"	"C34"	"C35"	"C36"	"C37"	"C38"	"C39"	"C40"	"C41"	"C42"	"C43"	"C44"
"R1"	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316
"R2"	0	2.6955943687897	0.0840319262567862	0.110665992632892	0.518382904652118	0.0893921456657363	0.51460016827353	0.0572348336180663	0	0.108089162939556	0.0640703539046518	0.11231611640739	0.0409771735443542	0.115315210055098	0.176904638173807	0.120657283242303	0.129751169995135	0.139353600600995	0.176882776299226	0.00893806968549553	0.0397247541577579	0.0533485632265748	0.0214721220697608	0.0855728220627011	0.0773135721267987	0.123798893114466	0.0881727276186059	0.0210675248628584	0.251755770098586	0.0533468366992194	0.1204311717393	0.0106142782904284	0.0209926471953873	0.0209926471953873	0.0209926471953873	0.0235247637040453	0.18079652805843	0.123113770716908	0.00961055308569777	0.00961055308569777	0.00961055308569777	0.00961055308569777	0.0322259876763531	0.0216130210983996	0	0.0662054374311402	0.0922643688407306	0.0922643688407306	0.0498546502629459	0.642134898473543	0.0778292051528097	0.0662054374311401	0.0356261654958598	0.0356261654958598	0.0933089228373813	0.0933089228373813	0.0142284847670861	0.0142284847670861	0.0108041048044439	0.0108041048044439	0.606508732977683	0.699817655815065	0.606508732977683	0
"R3"	0	0.0480182435753064	1.81948970954056	0.312785886159577	0.0712797609488928	0.12619733516883	0.419643208799547	0.128916319352327	0	0.345172891355364	0.0845651284199893	0.164058091722356	0.0513438324460752	0.268275136431915	0.364935776179039	0.191789658077449	0.201097987484504	0.221968138698676	0.427052819792147	0.0165679705842904	0.0736354248190685	0.110502609655714	0.0428842384144992	0.172949327677564	0.140100569590382	0.186413860965013	0.157361638817352	0.0331010821056783	0.286661604554866	0.115945284523179	0.190541556809351	0.0218961465707424	0.0460409088496147	0.0460409088496147	0.0460409088496147	0.0318089589060582	0.177038072103315	0.193259937280175	0.0126847692629984	0.0126847692629984	0.0126847692629984	0.0126847692629984	0.294074849549708	0.268451680362179	0	0.0866567182286835	0.374866019631964	0.374866019631964	0.069267550368178	0.0398563269521049	0.341876837400519	0.0866567182286834	0.0290522221476609	0.0290522221476609	0.0128303569708007	0.0128303569708007	0.040215328220517	0.040215328220517	0.233934391226643	0.233934391226643	0.0108041048044439	0.0236344617752446	0.0108041048044439	0
"R4"	0	0.0632377100759382	0.312785886159577	1.7442372556022	0.0940777577464937	0.151670675050342	0.55211490556893	0.139124726677298	0	0.19029093214537	0.112829134785018	0.17650250298162	0.0497805685612076	0.284923855835064	0.376903134304217	0.195407529954189	0.209802044183367	0.227488697517148	0.366126231753673	0.0158543458351864	0.0704637592674952	0.0928106189262414	0.0395542516010974	0.158718204307812	0.14485303465495	0.200663051967137	0.162439712350826	0.0342272741106071	0.477809587514079	0.0982591851876735	0.18822276711672	0.022614188058253	0.0482573350834088	0.0482573350834088	0.0482573350834088	0.0325844208665243	0.164943224245388	0.186232567467329	0.0169243702177527	0.0169243702177527	0.0169243702177527	0.0169243702177527	0.0812119953402744	0.059244421435054	0	0.102711358877051	0.37292265254574	0.37292265254574	0.262482415336594	0.0524518243833966	0.3444351615603	0.102711358877051	0.0382233396163105	0.0382233396163105	0.0169339963943689	0.0169339963943689	0.224259075720283	0.224259075720283	0.040215328220517	0.040215328220517	0.0142284847670861	0.0311624811614549	0.0142284847670861	0
"R5"	0	0.414706323721695	0.09979166532845	0.131708860845091	1.90527192845393	0.123863164042137	0.271080681797427	0.0442890919250715	0	0.215920988116615	0.126800389771476	0.2234623961302	0.0934475468410878	0.191875185213549	0.316328558693939	0.238358301056181	0.255178839848685	0.273496502580603	0.320474930553317	0.0171025398173897	0.0760112880772873	0.103663348148354	0.0406807429282553	0.16225806795223	0.137793196651833	0.178012567871327	0.159245443746889	0.0413905064084376	0.578507668664786	0.101764792955098	0.182776483873169	0.0189797135216363	0.0362484801908558	0.0362484801908558	0.0362484801908558	0.0503805036653464	0.515972512457045	0.191790689459774	0.0190200584657214	0.0190200584657214	0.0190200584657214	0.0190200584657214	0.0536509516156612	0.0344224557824622	0	0.0506333263082793	0.104008453513662	0.104008453513662	0.0357011205188061	0.112076046961819	0.0618182050671283	0.0506333263082793	0.0187671241244373	0.0187671241244373	0.342948947121707	0.342948947121707	0.0169339963943689	0.0169339963943689	0.0128303569708007	0.0128303569708007	0.0933089228373813	0.436257869959089	0.0933089228373813	0
"R6"	0	0.0595947637771576	0.147230224363635	0.176949120892066	0.103219303368448	1.34326713703763	0.48245026105178	0.209737435077806	0	0.202965087577386	0.123415142796761	0.274409712483772	0.0647956645139553	0.30273583385751	0.412724366976842	0.272638282138961	0.319815305455527	0.341318600033281	0.40444060804724	0.0214510452870832	0.095337979053703	0.120865992445573	0.0488038818753409	0.200316650759737	0.356972767165136	0.414910615245843	0.381510212557643	0.0517656018124937	0.495049471286968	0.119462747654186	0.224983099820275	0.0247634620186105	0.0520096870657865	0.0520096870657865	0.0520096870657865	0.0468796706025638	0.211088599673068	0.225909527754948	0.0185122714195141	0.0185122714195141	0.0185122714195141	0.0185122714195141	0.0634925455158975	0.0392261090330631	0	0.297811703767187	0.151356727769697	0.151356727769697	0.0561510039457515	0.0468092245380606	0.138001834744418	0.297811703767186	0.0334004026882001	0.0334004026882001	0.0185794746063206	0.0185794746063206	0.0227506012575513	0.0227506012575513	0.0189296002753245	0.0189296002753245	0.0134088218498604	0.0319882964561811	0.0134088218498604	0
"R7"	0	0.158338513314932	0.225961727815141	0.297292641460193	0.104261800691318	0.222669351254668	1.72378910632465	0.177584213705457	0	0.203091322537961	0.121571105611989	0.211935882288572	0.0654022370222112	0.255149209321028	0.369449915214399	0.229374871018918	0.247807177169493	0.266713751601031	0.365218794853558	0.0175462735313214	0.0779834379169841	0.103144662384293	0.0425568660829161	0.169468674364907	0.161916206407609	0.301899190621787	0.182559944799311	0.0402786640475813	0.397434452458129	0.105036524619653	0.284080157190289	0.0221669949128639	0.0451304237517565	0.0451304237517565	0.0451304237517565	0.0408142593355205	0.184893040757115	0.285465162455154	0.0182356658417983	0.0182356658417983	0.0182356658417983	0.0182356658417983	0.0712744820926705	0.0493613544014571	0	0.206014912622313	0.253658359029417	0.253658359029417	0.157562585438786	0.154965411318336	0.239890071698084	0.206014912622313	0.119339245822476	0.119339245822476	0.0187671241244373	0.0187671241244373	0.0382233396163105	0.0382233396163105	0.029052222147661	0.029052222147661	0.0356261654958598	0.0543932896202971	0.0356261654958598	0
"R8"	0	0.076313111490755	0.300804745155429	0.32462436224703	0.0738151532084524	0.419474870155612	0.769531592723646	1.46152505224333	0	0.163378905220431	0.0872128732341822	0.165894643529593	0.0460812894930243	0.205957224424355	0.286781882430585	0.175390008710074	0.194863499626612	0.209684170062211	0.28801401615163	0.0138104946298893	0.0613799761328414	0.0810735222718908	0.0330659417530045	0.133406049768877	0.164204288986269	0.233264653881813	0.179989389770176	0.0316696899968432	0.317708620969694	0.0823370579755485	0.18122709466745	0.0172069129458351	0.0357430631440271	0.0357430631440271	0.0357430631440271	0.0304138512008666	0.141981013996114	0.18196955053023	0.0130819309851273	0.0130819309851273	0.0130819309851273	0.0130819309851273	0.072293627296839	0.0550127863277412	0	0.554654010307978	0.186711482033649	0.18671148203365	0.0950126821148266	0.070445714197057	0.572145093593524	0.554654010307977	0.0532752641116371	0.053275264111637	0.0132867275775214	0.0132867275775214	0.0417374180031895	0.0417374180031895	0.0386748958056981	0.0386748958056981	0.0171704500854199	0.0304571776629413	0.0171704500854199	0
"R9"	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R10"	0	0.0480396279731361	0.268467804387505	0.148004058335288	0.11995610450923	0.135310058384924	0.293354132554833	0.054459635073477	0	1.40890219570976	0.142574580735517	0.271946384364104	0.0978628255873416	0.249010535161774	0.425932476125342	0.34314507479349	0.34353111864264	0.389693485024922	0.498355912765014	0.0246118846085483	0.10938615381577	0.259008733970467	0.0607844114973149	0.334170269138957	0.182693501594306	0.233885690579516	0.21357655832572	0.057334102902176	0.436783289287018	0.25645759101268	0.353454640338521	0.0255559485675205	0.0479668967320802	0.0479668967320802	0.0479668967320802	0.0565534861126128	0.362710267462262	0.361427300904396	0.0213861871103276	0.0213861871103276	0.0213861871103276	0.0213861871103276	0.205308863472413	0.175407508706512	0	0.0569435315335779	0.151723766101851	0.15172376610185	0.0393382254683331	0.0311180485477517	0.0901934051259126	0.0569435315335778	0.0203091322537961	0.0203091322537961	0.0215920988116615	0.0215920988116615	0.019029093214537	0.019029093214537	0.0345172891355364	0.0345172891355364	0.0108089162939556	0.0324010151056171	0.0108089162939556	0
