"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"
"R1"	1.6510853983207	0.651085398320705	0.651085398320705	1.65881630145403	0.651085398320705	0	0	0	3.61714110178169	0.373233667827156	0	0.373233667827156	0	0	0.373233667827156
"R2"	0.651085398320705	1.6510853983207	0.651085398320705	1.65881630145403	0.651085398320705	0	0	0	3.61714110178169	0.373233667827156	0	0.373233667827156	0	0	0.373233667827156
"R3"	0.651085398320705	0.651085398320705	1.6510853983207	1.65881630145403	0.651085398320705	0	0	0	3.61714110178169	0.373233667827156	0	0.373233667827156	0	0	0.373233667827156
"R4"	0.414704075363506	0.414704075363506	0.414704075363506	3.60434159328282	0.414704075363506	0	0	0	2.30391152979726	0.810976858488634	0	0.810976858488634	0	0	0.810976858488634
"R5"	0.651085398320705	0.651085398320705	0.651085398320705	1.65881630145403	1.6510853983207	0	0	0	3.61714110178169	0.373233667827156	0	0.373233667827156	0	0	0.373233667827156
"R6"	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	4.73684210526316	0	0
"R7"	0	0	0	0	0	0	5.26315789473684	0	0	0	4.73684210526316	0	0	0	0
"R8"	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	4.73684210526316	0
"C1"	0.723428220356339	0.723428220356339	0.723428220356339	1.84312922383781	0.723428220356339	0	0	0	4.01904566864633	0.414704075363506	0	0.414704075363506	0	0	0.414704075363506
"C2"	0.373233667827156	0.373233667827156	0.373233667827156	3.24390743395454	0.373233667827156	0	0	0	2.07352037681753	1.72987917263977	0	0.729879172639771	0	0	0.729879172639771
"C3"	0	0	0	0	0	0	4.73684210526316	0	0	0	5.26315789473684	0	0	0	0
"C4"	0.373233667827156	0.373233667827156	0.373233667827156	3.24390743395454	0.373233667827156	0	0	0	2.07352037681753	0.729879172639771	0	1.72987917263977	0	0	0.729879172639771
"C5"	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	5.26315789473684	0	0
"C6"	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	5.26315789473684	0
"C7"	0.373233667827156	0.373233667827156	0.373233667827156	3.24390743395454	0.373233667827156	0	0	0	2.07352037681753	0.729879172639771	0	0.729879172639771	0	0	1.72987917263977
