"Apodemus_agrarius"	"Microtus_fortis"	"Apodemus_peninsulae"	"Crocidura_suaveolens"	"Tamias_sibiricus"	"Megabothris_calcarifer"	"Ctenophthalmus_congeneroides"	"Neopsylla_bidentatiformis"	"Stenoponia_sidimi"	"Nosopsyllus_fasciatus"	"Ceratophyllus_anisus"	"Rhadinopsylla_insolita"	"Peromyscopsylla_ostsibirica"	"Hystrichopsylla_microti"
"Apodemus_agrarius"	1.00791539512223	0.00206318258215958	8.79068302712537e-05	1.72627831750333e-05	1.72627831750333e-05	0.0508388964504731	0.0250407983654485	0.0182247664135851	0.00249896378955925	0.00214392244759649	0.00142797930831957	0.000239782856652534	0.000356994827079892	0.000237996551386595
"Microtus_fortis"	0.00756500280125178	1.00243030439458	5.9171838586774e-05	2.32655332957093e-05	2.32655332957093e-05	0.068516995555864	0.0236229701346892	0.00794911251163939	1.87562052923598e-05	1.7391677139824e-05	1.07178315956342e-05	0.000869691330715792	2.67945789890854e-06	1.78630526593903e-06
"Apodemus_peninsulae"	0.00827300947108355	0.00151874385706053	1.00029380712224	7.72482531391739e-06	7.72482531391739e-06	0.0227496105494867	0.0335837459445263	0.0223900272485616	2.05115937299592e-05	0.0222463326354373	1.17209107028338e-05	3.26841486351173e-06	2.93022767570846e-06	1.95348511713897e-06
"Crocidura_suaveolens"	0.0073107886746266	0.00268716909565443	3.47617139126283e-05	1.00003414530841	3.41453084082216e-05	0.100557933262213	0.000245234887033353	0.000153771753786535	1.8125922333785e-05	1.63089873889217e-05	1.035766990502e-05	4.05283164707427e-06	2.589417476255e-06	1.72627831750333e-06
"Tamias_sibiricus"	0.0073107886746266	0.00268716909565443	3.47617139126283e-05	3.41453084082216e-05	1.00003414530841	0.100557933262213	0.000245234887033353	0.000153771753786535	1.8125922333785e-05	1.63089873889217e-05	1.035766990502e-05	4.05283164707427e-06	2.589417476255e-06	1.72627831750333e-06
"Megabothris_calcarifer"	0.073107886746266	0.0268716909565443	0.000347617139126283	0.000341453084082216	0.000341453084082216	1.00557933262213	0.00245234887033352	0.00153771753786535	0.00018125922333785	0.000163089873889217	0.0001035766990502	4.05283164707427e-05	2.589417476255e-05	1.72627831750333e-05
"Ctenophthalmus_congeneroides"	0.0794365401330895	0.0204378505659671	0.00113203638015257	1.83696544594272e-06	1.83696544594272e-06	0.0054098632383013	1.00248500347635	0.0016193344959652	0.000196950099503528	0.000193970735006414	0.000112542914002016	3.64522610487923e-05	2.8135728500504e-05	1.87571523336693e-05
"Neopsylla_bidentatiformis"	0.0892276135971479	0.0106141328912642	0.0011647991054165	1.77770813626052e-06	1.77770813626052e-06	0.00523535046128723	0.00249920410648964	1.00172037765375	0.000221225488257391	0.000215506271642575	0.000126414564718509	3.02588195667335e-05	3.16036411796273e-05	2.10690941197516e-05
"Stenoponia_sidimi"	0.100791539512223	0.000206318258215958	8.79068302712538e-06	1.72627831750333e-06	1.72627831750333e-06	0.00508388964504731	0.00250407983654485	0.00182247664135851	1.00024989637896	0.000214392244759649	0.000142797930831957	2.39782856652534e-05	3.56994827079892e-05	2.37996551386595e-05
"Nosopsyllus_fasciatus"	0.0907951156557115	0.000200873870964967	0.0100108496859468	1.63089873889217e-06	1.63089873889217e-06	0.00480299678603744	0.00258950931233563	0.00186412924970828	0.000225111856997632	1.00041541634664	0.00012863534685579	2.16131412473632e-05	3.21588367139474e-05	2.14392244759649e-05
"Ceratophyllus_anisus"	0.100791539512223	0.000206318258215958	8.79068302712537e-06	1.72627831750333e-06	1.72627831750333e-06	0.00508388964504731	0.00250407983654485	0.00182247664135851	0.000249896378955925	0.000214392244759649	1.00014279793083	2.39782856652534e-05	3.56994827079892e-05	2.37996551386595e-05
"Rhadinopsylla_insolita"	0.0507740198961741	0.050224674348837	7.35393344290139e-06	2.02641582353713e-06	2.02641582353713e-06	0.00596779460031685	0.00243318842500689	0.00130869394626122	0.00012588599974258	0.000108065706236816	7.19348569957602e-05	1.00005547370937	1.798371424894e-05	1.19891428326267e-05
"Peromyscopsylla_ostsibirica"	0.100791539512223	0.000206318258215958	8.79068302712538e-06	1.72627831750333e-06	1.72627831750333e-06	0.00508388964504731	0.00250407983654485	0.00182247664135851	0.000249896378955925	0.000214392244759649	0.000142797930831957	2.39782856652534e-05	1.00003569948271	2.37996551386595e-05
"Hystrichopsylla_microti"	0.100791539512223	0.000206318258215958	8.79068302712538e-06	1.72627831750333e-06	1.72627831750333e-06	0.00508388964504731	0.00250407983654485	0.00182247664135851	0.000249896378955925	0.000214392244759649	0.000142797930831957	2.39782856652534e-05	3.56994827079892e-05	1.00002379965514
