"Arvicola_terrestris"	"Sorex_araneus"	"Clethrionomys_rutilus"	"Microtus_gregalis"	"Lagurus_lagurus"	"Apodemus_agrarius"	"Neomys_fodiens"	"Sicista_betulina"	"Microtus_agrestis"	"Talpa_europaea"	"Myospalax_aspalax"	"Spermophilus_erythrogenys"	"Microtus_oeconomus"	"Phodopus_campbelli"	"Tamias_sibiricus"	"Clethrionomys_glareolus"	"Cricetus_cricetus"	"Microtus_arvalis"	"Myopus_schisticolor"	"Cricetulus_barabensis"	"Clethrionomys_rufocanus"	"Micromys_minutus"	"Sicista_subtilis"	"Pteromys_volans"	"Sciurus_vulgaris"	"Ctenophthalmus_assimilis"	"Megabothris_walkeri"	"Palaeopsylla_soricis"	"Amalaraeus_penicilliger"	"Corrodopsylla_birulai"	"Megabothris_rectangulatus"	"Megabothris_turbidus"	"Hystrichopsylla_talpae"	"Ctenophthalmus_arvalis"	"Amphipsylla_sibirica"	"Ctenophthalmus_dilatatus"	"Ceratophyllus_indages"	"Pectinoctenus_pavlovskii"	"Frontopsylla_elata"	"Citellophilus_tesquorum"	"Leptopsylla_sicistae"	"Peromyscopsylla_silvatica"	"Megabothris_calcarifer"	"Neopsylla_pleskei"	"Amphipsylla_kuznetzovi"	"Peromyscopsylla_bidentata"	"Neopsylla_acanthina"	"Neopsylla_mana"	"Ctenophthalmus_pisticus"	"Tarsopsylla_octodecimdentata"	"Amphipsylla_vinogradovi"	"Oropsylla_ilovaiskii"	"Ctenophthalmus_uncinatus"	"Amphipsylla_prima"	"Catallagia_dacenkoi"	"Rhadinopsylla_integella"
"Arvicola_terrestris"	1.00660862624197	0.000407627930437501	0.000677398802018951	0.000778202425951782	0.000112600033408958	0.000403046717518304	0.000111838269313587	0.000107053132997209	0.000190453968491841	0.000200526665080703	0	3.56060733556439e-06	0.000131728017355532	3.91949926475776e-05	2.11582184146807e-05	0.000112658824891638	8.36530518391901e-05	4.9922741256031e-05	1.85449211057298e-05	5.74123397182409e-06	1.38480768977618e-05	1.8118270302611e-05	5.50695780566803e-06	0	0	0.0258003837660457	0.0491796329917114	0.000238389196932017	0.00887388174547817	0.00145197238761092	0.000284369370589399	0.00605666924109498	0.000214839834351972	0.000722081667427064	0.00631041272994745	0	1.67909139312834e-06	0.000654559612416565	1.08385001579056e-05	3.33177399265695e-06	4.57588991235634e-06	7.82885739436797e-06	7.74046586486765e-06	0.000266305642700448	0.000198085951090039	0.000263057671406514	0.000130581749548476	0.000196693424696144	4.4757769723363e-07	0	5.85936581345843e-07	1.618457879802e-08	8.04705892083129e-07	0.00013005279408811	2.82249500841229e-07	0
"Sorex_araneus"	0.00101448237350041	1.00517885194776	0.00114913096412345	0.000442943855166705	8.09926797672497e-05	0.00025460379455049	0.000982847239495732	0.000164061528534808	0.000138874925655395	0.000293962370166821	0	8.41321265781468e-06	6.38477086673009e-05	1.37989302451954e-05	3.78336356957018e-06	5.91805242203247e-05	6.93863868602474e-05	2.74522202315648e-05	3.08678265724265e-05	4.91871096078192e-05	1.6484263388908e-05	4.63372169210909e-05	1.15196593462268e-05	0	0	0.00983144174146793	0.00119674156996052	0.0600121216661315	0.00408355694883454	0.017020386122076	0.00180592376832101	0.00179177824611025	0.00180286314483919	0.00065215023217339	0.000655185465118117	0	1.55249598883527e-06	3.9876507163679e-06	0.00114129928534573	0.000326097246703364	6.62538151285066e-06	1.10574317947801e-05	0.00032898727758221	4.05389829585716e-06	2.70339674899621e-06	0.000325834334879621	2.25654163334914e-07	3.57045430961289e-06	8.00326908947538e-08	0	8.0672978778299e-07	3.82418757173394e-08	4.22718030145176e-07	1.3107007409566e-07	4.78804568384771e-07	0
"Clethrionomys_rutilus"	0.00218461113651112	0.00148908220767664	1.0026154313146	0.0010504884926039	0.000150057112598566	0.000444623841786423	0.000258948751570082	0.000278573062536449	0.000329826506558992	0.000287014373699916	0	6.43758538724894e-05	0.000204586927660794	3.30811433390677e-05	2.44752267157299e-05	0.000112802111150821	9.95593119770256e-05	6.97789442555898e-05	0.000178968884652233	4.78401174854016e-05	0.000121187728842311	2.23903444947983e-05	3.33067064234882e-05	0	0	0.0225503782420061	0.00264039374894009	0.0122236118135167	0.0201002229156974	0.00318296611480573	0.0152843492713892	0.00190583769163805	0.00713198729958547	0.000428997967288978	0.00085247069802822	0	0.000632811922598681	7.04239866545299e-06	0.0023129056405538	0.00104858800431977	1.14326466573478e-05	0.00877568476916976	0.000435217742571628	8.36444926831721e-06	0.00104792073171436	4.19537498947902e-06	8.94130168734477e-07	2.93456986232001e-06	5.17745180525056e-07	0	1.23809538674728e-06	2.92617517602225e-07	8.05729365363003e-07	2.8224950084123e-07	0.000417756429714416	0
"Microtus_gregalis"	0.00323832622412193	0.00074062117718734	0.00135546902271471	1.00178402003274	6.76195676239541e-05	0.000613823115141825	0.000178170110014314	0.000257742696456007	0.000392683014388196	0.000442467553001809	0	2.38179033113163e-07	0.000177341840727644	0.000145972920182641	2.11266764038466e-05	0.0001067587407841	0.000100590108541255	0.000173738620175823	0.000122235357391944	4.31852197175537e-05	5.18436171586896e-05	3.77965940561381e-05	4.92397134429765e-05	0	0	0.0554231383463325	0.00772042765534147	0.00223284823128319	0.00438670219479055	0.00138592866877453	0.00569971874177596	0.00326271429962657	0.0051511482928908	7.08069347079833e-06	2.47003376008744e-05	0	1.84092091314193e-06	1.15144315851683e-05	0.00593904470969299	4.51508267092397e-06	1.14396947659114e-05	0.000821377501358895	0.00270662711161566	0.00324095156826536	0.00296430410486588	5.54125636362058e-06	9.4655531114551e-07	3.1134792750302e-06	4.46910462389062e-07	0	2.28340884098291e-06	1.08263196869619e-09	7.62562434172146e-07	4.18388401049345e-07	5.64778759464463e-07	0
"Lagurus_lagurus"	0.000917393956405618	0.00026514445692226	0.000379091652880587	0.000132391995558478	1.00665961213689	3.41934389906008e-05	8.21191250506895e-06	4.92098755111285e-06	1.99324265603692e-05	3.02142130564241e-05	0	0.000553967551444362	1.61081835133596e-05	0.000913152178675216	2.74039919139768e-06	5.8150340364091e-06	2.67169325835302e-05	2.5408892569394e-05	1.2900161870153e-07	0.000103624887779227	8.4556261429509e-08	1.27548481510286e-06	8.79821202108989e-07	0	0	0.00429390561423456	4.8241962511488e-05	2.30798482182275e-05	1.88506323857811e-05	9.15707764118132e-06	7.92407307334888e-06	7.44472992134473e-06	9.00254051509291e-06	0.055635946503953	6.61331995788985e-06	0	4.37995043476177e-05	0.0201807625956917	1.04693060834368e-05	0.0180303921404209	3.92822596500036e-07	0.00106320681654264	1.10556067268088e-06	0.00161338813489788	9.64158372149052e-07	5.57275228243145e-07	1.8703633074174e-07	4.57084713811579e-07	5.79699828949509e-08	0	1.35825031945917e-06	2.5180343247471e-06	4.15359574029221e-08	1.18526350956798e-07	1.57954855366911e-07	0
"Apodemus_agrarius"	0.00354497908362691	0.000899792955740937	0.00121261047759934	0.00129739885700431	3.69133716375805e-05	1.00099513494013	0.000323068659696491	0.000310884724939357	0.00029199990225931	0.000372958937677688	0	1.84525473981469e-07	0.000135833717623248	3.75139846187373e-05	1.81020452794452e-05	0.000117874833774546	9.07867383075373e-05	0.000118503605081343	5.74148492712846e-05	4.85789438640146e-05	5.14332378375002e-05	9.71012042764707e-05	4.19405052895518e-05	0	0	0.0474635772236036	0.00702352413157117	9.45672675164348e-05	0.00690252872537031	0.00743838807597976	0.00516094925257551	0.00629118476379093	0.00686067042148112	5.64414895123694e-06	0.00286849435262992	0	1.60782903606151e-06	5.89132888754247e-06	0.00343192644252626	2.63958729005555e-06	1.30794893449016e-05	1.28870110992757e-05	1.26665145404965e-05	9.85199728698696e-06	5.78654183411768e-06	0.00625904328454132	9.10558765529657e-07	0.00114033430607473	3.8292788091134e-07	0	1.75876367310903e-06	8.38752154461222e-10	8.41963098389611e-07	4.58007633543528e-07	5.0525436566639e-07	0
"Neomys_fodiens"	0.00126369080947031	0.00446226994865946	0.000907265698931675	0.000483790371717699	1.1388783766154e-05	0.000415037110267025	1.00144016773629	0.000213836343254549	0.0002260488228048	0.000218548950985306	0	1.24302760575028e-07	0.000110626827722842	5.65405514959936e-06	5.37491902170222e-06	9.27782593807992e-05	8.73543596973968e-05	3.75160460697461e-05	5.91698691997861e-07	7.01568635729387e-05	9.94573958378806e-06	2.40983573871353e-05	1.47440958233487e-05	0	0	0.0140638140631409	0.00300756314600035	0.034641356602314	6.12808785847476e-05	0.0424848187350008	3.32549458647503e-05	2.45752508260061e-05	0.00441766171315403	4.77585353094238e-06	1.36427600036187e-05	0	8.24860713903501e-07	2.79846875226249e-06	1.55235933166027e-05	2.64896066288712e-06	8.64916146945777e-06	9.31112735416761e-06	8.06684223435008e-06	4.56521623078444e-06	2.62053268317418e-06	4.75696981015582e-06	2.97640521985748e-07	0.00219484202688593	1.1370021007447e-07	0	1.13339904887037e-06	5.65012548068308e-10	6.62701852719994e-07	1.63267546443192e-07	3.78027374554864e-07	0
"Sicista_betulina"	0.00129467382718499	0.000797236490223832	0.00104464898451168	0.000749064711575269	7.30459089618314e-06	0.000427466496791616	0.000228871711139634	1.0042604310806	0.000231170112999269	0.000119963175998481	0	9.9367829648071e-08	0.000107294579703586	3.44048276046511e-05	3.3757886636177e-06	5.29053981340984e-05	0.000103458939062129	0.000314690697196429	3.76531372208186e-05	0.000112225986144762	6.21249784063878e-05	3.38655602204809e-05	7.80796589040388e-05	0	0	0.00879839153379295	8.4149392027281e-05	0.00478251353928503	0.00554132565867122	0.00160572379205639	0.00317293698609338	0.0102166970280523	0.0196473326848907	2.27230281656088e-06	1.17992882526486e-05	0	8.16502587136625e-07	5.03288075505394e-06	0.00550903611337569	1.86574077198148e-06	0.0392314074893269	1.06936326260603e-05	9.05668819957262e-06	1.00808868142095e-05	3.55405810366402e-06	3.8269787875742e-06	2.51665236898581e-07	0.00235579000853569	7.14109140380667e-08	0	4.49385982464412e-06	4.51671952945777e-10	3.77895700957845e-07	1.67270520308138e-07	4.35270410213201e-07	0
"Microtus_agrestis"	0.00272984021504972	0.000799816701459776	0.00146589558470663	0.00135257482733712	3.50663059858347e-05	0.000475851692570727	0.0002867471178172	0.000273979393184319	1.00097020749063	0.000249135129533619	0	1.77545436825029e-07	0.000344248094834075	6.39896732870419e-05	1.10712497780215e-05	9.62777099189822e-05	8.22921249965843e-05	0.000102935480556573	0.000533981416247964	5.95998071486116e-05	0.000122978482024321	8.40842970639952e-06	3.59356287952996e-05	0	0	0.0289819216623041	0.0140670526680617	8.59128104278115e-05	0.00657245691037775	0.00745841701544921	0.0139738658412032	3.15108832170649e-05	0.0111614773673848	5.00403568335498e-06	2.10596034353145e-05	0	1.44108667572376e-06	6.85863762105704e-06	2.05530423498569e-05	3.13787987460098e-06	1.15149685769722e-05	1.69740045484225e-05	0.0167103818811642	0.00186321230972202	6.05556258938949e-06	4.07677443041273e-06	6.29473778694688e-07	2.9895066315871e-06	2.34199514535071e-07	0	1.71089776531774e-06	8.0702471284104e-10	6.8769792799273e-07	3.5269253424415e-07	6.10789826961097e-07	0
"Talpa_europaea"	0.0029284460145748	0.00172494900229965	0.00129968772996188	0.00155281065770446	5.4157551704911e-05	0.000619252575766728	0.000282464210235725	0.000144861193658543	0.000253835792355008	1.00058438613374	0	2.34022084069871e-07	0.000114126303864118	4.28662893933307e-05	2.67077757384745e-05	0.000115552565419268	6.86522367717146e-05	0.000138161864530048	4.53951020935152e-05	1.48170229098864e-05	2.66152780902553e-05	3.77915284719271e-05	2.52392496434051e-05	0	0	0.0701164058478122	0.000174071468507551	0.017125746736135	0.00668551534952106	6.01257533687439e-05	0.00382036721963921	3.48867206205197e-05	3.68182758917641e-05	6.72627854368411e-06	2.30243420830483e-05	0	2.06332086263573e-06	5.38972392385672e-06	0.00285229075075366	3.3652946581229e-06	6.74939193936617e-06	1.36826501744012e-05	1.23530617725559e-05	1.04553522641566e-05	6.51301410071848e-06	5.81153778438529e-06	1.04604659172734e-06	2.77126893873539e-06	5.64972179083115e-07	0	1.6103040783151e-06	1.06373674577214e-09	8.25375467280486e-07	3.78352198265478e-07	5.41536554150784e-07	0
