"Clethrionomys_rutilus"	"Clethrionomys_glareolus"	"Microtus_agrestis"	"Microtus_oeconomus"	"Clethrionomys_rufocanus"	"Myopus_schisticolor"	"Arvicola_terrestris"	"Neomys_fodiens"	"Sicista_betulina"	"Megabothris_rectangulatus"	"Peromyscopsylla_silvatica"	"Ctenophthalmus_uncinatus"	"Amalaraeus_penicilliger"	"Amphipsylla_sibirica"	"Corrodopsylla_birulai"	"Rhadinopsylla_integella"	"Palaeopsylla_soricis"
"Clethrionomys_rutilus"	1.00633156111156	0.00190096038226858	0.00101589759221508	0.00050255866736036	0.000188226279589331	7.95326669856461e-05	5.74422745682735e-05	2.52477090318518e-07	2.45786493716054e-05	0.0465765405591921	0.0259956894615848	0.0131903682376369	0.0105957647630957	0.00316505762241073	4.54458762573332e-06	0.00110992451593187	0.000372211262623096
"Clethrionomys_glareolus"	0.00608307322325944	1.00229699600434	0.000826809450228364	0.000488475310847312	0.000222171875373953	5.17274660692025e-05	5.18968663215547e-05	6.59793818569971e-05	1.38805227164355e-05	0.0263035905476452	0.0402683096981428	0.0130786930276706	0.0160041823571543	0.00297957787366992	0.00118762887342595	6.7092719374185e-06	0.00118140936045483
"Microtus_agrestis"	0.00620953135016856	0.0015792989498744	1.00129166033665	0.000548939852521871	0.000148375109480418	0.000111488714157853	5.42496088092852e-05	0.000125807352932882	3.1658826419524e-05	0.059993476064998	0.010359554806585	0.0192396545764293	0.00348210512769958	0.00565978841908246	0.00226453235279188	6.84874781268591e-06	4.14091470212009e-06
"Microtus_oeconomus"	0.00607537588986746	0.00184535117431207	0.00108568104165437	1.00067446657818	0.0002121732877288	0.000126853421647235	6.0684528604769e-05	2.57582908347407e-07	2.01665961118715e-05	0.0382156996319965	0.015810935921796	0.0179174238619104	0.0156738367350353	0.0133764629893224	4.63649235025333e-06	6.70078223147147e-06	4.40459545870076e-06
"Clethrionomys_rufocanus"	0.00602324094685861	0.00222171875373953	0.00077678733786807	0.000561635173399764	1.00037376737194	3.18148937961595e-05	9.91632533952821e-05	2.43540574994657e-07	1.26388294392999e-05	0.0239505817874733	0.0179141250457834	0.0177858406611052	0.0413055797567111	3.81185346342121e-05	4.38373034990383e-06	6.64328045609405e-06	4.82821358780335e-06
"Myopus_schisticolor"	0.00618082440574164	0.00125623846168063	0.00141749936572127	0.00081548628201794	7.72647420763874e-05	1.00025838696041	5.71132244563255e-05	2.60520638830096e-07	3.79361382648068e-05	0.071888982011809	0.000237697973300515	0.000139862911496474	0.000107643785444362	0.0286206575812943	4.68937149894173e-06	6.81708574162681e-06	3.75028951585282e-06
"Arvicola_terrestris"	0.00624971947302815	0.00176449345493286	0.000965643036805276	0.000546160757442921	0.000337155061543959	7.99585142388558e-05	1.00012574996808	2.37198827108022e-07	3.18926361109089e-05	0.0604365454301723	0.000255628665782536	0.000138506837844069	0.0401241721655532	3.97116932771223e-05	4.2695788879444e-06	6.89307294819282e-06	4.37356563559313e-06
"Neomys_fodiens"	2.74695074266547e-05	0.0022432989831379	0.0022393708822053	2.31824617512667e-06	8.28037954981835e-07	3.64728894362134e-07	2.37198827108022e-07	1.00558702075248	1.01763908683708e-07	0.000192842606955627	0.000113134892747995	7.22197711823463e-05	4.35447765024667e-05	1.93058464642511e-05	0.10056637354464	3.02972508382222e-08	2.64927435789263e-06
"Sicista_betulina"	0.00668539262907666	0.00117984443089701	0.00140881777566882	0.000453748412517109	0.000107430050234049	0.000132776483926824	7.97315902772722e-05	2.54409771709271e-07	1.00005301431864	0.100462133824031	0.000242444927780954	0.000139395245574517	0.000108207842893193	4.21202819098966e-05	4.57937589076687e-06	7.37359481148161e-06	3.84591720880408e-06
"Megabothris_rectangulatus"	0.0668539262907666	0.0117984443089701	0.0140881777566882	0.00453748412517109	0.00107430050234049	0.00132776483926824	0.000797315902772722	2.54409771709271e-06	0.000530143186406498	1.00462133824031	0.00242444927780954	0.00139395245574517	0.00108207842893193	0.000421202819098966	4.57937589076687e-05	7.37359481148161e-05	3.84591720880408e-05
"Peromyscopsylla_silvatica"	0.0622980399431812	0.0301568839149087	0.00406167567306636	0.00313432650432079	0.00134158645717321	7.32989344979561e-06	5.63058735203824e-06	2.49195799004394e-06	2.13607865886303e-06	0.00404786905854544	1.00292303810746	0.00136032557680851	0.001249631722328	0.000348196940461655	4.4855243820791e-05	6.8711073466744e-05	5.83823781142975e-05
"Ctenophthalmus_uncinatus"	0.0593021514154917	0.0183750232620166	0.0141514814653075	0.00666350474203281	0.00249883711767594	8.09124281384561e-06	5.72342305140782e-06	2.98428806538621e-06	2.30405364585978e-06	0.00436618165890429	0.00255201575153333	1.00144464333236	0.00116768143004834	0.000407944022359325	5.37171851769518e-05	6.54067846494394e-05	4.3419935975715e-05
