"Apodemus_agrarius"	"Microtus_fortis"	"Tamias_sibiricus"	"Micromys_minutus"	"Apodemus_peninsulae"	"Megabothris_calcarifer"	"Neopsylla_bidentatiformis"	"Ctenophthalmus_congeneroides"	"Frontopsylla_elata"	"Pectinoctenus_pectiniceps"	"Ceratophyllus_indages"	"Frontopsylla_luculenta"	"Nosopsyllus_fasciatus"	"Ceratophyllus_anisus"	"Leptopsylla_segnis"	"Hystrichopsylla_microti"	"Megabothris_advenarius"	"Amphipsylla_vinogradovi"	"Ctenophthalmus_pisticus"	"Rhadinopsylla_rothschildi"	"Amphipsylla_marikovskii"	"Stenoponia_sidimi"	"Neopsylla_acanthina"	"Neopsylla_pleskei"
"Apodemus_agrarius"	1.00779972818847	0.0018560485319978	0.000228384291625318	9.47851158471367e-05	0.000122063973066875	0.0281583990729572	0.0187273247639393	0.0182791073141464	0.0164737371365864	0.00884112203047534	0.000465638898881544	0.00315538489297462	0.00299494718629561	0.000456116331766556	0.000900775573829421	0.000899838228972214	0.000600517049219614	0.000450769689904834	1.17120149551445e-06	0.000300848791713092	2.29141794073803e-06	2.03110962529579e-06	5.85600747757225e-07	0.000299494718629561
"Microtus_fortis"	0.00514041424705565	1.00489335920426	1.50965328205862e-05	4.33769620132815e-05	8.76315485852913e-06	0.0836777964753075	0.00216351267890107	0.00546915703315191	0.000911091381451968	0.000872453689708955	3.37527157913909e-06	1.81035551963115e-05	1.52761196049202e-05	0.00372411867425282	0.00124519192131884	5.20250676738008e-06	0.000830127947545891	0.000829364141565645	7.7418117028647e-08	2.14728284639604e-06	0.00124060908543736	9.29506328856032e-07	3.87090585143235e-08	1.52761196049202e-06
"Tamias_sibiricus"	0.00197054651620306	4.70315060949031e-05	1.00783329942321	0.000105430094867396	0.000144702560635834	6.01694290376386e-05	0.00779320709456999	3.59732544935338e-05	3.22467501851617e-05	0.00518963625906723	0.0723581409238136	0.00776905539921923	5.85600747757225e-06	1.05259188495029e-06	1.81486583104316e-06	3.26294645566304e-06	1.20991055402877e-06	9.17110180150161e-07	0.005168375894478	2.09174496014859e-06	5.80635877714853e-08	2.25921631858705e-06	0.002584187947239	5.85600747757225e-07
"Micromys_minutus"	0.00455645592608022	0.000752900126373386	0.000587396242832633	1.00371881116728	0.000485446638446647	0.0145280327523189	0.00010393663134841	8.66263188537381e-05	7.50936904800829e-05	5.68165690506549e-05	4.42031475722541e-05	0.0358879023551386	1.35407308353052e-05	4.81962861186388e-06	4.99172557944761e-06	0.0143429023787831	3.32781705296507e-06	2.65078051119981e-06	3.01228842478273e-06	0.0143401942326161	9.29506328856032e-07	0.0215082602392988	1.50614421239137e-06	1.35407308353052e-06
"Apodemus_peninsulae"	0.00746809580672791	0.000193586057329325	0.00102607270269046	0.000617841176204823	1.00079541435806	0.000232427395652926	0.0274414206440513	0.000136415688430179	0.000122223303155212	0.0273653123094307	7.69957755891575e-05	0.0455439623980067	2.21934496485228e-05	4.04600284479443e-06	6.89703002706217e-06	1.54843374117686e-05	4.59802001804145e-06	3.48834753561531e-06	5.2619112958485e-06	1.1045647482064e-05	2.3899513250534e-07	1.32394537758176e-05	2.63095564792425e-06	2.21934496485228e-06
"Megabothris_calcarifer"	0.0484670142611258	0.0520043594462909	1.20031086059739e-05	0.000520185315939809	6.53887813857336e-06	1.00567713339646	0.00100748009341621	0.00115681228672117	0.00083498196700151	0.000467938388275754	2.24666714181533e-05	0.000170201968758615	0.000144032731830983	0.000214213648464614	0.00010741273244595	5.0641038348435e-05	7.16084882973002e-05	6.4406851705751e-05	6.15544031075586e-08	2.18344919822384e-05	6.42029128966554e-05	1.11468281987102e-05	3.07772015537793e-08	1.44032731830983e-05
"Neopsylla_bidentatiformis"	0.0906725868066991	0.00378225597822273	0.00437316657105366	1.04684376897679e-05	0.00217162321643571	0.00283399076637221	1.00178476018949	0.00166392754390382	0.00148513147438211	0.000879666386144357	0.000354389619847293	0.000415654567616651	0.000269457910272508	5.44270420157753e-05	8.55068249067189e-05	8.09869221916064e-05	5.70045499378126e-05	4.35316544241872e-05	2.24264952361726e-05	2.70953401371047e-05	4.66945182496633e-06	2.2432366478074e-07	1.12132476180863e-05	2.69457910272509e-05
"Ctenophthalmus_congeneroides"	0.0911247349808929	0.00984448265967344	2.07845470407084e-05	8.98347010335062e-06	1.11153523906072e-05	0.00335047114154057	0.00171322910076023	1.00170455565463	0.00149751119897956	0.000807376878284598	4.21124623659831e-05	0.000285327631970708	0.000270801589839206	7.70812853635603e-05	9.3394159247655e-05	8.13688122389526e-05	6.226277283177e-05	4.87226933398097e-05	1.06587420721582e-07	2.72084942711114e-05	1.21536822958931e-05	1.92502930786085e-07	5.32937103607909e-08	2.70801589839206e-05
"Frontopsylla_elata"	0.0989895097582377	0.00197674290797168	2.24575581646662e-05	9.38671131001036e-06	1.20040744170298e-05	0.00291498168837134	0.0018431542405278	0.00180503582019858	1.00161958327481	0.000869882438153308	4.57384191251144e-05	0.000309936201194287	0.000294173877439042	5.1447351645381e-05	9.06925865748875e-05	8.83862591075699e-05	6.04617243832583e-05	4.57530305113062e-05	1.15166964947006e-07	2.95514836197615e-05	2.44042334317491e-06	2.01143813785936e-07	5.7583482473503e-08	2.94173877439042e-05
"Pectinoctenus_pectiniceps"	0.0875011048016162	0.00311773892057759	0.00595281806187124	1.16975289221937e-05	0.00442674169711379	0.00269064573258559	0.00179814158344214	0.00160288056718266	0.00143274754519368	1.00092091998403	0.000466386759704693	0.00052045885968646	0.000260033000896333	5.05521313217744e-05	8.18589606646748e-05	7.81770078249314e-05	5.45726404431166e-05	4.15709903982999e-05	3.05272721121602e-05	2.61704076456647e-05	3.8490603957748e-06	2.50661334047007e-07	1.52636360560801e-05	2.60033000896333e-05
"Ceratophyllus_indages"	0.00531144032114032	1.39015422666237e-05	0.0956599151196179	1.04888824747722e-05	1.43551446013683e-05	0.000148889297025389	0.000834917917945318	9.63590240577579e-05	8.68254735934375e-05	0.000537530502710493	1.00687025899734	0.000753446198364747	1.57843694536116e-05	2.41914261162184e-06	4.75247323394353e-06	4.88515201429453e-06	3.16831548929568e-06	2.3790970166151e-06	0.000490563667280092	1.7282781235722e-06	1.71623978600293e-08	2.24761767316546e-07	0.000245281833640046	1.57843694536117e-06
"Frontopsylla_luculenta"	0.0573938927830248	0.000118896321964964	0.0163780086794351	0.0135792062965389	0.0135400969291371	0.00179862080498969	0.00156151310537066	0.00104106027881204	0.000938185257669191	0.000956518985369709	0.00120144123523027	1.00140550469977	0.000170561345566196	2.60245585829477e-05	5.13151892525315e-05	0.000245157065048986	3.42101261683543e-05	2.56820588900445e-05	8.39897880996674e-05	0.000211044795935747	1.46785582672796e-07	0.000290982992068691	4.19948940498337e-05	1.70561345566196e-05
"Nosopsyllus_fasciatus"	0.100779972818847	0.00018560485319978	2.28384291625318e-05	9.47851158471367e-06	1.22063973066875e-05	0.00281583990729572	0.00187273247639393	0.00182791073141464	0.00164737371365864	0.000884112203047534	4.65638898881544e-05	0.000315538489297462	1.00029949471863	4.56116331766556e-05	9.00775573829421e-05	8.99838228972214e-05	6.00517049219614e-05	4.50769689904834e-05	1.17120149551445e-07	3.00848791713092e-05	2.29141794073803e-07	2.03110962529579e-07	5.85600747757225e-08	2.99494718629561e-05
"Ceratophyllus_anisus"	0.025580524273241	0.0754134031536196	6.84184725217691e-06	5.62290004717453e-06	3.70883594106157e-06	0.006979794712472	0.000630446570016063	0.000867164460340054	0.000480175282023556	0.000286462077490055	1.1894117840474e-05	8.02423889640889e-05	7.60193886277593e-05	1.00029071180886	0.000115908783444648	2.28861437318589e-05	7.72725222964322e-05	7.34715528650442e-05	3.50863961650098e-08	7.682266006307e-06	9.31029668563205e-05	1.20490715296597e-07	1.75431980825049e-08	7.60193886277593e-06
"Leptopsylla_segnis"	0.0673579956874667	0.0336201818756086	1.57288372023741e-05	7.7649064569185e-06	8.42970336640932e-06	0.00466648648737406	0.00132060540689266	0.00140091238871482	0.00112861885515416	0.000618489925021988	3.11551023114076e-05	0.000210962444704852	0.000200172349739871	0.000154545044592864	1.0001015581023	6.01626321570602e-05	6.77054015328373e-05	5.76967840458437e-05	8.06607036019182e-08	2.0128162209086e-05	4.15063973772945e-05	1.66390852648254e-07	4.03303518009591e-08	2.00172349739871e-05
"Hystrichopsylla_microti"	0.0756988910122875	0.00015802614305917	3.18137279427147e-05	0.0251000791628705	2.12909639411818e-05	0.00247508074927976	0.00140714777307916	0.00137309870653232	0.00123740762750598	0.000664504566511917	3.60279961054221e-05	0.00113385142585156	0.000224959557243053	3.43292155977883e-05	6.76829611766928e-05	1.00042606042664	4.51219741177952e-05	3.38739962556425e-05	1.63147322783152e-07	0.000381068515193883	1.95094003776753e-07	0.000537858839204367	8.15736613915761e-08	2.24959557243053e-05
"Megabothris_advenarius"	0.0673579956874667	0.0336201818756086	1.57288372023741e-05	7.7649064569185e-06	8.42970336640932e-06	0.00466648648737406	0.00132060540689266	0.00140091238871483	0.00112861885515416	0.000618489925021988	3.11551023114076e-05	0.000210962444704852	0.000200172349739871	0.000154545044592864	0.000101558102299256	6.01626321570602e-05	1.00006770540153	5.76967840458437e-05	8.06607036019182e-08	2.0128162209086e-05	4.15063973772946e-05	1.66390852648254e-07	4.03303518009591e-08	2.00172349739871e-05
"Amphipsylla_vinogradovi"	0.0606736002611906	0.0403070972800904	1.43069188103425e-05	7.42218543135947e-06	7.67436457835368e-06	0.00503661580338973	0.0012101799929924	0.00131551272017486	0.00102486788345326	0.000565365469416878	2.80733447960582e-05	0.00019004723578633	0.000180307875961933	0.000176331726876106	0.000103854211282519	5.4198394009028e-05	6.92361408550126e-05	1.00006022074706	7.33688144120129e-08	1.81368188166413e-05	4.97618484939387e-05	1.59046830671989e-07	3.66844072060065e-08	1.80307875961933e-05
"Ctenophthalmus_pisticus"	0.000197054651620306	4.70315060949031e-06	0.100783329942321	1.05430094867396e-05	1.44702560635834e-05	6.01694290376386e-06	0.000779320709456999	3.59732544935338e-06	3.22467501851617e-06	0.000518963625906723	0.00723581409238136	0.000776905539921923	5.85600747757225e-07	1.05259188495029e-07	1.81486583104316e-07	3.26294645566304e-07	1.20991055402877e-07	9.17110180150162e-08	1.00051683758945	2.09174496014859e-07	5.80635877714853e-09	2.25921631858705e-07	0.0002584187947239	5.85600747757225e-08
