"Saurauia_ferox"	"Fissistigma_sp."	"Goniothalamus_sp."	"Popowia_pisocarpa"	"Poikilospermum_sp."	"Combretaceae"	"Costus_sp."	"Tetracera_indica"	"Dryobalanops_lanceolata"	"Diospyros_sp."	"Glochidion_sp."	"Mallotus_floribundus"	"Mallotus_miquelianus"	"Mallotus_sp."	"Mallotus_wrayi"	"Bauhinia_sp."	"Spatholobus_sp."	"Fordia_sp."	"Ryparosa_hullettii"	"Lauraceae"	"Leea_indica"	"Magnolia_candollii"	"Aglaia_sp."	"Chisocheton_sp."	"Ardisia_sp."	"Chionanthus_pluriflorus"	"Passifloraceae"	"Uncaria_sp."	"Urophyllum_sp."	"Rubiaceae"	"Paranephelium_xestophyllum"	"Selaginella_sp."	"Pterospermum_sp."	"Brownlowia_peltata"	"Callicarpa_longifolia"	"Tetrastigma_sp."	"Globba_pendula"	"Zingiber_flagelliforme"	"Haaniella_echinata"	"Necrosciinae"	"Centrophasma_longipennis"	"Asceles_margaritatus"	"Lonchodes_hosei_herberti"	"Lonchodes_imitator"	"Dinophasma_ruficornis"	"Unidentified_juveniles"	"Acacus_sarawacus"	"Marmessoidea_rubescens"	"Lonchodes_thami"	"Lonchodes_malleti"
"Saurauia_ferox"	1.00146881881887	0.000177139631179965	4.46214421260002e-07	0.000355186679322961	0	0.000531418893539894	0.000177139631179965	6.6845143841496e-07	0.000177139631179965	7.98140789181646e-07	0.000354279262359929	0.000362277029531827	4.0432589689123e-06	6.73876494818717e-07	0.00129247732847638	0.000177139631179965	0.000708558524719858	0.000177139631179965	0.000177139631179965	0	0.000533424247855138	2.925628644461e-07	0.00129484808256704	0.000177139631179965	4.61202541772288e-07	4.61202541772288e-07	4.61202541772288e-07	4.61202541772288e-07	0.000355460476415414	4.61202541772288e-07	4.61202541772288e-07	0.000177139631179965	0.000354279262359929	0.000531755831787303	0	0.000354279262359929	0.000177139631179965	0	0.0673130598483865	0.0334361866952169	8.92428842520003e-06	0.000141514063911931	4.15082287595059e-05	0	2.67380575365984e-05	1.1702514577844e-05	2.15808013761173e-05	0	8.88651191038534e-06	0
"Fissistigma_sp."	0.000531418893539893	1.00026522888841	6.67523472325384e-07	0.000531348683971006	0	0.000795686665222797	0.000265228888407599	1.00086372984e-06	0.000265228888407599	4.27121010050287e-07	0.000530457776815198	0.000535813545392633	2.44484791881335e-06	4.07474653135558e-07	0.000266617126142345	0.000265228888407599	0.0010609155536304	0.000265228888407599	0.000265228888407599	0	0.000798689256412317	4.36773696472158e-07	0.000267246628158929	0.000265228888407599	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	0.000532225113294907	2.23383683482509e-07	2.23383683482509e-07	0.000265228888407599	0.000530457776815198	0.000795890402549365	0	0.000530457776815198	0.000265228888407599	0	0.100786977594888	2.88335017408706e-05	1.33504694465077e-05	8.55696771584671e-05	2.01045315134258e-05	0	4.00345491935998e-05	1.74709478588863e-05	4.45411046931549e-06	0	1.33056278323727e-05	0
"Goniothalamus_sp."	1.33864326378001e-06	6.67523472325384e-07	1.00503144999269	0.00503419418254203	0	2.00257041697615e-06	6.67523472325384e-07	2.51895649934107e-09	6.67523472325384e-07	1.40990953417706e-06	1.33504694465077e-06	1.35411345481845e-06	9.19954121189208e-09	1.53325686864868e-09	2.08102932563168e-06	6.67523472325384e-07	2.67009388930154e-06	6.67523472325384e-07	6.67523472325384e-07	0	2.01012728647418e-06	1.100342306275e-09	6.74543916618625e-07	6.67523472325384e-07	1.40914290574273e-06	1.40914290574273e-06	1.40914290574273e-06	1.40914290574273e-06	1.3394960270246e-06	1.40914290574273e-06	1.40914290574273e-06	6.67523472325384e-07	1.33504694465077e-06	2.00333704541048e-06	0	1.33504694465077e-06	6.67523472325384e-07	0	0.000253658919483646	1.07889573877103e-07	0.100628999853833	3.21983942416223e-07	0.000126822861516846	0	1.00758259973643e-07	4.4013692251e-08	1.12423986103104e-08	0	3.34874006756151e-08	0
"Popowia_pisocarpa"	0.000266390009492221	0.000132837170992751	0.00125854854563551	1.00180464232586	0	0.000398511512978254	0.000132837170992751	5.01272343368873e-07	0.000132837170992751	0.000280571997301234	0.000265674341985503	0.000269468577508872	1.83070870116652e-06	3.05118116861087e-07	0.000414124835800704	0.000132837170992751	0.000531348683971006	0.000132837170992751	0.000132837170992751	0	0.000400015330008361	2.18968118948725e-07	0.000134234239407106	0.000132837170992751	0.000280419438242804	0.000280419438242804	0.000280419438242804	0.000280419438242804	0.000266559709377896	0.000280419438242804	0.000280419438242804	0.000132837170992751	0.000265674341985503	0.000398664072036685	0	0.000265674341985503	0.000132837170992751	0	0.0504781249772455	2.14700252015434e-05	0.0251709709127102	6.40748045408283e-05	0.0252377494418523	0	2.00508937347549e-05	8.75872475794899e-06	2.23723732345177e-06	0	6.66399273444741e-06	0
"Poikilospermum_sp."	0	0	0	0	1.003367003367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00673400673400673	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0
"Combretaceae"	0.000531418893539893	0.000265228888407599	6.67523472325384e-07	0.000531348683971006	0	1.00079568666522	0.000265228888407599	1.00086372984e-06	0.000265228888407599	4.27121010050287e-07	0.000530457776815198	0.000535813545392633	2.44484791881335e-06	4.07474653135558e-07	0.000266617126142345	0.000265228888407599	0.0010609155536304	0.000265228888407599	0.000265228888407599	0	0.000798689256412317	4.36773696472158e-07	0.000267246628158929	0.000265228888407599	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	0.000532225113294907	2.23383683482509e-07	2.23383683482509e-07	0.000265228888407599	0.000530457776815198	0.000795890402549365	0	0.000530457776815198	0.000265228888407599	0	0.100786977594888	2.88335017408706e-05	1.33504694465077e-05	8.55696771584671e-05	2.01045315134258e-05	0	4.00345491935998e-05	1.74709478588863e-05	4.45411046931549e-06	0	1.33056278323727e-05	0
"Costus_sp."	0.000531418893539893	0.000265228888407599	6.67523472325384e-07	0.000531348683971006	0	0.000795686665222797	1.00026522888841	1.00086372984e-06	0.000265228888407599	4.27121010050287e-07	0.000530457776815198	0.000535813545392633	2.44484791881335e-06	4.07474653135558e-07	0.000266617126142345	0.000265228888407599	0.0010609155536304	0.000265228888407599	0.000265228888407599	0	0.000798689256412317	4.36773696472158e-07	0.000267246628158929	0.000265228888407599	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	0.000532225113294907	2.23383683482509e-07	2.23383683482509e-07	0.000265228888407599	0.000530457776815198	0.000795890402549365	0	0.000530457776815198	0.000265228888407599	0	0.100786977594888	2.88335017408706e-05	1.33504694465077e-05	8.55696771584671e-05	2.01045315134258e-05	0	4.00345491935998e-05	1.74709478588863e-05	4.45411046931549e-06	0	1.33056278323727e-05	0
"Tetracera_indica"	2.00535431524488e-06	1.00086372984e-06	2.51895649934107e-09	2.00508937347549e-06	0	3.00259118951999e-06	1.00086372984e-06	1.00251572704728	1.00086372984e-06	1.61177739641618e-09	2.00172745967999e-06	2.02193790714201e-06	9.22584120306923e-09	1.53764020051154e-09	1.0061023628013e-06	1.00086372984e-06	4.00345491935998e-06	1.00086372984e-06	1.00086372984e-06	0	0.00755018373304307	1.64820262819682e-09	1.00847784210917e-06	1.00086372984e-06	8.4295729616041e-10	8.4295729616041e-10	8.4295729616041e-10	8.4295729616041e-10	2.00839665394305e-06	8.4295729616041e-10	8.4295729616041e-10	1.00086372984e-06	2.00172745967999e-06	3.00336000962024e-06	0	2.00172745967999e-06	1.00086372984e-06	0	0.000380328217339199	1.08805666946681e-07	5.03791299868214e-08	3.22904442107423e-07	7.58661566544369e-08	0	0.100629081891381	6.59281051278729e-08	1.68079640351528e-08	0	5.02099163485762e-08	0
"Dryobalanops_lanceolata"	0.000531418893539893	0.000265228888407599	6.67523472325384e-07	0.000531348683971006	0	0.000795686665222797	0.000265228888407599	1.00086372984e-06	1.00026522888841	4.27121010050287e-07	0.000530457776815198	0.000535813545392633	2.44484791881335e-06	4.07474653135558e-07	0.000266617126142345	0.000265228888407599	0.0010609155536304	0.000265228888407599	0.000265228888407599	0	0.000798689256412317	4.36773696472158e-07	0.000267246628158929	0.000265228888407599	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	0.000532225113294907	2.23383683482509e-07	2.23383683482509e-07	0.000265228888407599	0.000530457776815198	0.000795890402549365	0	0.000530457776815198	0.000265228888407599	0	0.100786977594888	2.88335017408706e-05	1.33504694465077e-05	8.55696771584671e-05	2.01045315134258e-05	0	4.00345491935998e-05	1.74709478588863e-05	4.45411046931549e-06	0	1.33056278323727e-05	0
"Diospyros_sp."	1.19721118377247e-06	2.13560505025144e-07	7.04954767088529e-07	0.000561143994602469	0	6.40681515075431e-07	2.13560505025144e-07	8.0588869820809e-10	2.13560505025144e-07	1.00068016469137	4.27121010050288e-07	0.0026448090785211	0.00144183327049443	0.000240305545082405	0.00068114834204528	2.13560505025144e-07	8.54242020100575e-07	2.13560505025144e-07	2.13560505025144e-07	0	6.43099181170056e-07	5.10480802297808e-07	0.000362045377264463	2.13560505025144e-07	0.00056001191882533	0.00056001191882533	0.00056001191882533	0.00056001191882533	9.39951691577038e-07	0.00056001191882533	0.00056001191882533	2.13560505025144e-07	4.27121010050288e-07	0.000120793454056278	0	4.27121010050288e-07	2.13560505025144e-07	0	8.11529919095547e-05	2.31027052116655e-05	1.40990953417706e-05	0.0504641644673051	0.0504010726942797	0	3.22355479283236e-08	2.04192320919123e-05	6.03408962107438e-06	0	2.34987922894259e-08	0
