"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Tococa_bullifera"	"Tachigalia_spp."	"Duroia_saccifera"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Crematogaster_laevis"	"Pseudomyrmex_concolor"	"Allomerus_septemarticulatus"	"Crematogaster_brasiliensis"	"Solenopsis_sp2"	"Pseudomyrmex_nigriceps"
"Cordia_nodosa"	1.01010101010101	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0
"Hirtella_myrmecophila"	0	1.00953984287318	0	0	0.000561167227833895	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0
"Maieta_guianensis"	0	0	1.00934210626172	0	0	0.000758903839294523	0	0	0	0	0.0605605263757029	0	0.0303561535717809	0	0	0	0.0100934210626172	0
"Myrcia_madida"	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0
"Hirtella_physophora"	0	0.00953984287317621	0	0	1.00056116722783	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0
"Tococa_bullifera"	0	0	0.00758903839294523	0	0	1.00251197170806	0	0	0	0	0.000455342303576714	0	0.100478868322595	0	0	0	7.58903839294523e-05	0
"Tachigalia_spp."	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0.0865800865800866	0	0.00721500721500722	0	0.00721500721500721
"Duroia_saccifera"	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0.101010101010101	0	0	0
"Azteca_r.am.1"	0.101010101010101	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0
"Allomerus_octoarticulatus"	0	0.0953984287317621	0	0	0.00561167227833895	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0
"Pheidole_minutula"	0	0	0.100934210626172	0	0	7.58903839294523e-05	0	0	0	0	1.00605605263757	0	0.00303561535717809	0	0	0	0.00100934210626172	0
"Myrcidris_sp."	0	0	0	0.101010101010101	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0
"Crematogaster_laevis"	0	0	0.0758903839294523	0	0	0.0251197170806487	0	0	0	0	0.00455342303576714	0	1.00478868322595	0	0	0	0.000758903839294523	0
"Pseudomyrmex_concolor"	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	1.00865800865801	0	0.000721500721500722	0	0.000721500721500721
"Allomerus_septemarticulatus"	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	1.01010101010101	0	0	0
"Crematogaster_brasiliensis"	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0.00865800865800866	0	1.0007215007215	0	0.000721500721500721
"Solenopsis_sp2"	0	0	0.100934210626172	0	0	7.58903839294523e-05	0	0	0	0	0.00605605263757029	0	0.00303561535717809	0	0	0	1.00100934210626	0
"Pseudomyrmex_nigriceps"	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0.00865800865800866	0	0.000721500721500721	0	1.0007215007215
