"Potentilla_vahliana"	"Dryas_integrifolia"	"Astragalus_alpinus"	"Taraxacum_sp1_M_PL_024"	"Caltha_palustris"	"Cerastium_alpinum"	"Arnica_alpina"	"Papaver_radicatum"	"Geum_rossii"	"Oxytropis_arctica"	"Petasites_frigidus"	"Spilogona_sanctipauli"	"Bombus_polaris"	"Spilogona_almquistii"	"Colias_hecla"	"Eupogonomyia_probilofensis"	"Boloria_improba"	"Pogonomyiodes_segnis"	"Spilogona_latilamina"	"Boreellus_atriceps"	"Spilogona_dorsata"	"Spilogona_projecta"	"Spilogona_aesturium"	"Spilogona_melanosoma"	"Anarta_richardsoni"	"Colias_nastes"	"Protocalliphora_sp1_M_PL_024"	"Rhamphomyia_sp1_M_PL_024"	"Spilogona_hurdiana"
"Potentilla_vahliana"	1.00577149909184	0.00224354587705815	0	0.000504922981310174	0.000649275470681345	0.000305471768571487	0.000439738405030948	0.000109880622320927	7.66758841929942e-05	0	0	0.0436044748266359	0	0.0115013826289491	0	0.0160251010016391	5.27893147543095e-05	0.00232433166895532	0.0114292215805891	0.00686384448561986	0.00458096399610253	1.88175350871482e-05	1.26230745327543e-05	0.0022951196799847	0	0	0.00228584431611783	6.31153726637717e-06	9.27536386687635e-06
"Dryas_integrifolia"	0.00290341231148702	1.00537460501562	0	0.000284198138246781	0.000372185016096413	0.000509280051171083	0.000326527057378627	0.000271151804909637	5.9650706101292e-05	0	0	0.0445465230275961	0	0.00894760591519379	0	0.00596832209164225	0.023655873059191	0.0148050769165842	3.29933217214434e-05	2.33484697609508e-05	1.85142574899547e-05	0.00297735533444572	7.10495345616953e-06	1.1915593145666e-05	0	0	6.59866434428868e-06	3.55247672808477e-06	5.31692880137733e-06
"Astragalus_alpinus"	0	0	1.00975018313168	0	0	0	0	0	0	0	0.00035082696933211	0	0.0561323150931375	0	0.0411379704238832	0	0	0	0	0	0	0	0	0	0	0.00373981549308029	0	0	0
"Taraxacum_sp1_M_PL_024"	0.00277707639720595	0.00120784208754882	0	1.00486795147848	0.000342559495270315	8.95666193154928e-05	0.000311819800646989	0.000252359196134467	0.000251835026409988	0	0	0.0127697018608806	0	0.0377752539614983	0	5.90812093369844e-05	2.84198138246781e-05	3.66918807135244e-05	3.15576863318859e-05	0.0125797840052801	1.75167816080445e-05	7.13514150070448e-06	0.0251216987869619	1.12052443416674e-05	0	0	6.31153726637717e-06	0.012560849393481	4.89370707529021e-06
"Caltha_palustris"	0.0040811601014256	0.00180775579246829	0	0.000391496566023217	1.00302620051467	0.00030312199755309	0.000298322131060823	9.67672015336578e-05	9.61857962772229e-05	0	0	0.0432808201438872	0	0.0144278694415834	0	8.30194579474098e-05	4.25354304110186e-05	4.06983679504459e-05	4.63768193343818e-05	3.27197986759193e-05	0.0143474964493719	1.74418087035009e-05	9.78741415058042e-06	0.014338221085505	0	0	9.27536386687636e-06	4.89370707529021e-06	0.0143289457216381
"Cerastium_alpinum"	0.00268815156342908	0.00346310434796336	0	0.000143306590904788	0.000424370796574326	1.00309762110912	0.000282576905369836	1.34728528618784e-06	5.31502361147167e-07	0	0	0.0604888280514637	0	7.9725354172075e-05	0	7.02016722810974e-05	8.14848081873733e-05	5.71048047528475e-05	3.05471768571487e-05	2.01196385005991e-05	1.82813106939213e-05	0.0401340904453883	3.58266477261971e-06	1.21718753224915e-05	0	0	6.10943537142974e-06	1.79133238630986e-06	6.06243995106179e-06
"Arnica_alpina"	0.00483712245534043	0.00277547998771833	0	0.000623639601293978	0.000522063729356441	0.000353221131712295	1.00065326497224	0.000168539371035401	0.000167678852308974	0	0	0.0504153495602674	0	0.0251518278463461	0	0.0251096121980555	6.53054114757253e-05	6.02363108498721e-05	5.49673006288685e-05	4.07758753934958e-05	2.9444973528068e-05	2.22920217029575e-05	1.55909900323494e-05	1.84515134022943e-05	0	0	1.09934601257737e-05	7.79549501617472e-06	7.45805327652058e-06
"Papaver_radicatum"	0.0024173736910604	0.00460958068346383	0	0.00100943678453787	0.000338685205367802	3.36821321546961e-06	0.000337078742070801	1.00105078497087	0.000334701810426342	0	0	0.000351939514820349	0	0.0502052715639513	0	7.40003668550583e-05	0.000108460721963855	0.0501258212308868	2.74701555802318e-05	2.91000531548625e-05	1.58264223087756e-05	1.36923187741007e-05	2.52359196134467e-05	1.03323911927293e-05	0	0	5.49403111604637e-06	1.26179598067234e-05	4.83836007668289e-06
"Geum_rossii"	0.00337373890449175	0.00202812400744393	0	0.00201468021127991	0.00067330057394056	2.65751180573584e-06	0.000670715409235896	0.000669403620852684	1.00066838986196	0	0	0.000322894701812932	0	0.100258479293947	0	8.23711453862518e-05	4.77205648810336e-05	7.09631225125796e-05	3.83379420964971e-05	4.81862678988971e-05	2.49537564663211e-05	6.07137108235863e-06	5.03670052819977e-05	1.72861680470217e-05	0	0	7.66758841929942e-06	2.51835026409988e-05	9.61857962772229e-06
"Oxytropis_arctica"	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0
