"Saxifraga_tricuspidata"	"Dryas_integrifolia"	"Campanula_gieseckiana"	"Ledum_palustre"	"Polygonum_viviparum"	"Silene_acaulis"	"Rhododendron_lapponicum"	"Salix_sp1_M_PL_045"	"Cerastium_alpinum"	"Epilobium_latifolium"	"Vaccinium_uliginosum"	"Viscaria_alpina"	"Cassiope_tetragona"	"Pedicularis_flammea"	"Potentilla_rubricaulis"	"Pyrola_grandiflora"	"Saxifraga_caespitosa"	"Unidentified_sp1_M_PL_045"	"Nysius_groenlandicus"	"Acarina_sp1_M_PL_045"	"Unidentified_sp2_M_PL_045"	"Thysanoptera_sp1_M_PL_045"	"Unidentified_sp3_M_PL_045"	"Eupeodes_curtus"	"Dolichopus_sp1_M_PL_045"	"Spilogona_sp1_M_PL_045"	"Platycheirus_hyperboreus"	"Platycheirus_lundbecki"	"Delia_sp1_M_PL_045"	"Pegomya_sp1_M_PL_045"	"Sphaerophoria_scripta"	"Unidentified_sp4_M_PL_045"	"Coccinella_transversoguttata"	"Eupeodes_luniger"	"Lasiomma_sp1_M_PL_045"	"Platycheirus_groenlandicus"	"Protophormia_terranovae"	"Sympsitis_zetterstedtii"	"Unidentified_sp5_M_PL_045"	"Unidentified_sp6_M_PL_045"	"Unidentified_sp7_M_PL_045"	"Unidentified_sp8_M_PL_045"	"Unidentified_sp9_M_PL_045"
"Saxifraga_tricuspidata"	1.0069285865487	0.00124776295602169	2.52690000150777e-05	0.000787086528831889	0.000141786207599517	0.000208633639653479	0.000121802103720194	0.000255607967361658	6.41506001256217e-05	2.80997557762654e-07	0.000159704522174912	2.80997557762654e-07	0	0.000140306439905474	1.40498778881327e-07	2.13010733290743e-07	1.9398082269438e-05	0.0855869283423391	1.68598534657592e-05	1.32994736921462e-06	0.0019398082269438	0.00572470712206917	0.00192477789211713	1.27806439974446e-05	1.98101579577187e-05	0.00381057701073367	1.238981987057e-05	9.04558727993351e-06	2.65989473842924e-07	7.93352359906401e-06	6.59464960902675e-06	8.13445671359371e-06	6.39019918404145e-06	4.45629627150602e-06	4.45629627150602e-06	1.32994736921462e-07	1.32994736921462e-07	1.5754023066613e-06	6.55905440693241e-06	0	0.00189986525763906	1.32994736921462e-07	4.45629627150602e-06
"Dryas_integrifolia"	0.00236183702389819	1.00417341546289	0.00054363105410457	0.00033621112517906	0.000457866726241243	0.000851153006907512	0.000229030944525533	0.000162428409791385	0.000420070616536336	0.000120470364747333	7.20396655308822e-05	0.000120470364747333	0	3.56771271914388e-05	6.02351823736663e-05	0.000120110488002246	3.63625383394434e-05	0.0217630475867777	0.00722822188483995	2.86121607423458e-05	0.00363625383394434	0.0107948996556483	0.0143810237858554	0.00720662928013474	1.12664942037111e-05	0.00359930692944099	0.00718685313675485	0.00717552846938062	5.72243214846916e-06	0.00360051951010165	0.00360033598053774	7.8891674458393e-06	4.06071024478463e-06	0.00358633362665319	0.00358633362665319	2.86121607423458e-06	2.86121607423458e-06	5.08740806934714e-06	2.80175937649217e-06	0	4.45629627150602e-06	2.86121607423458e-06	0.00358633362665319
"Campanula_gieseckiana"	7.04872105683748e-05	0.000801140500785682	1.00842662046379	0.000399971929545444	8.9602261538189e-05	0.000133764931163293	4.28344165357135e-07	2.35623987611774e-07	8.92297465947769e-05	1.79085114096359e-07	1.5670752394855e-07	1.79085114096359e-07	0	7.0595636744221e-08	8.95425570481795e-08	8.87679610429964e-05	8.61118872043291e-08	4.30633384139748e-05	1.07451068457815e-05	0.0530750852875677	8.6111887204329e-06	1.53007653369733e-05	0.0053235452188294	0.00532607766257978	0.0053175078269954	3.1330961477678e-06	7.95184766785739e-06	0.00531323096090523	0.0106150170575135	5.0906315936228e-06	5.83554096072715e-06	4.32868009663636e-06	5.89059969029436e-09	2.86121607423458e-06	2.86121607423458e-06	0.00530750852875677	0.00530750852875677	9.95580683757657e-07	3.3330994128787e-06	0	1.32994736921462e-07	0.00530750852875676	2.86121607423458e-06
"Ledum_palustre"	0.00347629883567418	0.000784492625417806	0.000633288888446953	1.00366010501478	0.000489784112842655	0.000154525197868187	0.000346024402339086	0.000154207351507408	9.39634647926562e-05	5.49184054296953e-07	0.000153327456829189	5.49184054296953e-07	0	6.91108018841537e-05	2.74592027148477e-07	2.92333545195381e-07	8.42166549450349e-05	0.0421575891493338	3.29510432578172e-05	3.3330994128787e-05	0.00842166549450349	0.00840369937535836	2.62500312547193e-05	1.75400127117228e-05	0.0250948357247824	1.97750519780422e-05	8.17893871745411e-06	8.93661816586303e-06	6.66619882575741e-06	5.37717934096194e-06	5.93387486958071e-06	0.00836927625415476	3.8551837876852e-06	2.80175937649217e-06	2.80175937649217e-06	3.3330994128787e-06	3.3330994128787e-06	5.44204569825172e-06	0.00836383420845651	0	6.55905440693241e-06	3.3330994128787e-06	2.80175937649217e-06
"Polygonum_viviparum"	0.00083496322253049	0.0014244742594172	0.000189160329913955	0.000653045483790207	1.00421375775897	1.98582373950784e-05	7.69593404884226e-07	1.89126189066759e-05	0.000187485848076168	0.00093388833514595	1.86475616555258e-05	0.00093388833514595	0	1.85084351314185e-05	0.000466944167572975	0.000186566787426678	1.39126524107317e-07	0.0112901454301653	0.056033300108757	9.95580683757657e-06	1.39126524107317e-05	3.16992449306048e-05	2.35825565143101e-05	0.0111940072456007	1.73217177785128e-05	8.71102815533664e-06	1.05057867619456e-05	1.11703968224519e-05	1.99116136751531e-06	5.41837869259844e-06	1.13369363385527e-05	0.0111633726874646	4.72815472666899e-07	5.08740806934714e-06	5.08740806934714e-06	9.95580683757657e-07	9.95580683757657e-07	0.0111579306417664	5.44204569825172e-06	0	1.5754023066613e-06	9.95580683757657e-07	5.08740806934714e-06
"Silene_acaulis"	0.00184293048360573	0.00397204736556839	0.000423588948683762	0.000309050395736373	2.97873560926176e-05	1.00242663319733	0.000504659576526889	0.000196946147908131	1.98841706917428e-06	5.02537573442236e-07	0.000195802182743329	5.02537573442236e-07	0	2.78350925020499e-05	2.51268786721118e-07	5.17503065250903e-07	0.000167967090241279	0.0169794064262504	3.01522544065342e-05	2.22941551938822e-05	0.0167967090241279	6.8247522274664e-05	0.0334766712832186	3.10501839150542e-05	9.95567541279754e-06	2.60639918012778e-05	0.0167354823201858	3.06011824163053e-05	4.45883103877644e-06	0.0167212964367374	1.4252164017431e-05	2.90639058772108e-06	4.92365369770328e-06	1.41858834484585e-05	1.41858834484585e-05	2.22941551938822e-06	2.22941551938822e-06	3.30970623251306e-07	2.57541996446977e-06	0	3.47722732755798e-06	2.22941551938822e-06	1.41858834484585e-05
"Rhododendron_lapponicum"	0.00161387787429257	0.00160321661167873	2.03463478544639e-06	0.00103807320701726	1.73158516098951e-06	0.000756989364790333	1.00253954959024	0.000756650116473092	0.000280076036206642	1.93267722207317e-07	0.000753990187889135	1.93267722207317e-07	0	4.65464092820154e-07	9.66338611036585e-08	3.47535284458889e-07	0.000753524723796315	0.000283933096620294	1.1596063332439e-05	1.07086041339284e-07	0.0753524723796315	0.0251077876963064	5.11918344760365e-05	2.08521170675333e-05	2.59625387795654e-05	3.07321317109753e-05	2.40680366394489e-05	1.14622558304106e-05	2.14172082678568e-08	1.83422630263105e-05	1.50616414866931e-05	8.66984989359926e-06	1.89162529118273e-05	5.72577361313833e-06	5.72577361313833e-06	1.07086041339284e-08	1.07086041339284e-08	1.92398351221057e-08	8.65061005847716e-06	0	3.04505259300484e-06	1.07086041339284e-08	5.72577361313833e-06
"Salix_sp1_M_PL_045"	0.00338680556754197	0.0011369988685397	1.11921394115593e-06	0.000462622054522225	4.25533925400209e-05	0.000295419221862197	0.000756650116473092	1.00342986235949	9.50454880920546e-07	1.75489503814289e-07	0.000293723011904873	1.75489503814289e-07	0	4.17068836242695e-05	8.77447519071445e-08	1.44103645931394e-07	0.000252016128280603	0.0254411990108044	1.05293702288573e-05	5.89059969029436e-08	0.0252016128280603	5.41558468153548e-05	3.24862381582768e-05	8.64621875588362e-06	1.15714419627459e-05	0.0251025876676002	1.30450741872725e-05	8.12731108925956e-06	1.17811993805887e-08	8.98436394248791e-06	4.09239207414865e-06	4.3279992603521e-06	0.0250857465589873	4.06071024478464e-06	4.06071024478464e-06	5.89059969029436e-09	5.89059969029436e-09	4.72815472666899e-07	3.8551837876852e-06	0	6.39019918404145e-06	5.89059969029436e-09	4.06071024478464e-06
"Cerastium_alpinum"	0.00113332726888598	0.00392065908767246	0.000565121728433587	0.000375853859170625	0.000562457544228504	3.97683413834855e-06	0.00037343471494219	1.26727317456073e-06	1.002602267283	9.91671114897357e-07	8.06336431900576e-07	9.91671114897357e-07	0	3.31674714625807e-07	4.95835557448678e-07	0.0005585526567116	4.7466171727477e-07	0.000202321575921742	5.95002668938414e-05	2.97432488649256e-05	4.7466171727477e-05	0.0334809656811329	6.12546549001363e-05	0.033513159402696	1.23706713657582e-05	1.831074238895e-05	2.80709883380615e-05	3.09790326555816e-05	5.94864977298513e-06	1.4068634453517e-05	0.0334340779299846	9.38164376229414e-06	3.16818293640182e-08	1.40023538845445e-05	1.40023538845445e-05	2.97432488649256e-06	2.97432488649256e-06	6.2495282692056e-06	3.13211549308854e-06	0	2.13835333752072e-06	2.97432488649256e-06	1.40023538845445e-05
"Epilobium_latifolium"	7.44643528071032e-06	0.00168658510646266	1.70130858391541e-06	3.29510432578172e-06	0.00420249750815678	1.50761272032671e-06	3.86535444414634e-07	3.50979007628578e-07	1.48750667234603e-06	1.00167774927398	1.98591748401166e-07	0.00167774927397927	0	1.3715182430123e-07	0.000838874636989634	9.81635910575634e-07	6.14399240999358e-08	8.36626128237505e-05	0.100664956438756	8.95425570481795e-08	6.14399240999358e-06	1.81994104903344e-05	2.41673308404037e-05	5.8898154634538e-05	9.13318638493609e-08	6.06039246833361e-06	1.20721633534054e-05	1.20559907304381e-05	1.79085114096359e-08	6.04864511603874e-06	6.0731017931115e-06	4.67218759600123e-05	8.77447519071445e-09	6.02351823736663e-06	6.02351823736663e-06	8.95425570481795e-09	8.95425570481795e-09	4.66944167572975e-05	2.74592027148477e-08	0	1.40498778881327e-08	8.95425570481795e-09	6.02351823736663e-06
