"Daucus_carota_carota"	"Sonchus_tenerrinus"	"Carpobrotus_sp1_M_PL_058"	"Opuntia_stricta"	"Cistus_monspeliensis"	"Lavandula_stoechas"	"Cistus_salvifolius"	"Cistus_albidus"	"Urospermum_picrioides"	"Rosmarinus_officinalis"	"Aetheorrina_bulbosa"	"Galactites_tomentosa"	"Eryngium_campestre"	"Convolvulus_althaeoides"	"Scabiosa_stellata"	"Sedum_sediforme"	"Thymelaea_hirusta"	"Ruta_chalepensis"	"Helichrysum_stoechas"	"Psoralea_bituminosa"	"Dorychnium_pentaphylum"	"Alyssum_maritimum"	"Helianthemum_guttatum"	"Lathyrus_clymenum"	"Equium_sabulicola"	"Euphorbia_segatalis"	"Allium_ampeloprasum"	"Brassica_fruticulosa"	"Dianthus_caryophillus"	"Hypericum_perfolatum"	"Linum_sp1_M_PL_058"	"Vicea_lutea"	"Andrena_sp1_M_PL_058"	"Apis_mellifera"	"Mordellistena_pumila"	"Oedemera_lurida"	"Oxythyrea_funesta"	"Anthidium_sticticum"	"Psilothrix_sp1_M_PL_058"	"Unidentified_sp35_M_PL_058"	"Bombus_terrestris"	"Oedemera_flavipes"	"Myrabilis_quadripunctata"	"Lasioglossum_sp1_M_PL_058"	"Mordella_bipunctata"	"Halictus_gemmeus"	"Unidentified_sp38_M_PL_058"	"Criptocephalus_sp1_M_PL_058"	"Unidentified_sp43_M_PL_058"	"Xylocopa_sp1_M_PL_058"	"Halictus_pyrenaicus"	"Colletes_sp1_M_PL_058"	"Amegilla_femorata"	"Megachile_sp2_M_PL_058"	"Plagiolepsis_pigmaea"	"Anthidium_sp1_M_PL_058"	"Oedemera_nobilis"	"Halictus_sp1_M_PL_058"	"Osmia_sp1_M_PL_058"	"Oedemera_barbara"	"Camponotus_aethiops"	"Hylaeus_sp2_M_PL_058"	"Trichodes_apiarius"	"Nomada_sp1_M_PL_058"	"Polistes_gallicum"	"Unidentified_sp37_M_PL_058"	"Unidentified_sp41_M_PL_058"	"Conophorus_virescens"	"Scolia_sp1_M_PL_058"	"Unidentified_sp46_M_PL_058"	"Halyctus_sp1_M_PL_058"	"Hylaeus_nigritus"	"Sphaerophoria_sp1_M_PL_058"	"Unidentified_sp42_M_PL_058"	"Callophrys_rubi"	"Sphecodes_sp1_M_PL_058"	"Anthophora_sp1_M_PL_058"	"Ceratina_cucurbitina"	"Unidentified_sp39_M_PL_058"	"Unidentified_sp53_M_PL_058"	"Unidentified_sp61_M_PL_058"	"Unidentified_sp64_M_PL_058"	"Unidentified_sp40_M_PL_058"	"Unidentified_sp45_M_PL_058"	"Unidentified_sp49_M_PL_058"	"Unidentified_sp62_M_PL_058"	"Vanesa_atlantica"	"Zygaena_sp1_M_PL_058"	"Cerceris_sp1_M_PL_058"	"Eucera_sp1_M_PL_058"	"Helorus_coruscus"	"Hylaeus_variegatus"	"Lassiopogon_sp1_M_PL_058"	"Megachile_sp1_M_PL_058"	"Papilion_machaon"	"Pieris_rapae"	"Pyronia_tithonus"	"Stenopterus_rufus"	"Unidentified_sp36_M_PL_058"	"Unidentified_sp44_M_PL_058"	"Unidentified_sp47_M_PL_058"	"Unidentified_sp48_M_PL_058"	"Unidentified_sp50_M_PL_058"	"Unidentified_sp51_M_PL_058"	"Unidentified_sp52_M_PL_058"	"Unidentified_sp54_M_PL_058"	"Unidentified_sp55_M_PL_058"	"Unidentified_sp56_M_PL_058"	"Unidentified_sp57_M_PL_058"	"Unidentified_sp58_M_PL_058"	"Unidentified_sp59_M_PL_058"	"Unidentified_sp60_M_PL_058"	"Unidentified_sp63_M_PL_058"
"Daucus_carota_carota"	1.00470132359255	0.000805868192239344	0.000450385385258258	0.000626494834784707	0.00032717350447205	4.73405282503694e-05	0.000273373551426135	0.000107954934371836	0.000272241976330784	2.16094525777667e-05	0.000199822304111856	9.83517539697695e-05	0.000373541453867849	0.000449111002949129	6.34838218819986e-05	0.000319916862915491	1.53721668568023e-05	0.000291950746933116	0.000452622537870138	0.000131156576985226	2.63501715721575e-07	1.92108880980203e-05	3.51071722206196e-05	5.3515710698833e-08	6.92620721641111e-06	1.49821802899766e-07	0	2.97150244501535e-08	5.76906534143698e-06	5.40498688419285e-08	2.79439020951582e-08	4.32303950831135e-06	0.00691686321329816	0.000716342348783908	0.0301499058668924	0.00209268266139189	2.69694221102165e-05	7.75977805133078e-06	0.000707224934734188	0.019837573418818	1.68332712780882e-05	0.00207686352291731	0.00206760507993917	0.00206374385105412	0.01299031068272	0.00685255506487131	1.08506928277868e-05	9.4267267771189e-06	2.91256211674082e-06	7.22878655520816e-06	8.26867913557997e-06	3.86295317851996e-06	1.20668541252852e-06	1.94570315360887e-06	6.59296598704406e-06	5.94548557261214e-06	4.16899475945121e-06	4.93106569891262e-06	2.79439020951582e-06	0.00205475191196211	0.00068684372188396	0.00273600297933182	0.00273733343165316	3.73658294801043e-06	2.90504642919746e-06	1.94237905996751e-06	0.00137014971742767	1.70342470625611e-06	0.000687594855442193	8.81243027906991e-07	1.44740051559713e-06	4.95201252770966e-06	1.8981029619845e-06	7.66239430409053e-07	2.18678614842529e-07	1.2859955817719e-06	7.1735786490975e-07	7.05915693460734e-07	9.83517539697695e-07	4.28445896787088e-07	3.43701420883942e-06	1.47939150782404e-07	6.62882840740152e-07	1.22977334854418e-07	0.00136694057631639	1.20278834662589e-06	2.6681532419132e-06	6.55678359798464e-07	1.32704884969598e-06	3.41201049438074e-07	6.18731764388147e-07	3.17644179099078e-07	9.36832692751611e-07	2.11676341905562e-07	2.44168545699995e-07	2.44168545699995e-07	3.27839179899232e-07	0.000683470288158196	1.3340766209566e-06	6.14886674272091e-08	2.44168545699995e-07	6.01394173312943e-07	6.01394173312943e-07	0.000683470288158196	2.44168545699995e-07	3.41201049438074e-07	0.000683470288158196	0	4.93130502608015e-08	1.32704884969598e-06	0.000683470288158196	4.93130502608015e-08	3.41201049438074e-07
"Sonchus_tenerrinus"	0.000884049434770026	1.00276303997819	0.000786602303986646	0.000578740980492703	0.00100772871125643	0.0003074780265863	0.000613581672054139	0.0004851234428038	0.000567833450008329	0.000211459708486113	0.000506696514878781	7.47556572764896e-05	0.000256410717814208	8.33612199746334e-05	0.00011415362043631	0.000230192355202769	0.000120764976825291	0.000174203128907002	2.25663330341874e-05	6.67777872790474e-05	6.23069808103496e-05	5.84048299493872e-05	3.13045168953516e-05	5.34927111614912e-06	1.76230181245816e-05	3.22718265092089e-05	0	5.82676045300863e-06	8.39630489967954e-06	4.24944476236849e-08	4.93646794984747e-08	2.3914712858216e-05	0.0382635405731456	0.00678683329672192	6.49370200943214e-05	0.00680660671363968	0.00154648245937917	0.000775644311841623	0.00752251461387092	0.000771822193816964	0.000768228375935365	0.00302266976388463	0.00151334012970183	0.00525462703214918	0.00151198507785542	0.00151434163840002	1.25911841798863e-05	0.00450309450464651	1.04602607117345e-05	6.67778054414657e-06	0.00300131917276062	0.000757478858891122	5.55599327447502e-06	5.06949426359439e-06	9.20601289909438e-06	4.67438923860534e-06	9.2866045608252e-06	5.21599003211502e-06	4.93646794984747e-06	0.00374437306933055	3.71769176058134e-06	0.00224837583463102	0.000752887857753878	0.00224906604946573	4.59163198775709e-06	0.000753188017375123	5.15673640031917e-06	2.71742825265635e-06	0.000751663930603552	3.88899440834335e-06	2.94854495851829e-06	3.38978811108718e-06	0.00149920539655706	3.5539095126848e-06	1.81535538031098e-06	0.000750607671239565	1.93110979025554e-06	1.61392026126561e-06	7.47556572764895e-07	1.78172690789791e-06	2.62415176400594e-06	9.60868833082188e-07	0.0007488136867567	9.66119814602327e-07	1.20278834662589e-06	0.0014966612536988	1.83150512724434e-06	4.98371048509931e-07	7.91832404122734e-07	5.9591083635352e-07	1.29053056820075e-06	9.78377389569349e-07	4.76984194850339e-07	9.51222436870197e-07	4.39052386293501e-07	4.39052386293502e-07	2.49185524254965e-07	6.01394173312943e-07	9.15752563622172e-07	4.83059907301164e-07	4.39052386293501e-07	0.000748330626849398	0.000748330626849398	6.01394173312943e-07	4.39052386293501e-07	5.9591083635352e-07	6.01394173312943e-07	0	3.20289611027396e-07	7.91832404122734e-07	6.01394173312943e-07	3.20289611027396e-07	5.9591083635352e-07
"Carpobrotus_sp1_M_PL_058"	0.000501565542673969	0.000798520520713717	1.00277309326137	0.000821567167934467	0.00106055194097381	0.000447243355746894	0.00102526239168766	0.000481392298144585	0.000306057267645289	0.00011930194830236	0.000529572527772161	0.000346964070326873	9.04898867810145e-05	0.000254285882331322	9.62560467671837e-05	5.99850751318984e-05	9.17032052983272e-05	4.89514374092635e-05	0.000116336358731106	1.23686864343595e-05	2.79037790599344e-07	3.2077070156799e-05	2.4121256886974e-05	2.64064743666539e-05	8.71423432534024e-08	1.28492105293764e-05	0	1.63546834234894e-08	6.39698765494372e-06	4.73060504140362e-08	1.52880044161772e-05	1.97238395928347e-06	0.00315581433485355	0.00537638571482424	0.00537289611059821	0.0160213655879154	0.0152465833968839	0.00382893878316481	0.0167488188623948	0.000779689899446837	0.0106528341733519	0.00230291555577974	1.81325519848246e-05	1.86222018952328e-05	0.000770412683463907	9.99361042134008e-06	0.00609120769959215	0.00229247980781866	1.0675869755959e-05	9.47962116847462e-06	8.8998735449634e-06	2.12610884505362e-06	6.82394767456169e-06	0.000764802680817012	0.00153044438622916	5.20366554554399e-06	0.00152940657696035	0.000764884746944916	0.00152880044161772	4.32633549715688e-06	4.7650242613929e-06	4.1821987854282e-06	2.79337743280105e-06	4.34494038622733e-06	2.34057136977606e-06	5.75942523222214e-06	0.00152351506905646	3.26066784115275e-06	2.68094197597673e-06	3.52657544200392e-06	0.00228090010493748	2.03214072356194e-06	3.58254013077761e-06	3.34255839917895e-06	1.59454559281914e-06	3.12111348915389e-06	1.6273416903332e-06	3.76025054039394e-07	3.46964070326873e-06	1.86235339537834e-06	1.08291202322954e-06	1.39763548670905e-06	9.62723657546829e-07	7.33625642386618e-07	6.82402098876147e-07	1.19182167270704e-06	6.46356334150103e-07	2.31309380217916e-06	2.22506533678471e-07	0.000759676585804065	6.95584699193839e-07	1.02966207861535e-06	8.83477602454251e-08	9.43906466950168e-07	3.70215564489168e-07	3.70215564489168e-07	1.15654690108958e-06	3.41201049438074e-07	3.23178167075052e-07	3.66812821193309e-07	3.70215564489168e-07	5.9591083635352e-07	5.9591083635352e-07	3.41201049438074e-07	3.70215564489168e-07	0.000759676585804065	3.41201049438074e-07	0	4.65878495569682e-07	2.22506533678471e-07	3.41201049438074e-07	4.65878495569682e-07	0.000759676585804065
"Opuntia_stricta"	0.0007084210824104	0.000596548395277093	0.000834206662825767	1.00443421324428	0.000275035894700172	0.000601925065014066	0.000171075405602885	0.000198042669037081	0.000175150440634005	0.000382608798617197	4.06229106522777e-05	0.00022498213873042	8.7476240184697e-05	5.3787379667041e-05	0.000415695624296213	0.000186405759458124	0.000187706661594845	8.30296657057668e-05	5.22729779905338e-05	0.000314290187514116	2.28074787649499e-07	1.53807516589011e-05	2.84249917783331e-06	1.08779370457435e-05	7.91299107787161e-06	1.28935040544008e-07	0	2.62897767287566e-08	4.32653077521671e-06	3.52122014656594e-05	5.2799791064567e-08	5.23886217196728e-07	0.000838217947514765	0.0255625271462775	0.0023605343634162	3.72397901477784e-05	0.00466562513825604	0.0015773008716328	2.2845350196421e-05	0.00311191439705817	0.013922576896069	0.00155755107907801	0.0154718564098128	0.00233137008210666	0.00155682731563173	1.22017142625082e-05	7.58389580337036e-06	6.35863974601729e-06	9.56755473951208e-06	0.011589625537434	0.00386719610968454	3.41767097473836e-06	7.64302165638724e-06	9.03209246910626e-06	3.42047130238895e-06	0.00387334216122254	4.52406571863089e-06	7.81115644187361e-06	5.2799791064567e-06	3.98409930260726e-06	0.0054089738365729	3.53025766403709e-06	5.0947217177705e-06	3.267758348705e-06	3.76241956298202e-06	1.54162226918709e-06	2.94246034154549e-06	5.95912493388915e-06	0.00154770175554016	3.53735686648873e-06	2.75727938044013e-06	0.0015463506352775	2.48722323857185e-06	3.81107548472843e-06	3.37961498887485e-06	1.6062409266373e-06	1.65207973537174e-06	2.12636206274097e-06	2.2498213873042e-06	1.6448570629213e-06	1.56230855511083e-06	1.88101582816896e-06	1.19601201598915e-06	1.50165329275876e-06	9.63838207361087e-07	8.90370739219542e-07	6.2483028703355e-07	1.49988092486947e-06	3.77407571389849e-07	6.31974744564975e-07	3.98069183259102e-07	2.67025140485603e-07	2.24492991081511e-06	3.88318958896237e-07	1.5988293242162e-06	1.5988293242162e-06	7.49940462434734e-07	4.81919103680544e-07	3.12415143516775e-07	7.50826646379381e-07	1.5988293242162e-06	4.45185369609771e-07	4.45185369609771e-07	4.81919103680544e-07	1.5988293242162e-06	6.31974744564974e-07	4.81919103680544e-07	0	6.27005276056319e-07	3.77407571389849e-07	4.81919103680544e-07	6.27005276056319e-07	6.31974744564974e-07
"Cistus_monspeliensis"	0.000466936943275644	0.00131102570202293	0.00135915394377226	0.000347132682631284	1.00250359231369	0.000509073463401761	0.000779860864005997	0.000540027674774497	0.000449733554564699	0.000297153856514538	0.000206755914689813	0.000225540151185352	0.000113825033864969	0.000196774619430803	7.89115018231014e-05	5.00333135982524e-05	0.000224214450663467	8.98372066801138e-05	0.000120541650825031	4.22780362456825e-05	3.25197358239304e-07	6.93668540911008e-05	4.97614634342833e-05	1.36848860257978e-05	1.63712169603392e-05	2.45563893341057e-05	0	2.50306860688626e-08	2.76849988568891e-06	3.11311762042699e-08	8.26084515897821e-08	1.16339459442813e-05	0.01861431351085	0.00201235951810549	0.00297620748441019	0.0331490666084047	0.0136794668323108	0.00198430847374068	0.00102230672168978	1.86692547987261e-05	2.49148751577436e-05	0.000996659958848006	0.000984997217592697	0.00488346668329646	1.03639454274414e-05	9.73518300045504e-06	0.000991290349437982	1.50661438752246e-05	0.00584609112376153	4.00537710728405e-06	0.00098181959221684	3.25398918895213e-06	0.00098026589473051	7.52966250980949e-06	0.00292857810727174	3.42442938246969e-06	1.12463338921039e-05	5.95840913684445e-06	8.2608451589782e-06	6.25133746323315e-06	2.1868201624983e-06	0.000977510167442087	3.16094407605643e-06	5.38734474488558e-06	5.22267940066246e-06	5.24938945150433e-06	5.1184213998942e-06	3.26464887598952e-06	2.23033835842565e-06	0.00195019634832458	4.68757364698908e-06	1.75727013797051e-06	0.00194939109927231	4.6034624847295e-06	2.71142447383444e-06	0.00194811757936125	2.08269143034011e-06	1.39492024026531e-06	2.25540151185352e-06	0.000974731601217347	1.6443030946431e-06	1.5908545731305e-06	1.87523519222322e-06	1.79371560530774e-06	6.35288358198154e-07	1.9567547791387e-06	8.13035956178348e-07	1.50360100790235e-06	4.08350939455063e-07	1.02966207861534e-06	1.02212171491977e-06	0.000973304458556983	3.01985973183446e-07	1.05887779367549e-06	3.03505776242698e-07	3.03505776242698e-07	7.51800503951174e-07	3.17644179099077e-07	4.06517978089174e-07	8.96857802653869e-07	3.03505776242698e-07	9.78377389569348e-07	9.78377389569348e-07	3.17644179099077e-07	3.03505776242698e-07	1.02966207861534e-06	3.17644179099077e-07	0	5.30284857710168e-07	4.08350939455063e-07	3.17644179099077e-07	5.30284857710168e-07	1.02966207861534e-06
"Lavandula_stoechas"	7.24901838833782e-05	0.00042918807877671	0.00061495961415198	0.000815106858873214	0.000546193403441472	1.00443410649797	0.000257614105542805	0.000631620313862997	0.000140194080804106	0.000806178742919555	1.94477147662663e-05	8.81994306589214e-05	2.09392368333339e-05	4.4512363267903e-05	0.000341921640202526	6.5929859979961e-05	0.000286476487558757	1.23984785371151e-05	1.81949604106532e-06	0.000154290809480301	2.59563959185773e-07	6.85898728760032e-05	2.0852639848871e-06	0.000224009380588322	1.0643693357925e-05	1.53219806550958e-07	0	2.63735574035485e-08	2.77911019768643e-08	9.57399841624742e-06	4.94253037259359e-08	2.00412051009106e-06	0.00320659281614569	0.021017338275014	1.5819631472642e-05	4.40862614886455e-05	0.00108498567579858	0.0324813601853067	1.86883780521301e-05	8.00872570754738e-06	2.29738576499619e-05	1.00047967116711e-05	2.36331674101046e-05	0.00315261475160263	3.61833482568944e-06	3.2814893297613e-06	7.24118925875135e-06	4.56123769101496e-06	0.00315266381280694	9.40507914084478e-06	6.16605785477646e-06	3.4285624624613e-06	0.00837564617250307	0.00837423655367641	4.28170582548396e-06	0.00105313982578722	5.75152746243907e-06	0.00314300016961503	4.94253037259359e-06	1.82417019460986e-06	4.43834998265504e-06	1.68840589183556e-06	2.15270120416188e-06	3.52628015796308e-06	4.70144456907164e-06	2.62321700763267e-06	2.4972548535754e-06	0.00314162663928325	2.15105209324052e-06	5.64419351636044e-06	0.00104803605912375	1.44150698204962e-06	3.94053433447388e-06	8.30952342963937e-06	0.00209704982599809	0.0010476663869285	0.00209288967811502	2.02466278874317e-06	8.81994306589214e-07	0.00104796171840999	5.79570479461866e-07	0.00313885658280614	1.46619556126242e-06	2.29181190047005e-06	9.86261005216029e-08	6.40579222054792e-07	1.49565977380956e-07	5.8799620439281e-07	5.63567206232505e-08	4.65878495569682e-07	3.18622910918424e-07	5.30284857710167e-07	1.10207721057358e-06	1.23847120365294e-06	1.31508323154818e-06	1.31508323154818e-06	2.93998102196405e-07	4.93130502608015e-08	7.47829886904782e-08	1.14590595023503e-06	1.31508323154818e-06	3.20289611027396e-07	3.20289611027396e-07	4.93130502608015e-08	1.31508323154818e-06	4.65878495569682e-07	4.93130502608015e-08	0	0.00104628552760205	5.63567206232505e-08	4.93130502608015e-08	0.00104628552760205	4.65878495569682e-07
"Cistus_salvifolius"	0.000550491946022491	0.00112630060349664	0.00185389911921604	0.000304654831895548	0.00110035163003586	0.000338780193590538	1.00182267037549	0.000653804537942814	0.000398249221856277	0.000223700753333303	0.000293015331380184	0.000284890187610126	0.000128533362804155	0.000327279476016826	7.42748580164388e-05	5.52515090843433e-05	5.69972466484984e-05	0.000115916046964956	9.79849446064178e-05	5.05067248022272e-05	0.00011841434569871	2.31478330125347e-05	2.31203714164488e-05	2.36154768593025e-07	8.36532519535213e-08	4.59614122747376e-05	0	9.25253458498604e-08	3.88397847379205e-06	3.10901730983091e-08	1.38291414984073e-05	1.46566942783925e-05	0.0234507108454279	0.00280111892961975	0.00418253897118707	0.00421485184723606	0.0192742940330788	3.42424414459885e-05	0.00965893208026368	0.00276373028656112	2.95869260388638e-05	0.00139823225056514	1.21257396555696e-05	1.92709873001359e-05	1.17522323058819e-05	1.13034274967699e-05	0.00962259911346272	1.62809287141599e-05	0.00138259956231451	3.51524806033324e-06	8.53848490050148e-06	1.20282949604819e-05	0.0013774940752285	6.09835829848099e-06	0.00549950271695517	3.419919040814e-06	0.00549757202484705	6.36902127468677e-06	0.00138291414984073	5.7851148675185e-06	2.01493341184429e-06	5.08780833681227e-06	3.37202979625655e-06	5.75782240711134e-06	3.49778526733652e-06	0.00412183338972164	6.9604533893296e-06	0.001374064945388	2.12571896950494e-06	3.04856105324172e-06	0.0013769261255563	1.98152971081429e-06	4.43904176520779e-06	0.00137550596505887	1.94857403294308e-06	3.33002398028622e-06	1.61090393783546e-06	2.91249414296025e-07	2.84890187610126e-06	1.64918757501701e-06	1.02002135808597e-06	1.05868810497043e-06	1.06851182502432e-06	4.55977973187988e-07	7.48968634044205e-07	1.68104567686065e-06	9.18095448601109e-07	1.89926791740084e-06	5.26891122567982e-07	1.40446902970912e-06	9.05111867855175e-07	1.06830255343287e-06	3.60762320015909e-07	1.28196968224081e-06	2.85672530832457e-07	2.85672530832457e-07	9.4963395870042e-07	3.74484317022103e-07	4.59047724300555e-07	2.27988986593994e-07	2.85672530832457e-07	8.40522838430327e-07	8.40522838430327e-07	3.74484317022103e-07	2.85672530832457e-07	1.40446902970912e-06	3.74484317022103e-07	0	3.52896034990144e-07	5.26891122567982e-07	3.74484317022103e-07	3.52896034990144e-07	1.40446902970912e-06
"Cistus_albidus"	0.000311164222601175	0.00127463806540606	0.00124595653637422	0.000504814646565107	0.00109064412748575	0.00118893235550682	0.000935837868035792	1.00116988318302	0.00042552329268793	0.000347074753584917	0.000209127181628642	0.000361729176740736	0.000131795279105098	8.40291579736791e-05	0.00010072151814494	7.38065491024026e-05	0.000126159426986318	0.000117093657070547	4.22788327755145e-05	3.55051220910158e-05	5.66857296445409e-05	6.38813427148665e-05	3.11943429372254e-05	0.000108738840085042	1.02440635927326e-07	2.02158479451341e-07	0	6.0675595406945e-08	5.51678348946102e-06	4.72090277241538e-08	3.93808733027559e-05	1.84847522112137e-05	0.029575603537942	0.00793537989738067	4.76745756781493e-05	0.0118618014182719	0.0118443033890173	0.0157671318123311	0.00201133368867062	1.40506492362586e-05	0.00198903840268012	0.00198604205620597	1.47600407014199e-05	2.28477941755556e-05	8.55514589706491e-06	9.20541455402628e-06	1.85534845123511e-05	1.45157489293223e-05	1.55944266605997e-05	5.82478438344354e-06	1.00018837094648e-05	7.88782740290285e-06	1.41768101806115e-05	0.0019746881241387	1.08454417981308e-05	5.19299304965692e-06	0.00393631205700957	8.22537856719705e-06	0.00393808733027559	5.86183863544302e-06	2.92990905417922e-06	4.75925047190832e-06	3.01278835108088e-06	4.73480860670438e-06	3.08977723931322e-06	0.00196913501668423	0.00196632763695245	5.63838176253906e-06	2.52998908938745e-06	4.13630641913205e-06	5.35216028674425e-06	2.31182313471825e-06	4.98429699882723e-06	0.0019672524616151	4.40513548277763e-06	4.30744922787411e-06	3.44404079977844e-06	3.94219830132103e-07	3.61729176740736e-06	2.80198670527369e-06	1.37031096624986e-06	3.71541361095881e-06	1.45586014481547e-06	1.00927541589054e-06	4.23352683811123e-07	1.90244487374039e-06	9.41394850750702e-07	2.41152784493825e-06	5.32243895775212e-07	9.43906466950167e-07	9.67098392472569e-07	1.05887779367549e-06	2.53608014935827e-07	0.00196307820231965	3.87390454403616e-07	3.87390454403616e-07	1.20576392246912e-06	2.11676341905561e-07	4.70697425375351e-07	5.0463770794527e-07	3.87390454403615e-07	9.51222436870197e-07	9.51222436870197e-07	2.11676341905561e-07	3.87390454403615e-07	9.43906466950167e-07	2.11676341905561e-07	0	1.23847120365294e-06	5.32243895775212e-07	2.11676341905561e-07	1.23847120365294e-06	9.43906466950167e-07
"Urospermum_picrioides"	0.000909535693650574	0.001729310961389	0.000918171802935867	0.000517489938236832	0.00105278536636736	0.000305877994481687	0.000660731663534278	0.00049322018016101	1.00117984580375	4.86609225563022e-05	0.000483102842615597	0.000182649522606652	0.000325449750061847	0.000246648996619024	8.47275685426765e-05	0.000195818119369692	3.03659359570074e-05	0.000208933550799518	0.000175158616865622	5.93293378359531e-05	0.000123515768152968	5.99644551168386e-05	4.62404053384746e-05	1.85984774140189e-07	7.72013083210122e-06	2.06183488561004e-07	0	1.76136086773134e-05	1.90583273693414e-05	4.1388853646951e-08	6.67247749677346e-08	1.85825552912561e-05	0.0297320884660098	5.28112557674534e-05	0.0137313630343812	0.013736203212321	0.00233172353059587	2.69677922503274e-05	0.00232819044232344	2.91677332617508e-05	2.22181667590499e-05	0.00686099785296288	0.00229192603298634	0.00229922823658172	1.80328509165424e-05	2.12239118698918e-05	1.57685323444454e-05	0.00684316061246389	8.860263071047e-06	5.97103774888652e-06	0.00683518408377072	0.00228976912805075	4.74655532876845e-06	4.75691110738435e-06	9.98215477151221e-06	4.55277390116462e-06	0.00455837212632293	0.00228005269862878	6.67247749677346e-06	9.47116867010334e-06	3.40521604720186e-06	7.36864047707459e-06	5.82430332503741e-06	6.21779690793138e-06	2.3921236746234e-06	7.71775941208257e-06	5.96527202020807e-06	2.61063684877865e-06	4.27194565406463e-06	2.53009840515166e-06	3.31048887635512e-06	3.85785481881262e-06	4.76047379556409e-06	2.27771794829693e-06	9.07584280482971e-07	3.65339690895871e-06	0.00227604598628492	8.40550652432426e-07	1.82649522606652e-06	1.46220836966622e-06	2.72255508841941e-06	9.55868732755271e-07	1.41199431202878e-06	2.42927487656059e-07	1.23746352877629e-06	2.58106113640149e-06	2.32464107187033e-06	1.21766348404435e-06	9.49697958179626e-07	6.95584699193839e-07	0.00227540874046308	1.02212171491977e-06	4.23780984542522e-07	9.67098392472569e-07	3.25875263625679e-07	3.25875263625679e-07	6.08831742022173e-07	6.18731764388146e-07	1.16232053593517e-06	1.2146374382803e-07	3.25875263625679e-07	1.29053056820075e-06	1.29053056820075e-06	6.18731764388146e-07	3.25875263625679e-07	6.95584699193839e-07	6.18731764388146e-07	0	3.18622910918424e-07	9.49697958179625e-07	6.18731764388146e-07	3.18622910918424e-07	6.95584699193839e-07
"Rosmarinus_officinalis"	8.82385980258806e-05	0.000787100026031643	0.000437440477108653	0.00138164288389543	0.000850190200583261	0.00214980998111881	0.000453615416481419	0.000491689234245299	5.94744609021471e-05	1.00197252703854	5.73487056806959e-05	0.000100849350027621	1.88112514171569e-05	1.1919006787472e-05	0.000508634337515964	0.000128207760551543	0.000266154898705165	1.12453587647235e-05	4.26716543716926e-06	1.20980094805554e-05	0.000150903140371416	2.57790574388569e-05	1.90111796194045e-06	5.82091497431706e-05	9.51933825846924e-06	3.99548066974016e-05	0	2.1529962662526e-05	3.04270568036217e-08	7.80274862426533e-08	4.56159225125247e-08	1.79529611293859e-06	0.00287247378070174	0.044655480818578	1.65498246202252e-05	5.11696574444271e-05	0.00282862162900765	0.00844032671275974	2.1354410984989e-05	8.49335096804909e-06	2.98636748103083e-05	1.09537404493038e-05	2.98724254136213e-05	0.00280398330825902	5.45377748788e-06	5.37031963721401e-06	7.96384565768983e-06	5.76738238409116e-06	0.0111472764755672	1.59420332757165e-05	9.40732951780029e-06	0.00279889514612839	0.00558587594063965	2.03616079628191e-05	7.04814622273583e-06	8.58302348669188e-06	5.68304856181532e-06	1.19921294243013e-05	4.56159225125247e-06	3.18420220789741e-06	7.4996417858282e-06	2.82769664523318e-06	3.34772533061144e-06	0.00278703251438476	5.69253580342079e-06	6.76906068067296e-06	1.9614526513013e-06	9.38224743943316e-06	3.79868085746311e-06	5.90933313769674e-06	3.85495928099983e-06	2.29501801176253e-06	0.00278608265046816	0.00835135654617369	0.00557099280989699	4.47762823454096e-06	4.6139400233206e-06	2.59090846408755e-06	1.00849350027621e-06	4.12943237102648e-06	1.07319003346086e-06	6.71815619099629e-06	1.65200767394875e-06	2.12923918964132e-06	1.20052514320926e-07	1.17477615825618e-06	1.34366081551121e-07	6.72329000184143e-07	5.11152671123798e-08	3.31394300839888e-07	1.35169229323062e-07	8.25427379207049e-07	8.64143534325388e-08	9.6409653773588e-07	1.95628591352294e-06	1.95628591352294e-06	3.36164500092072e-07	6.0026257160463e-08	6.71830407755604e-08	1.06461959482066e-06	1.95628591352294e-06	5.87388079128092e-07	5.87388079128092e-07	6.0026257160463e-08	1.95628591352294e-06	3.31394300839888e-07	6.0026257160463e-08	0	2.23938539699877e-06	5.11152671123797e-08	6.0026257160463e-08	2.23938539699877e-06	3.31394300839888e-07
