"Sideroxylon_cinereum"	"Molinaea_alternifolia"	"Psiadia_terebinthina"	"Toddalia_asiatica"	"Bertiera_zaluzania"	"Croton_fothergillifolius"	"Stillingia_lineata"	"Homalanthus_populifolius"	"Erythroxylum_macrocarpum"	"Dodonaea_viscosa"	"Aphloia_theiformis"	"Antirhea_borbonica"	"Chassalia_coriacea"	"Trochetia_blackburniana"	"Chaetocnema_sp1_M_PL_074"	"Apis_mellifera"	"Stomorhina_lunata"	"Fannia_pusio"	"Technomyrmex_albipes"	"Dysauxes_florida"	"Lygaeidae_sp1_M_PL_074"	"Pachycerina_crinicornis"	"Brachymyrmex_sp1_M_PL_074"	"Allograpta_nasuta"	"Lygistorrhina_sp1_M_PL_074"	"Leptotes_pirithous"	"Villa_unifasciata"	"Dioxyna_sororcula"	"Ophyra_capensis"	"Musca_domestica"	"Polistes_hebraeus"	"Stomoxys_niger"	"Syritta_nigrofemorata"	"Panara_naso"	"Chrysomya_megacephala"	"Nacoleia_sp1_M_PL_074"	"Ahasverus_advena"	"Eristalinus_flaveolus"	"Syritta_bulbus"	"Episyrphus_sp1_M_PL_074"	"Gelechioidea_sp2_M_PL_074"	"Mauritiborium_undulatus"	"Orthellia_albigena"	"Pelecophora_intemipta"	"Sarcophaga_arno"	"Stomoxys_calcitrans"	"Gelechioidea_sp1_M_PL_074"	"Palexorista_sp1_M_PL_074"	"Scatopsidae_sp1_M_PL_074"	"Scirtidae_sp1_M_PL_074"	"Unidentified_sp1_M_PL_074"
"Sideroxylon_cinereum"	1.00487890629869	0.00212637138581794	0.000413643853016242	0.000109427479549634	0.00129305860054806	5.566038636164e-05	7.28411039082333e-05	0.000446795685058059	0.000127401014442679	4.74915297080943e-05	0.000208287180262942	0.000100119878672764	7.84130845104624e-05	0.000142592620465373	9.83553832148777e-05	0.0566138532017845	0.0177792438209661	0.0138423095709748	5.41482882483284e-05	0.00133205167776541	9.54562737729789e-06	4.42218276321244e-06	7.84900908463299e-06	1.41268757888231e-05	3.4642856582679e-06	1.3448952918484e-05	4.37364294073468e-06	1.91700915980539e-06	0.00198089478700699	9.7284903084495e-06	0.00132122512224642	0.000661321494560268	5.26147779891893e-06	3.39504435377557e-06	0.00263064905899976	0.000659201153401644	3.90599202537824e-07	0.000658553117734992	1.81821473853293e-06	0.000657079340032168	2.19028018682442e-06	7.51374580558485e-07	0.00197035079666409	5.27199517144944e-06	0.000660348414399666	4.72358666642335e-07	9.76498006344562e-08	1.06379925013823e-06	3.74708866007879e-07	9.76498006344562e-08	4.54553684633233e-07
"Molinaea_alternifolia"	0.00268871753743921	1.00267170551787	0.000591384750409495	0.000715620529661752	0.000735324191063756	0.000335337163784985	0.000412956743188485	0.000710596602222838	0.000343036954670406	0.000244955157565267	0.000203381839471382	0.000100682706148234	0.000300270657141602	4.70397503738775e-05	0.0208677647167319	0.0242280934515216	0.0108483282025017	0.0149822228107457	0.00253527667437761	0.00499581928784232	1.36473403940653e-05	1.65735705135929e-05	1.44989614136858e-05	0.00167152374904267	1.08595248517302e-05	0.00498195914387307	6.87621173603962e-06	6.96582382883893e-06	0.00497719780765675	0.00249126665153467	0.00332091441215003	8.10262933395101e-06	0.000833736214628468	1.19100229949084e-05	0.00166433793105703	4.7667697395666e-06	2.35324325463147e-06	4.14359725429363e-06	2.59949340839339e-06	3.35301258209407e-06	2.34472201435987e-06	2.37223931570631e-06	5.27199517144943e-06	0.00248596290624265	2.93332548316341e-06	1.59724303327671e-06	5.88310813657869e-07	1.69189667195914e-06	1.00893221961884e-06	5.88310813657869e-07	6.49873352098346e-07
"Psiadia_terebinthina"	0.000695467137488846	0.000786346756038999	1.0043028193047	0.000870485493150011	0.00012874450359445	0.000562146839260749	0.000683651395049081	0.000290617797312801	0.000456120250984221	0.000386393245429971	0.000474885194513325	0.00028861904158944	0.000174550084322609	1.63057575523414e-07	0.0200543918480663	7.23984691498798e-05	0.0143895800556233	3.42963573274174e-05	3.89845415229106e-05	0.00995682342849859	0.0231762189070315	0.0011286069705113	0.0055396499750023	0.00112099532271672	0.00332477523099027	0.00111298340201108	0.00221698574858758	0.00221560083673305	5.26290116648977e-06	7.15236453311055e-06	5.70141917575212e-06	0.00331733382288221	0.00111055501069286	0.0011101750999255	3.11796144272962e-06	0.00331438106414948	3.94489010007543e-06	5.29381973237186e-06	0.00441451788705363	3.03243946194524e-06	0.00110758684838435	0.00110601932961925	1.3636610538997e-06	1.94962005629504e-06	4.58630124021319e-07	2.32775267497245e-06	9.86222525018858e-07	6.9194713645905e-07	1.34153014995359e-06	9.86222525018858e-07	0.00110362947176341
"Toddalia_asiatica"	0.000211929169254354	0.00109607701378572	0.00100271113767913	1.00251616857058	0.00086979724164567	0.000999174208045646	0.00115680202911636	0.000487526266085586	0.000594067814762983	0.000789450327244568	0.000206491786867862	0.00015046077284543	2.01786933321943e-05	1.75069761186685e-07	0.0484730974589201	8.67613193058155e-05	0.00259209403436183	4.11299609720725e-05	0.0216307652805373	0.012715309483503	2.31394877925953e-05	0.0101760815628693	2.94551221233922e-05	1.70866960810033e-05	2.60767880203481e-05	7.16755716804945e-06	1.17909444052566e-05	0.0025524983189469	5.85064002103723e-06	9.61953161257426e-06	0.00127303435183121	8.07295690341963e-06	1.20514235796501e-05	1.85858137103325e-06	2.36576073104056e-06	5.02795451902542e-06	7.0117488283905e-06	3.53805532534532e-06	4.40752148430386e-06	4.95266222566889e-06	2.82264526164148e-06	0.00127274118977908	4.15547390694812e-07	2.71754631517121e-06	1.42892540927938e-07	3.50019548581228e-06	1.75293720709763e-06	1.1607768240133e-06	1.74725827871466e-06	1.75293720709763e-06	1.10188037107596e-06
"Bertiera_zaluzania"	0.00314028517275958	0.00141228931934467	0.000185964282969761	0.00109069812841282	1.00256589123743	0.000980995878512502	5.3976804174815e-05	5.31754898466158e-05	0.000114713510355115	1.29021046824058e-05	0.000130924415826178	0.000177560803826378	8.2416640237694e-05	9.92163126357725e-05	0.000126714055371548	0.0511446620823695	0.00804090024251969	6.63654002358649e-05	0.0350613043703817	3.0369682599577e-05	4.29148345314832e-06	1.4851907551064e-05	4.66596101164223e-06	0.00319444741028421	1.88357011062719e-05	9.78296389628029e-06	9.43657940749811e-06	5.06304725774428e-06	1.31605094413122e-05	0.00159760653908941	1.06694075046551e-05	4.22058081908452e-06	0.00159732627554791	3.29498036382535e-06	1.05442583878091e-05	4.53460412676862e-06	6.8841816035965e-06	3.86991559236931e-06	8.174254196473e-07	2.19732401147686e-06	1.29539315346331e-06	1.62799391281456e-06	6.15742190737172e-06	3.50154376697027e-06	4.53288178501822e-06	2.05843807841417e-06	1.72104540089913e-06	1.26608309158609e-07	3.37392677515046e-07	1.72104540089913e-06	2.04356354911825e-07
"Croton_fothergillifolius"	0.000149404194970718	0.000711856084526021	0.000897462497767161	0.00138482039360712	0.00108425860256645	1.00338639780498	0.000540970926964539	0.000356172611251201	0.000730395294141295	0.000376755218915821	0.000131696614447547	0.000324298816122142	2.63501464782361e-05	1.70894270217718e-07	0.0266189366065474	8.56623838799155e-05	0.00356735809821388	2.80774507767682e-05	0.0247140060554827	0.00179959917467927	2.0710673025396e-05	2.97868282996006e-05	1.68610908525267e-05	0.00178164681365753	0.0176126734688646	5.33952948441094e-06	0.00529062885965298	0.00177082873607606	3.82281428385058e-06	0.0017673579789085	4.46616847848699e-06	7.15004064289924e-06	0.0035276978417242	1.97435301795271e-06	1.56722082985356e-06	6.46998912434516e-06	0.0070413080547718	4.50144302184972e-06	3.94489010007543e-06	2.3742003925511e-06	2.08369431208175e-06	3.99501046183588e-06	2.92949401903368e-07	1.76493244097361e-06	1.01922157389899e-07	0.00176247523514631	0.00176032701369295	8.48030026788575e-07	2.14822145335675e-06	0.00176032701369295	9.86222525018858e-07
"Stillingia_lineata"	0.000210277149018107	0.000942788036335975	0.00117381654621635	0.00172428981698476	6.41611068493084e-05	0.000581798921452429	1.00243208378026	0.000665850935531624	0.000548363564252124	0.000861727614554198	0.000651386874092655	0.00024103185740685	3.33785083599804e-06	9.60472190657555e-08	0.0607992953576665	4.6011934856322e-05	0.00194873525533927	0.00193524350238915	5.59728064035719e-05	4.85716299886512e-05	2.70880741434542e-05	0.0132679707189895	0.0170424517127026	1.65369044109588e-05	1.89152255371275e-05	6.06919812953058e-06	1.23016304347718e-05	1.94555086505882e-05	5.08729013368983e-06	9.37233924632798e-06	5.59503366147361e-06	1.26335782563379e-05	0.00378824348373614	1.41507769889536e-06	2.10807151322623e-06	6.54433836913407e-06	4.08279944878897e-06	5.73297075619613e-06	5.15963317018174e-06	0.00189439115157839	6.71813224331756e-06	6.34497901234816e-06	4.12308135329622e-07	2.3374909991801e-06	1.39837225586518e-07	2.63353387470349e-06	1.02069986219724e-06	1.58535937031339e-06	1.61283401250625e-06	1.02069986219724e-06	1.28990829254544e-06
"Homalanthus_populifolius"	0.0016276128527115	0.00204719497307055	0.000629671894177736	0.000917013690970506	7.97632347699236e-05	0.000483377115269488	0.000840240466266097	1.00200424950236	0.000501515308052707	0.000505293119063356	0.000247547049762321	0.0001846973628087	3.24908644003179e-05	3.4266733150817e-07	0.0455577125627644	0.000149342001332384	0.00246160831135057	0.0406116941445281	3.9466699200633e-05	3.78939271624984e-05	1.45308898656401e-05	2.73605722641259e-05	2.28852002184975e-05	0.00240009016485411	1.49812767483162e-05	1.18586666807238e-05	0.00239354075346313	1.12907195352447e-05	1.33427777821695e-05	0.00239428122299322	1.02590299146283e-05	0.00239240198134159	8.34932229498441e-06	1.91035455147097e-06	7.63899034447121e-06	5.08382342592275e-06	3.3921201071543e-06	4.54238169770269e-06	2.7677885458362e-06	4.33346901732948e-06	2.75483921781173e-06	3.5370343573502e-06	3.1913977504147e-06	5.07569001587741e-06	1.07236593342594e-06	2.32307505047301e-06	8.48030026788575e-07	0.00238572440357704	1.47504502368443e-06	8.48030026788575e-07	6.9194713645905e-07
"Erythroxylum_macrocarpum"	0.000573304564992055	0.0012208079857388	0.00122079243645777	0.00138033404018458	0.000212557386834479	0.00122448622841335	0.000854802026628312	0.000619518909947462	1.00143486975218	0.000563066271522741	0.000416148254090225	0.000293946637093998	8.04973245141035e-05	5.87828240742128e-06	0.0503491883613994	0.00302363620740767	0.00595489519120645	5.27182655544462e-05	7.02279266493312e-05	0.0118218182406654	2.81721331490254e-05	3.50044723016574e-05	2.98929121558705e-05	0.00590873953984304	0.00886169683220859	9.91066485873237e-06	1.67911199382723e-05	1.58333485976631e-05	7.17771991573668e-06	0.00295411808261384	7.03551316741893e-06	0.00295473892219869	1.17570535424661e-05	4.36017981923247e-06	3.5166999032692e-06	7.49347444317389e-06	8.592885813427e-06	0.00294905242323009	5.36612059981437e-06	3.8644304502566e-06	4.80943226737213e-06	4.96567600041072e-06	1.12412659802364e-06	3.02679665885652e-06	5.21665926193411e-07	0.00294754489719508	2.14822145335675e-06	1.47504502368443e-06	0.00294539667574172	2.14822145335675e-06	1.34153014995359e-06
"Dodonaea_viscosa"	0.000242206801511281	0.00098798580217991	0.00117205951113758	0.00207888586174403	2.70944198330521e-05	0.00071583491594006	0.00152238545237908	0.000707410366688698	0.000638141774392439	1.00165994271016	0.000241713819092878	0.000101960570742822	5.29657412955203e-06	9.15210754500384e-08	0.0704404967605878	4.31372332297613e-05	0.00339139769563477	4.95274186622534e-05	6.57131346789596e-05	5.2893063549987e-05	2.7047527180098e-05	0.00672178981903388	3.73274204248937e-05	1.29869768435944e-05	2.20531024667211e-05	6.35259857762041e-06	1.0174355886997e-05	0.0133645607106831	5.37401844838628e-06	8.3167482024874e-06	6.24728364471578e-06	9.59771734772099e-06	1.09406884982492e-05	1.48659901462477e-06	2.26625477987637e-06	5.0955067190406e-06	5.02340291887761e-06	3.5789681665134e-06	5.15190993906628e-06	0.00334189720618142	3.30225931054055e-06	0.00334278595427613	4.74915297080943e-07	2.44955157565267e-06	1.60593125913232e-07	3.13273830146187e-06	1.2558507297194e-06	1.68431039687785e-06	1.87688757174247e-06	1.2558507297194e-06	1.28797748476657e-06
