"Sideroxylon_puberulum"	"Psiadia_terebinthina"	"Psidium_cattleianum"	"Helichrysum_proteoides"	"Stillingia_lineata"	"Grangeria_borbonica"	"Antidesma_madagascariense"	"Labourdonnaisia_callophylloides"	"Olea_lancea"	"Euodia_obtusifolia"	"Warneckea_trinervis"	"Homalanthus_populifolius"	"Phyllanthus_phillyreifolius"	"Wikstroemia_indica"	"Badula_platiphylla"	"Eugenia_orbiculata"	"Euodia_chapelieri"	"Gaertnera_sp1_M_PL_078"	"Apis_mellifera"	"Chaetocnema_sp1_M_PL_078"	"Villa_unifasciata"	"Pachycerina_crinicornis"	"Musca_domestica"	"Chrysomya_megacephala"	"Technomyrmex_albipes"	"Cerambycidae_sp1_M_PL_078"	"Stomorhina_lunata"	"Dysauxes_florida"	"Lygaeidae_sp1_M_PL_078"	"Pelecophora_intemipta"	"Scolia_carniflex"
"Sideroxylon_puberulum"	1.00541136241254	0.00176647935618508	0.000883411644636851	0.000270632587463328	1.17722236334199e-06	0.000661411869114959	1.78167591187251e-06	0.000440929821407981	1.1285859108964e-06	4.79620016954463e-07	0.0006596383869549	3.19746677969642e-07	3.19746677969642e-07	3.19746677969642e-07	1.59873338984821e-07	6.48965893941935e-07	1.59873338984821e-07	6.48965893941935e-07	0.0967469634200519	3.99683347462052e-05	8.43655662124515e-05	1.04640351958129e-05	1.84698272361342e-05	0.00402765950714936	1.04504442334452e-05	2.07821100727656e-05	1.98397960237394e-05	3.00702874959253e-06	1.03910550363828e-05	7.34883035679968e-06	1.03910550363828e-05
"Psiadia_terebinthina"	0.00259776375909571	1.00413330954348	0.00125606234596315	1.9356234272933e-06	1.48244279342251e-06	0.000621104717888143	0.000532722436911515	0.000217381191461795	0.000137834252970449	6.40971887683403e-07	0.00032467699459992	4.27314591788935e-07	4.27314591788935e-07	4.27314591788935e-07	2.13657295894468e-07	0.000137193281082765	2.13657295894468e-07	0.000137193281082765	0.0476192925413216	5.34143239736169e-05	0.0178351265407595	1.26220635860866e-05	8.93744532216897e-06	1.04340688903227e-05	0.00592442394129006	0.0118133330534527	0.0059155394512676	2.15069269699255e-08	0.00590666652672634	3.62301985769659e-06	0.00590666652672634
"Psidium_cattleianum"	0.00220852911159213	0.00213530598813736	1.00315291986823	1.53514057831283e-06	1.51054460818769e-06	0.000277474899201891	0.000466662314517144	0.000184968827138618	0.000464925484486337	7.78659333586883e-07	0.000276029187987843	5.19106222391256e-07	5.19106222391256e-07	5.19106222391256e-07	2.59553111195628e-07	0.000464146825152751	2.59553111195628e-07	0.000464146825152751	0.0404842809048837	6.4888277798907e-05	0.0603390872698576	1.0978279119012e-05	4.01509848406601e-06	8.86823068144213e-06	2.81160339435363e-05	2.5121246919263e-05	1.65245505910871e-05	1.70571175368092e-08	1.25606234596315e-05	3.08281378564363e-06	1.25606234596315e-05
"Helichrysum_proteoides"	0.000751757187398132	3.65617758488734e-06	1.70571175368092e-06	1.00542688643718	0.00102052784877492	0.00102017914080095	0.000306137866925432	0.000306448844706735	0.000270643582426076	0.000270550860925083	8.62037060792827e-07	0.000180367240616722	0.000180367240616722	0.000180367240616722	9.01836203083611e-05	9.27215009928587e-08	9.01836203083611e-05	9.27215009928587e-08	0.000126432102249615	0.0225459050770903	1.20537951290716e-05	0.0112496548177476	0.0335288035356319	0.0223458267273537	1.0226102491151e-05	4.3013853939851e-08	1.45954946526977e-05	0.0111714098493021	2.15069269699255e-08	5.10748074511225e-06	2.15069269699255e-08
"Stillingia_lineata"	3.27006212039441e-06	2.80016972090918e-06	1.67838289798632e-06	0.00102052784877492	1.00487440187807	0.000271641166939472	0.00101751093966581	0.00101694317868197	0.000405486880201913	0.000405276974151067	3.1420994468295e-07	0.000270184649434045	0.000270184649434045	0.000270184649434045	0.000135092324717022	2.09906050845953e-07	0.000135092324717022	2.09906050845953e-07	4.6084125220166e-05	0.0337730811792556	2.72877866099739e-05	0.0670368735588304	3.78981830582994e-05	2.26914768879243e-05	3.39335029087874e-05	3.29431731871669e-08	3.89705968572889e-06	1.13391983197214e-05	1.64715865935834e-08	1.69490529780329e-05	1.64715865935834e-08
"Grangeria_borbonica"	0.00236218524683914	0.00150839717201406	0.000396392713145558	0.0013116588953155	0.000349252928922178	1.00160045513443	0.000232799684057175	0.00042866188403059	0.000346479070237623	0.000345994137202933	0.000295112336203064	0.000230662758135289	0.000230662758135289	0.000230662758135289	0.000115331379067644	4.84933034689814e-07	0.000115331379067644	4.84933034689814e-07	0.0432831426431161	0.0288328447669111	6.30412945096758e-05	4.88818757886691e-05	0.0143522998936691	3.85967164388122e-05	1.66329140098317e-05	1.77458490825184e-05	0.0143174508550331	1.45739877257278e-05	8.87292454125919e-06	7.14436473384317e-06	8.87292454125919e-06
"Antidesma_madagascariense"	7.42364963280214e-06	0.00150938023791596	0.00077777052419524	0.000459206800388148	0.00152626640949872	0.000271599631400037	1.00281507681469	0.000457928691364271	0.000533826750557193	0.000404395066153191	8.853133284223e-07	0.000269596710768794	0.000269596710768794	0.000269596710768794	0.000134798355384397	0.000129431684404002	0.000134798355384397	0.000129431684404002	0.000129845954835271	0.0336995888460992	0.0168261189725202	0.016828070150183	1.91868880805578e-05	1.02342901627123e-05	0.0334360479344383	1.77574145637172e-05	1.27587020161448e-05	5.10229778209053e-06	8.87870728185858e-06	7.63214485607118e-06	8.87870728185858e-06
"Labourdonnaisia_callophylloides"	0.00183720758919992	0.00061591337580842	0.000308281378564363	0.000459673267060103	0.00152541476802296	0.000500105531369022	0.000457928691364271	1.00227982480781	0.000404504537058396	0.000404141588671882	0.000229577766183961	0.000269427725781255	0.000269427725781255	0.000269427725781255	0.000134713862890627	3.62948386513734e-07	0.000134713862890627	3.62948386513734e-07	0.0336714057069809	0.0336784657226569	4.71832902467854e-05	0.0168190976902662	2.24668069691799e-05	1.75637918470242e-05	1.8887309569839e-05	7.24603971539317e-06	1.07673845915398e-05	5.10748074511225e-06	3.62301985769659e-06	0.0167046637467968	3.62301985769659e-06
"Olea_lancea"	7.05366194310248e-06	0.000585795575124407	0.00116231371121584	0.000608948060458672	0.000912345480454305	0.000606338372915841	0.000800740125835789	0.000606756805587594	1.00109981122627	0.00090627565353555	8.25206102183326e-07	0.0006041837690237	0.0006041837690237	0.0006041837690237	0.00030209188451185	0.000193535572735489	0.00030209188451185	0.000193535572735489	0.000121030228320221	0.0755229711279625	0.0251596244556135	9.10474037813287e-05	2.89602454378963e-05	1.35603937690762e-05	3.01371938521209e-05	6.89171264852244e-06	1.21078330802018e-05	6.76608956065191e-06	3.44585632426122e-06	1.01126134264599e-05	3.44585632426122e-06
"Euodia_obtusifolia"	3.99683347462052e-06	3.63217403020595e-06	2.59553111195628e-06	0.000811652582775251	0.0012158309224532	0.000807319653473511	0.000808790132306382	0.000808283177343765	0.0012083675380474	1.00120802925721	4.24384553512687e-07	0.000805352838138199	0.000805352838138199	0.000805352838138199	0.0004026764190691	3.38280840101005e-07	0.0004026764190691	3.38280840101005e-07	6.22430678485275e-05	0.100669104767275	4.39765092131306e-05	0.000117024978688552	3.85882239992728e-05	1.80527113955707e-05	2.69810368064688e-05	4.27314591788935e-08	1.15545036363539e-05	9.01836203083611e-06	2.13657295894468e-08	1.34713862890627e-05	2.13657295894468e-08
