"Nephrosperma_vanhoutteanum"	"Psychotria_pervillei"	"Phoenicophorium_borsigianum"	"Canthium_bibracteatum"	"Dillenia_ferruginea"	"Memecylon_eleagni"	"Psidium_cattleianum"	"Lasioglossum_mahense"	"Apis_mellifera"	"Unidentified_sp2_M_PL_095"	"Hemipyrellia_sp1_M_PL_095"	"Ornidia_obesa"	"Nectarinia_dussumieri"	"Rhiparida_seychellensis"	"Unidentified_sp3_M_PL_095"	"Eristalinus_vicarians"	"Hemipyrellia_germana"	"Parasarcophaga_hirticeps"	"Unidentified_sp1_M_PL_095"
"Nephrosperma_vanhoutteanum"	1.00419150538139	0.00211531174722037	0.00185845917543391	0.000900191276019841	0.000471109056753561	0.000409699003601491	0.000154734460588519	0.0550567728185888	0.0245819402160894	0.0121720182470472	1.80038255203968e-05	1.25916520546863e-05	1.18448942851032e-05	0.00608600912352359	1.48676734034713e-05	2.57890767647532e-06	5.23454507503957e-06	5.23454507503957e-06	0.00304300456176179
"Psychotria_pervillei"	0.002181415239321	1.00317226507289	0.00170651416128872	0.0010716847283575	0.000668570259110011	0.000944524352022703	0.000356036288016031	0.0410754547617085	0.0566714611213622	2.64413968402546e-05	2.14336945671501e-05	1.86939329123559e-05	0.00314234188678735	1.32206984201273e-05	1.36521132903097e-05	5.93393813360051e-06	7.42855843455568e-06	7.42855843455568e-06	6.61034921006364e-06
"Phoenicophorium_borsigianum"	0.00245316611157276	0.00218433812644956	1.00324868743399	0.00101826902135108	0.000553428736894564	0.000272105345501174	0.00037101532525466	0.0725285693460125	0.0163263207300704	2.97353468069426e-05	2.03653804270217e-05	0.00402536192724443	1.29752648328722e-05	1.48676734034713e-05	0.00802598949947189	6.18358875424434e-06	6.14920818771738e-06	6.14920818771738e-06	7.43383670173565e-06
"Canthium_bibracteatum"	0.00198042080724365	0.00228626075382934	0.00169711503558514	1.00290700270508	0.000456391874225347	0.000561848750971885	0.000211970174078697	0.0471457054550113	0.0337109250583131	2.40051006938624e-05	0.0200581400541015	1.38541326116304e-05	1.22155856804428e-05	1.20025503469312e-05	1.35769202846811e-05	3.53283623464495e-06	5.07102082472608e-06	5.07102082472608e-06	6.0012751734656e-06
"Dillenia_ferruginea"	0.00172739987476306	0.00237713869905782	0.00153730204692934	0.000760653123708912	1.00318048215568	0.000376052438078397	0.000141981762791659	0.0449227751710711	0.0225631462847038	2.09381803001583e-05	1.52130624741783e-05	1.0881933614106e-05	0.0111538783601643	1.04690901500791e-05	1.22984163754348e-05	2.36636271319431e-06	0.0111464498017298	0.0111464498017298	5.23454507503957e-06
"Memecylon_eleagni"	0.00169000838985615	0.00377809740809081	0.000850329204691169	0.00105346640807229	0.000423058992838197	1.00167517785637	0.000630871841087827	0.000374855573365749	0.10051067138242	2.04849501800745e-05	2.10693281614457e-05	2.44303781883589e-05	1.65072098762638e-05	1.02424750900373e-05	6.80263363752935e-06	1.05145306847971e-05	4.70065547597996e-06	4.70065547597996e-06	5.12123754501863e-06
"Psidium_cattleianum"	0.000851039533236854	0.00189886020275216	0.00154589718856108	0.000529925435196742	0.000212972644187488	0.00084116245478377	1.00422115264229	0.000269061435985052	0.0504697472870262	1.03156307059013e-05	1.05985087039348e-05	0.033480222010164	8.30030084679483e-06	5.15781535295063e-06	1.23671775084887e-05	0.0167370192107049	2.36636271319431e-06	2.36636271319431e-06	2.57890767647532e-06
"Lasioglossum_mahense"	0.0302812250502238	0.0219069092062445	0.0302202372275052	0.0117864263637528	0.00673841627566066	4.99807431154332e-05	2.69061435985052e-05	1.00556704684956	0.00299884458692599	0.000367045152123925	0.000235728527275057	0.000121777820363304	0.000143330383221299	0.000183522576061963	0.000241761897820042	4.48435726641754e-07	7.48712919517852e-05	7.48712919517852e-05	9.17612880309813e-05
"Apis_mellifera"	0.0169000838985615	0.0377809740809081	0.00850329204691169	0.0105346640807228	0.00423058992838197	0.0167517785637366	0.00630871841087827	0.00374855573365749	1.0051067138242	0.000204849501800745	0.000210693281614457	0.000244303781883589	0.000165072098762638	0.000102424750900373	6.80263363752935e-05	0.000105145306847971	4.70065547597996e-05	4.70065547597996e-05	5.12123754501863e-05
"Unidentified_sp2_M_PL_095"	0.100419150538139	0.000211531174722037	0.000185845917543391	9.00191276019841e-05	4.71109056753561e-05	4.09699003601491e-05	1.54734460588519e-05	0.00550567728185888	0.00245819402160894	1.0012172018247	1.80038255203968e-06	1.25916520546863e-06	1.18448942851032e-06	0.000608600912352359	1.48676734034713e-06	2.57890767647532e-07	5.23454507503957e-07	5.23454507503957e-07	0.00030430045617618
"Hemipyrellia_sp1_M_PL_095"	0.000198042080724365	0.000228626075382934	0.000169711503558514	0.100290700270508	4.56391874225347e-05	5.61848750971885e-05	2.11970174078697e-05	0.00471457054550113	0.00337109250583131	2.40051006938624e-06	1.00200581400541	1.38541326116304e-06	1.22155856804428e-06	1.20025503469312e-06	1.35769202846811e-06	3.53283623464495e-07	5.07102082472608e-07	5.07102082472608e-07	6.00127517346561e-07
"Ornidia_obesa"	0.000138508172601549	0.00019940195106513	0.0335446827270369	6.92706630581522e-05	3.2645800842318e-05	6.51476751689571e-05	0.066960444020328	0.00243555640726609	0.00390886051013743	1.67888694062484e-06	1.38541326116304e-06	1.00236619353159	9.8586221754873e-07	8.39443470312419e-07	0.000268357461816296	0.0011160074003388	3.627311204702e-07	3.627311204702e-07	4.19721735156209e-07
"Nectarinia_dussumieri"	0.000195440755704203	0.0502774701885976	0.000162190810410903	9.16168926033208e-05	0.0501924526207396	6.6028839505055e-05	2.49009025403845e-05	0.00429991149663898	0.0039617303703033	2.36897885702064e-06	1.83233785206642e-06	1.47879332632309e-06	1.00071481101235	1.18448942851032e-06	1.29752648328722e-06	4.15015042339741e-07	0.000557693918008217	0.000557693918008217	5.92244714255161e-07
"Rhiparida_seychellensis"	0.100419150538139	0.000211531174722037	0.000185845917543391	9.00191276019841e-05	4.71109056753561e-05	4.09699003601491e-05	1.54734460588519e-05	0.00550567728185888	0.00245819402160894	0.00121720182470472	1.80038255203968e-06	1.25916520546863e-06	1.18448942851032e-06	1.00060860091235	1.48676734034713e-06	2.57890767647532e-07	5.23454507503957e-07	5.23454507503957e-07	0.000304300456176179
"Unidentified_sp3_M_PL_095"	0.000245316611157277	0.000218433812644956	0.100324868743399	0.000101826902135108	5.53428736894564e-05	2.72105345501174e-05	3.7101532525466e-05	0.00725285693460125	0.00163263207300704	2.97353468069426e-06	2.03653804270217e-06	0.000402536192724443	1.29752648328722e-06	1.48676734034713e-06	1.00080259894995	6.18358875424434e-07	6.14920818771738e-07	6.14920818771738e-07	7.43383670173565e-07
"Eristalinus_vicarians"	8.51039533236854e-05	0.000189886020275217	0.000154589718856108	5.29925435196742e-05	2.12972644187488e-05	8.4116245478377e-05	0.100422115264229	2.69061435985052e-05	0.00504697472870262	1.03156307059013e-06	1.05985087039348e-06	0.0033480222010164	8.30030084679483e-07	5.15781535295063e-07	1.23671775084887e-06	1.00167370192107	2.36636271319431e-07	2.36636271319431e-07	2.57890767647532e-07
"Hemipyrellia_germana"	0.000172739987476306	0.000237713869905782	0.000153730204692935	7.60653123708912e-05	0.100318048215568	3.76052438078397e-05	1.41981762791659e-05	0.00449227751710711	0.00225631462847038	2.09381803001583e-06	1.52130624741782e-06	1.0881933614106e-06	0.00111538783601643	1.04690901500791e-06	1.22984163754348e-06	2.36636271319431e-07	1.00111464498017	0.00111464498017298	5.23454507503957e-07
"Parasarcophaga_hirticeps"	0.000172739987476306	0.000237713869905782	0.000153730204692935	7.60653123708912e-05	0.100318048215568	3.76052438078397e-05	1.41981762791659e-05	0.00449227751710711	0.00225631462847038	2.09381803001583e-06	1.52130624741782e-06	1.0881933614106e-06	0.00111538783601643	1.04690901500791e-06	1.22984163754348e-06	2.36636271319431e-07	0.00111464498017298	1.00111464498017	5.23454507503957e-07
"Unidentified_sp1_M_PL_095"	0.100419150538139	0.000211531174722037	0.000185845917543391	9.00191276019841e-05	4.71109056753561e-05	4.09699003601491e-05	1.54734460588519e-05	0.00550567728185888	0.00245819402160894	0.00121720182470472	1.80038255203968e-06	1.25916520546863e-06	1.18448942851032e-06	0.000608600912352359	1.48676734034713e-06	2.57890767647532e-07	5.23454507503957e-07	5.23454507503957e-07	1.00030430045618
