"Canthium_bibracteatum"	"Memecylon_eleagni"	"Cinnamomum_verum"	"Ochna_kirkii"	"Paragenipa_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Xylocopa_caffra"	"Lygistorrhina_sp1_M_PL_108"	"Hemipyrellia_sp1_M_PL_108"	"Unidentified_sp1_M_PL_108"	"Scaptodrosophila_sp1_M_PL_108"	"Chalcidoma_disjunctum"	"Hemipyrellia_germana"	"Nectarinia_dussumieri"	"Phalanta_phalantha"
"Canthium_bibracteatum"	1.00547795798846	0.00144929419380158	0.000766077313362821	0.000704188864470481	0.00170349174091457	0.0283098537135379	0.0363454397356985	0.00408221013915573	4.46878432794979e-05	0.0160940313054267	0.0120657354958615	2.22968337507935e-05	1.11484168753967e-05	0.00402191183195384	6.40171694973165e-06	6.38397761135684e-06
"Memecylon_eleagni"	0.00278710421884918	1.00439420188832	0.000615045131019601	0.000745892432757988	0.00155876643006301	0.0542339087199972	0.0233829830912224	7.27849028696597e-05	3.58776326428101e-05	4.97190435934169e-05	3.34452506261902e-05	0.0154522184905895	0.00772610924529477	1.11484168753967e-05	6.7808402977999e-06	5.12537609183001e-06
"Cinnamomum_verum"	0.00159599440283921	0.000666298891937901	1.0070782141788	0.000232494825333087	0.000528007802098538	0.0168859433596505	0.00849875087476489	2.59791737879946e-05	0.0587462291604301	0.00841785436193544	1.91519328340705e-05	1.025075218366e-05	5.12537609183001e-06	6.38397761135684e-06	2.11358932120989e-06	0.00839231845149001
"Ochna_kirkii"	0.00160042923743291	0.000881509238713986	0.000253630718545186	1.00627256086813	0.00109288003819178	0.0275701080131838	0.000149618474283489	0.0640518635907231	1.47951252484692e-05	2.77204571201365e-05	1.92051508491949e-05	1.35616805955998e-05	6.7808402977999e-06	6.40171694973165e-06	0.00914793237152842	2.11358932120989e-06
"Paragenipa_wrightii"	0.00387157213844221	0.00184217850825629	0.000576008511380224	0.00109288003819178	1.00271837090474	0.0275938688693621	0.0639960393553972	0.00920065475375451	3.36004964971797e-05	6.67452251432439e-05	4.64588656613066e-05	2.83412078193275e-05	1.41706039096638e-05	1.54862885537689e-05	9.9352730744707e-06	4.80007092816853e-06
"Apis_mellifera"	0.0321702883108385	0.0320473096981802	0.00921051455980934	0.0137850540065919	0.0137969344346811	1.00353213706546	0.00285242470466826	0.00113133853943267	0.000537280015988879	0.000591478900971827	0.000386043459730062	0.000493035533818157	0.000246517766909078	0.000128681153243354	0.000125318672787199	7.67542879984112e-05
"Lasioglossum_mahense"	0.0454317996696231	0.0151989390092945	0.00509925052485894	8.22901608559191e-05	0.0351978216454685	0.00313766717513509	1.00426864466629	0.000506944042055401	0.000297456280616771	0.000769402549087795	0.000545181596035478	0.000233829830912224	0.000116914915456112	0.000181727198678493	7.48092371417447e-07	4.24937543738245e-05
"Xylocopa_caffra"	0.0113394726087659	0.000105133748589509	3.46388983839928e-05	0.0782856110553283	0.0112452446990333	0.00276549420750207	0.00112654231567867	1.00512939900031	2.02060240573291e-06	0.000181720219226788	0.000136073671305191	1.61744228599244e-06	8.0872114299622e-07	4.53578904350637e-05	0.000711687373230257	2.88657486533273e-07
"Lygistorrhina_sp1_M_PL_108"	0.000159599440283921	6.66298891937901e-05	0.10070782141788	2.32494825333088e-05	5.28007802098538e-05	0.00168859433596505	0.000849875087476489	2.59791737879946e-06	1.00587462291604	0.000841785436193544	1.91519328340705e-06	1.025075218366e-06	5.12537609183001e-07	6.38397761135684e-07	2.11358932120989e-07	0.000839231845149001
"Hemipyrellia_sp1_M_PL_108"	0.0804701565271336	0.000129269513342884	0.0202028504686451	6.09850056643003e-05	0.000146839495315137	0.00260250716427604	0.00307761019635118	0.000327096394608219	0.00117849961067096	1.00145587959167	0.000965641878325604	1.98876174373668e-06	9.94380871868339e-07	0.000321880626108535	5.5440914240273e-07	0.000168357087238709
