"Cinnamomum_verum"	"Nephrosperma_vanhoutteanum"	"Memecylon_eleagni"	"Chrysobalanus_icaco"	"Roscheria_melanochaetes"	"Erythroxylum_sechellarum"	"Nepenthes_pervillei"	"Mimusops_sechellarum"	"Timonius_sechellensis"	"Apis_mellifera"	"Neophyllomyza_approximatonervis"	"Lygistorrhina_sp1_M_PL_118"	"Unidentified_sp2_M_PL_118"	"Lasioglossum_mahense"	"Nectarinia_dussumieri"	"Unidentified_sp1_M_PL_118"	"Hemipyrellia_sp1_M_PL_118"	"Leptotes_pirithous"	"Ornidia_obesa"	"Lampides_boeticus"	"Megachile_seychellensis"	"Phelsuma_sp1_M_PL_118"
"Cinnamomum_verum"	1.00574762782686	0.00101043816841659	0.00200506078289274	0.000605555270001164	0	0.000281485482179362	0.000450842570659331	0	0	0.0822074920986024	3.95388848510839e-05	2.1966047139491e-05	0	0.0037531397623915	2.69135675556073e-05	1.75728377115928e-05	0.00375504738555085	1.34567837778036e-05	0.00744998242834712	0	0.00372499121417356	0
"Nephrosperma_vanhoutteanum"	0.00118616654553252	1.00815913896272	0.000538395750376603	0.00016260274340233	0	3.31980561302132e-07	5.43741184146967e-05	0	0	0.0220742257654407	0.0394497054376718	0.0219165030209288	0	4.42640748402842e-06	7.22678859565911e-06	0.017533202416743	8.01815065554465e-06	3.61339429782955e-06	8.78641885579642e-06	0	4.39320942789821e-06	0
"Memecylon_eleagni"	0.0054136641138104	0.00123831022586619	1.00245723820472	0.000742118920888234	0	1.51515928178293e-06	0.000248163476444676	0	0	0.100746766393472	4.84556175338943e-05	2.69197875188302e-05	0	2.02021237571057e-05	3.29830631505882e-05	2.15358300150641e-05	3.65948395919058e-05	1.64915315752941e-05	4.01012156578548e-05	0	2.00506078289274e-05	0
"Chrysobalanus_icaco"	0.00181666581000349	0.000415540344250399	0.000824576578764704	1.0069604425909	0	5.08442712007694e-07	8.32763343774079e-05	0	0	0.0338076397293529	1.6260274340233e-05	9.03348574457388e-06	0	6.77923616010259e-06	0.0447537974484845	7.22678859565911e-06	1.22801475140624e-05	0.0223768987242423	1.34567837778036e-05	0	6.72839188890182e-06	0
"Roscheria_melanochaetes"	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0.00253336933961426	2.54518430331634e-06	5.05053093927643e-06	1.52532813602308e-06	0	1.00755738409441	1.1356236036759e-06	0	0	0.000207071768510334	9.95941683906395e-08	5.53300935503553e-08	0	0.100765121258847	6.77923616010259e-08	4.42640748402842e-08	9.4585576462238e-06	3.38961808005129e-08	1.87656988119575e-05	0	9.38284940597874e-06	0
"Nepenthes_pervillei"	0.00405758313593398	0.000416868241179341	0.000827211588148918	0.000249829003132224	0	1.1356236036759e-06	1.00454838250901	0	0	0.0339156751141056	1.6312235524409e-05	9.06235306911611e-06	0	1.51416480490119e-05	1.11035112503211e-05	7.24988245529289e-06	0.0669849202529561	5.55175562516053e-06	3.00561713772887e-05	0	1.50280856886444e-05	0
"Mimusops_sechellarum"	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101
"Timonius_sechellensis"	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0
"Apis_mellifera"	0.054136641138104	0.0123831022586619	0.0245723820471882	0.00742118920888234	0	1.51515928178293e-05	0.00248163476444676	0	0	1.00746766393472	0.000484556175338943	0.000269197875188302	0	0.000202021237571057	0.000329830631505882	0.000215358300150641	0.000365948395919058	0.000164915315752941	0.000401012156578548	0	0.000200506078289274	0
