"Cabralea_canjerana"	"Trema_micrantha"	"Trichilia_clauseni"	"Protium_heptaphyllum"	"Chamissoa_altissima"	"Ixora_venulosa"	"Dendropanax_cuneatum"	"Chiroxiphia_caudata"	"Manacus_manacus"	"Vireo_olivaceus"	"Saltator_similis"	"Myiodynastes_maculatus"	"Tachyphonus_coronatus"	"Pitangus_sulphuratus"	"Turdus_leucomelas"	"Trichothraupis_melanops"	"Turdus_rufiventris"	"Tyrannus_savanna"	"Cyclarhis_gujanensis"	"Dacnis_cayana"	"Empidonomus_varius"	"Myiarchus_ferox"	"Myiophobus_fasciatus"	"Turdus_amaurochalinus"	"Tyrannus_melancholicus"
"Cabralea_canjerana"	1.00809086646314	0.000720350374871989	0.00101069055151321	7.81021400659536e-05	0.000100536385182673	8.45649811726983e-05	1.5899205065015e-05	0.0079477515811179	0.002007577516596	0.0217998444793005	2.435547024517e-05	0.0237197850932503	2.97504390300759e-05	0.0177898388199377	0.0158131900621669	1.03462432144664e-05	9.7627675082442e-07	0.00395329751554172	5.31942395533271e-06	0.00197664875777086	0.00197664875777086	0.00197664875777086	2.64986751083583e-07	1.20807115960998e-06	0.00197664875777086
"Trema_micrantha"	0.000896045588255401	1.00485898531346	0.00105708819205375	0.00145104779478419	0.000666127103347807	0.000707019885759092	0.000464696223345277	0.0343796665177385	0.0319700057029887	0.00497671384197714	0.0123532545013572	2.10834256060094e-05	0.0171885502034882	1.58125692045071e-05	1.40556170706729e-05	3.88699772308311e-05	1.81380974348024e-05	3.51390426766824e-06	5.56362206344078e-06	1.75695213383412e-06	1.75695213383412e-06	1.75695213383412e-06	7.74493705575461e-06	1.01002840822727e-05	1.75695213383412e-06
"Trichilia_clauseni"	0.00271290621721968	0.00228108504601072	1.00352077616189	0.000551928322822105	0.000699321225282226	0.000146299681137029	0.000188693446645714	0.0106911541755531	0.000117896803028015	0.0528865238635246	0.010623416681378	6.38330874639924e-05	0.0158944530054813	4.78748155979944e-05	4.25553916426616e-05	0.00531665435685302	6.89910403527631e-06	1.06388479106654e-05	0.00528168829558891	5.3194239553327e-06	5.3194239553327e-06	5.3194239553327e-06	3.14489077742857e-06	2.0899954448147e-06	5.3194239553327e-06
"Protium_heptaphyllum"	0.000248950571460227	0.00371830997413449	0.00065541488335125	1.00353686456323	0.000274047620315326	0.000708880193961546	0.000958542294557886	0.00643639889153766	0.0378160906585857	5.80031397407183e-05	0.037742930743385	5.85766050494652e-06	0.00634867787679806	4.39324537870989e-06	3.90510700329768e-06	1.71519330334045e-05	0.0125442108070404	9.76276750824421e-07	3.44955201763816e-06	4.8813837541221e-07	4.8813837541221e-07	4.8813837541221e-07	1.59757049092981e-05	1.01268599137364e-05	4.8813837541221e-07
"Chamissoa_altissima"	0.000512735564431632	0.00273112112372601	0.00132871032803623	0.000438476192504522	1.00465927779035	0.000351054886518496	7.96342154471427e-05	0.03026381462391	0.0101683372056799	9.43136669652727e-05	7.27324174717187e-05	1.20643662219207e-05	0.0101169417880994	9.04827466644057e-06	8.04291081461383e-06	0.0502399571017701	5.48095240630653e-06	2.01072770365346e-06	6.99321225282226e-06	1.00536385182673e-06	1.00536385182673e-06	1.00536385182673e-06	1.32723692411904e-06	5.01506980740709e-06	1.00536385182673e-06
"Ixora_venulosa"	0.000616116291401088	0.00414111647373182	0.000397099134514792	0.00162029758619782	0.000501506980740708	1.00223658837465	0.000588285259773669	0.0288109194184344	0.043170894146806	5.43893053684022e-05	0.0144625223819814	1.44968539153197e-05	9.21139046314967e-05	1.08726404364898e-05	9.66456927687981e-06	2.71653444818501e-05	2.02537198274727e-05	2.41614231921995e-06	2.0899954448147e-06	1.20807115960998e-06	1.20807115960998e-06	1.20807115960998e-06	9.80475432956115e-06	0.0143176655482093	1.20807115960998e-06
"Dendropanax_cuneatum"	0.000135143243052627	0.00317542419285939	0.000597529247711428	0.00255611278548769	0.000132723692411904	0.000686332803069281	1.00281774413642	0.000155345771680534	0.0336548030357251	4.98536361477143e-05	0.0502915606574399	3.17984101300299e-06	8.09521735559851e-05	2.38488075975225e-06	2.11989400866866e-06	9.78107539802379e-06	3.19514098185962e-05	5.29973502167166e-07	3.14489077742857e-06	2.64986751083583e-07	2.64986751083583e-07	2.64986751083583e-07	0.0167136290689403	9.80475432956116e-06	2.64986751083583e-07
"Chiroxiphia_caudata"	0.0155898204091159	0.0542140895087415	0.00781276651290416	0.00396086085633087	0.0116399287015038	0.00775678599727081	3.58490242339693e-05	1.00265130125971	0.00234811182339815	0.00101190823916656	0.00100452304239423	0.000366819303743903	0.00119012054487029	0.000275114477807927	0.000244546202495935	0.000623116258827319	4.95107607041358e-05	6.11365506239838e-05	4.11198237521271e-05	3.05682753119919e-05	3.05682753119919e-05	3.05682753119919e-05	5.97483737232821e-07	0.00011081122853244	3.05682753119919e-05
"Manacus_manacus"	0.00393794051332293	0.0504142397624052	8.61553560589342e-05	0.0232714404052835	0.00391089892526149	0.0116229330395247	0.00776649300824425	0.00234811182339815	1.00327501854356	0.00033539358507236	0.00204276026664037	9.26574238428923e-05	0.00104664676228565	6.94930678821693e-05	6.17716158952616e-05	0.00019599839550549	0.000290893005066044	1.54429039738154e-05	4.53449242415443e-07	7.72145198690769e-06	7.72145198690769e-06	7.72145198690769e-06	0.000129441550137404	0.000166041900564638	7.72145198690769e-06
"Vireo_olivaceus"	0.0483387855845358	0.00887153337048099	0.0436888675394334	4.03500102544127e-05	4.10059421588142e-05	1.65532668512528e-05	1.30052963863603e-05	0.00114389627036219	0.000379140574429624	1.00338529111127	0.000570472112996482	0.00113738319022437	0.000841951675178782	0.000853037392668279	0.000758255460149581	0.000231991705210222	5.04375128180159e-07	0.000189563865037395	0.000229941408102281	9.47819325186976e-05	9.47819325186976e-05	9.47819325186976e-05	2.16754939772671e-07	2.36475240732183e-07	9.47819325186976e-05
