"Symplocos_prunifolia"	"Cleyera_japonica"	"Eurya_japonica"	"Schefflera_octophylla"	"Myrsine_sguinii"	"Daphniphyllum_teijsmannii"	"Myrica_rubra"	"Ardisia_sieboldii"	"Litsea_acuminata"	"Vaccinium_bracteatum"	"Neolitsea_aciculata"	"Persea_thunbergii"	"Diospyros_morrisiana"	"Prunus_jamasakura"	"Taxillus_yadoriki"	"Hypsipetes_amaurotis"	"Turdus_pallidus"	"Sphenurus_formosae"	"Zosterops_japonica"	"Columba_janthina"	"Turdus_chrysolaus"	"Ficedula_narcissina"	"Turdus_dauma"
"Symplocos_prunifolia"	1.0028105746128	0.000807767573920087	0.00131807114936338	0.000608314981446001	0.000785830220810862	0.00107025912863515	0.000746261166062371	0.000310106211999569	0.000345524987876106	0.0002923968240613	0.000230349991917404	0.000230349991917404	0.000314853268286476	0.000115174995958702	0.000115174995958702	0.0253384991109144	0.0126705290426564	0.0251882614629181	0.0126192154498407	6.89816765358634e-05	0.0125779425478054	0.01253513218266	1.15395367702869e-05
"Cleyera_japonica"	0.000923162941622956	1.00261643773885	0.00112704971334435	0.00135767878278561	0.000988139177324393	0.00042203512416997	0.000714755882351267	0.000509974723614045	0.000198564820393087	0.000665679675224524	0.000132376546928725	0.000132376546928725	0.000180401880547399	6.61882734643625e-05	6.61882734643625e-05	0.0145614201621597	0.0288461192597294	0.0144321504437919	0.0144191663086095	0.0143881923896053	2.84209417370857e-05	1.15395367702869e-05	0.0143230919676978
"Eurya_japonica"	0.00150636702784386	0.00112704971334435	1.0019137503693	0.000898741674447522	0.00130625467643661	0.000266161270740418	0.000851742112657716	0.000354342864172389	0.000394242427583534	0.000334393082466816	0.000262828285055689	0.000262828285055689	0.00035948002684516	0.000131414142527845	0.000131414142527845	0.0289111113561258	0.0144903669068954	0.0287584021476128	0.0287174184407731	6.83958219775283e-05	2.9476038677665e-05	1.88295878480483e-05	1.61007101906336e-05
"Schefflera_octophylla"	0.000695217121652573	0.00135767878278561	0.000898741674447522	1.00205964656734	0.00111808307267792	0.000839398315504879	0.000707580662562179	0.000575029380079423	0.00039434640328524	0.000665370868476514	0.00026289760219016	0.00026289760219016	1.22444563088509e-06	0.00013144880109508	0.00013144880109508	0.0289187362409176	0.0288327376339823	9.79556504708068e-05	0.0144061712026197	0.0286841485102664	4.22661466408523e-05	8.69021402065716e-06	1.93954111826516e-05
"Myrsine_sguinii"	0.00104777362774782	0.00115282904021179	0.00152396378917604	0.00130443025145758	1.00178022533088	0.000309271266547228	0.000156779177775251	0.000670379439916452	0.000459444797915369	0.000775846760916993	0.000306296531943579	0.000306296531943579	1.17702263353047e-06	0.00015314826597179	0.00015314826597179	0.0336926185137937	0.033620026306403	9.41618106824378e-05	0.0334844168747575	6.38433268199965e-05	2.54680210087368e-05	1.30971703468477e-05	1.64689862887399e-05
"Daphniphyllum_teijsmannii"	0.00171241460581623	0.000590849173837958	0.000372625779036585	0.00117515764170683	0.000371125519856674	1.00344736417951	0.000588581571798628	0.000185353506733307	0.000551345940553725	2.35728982309826e-06	0.00036756396036915	0.00036756396036915	1.14301122713834e-06	0.000183781980184575	0.000183781980184575	0.0404320356406065	0.000102149225667591	9.14408981710672e-05	6.96511528577057e-05	0.0201256784579888	0.0401592997497532	2.14051825727029e-05	8.44070248339939e-06
"Myrica_rubra"	0.00149252233212474	0.00125082279411472	0.001490548697151	0.00123826615948381	0.000235168766662876	0.000735726964748285	1.00187376557446	0.00011706646090295	0.000345337688082975	2.93084731293678e-06	0.00023022512538865	0.00023022512538865	0.00062817843979622	0.000115112562694325	0.000115112562694325	0.0253247637927515	0.000127003383560594	0.0502542751836976	0.000104641007296044	0.0251148066088434	4.80856077414907e-05	1.86565291515593e-05	1.78688970587817e-05
"Ardisia_sieboldii"	0.000826949898665517	0.00118994102176611	0.000826800016402241	0.00134173522018532	0.0013407588798329	0.000308922511222179	0.000156088614537266	1.00118442770601	0.000459151935963638	0.00154706559103733	0.000306101290642426	0.000306101290642426	8.64833457556888e-07	0.000153050645321213	0.000153050645321213	0.0336711419706668	0.067039508944951	6.9186676604551e-05	0.000114818497462357	6.54151150469716e-05	2.26937741822061e-05	1.0336873733319e-05	1.69991574538015e-05
"Litsea_acuminata"	0.000921399967669616	0.000463317914250537	0.000919898997694913	0.000920141607665561	0.000918889595830738	0.000918909900922876	0.0004604502507773	0.000459151935963639	1.00137165352057	2.90114366274041e-06	0.000914435680376957	0.000914435680376957	9.88224875877479e-07	0.000457217840188478	0.000457217840188478	0.100587924841465	0.000125716225385418	7.90579900701983e-05	8.81936887517413e-05	6.27980418533423e-05	4.82738956327852e-05	1.15174995958702e-05	6.61882734643624e-06
"Vaccinium_bracteatum"	0.000779724864163468	0.00155325257552389	0.000780250525755905	0.0015525320264452	0.00155169352183399	3.92881637183044e-06	3.90779641724905e-06	0.00154706559103733	2.90114366274041e-06	1.00231914781472	1.93409577516027e-06	1.93409577516027e-06	8.03137748396592e-07	9.67047887580137e-07	9.67047887580137e-07	0.00021275053526763	0.100496405304734	6.42510198717274e-05	0.000128130901817665	6.67236516437862e-05	9.90371345691657e-06	9.74656080204336e-06	2.21893225074841e-05
"Neolitsea_aciculata"	0.000921399967669616	0.000463317914250537	0.000919898997694913	0.000920141607665561	0.000918889595830738	0.000918909900922876	0.0004604502507773	0.000459151935963639	0.00137165352056543	2.90114366274041e-06	1.00091443568038	0.000914435680376957	9.88224875877479e-07	0.000457217840188478	0.000457217840188478	0.100587924841465	0.000125716225385418	7.90579900701983e-05	8.81936887517413e-05	6.27980418533423e-05	4.82738956327852e-05	1.15174995958702e-05	6.61882734643624e-06
"Persea_thunbergii"	0.000921399967669616	0.000463317914250537	0.000919898997694913	0.000920141607665561	0.000918889595830738	0.000918909900922876	0.0004604502507773	0.000459151935963639	0.00137165352056543	2.90114366274041e-06	0.000914435680376957	1.00091443568038	9.88224875877479e-07	0.000457217840188478	0.000457217840188478	0.100587924841465	0.000125716225385418	7.90579900701983e-05	8.81936887517413e-05	6.27980418533423e-05	4.82738956327852e-05	1.15174995958702e-05	6.61882734643624e-06
"Diospyros_morrisiana"	0.00251882614629181	0.0012628131638318	0.00251636018791612	8.5711194161956e-06	7.06213580118283e-06	5.7150561356917e-06	0.00251271375918488	2.59450037267066e-06	2.96467462763244e-06	2.40941324518978e-06	1.97644975175496e-06	1.97644975175496e-06	1.00125505059493	9.88224875877479e-07	9.88224875877479e-07	0.000217409472693045	0.000104407907291557	0.100404047594533	0.000121779369342214	8.12172222832528e-05	3.17139290740753e-05	3.14853268286476e-05	1.80401880547399e-05
"Prunus_jamasakura"	0.000921399967669616	0.000463317914250537	0.000919898997694913	0.000920141607665561	0.000918889595830738	0.000918909900922876	0.0004604502507773	0.000459151935963639	0.00137165352056543	2.90114366274041e-06	0.000914435680376957	0.000914435680376957	9.88224875877479e-07	1.00045721784019	0.000457217840188478	0.100587924841465	0.000125716225385418	7.90579900701983e-05	8.81936887517413e-05	6.27980418533423e-05	4.82738956327852e-05	1.15174995958702e-05	6.61882734643624e-06
"Taxillus_yadoriki"	0.000921399967669616	0.000463317914250537	0.000919898997694913	0.000920141607665561	0.000918889595830738	0.000918909900922876	0.0004604502507773	0.000459151935963639	0.00137165352056543	2.90114366274041e-06	0.000914435680376957	0.000914435680376957	9.88224875877479e-07	0.000457217840188478	1.00045721784019	0.100587924841465	0.000125716225385418	7.90579900701983e-05	8.81936887517413e-05	6.27980418533423e-05	4.82738956327852e-05	1.15174995958702e-05	6.61882734643624e-06
