"Spermophilus_xanthoprymnus"	"Meriones_vinogradovi"	"Cricetulus_migratorius"	"Meriones_persicus"	"Microtus_arvalis"	"Mesocricetus_brandti"	"Meriones_tristrami"	"Arvicola_terrestris"	"Microtus_socialis"	"Apodemus_flavicollis"	"Crocidura_suaveolens"	"Dryomys_nitedula"	"Chionomys_nivalis"	"Allactaga_elater"	"Sciurus_anomalus"	"Neomys_schelkovnikovi"	"Neopsylla_setosa"	"Xenopsylla_cheopis"	"Citellophilus_transcaucasicus"	"Amphipsylla_schelkovnikovi"	"Nosopsyllus_iranus"	"Oropsylla_ilovaiskii"	"Nosopsyllus_consimilis"	"Ctenophthalmus_teres"	"Megabothris_walkeri"	"Ctenophthalmus_acuminatus"	"Wagnerina_schelkovnikovi"	"Amphipsylla_rossica"	"Ctenophthalmus_secundus"	"Neopsylla_pleskei"	"Nosopsyllus_mokrzeckyi"	"Stenoponia_ivanovi"	"Leptopsylla_segnis"	"Nosopsyllus_fasciatus"	"Callopsylla_saxatilis"	"Ctenophthalmus_bogatschevi"	"Frontopsylla_elata"	"Callopsylla_caspia"	"Stenoponia_tripectinata"	"Ceratophyllus_sciurorum"	"Xenopsylla_conformis"	"Ctenophthalmus_proximus"	"Mesopsylla_tuschkan"	"Rhadinopsylla_cedestis"	"Megabothris_turbidus"	"Ctenophthalmus_golovi"	"Myoxopsylla_jordani"	"Rhadinopsylla_integella"	"Ophthalmopsylla_volgensis"	"Hystrichopsylla_talpae"	"Paradoxopsyllus_hesperius"	"Mesopsylla_apscheronica"	"Rhadinopsylla_ucrainica"
"Spermophilus_xanthoprymnus"	1.32359506075588	0.000785333702007522	0.00248405513583652	0.000259419002260346	0.00191971990859186	0.00193602967886964	0.000183528331237692	0.000669636756683546	0.000610413508724343	0.000693943981902632	0.000170587732542817	6.15518486744202e-06	8.05859081295658e-06	3.36658226579251e-06	3.62069698084825e-07	7.662411151071e-06	0.339413025311542	0.000445578450761729	0.242209189213345	0.00105283741110988	0.00108234870974049	0.0648843436019927	0.0100633280087179	0.005072516182009	0.000265971412673864	0.000470755314946883	7.62687403362875e-05	0.000270479391072178	0.000200400965252076	0.000557677631047068	4.84001033671889e-05	0.000131173920001396	4.22424907324319e-05	3.66402636409903e-05	3.80992265657002e-05	7.66908329956549e-05	6.6161403828979e-05	4.79650496747608e-05	3.16961203140906e-06	1.71983106590292e-06	3.07611465130845e-06	2.07155186741953e-05	1.12258340247704e-05	2.62044243407776e-06	1.97174193253888e-05	1.45748800001551e-05	2.95502626266918e-06	1.60444448525108e-05	1.13968504417815e-06	6.24637714292362e-06	6.71549234413048e-07	5.34814828417028e-06	5.34814828417028e-06
"Meriones_vinogradovi"	0.00165800291323393	1.26963921762973	0.00322323987516632	0.0350146565727188	0.00031560519832671	0.00117963851534757	0.0200712704266719	5.58162687274133e-05	0.000401362770484178	0.00105808559928232	1.3932337532115e-05	3.89426129626699e-06	1.02400272907919e-06	0.000697082352574644	2.29074193898058e-07	2.75535320916325e-07	0.000443081122435669	0.524661237637948	0.000305640415704858	0.00134045632136398	0.124026313726828	8.18522671093189e-05	0.0050173407802978	0.000182404382446607	2.45271352193496e-05	0.000324938441420148	9.89641661064989e-05	0.000121301583701012	0.000348510109467723	0.00354223594979561	0.000357458699234908	2.15652142023674e-05	5.66295826333799e-05	2.6544018470447e-05	4.84125734692439e-06	5.56790691120719e-05	1.34848867260171e-05	2.17769456334872e-05	0.00398479163071248	1.08810242101578e-06	0.000415193556198247	2.97108130595927e-05	0.000150183652219643	0.000644325218328638	1.78242870183062e-05	2.39613491137415e-06	3.75690636082839e-06	9.7760097956981e-06	0.000323207054050031	1.02691496201749e-06	8.53335607565992e-08	3.25866993189937e-06	3.25866993189937e-06
"Cricetulus_migratorius"	0.00643140587114833	0.00395281291367237	1.29686806319042	0.00201308364003046	0.00692169875785832	0.00594924683637762	0.00111615983114502	0.000971401841837985	0.0048971763718663	0.00386513327220172	0.000200348449092684	9.75416508314151e-05	2.10569929172579e-05	1.96580807142393e-05	5.73774416655383e-06	2.80788905130858e-06	0.00266105102272212	0.00316851790663676	0.00144373136143116	0.521773210035702	0.00354881066858564	0.000546774592068938	0.0379608168395942	0.00185882255196628	0.00044783237868493	0.0024750133028091	0.039818155456757	0.00486033272467434	0.00477618483466518	0.00862365235323799	0.0140227897697726	0.000472957724235439	0.0098444487197023	0.00679214849686731	9.95527831810358e-05	0.000336197383441394	0.00019837941104143	0.000180457022228276	1.80504734830352e-05	2.72542847911307e-05	2.38705569964086e-05	0.000339342055096278	6.27001146526239e-05	1.65574299403605e-05	7.64377875239246e-05	5.25508582483821e-05	2.50850771073379e-05	4.93031505777151e-05	8.5322253908949e-06	2.25217963921637e-05	1.75474940977149e-06	1.6434383525905e-05	1.6434383525905e-05
"Meriones_persicus"	0.00371799724188148	0.237698310923497	0.0111435716911567	1.04792660297266	0.000849334228356652	0.00231311626835545	0.0243478483673873	0.000272030361534799	0.00290508934408145	0.00155885375253918	8.93720998873721e-05	9.31800042092758e-06	3.43099640858805e-06	0.000497272748678741	5.4811767181927e-07	6.36218811315586e-07	0.000997170576125754	0.371836310158598	0.00068750815142696	0.0055473476588846	0.229364426172378	0.00018424900617306	0.0146925517668248	0.000421176853090918	0.000109448117667562	0.000609647375724026	0.000342144650281856	0.00036854974094292	0.00415380786357115	0.00432670865765357	0.00950311429634692	5.80347683150424e-05	0.000132073090151548	7.82676732655779e-05	1.62209885761579e-05	9.11340221445687e-05	3.65378272921516e-05	4.00810955584106e-05	0.00383309051081531	2.60355894114153e-06	0.0124260071498735	4.52626950314248e-05	0.000119392389266326	0.00238949549345392	3.02323685765818e-05	6.44830759056026e-06	6.02323932511845e-06	1.91694718371999e-05	0.00417660184630769	2.7635603959544e-06	2.85916367382337e-07	6.38982394573328e-06	6.38982394573328e-06
"Microtus_arvalis"	0.0301991513603214	0.00235163526302006	0.0420557011296338	0.000932241040235284	1.14814938787186	0.0288578659845808	0.000656270117350055	0.0339525468015264	0.0122510323842838	0.0196997122223044	0.00889013676475714	0.00205036017651035	0.00278788870991567	8.13361305160566e-05	0.000120609422147668	0.000297457954374875	0.00816221201178612	0.00186991568623275	0.0107018325477973	0.0480768506111766	0.000713929273262476	0.00148789864833695	0.0548250152093229	0.196917165796167	0.029445643137149	0.0100195047751601	0.00129124965981739	0.10711968558819	0.00404479135385539	0.00272374309967214	0.00103710678832385	0.0784527239001377	0.00104073167158912	0.00664341201178831	0.0131805182896568	0.0271142222101493	0.0271704963163613	0.0192915843166957	9.95196513007685e-06	0.000572894755201422	1.10542415838176e-05	0.000610460919468398	0.000315942054754445	9.24647282812517e-06	0.000379474949305845	0.00871696932223752	0.000339654667762872	0.000239153585507575	4.02705218194503e-06	0.00373584399524465	0.000232324059159639	7.97178618358584e-05	7.97178618358584e-05
"Mesocricetus_brandti"	0.0387847713568029	0.0111935312160743	0.0460327082560599	0.00323325091654104	0.0367499343063308	1.14470951955022	0.00413765371103153	0.00980733714854545	0.00862833791942723	0.0259199289032661	0.00342988776304472	0.000289434484677651	0.00013757402110879	0.000113024658366234	1.70255579222148e-05	0.000149413563919316	0.0242287128580707	0.00700880342590009	0.00731873026839193	0.0195341491139105	0.00579070341121997	0.00190948390678549	0.138479623763371	0.0989117793145869	0.00404251775344138	0.251505368563978	0.00141335698322783	0.0132588971752732	0.0030630947501357	0.0448189904893345	0.000865185365967974	0.00251111264782954	0.00117142017547521	0.00834304569879686	0.000650419399797668	0.00204042834484779	0.00285196819486578	0.00108314579763561	4.38007702035433e-05	8.08714001305201e-05	3.83389436743997e-05	0.000737462946420826	0.000416856378652112	5.20135489393889e-05	0.0081425250035383	0.000279012516425504	0.000118492512305247	0.00948654297969791	1.44089828574163e-05	0.000119576792753788	1.14645017590658e-05	0.00316218099323264	0.00316218099323264
"Meriones_tristrami"	0.00454248279227216	0.235306532135216	0.0106701832322089	0.0420478200474334	0.00103256151569411	0.00511204997745192	1.02880143261383	0.00016459499066873	0.00346415611557704	0.00166551945813416	4.18461193760899e-05	1.08110405468079e-05	3.25033841558152e-06	0.000468473167642012	6.35943561576934e-07	9.83845310210688e-07	0.0012444042077195	0.349704317888886	0.000838493753381983	0.00436934843003013	0.25031927196062	0.000224581575667481	0.0151565002587758	0.000651305595359476	7.38875140867874e-05	0.00122702784933652	0.000327610052827549	0.000439121926882395	0.00648286754937879	0.0220143116477626	0.000562554686632904	7.0554637189511e-05	0.000131380964499777	9.61403656059957e-05	1.53668777314437e-05	9.99878251078674e-05	3.998576703379e-05	4.37005608758647e-05	0.000843925297034596	3.02073191749044e-06	0.000498590751550593	4.79075029647136e-05	0.000115480009907404	0.0106854041523397	5.05376222295198e-05	7.83940413216789e-06	6.5520360278562e-06	4.23650550617563e-05	0.000200448231904814	3.35974462807195e-06	2.70861534631793e-07	1.41216850205854e-05	1.41216850205854e-05
"Arvicola_terrestris"	0.0178536976451069	0.000704885599553914	0.0100032961727507	0.000506056481384589	0.0575445738069987	0.0130524119403436	0.000177302692154183	1.21217192361195	0.0025352818925203	0.00664435892628794	0.00473872322361223	0.000330872751355868	0.00684952392328312	2.74348412871579e-05	1.94631030209334e-05	0.000173526721725728	0.00475351308027033	0.000631920318684352	0.0102031494708123	0.00559013681234811	0.000266832944856019	0.000876991058536469	0.0146063726412017	0.114874689782432	0.424324351281698	0.00338556657674927	0.000307134405875246	0.0170073048879685	0.000872748863378447	0.000664670663029784	0.00471982556242572	0.00393200450091206	0.00473408427984668	0.000453989105080258	0.0323830269928552	0.00384278325721923	0.00183916629937712	0.0121787635696882	3.65483957330897e-06	9.24497393494336e-05	6.00066973973821e-06	0.00241235760430835	0.000106561890258955	3.02070442010442e-06	0.000150912541984153	0.000436889388990229	6.53762033969662e-05	0.000108169159726604	2.10282668174009e-06	0.000187238309567241	0.000570793660273593	3.60563865755347e-05	3.60563865755347e-05
"Microtus_socialis"	0.021699601790534	0.00675824076771153	0.0672401520470467	0.00720576082404518	0.0276849310252687	0.0153110702295718	0.00497547912678468	0.00338037585669374	1.15932319605321	0.0176062874831462	0.000567385646110531	0.00133224426783788	8.14231860566922e-05	7.87344891151944e-05	7.83673098728165e-05	1.00832303251517e-05	0.00864385975921901	0.006246301767174	0.00412143285230629	0.0306417707373019	0.0032557440828067	0.00107573818890901	0.144523585431009	0.00667509847525043	0.0016108070527056	0.00452298588327093	0.00206449592147305	0.0692153649567993	0.349931429744853	0.00125441755085397	0.0235919712919288	0.00189170352992617	0.00105332600693119	0.000603958250741857	0.000384950729634695	0.00144194735563537	0.000764088502946463	0.000749863762105659	4.20193289519905e-05	0.000372244721895879	8.54438042376898e-05	0.00050131616114323	0.000283529776613265	6.71515708887097e-05	0.000266772552510997	0.000210189281102908	0.000235347378628283	0.000126887322344518	2.94650003598284e-05	9.00811204726747e-05	6.78526550472435e-06	4.22957741148393e-05	4.22957741148393e-05
"Apodemus_flavicollis"	0.0306858643704749	0.0221617319117973	0.0660136481429086	0.00480963413893187	0.0553754105761117	0.0572135016035507	0.002975592690447	0.0110199123655507	0.0219005039424501	1.05195313701805	0.00185851132563505	0.00270204034672553	0.000186468025866101	0.00426144158296752	0.000158943549807384	5.6991742056542e-05	0.0086802556384062	0.0378632830413185	0.00592781825277398	0.0281091561251944	0.00385114893903614	0.00151603446464931	0.199542928569673	0.0377285332414308	0.00472175112526349	0.0767965593433247	0.00202683817932529	0.0585864226082353	0.0196255210181159	0.00604151689202538	0.00445896352689088	0.00378378618904018	0.0326071819678828	0.00103715570281007	0.000881579388955843	0.0493891322282484	0.0047397202270318	0.017038058423952	8.2001094032153e-05	0.000754981861585076	5.70312348489945e-05	0.0288966089187834	0.0168553789878534	4.64237666233169e-05	0.0100166434621051	0.00042042068767113	0.00357563424550652	0.000474145040913404	2.22362823458507e-05	0.000180180294716199	1.55390021555084e-05	0.000158048346971135	0.000158048346971135
