"Sorex_araneus"	"Clethrionomys_glareolus"	"Talpa_europaea"	"Microtus_oeconomus"	"Apodemus_uralensis"	"Clethrionomys_rutilus"	"Microtus_arvalis"	"Sorex_caecutiens"	"Apodemus_agrarius"	"Sciurus_vulgaris"	"Sorex_minutus"	"Microtus_agrestis"	"Neomys_fodiens"	"Myopus_schisticolor"	"Micromys_minutus"	"Palaeopsylla_soricis"	"Ctenophthalmus_uncinatus"	"Doratopsylla_dasycnema"	"Megabothris_turbidus"	"Ctenophthalmus_bisoctodentatus"	"Ctenophthalmus_agyrtes"	"Peromyscopsylla_bidentata"	"Amalaraeus_penicilliger"	"Palaeopsylla_kohauti"	"Megabothris_walkeri"	"Hystrichopsylla_talpae"	"Amphipsylla_rossica"	"Peromyscopsylla_silvatica"	"Ctenophthalmus_assimilis"	"Megabothris_rectangulatus"	"Ceratophyllus_sciurorum"	"Tarsopsylla_octodecimdentata"	"Corrodopsylla_birulai"	"Ceratophyllus_indages"	"Rhadinopsylla_integella"	"Leptopsylla_segnis"
"Sorex_araneus"	1.26181360066872	0.0228931878450846	0.0101527065495355	0.00232670420908714	0.00251594296774235	0.00216015212893679	0.00122524378263256	0.0159508021685796	0.00158159504795244	3.85449906649418e-05	0.00870503794961477	0.000706844827880759	0.00246475496042071	0.000347809109802216	0.000450406126676216	0.378374755582492	0.0249219824128296	0.212415362786043	0.00765633460634412	0.0037166626927257	0.0121985081269693	0.00408729193026929	0.002482269955538	0.00179621765532468	0.00169355706119945	0.012240022435443	0.000510317477926438	0.000535670630424013	0.00091131810056017	0.000224771841813333	8.25964085677325e-06	6.05706996163372e-06	0.0025144979193225	3.57917770460174e-06	0.000358200957534313	1.10286053842316e-05
"Clethrionomys_glareolus"	0.0235646537863073	1.21382076993492	0.0167316839362644	0.0131622480754216	0.0198107189540148	0.0211007979834952	0.00682765577020028	0.00123097105147124	0.00958764470067133	0.000424718025928235	0.000998270839284074	0.00486604182375017	0.000236110630965661	0.000613438341017183	0.000357609479617565	0.0154721435095388	0.251634201085315	0.0082305279860624	0.127539664892939	0.00606141639057731	0.0556563481381948	0.0642646167836833	0.0667817861437995	0.00185484447077587	0.0137997005065607	0.00664086894044023	0.00648946158934448	0.0246857428316856	0.00648408197752753	0.00966641236786219	9.10110055560502e-05	6.67414040744369e-05	0.000118075531919895	3.94381024076218e-05	0.00101393345258712	7.56495558147899e-05
"Talpa_europaea"	0.0190747820021575	0.0305395483563937	1.25524878784919	0.00733727357043385	0.0067672368903253	0.00270495452519449	0.00263019160404661	0.000757333387565	0.00412207896065092	0.000838302995906489	0.00152805422575584	0.00120192721304315	0.000285090078064138	5.73013679149415e-05	0.000240470306686098	0.021789833745938	0.0196715319964691	0.00563743959065821	0.00682591945651049	0.346889962183782	0.0964473862805533	0.00213771337069236	0.002516513027534	0.138214414729406	0.00325767145431855	0.011502497306055	0.00107608001079848	0.00070755794360295	0.00852939248575193	0.000282153216109562	0.000179636356265676	0.000131733327928162	0.000733885464209273	7.78424210484596e-05	3.04786658375398e-05	2.70236331972941e-05
"Microtus_oeconomus"	0.0175209304813849	0.0962922359201897	0.0294085054037632	1.1346809783462	0.0144246413146184	0.00559153888482497	0.00883388875743536	0.000654109218158536	0.00839553315539801	0.00121309244098197	0.0004608908735447	0.0130794150191522	0.000725208046789488	0.00182305614655156	0.000229309324335938	0.0138275965542616	0.0903035594112643	0.00360029213546278	0.0289054483648915	0.00833838261272127	0.141150554365957	0.00946860019041841	0.00565818562913043	0.00324732600561286	0.335708646664905	0.00215853737727353	0.0170345473291622	0.00211413085910693	0.00100826702895443	0.000946146142541621	0.000259948380210422	0.00019062881215431	0.00247817226923563	0.000112644298091183	8.46426081687287e-05	7.04096271428324e-05
"Apodemus_uralensis"	0.0229394800000038	0.175480240930906	0.0328410025559905	0.0174651294348566	1.03705093995693	0.0126889635057646	0.00778835647561086	0.00106620656692321	0.0181301134792313	0.00018724058905291	0.000648564311249938	0.00595923535401773	0.00017497001703984	0.000224855371399733	0.000688034784353365	0.0141232824934263	0.136818931745351	0.00986736407831922	0.27767796073903	0.00935852472034416	0.157191336980691	0.0137812590709109	0.0104292985469567	0.00362816060790785	0.0124561540800141	0.00279634632406318	0.00603948666595717	0.00395212822835662	0.00404777748105241	0.00156492283811029	4.01229833684806e-05	2.94235211368858e-05	0.000122267661536925	1.73866261263416e-05	0.000151833578014183	0.00257269769599281
"Clethrionomys_rutilus"	0.0228288804535366	0.216642852023726	0.015215369204219	0.00784721650313504	0.0147076622453181	1.03011612687034	0.00749134542420005	0.00135326511901797	0.00800678094538868	0.000397702308847892	0.00126392361589277	0.00586619134709723	0.000158410992537096	0.000832704170775241	0.000604902109297217	0.00923298086054087	0.172951267009264	0.00512332762498211	0.0951595767196812	0.0045493553635158	0.0435735912756215	0.140556372076794	0.0877857784661743	0.001687501110086	0.00489297906650771	0.0400889746021005	0.00327864222069105	0.0452266546392414	0.00148606161575267	0.010546643739057	8.52219233245482e-05	6.24960771046687e-05	9.05638808642688e-05	3.69295001073042e-05	0.000185973142271086	6.57757529848834e-05
"Microtus_arvalis"	0.0180869320293377	0.0979172537837452	0.020665791174652	0.0173172263737026	0.0126097200081319	0.0104641015449144	1.13461915499625	0.000811900912612504	0.013457796032489	0.000134547048323639	0.000968949527945253	0.00531144645572269	9.81633248546505e-05	0.000290127780512345	0.000580222340142003	0.0115033192605831	0.0473574141086946	0.00375961578982791	0.0758669798779405	0.0148561429985378	0.0297199091652119	0.0472969518705389	0.0105649098246762	0.00228504863987074	0.0111653411403217	0.042342520690645	0.338544159319621	0.00233985077628183	0.0233614883682015	0.000927677098137936	2.88315103550654e-05	2.11431075937147e-05	9.33626295646847e-05	1.2493654487195e-05	8.61436948144182e-05	0.00453336314076134
"Sorex_caecutiens"	0.264897250299625	0.0198603990179334	0.00669428619365491	0.00144254443647463	0.00194201910403871	0.00212655947274253	0.000913388526689067	1.0227432747916	0.000971229464740468	2.47257131547439e-05	0.00878508630031754	0.000583540155998858	0.00183279956762248	0.00024405379729428	0.000272176491444627	0.227455726543133	0.0180829463369448	0.382565262684913	0.00379740001725486	0.00222104397928182	0.00852535544255502	0.011007464141109	0.00151054689403462	0.000879465548331827	0.000836875728595963	0.00752336106441863	0.000383006831973107	0.000474752930003169	0.000321535759306921	0.000191704011211137	5.29836710458797e-06	3.88546921003118e-06	0.000782659392123929	2.29595907865479e-06	8.76951576919343e-05	8.38440839078445e-06
"Apodemus_agrarius"	0.0269886861393718	0.158943797927643	0.0374390657893983	0.0190247402695716	0.0339315885299374	0.0129283802420955	0.0155567183494827	0.000997960550925986	1.01859943300541	0.000175088409898428	0.001009176528855	0.0063615590031075	0.000167234884013671	0.000287704070594341	0.000922199633026992	0.0197045235083565	0.095544367237185	0.00559791572297243	0.255619400365837	0.0106823478842072	0.15725499623762	0.0108515926704904	0.00959836396624836	0.00413658900696241	0.0171407319761055	0.0306898996276904	0.0242176723384987	0.00363677847239957	0.0154612165773136	0.00603208163037717	3.75189449782346e-05	2.75138929840387e-05	0.000132804641620567	1.62582094905683e-05	0.000139195087843883	0.000144898667484955
"Sciurus_vulgaris"	0.00102419546623988	0.0109637924693189	0.0118559995135346	0.00428048332746496	0.000545672573811337	0.0009999372336747	0.00024218468698255	3.95611410475902e-05	0.000272637666841838	1.30244906144775	0.000115356572810462	0.000457378820317954	1.38363885776354e-05	6.59406389233399e-05	7.29538603700242e-06	0.000594522876081616	0.0121215674116009	0.000252389836130632	0.00145152353538582	0.0218990140105629	0.00197606358447586	0.000739375627731256	0.0099742532243168	0.00130590816492103	0.010714610171716	0.000230610431432455	0.000170824907843285	0.000255162944034108	0.000142894246108492	9.8837718950085e-05	0.279096227453089	0.204670566798932	1.89402553067742e-05	0.120941698563005	9.37642191749747e-06	2.2984831241182e-06
