"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Microtus_agrestis"	"Microtus_oeconomus"	"Sorex_araneus"	"Tamias_sibiricus"	"Apodemus_peninsulae"	"Sicista_betulina"	"Sorex_caecutiens"	"Peromyscopsylla_silvatica"	"Amalaraeus_penicilliger"	"Megabothris_rectangulatus"	"Hystrichopsylla_talpae"	"Neopsylla_acanthina"	"Neopsylla_mana"	"Ctenophthalmus_uncinatus"	"Peromyscopsylla_ostsibirica"	"Palaeopsylla_soricis"	"Corrodopsylla_birulai"	"Ceratophyllus_indages"	"Megabothris_calcarifer"	"Amphipsylla_sibirica"	"Catallagia_dacenkoi"	"Catallagia_ioffi"	"Neopsylla_pleskei"	"Ctenophyllus_armatus"	"Megabothris_turbidus"
"Clethrionomys_rutilus"	1.27476199583864	0.0206381760793156	0.0172264125537276	0.0141933372119058	0.00159760011046971	0.0013666705932336	0.00173068036009428	0.00173068036009428	8.77802258499843e-05	0.196851698845864	0.191781109701958	0.13326238772726	0.0275100005713601	0.0251389037146459	0.0244292368540506	0.0186266417153416	0.00929800692118842	0.00061446158094989	0.00689074772922377	0.00478334707631761	0.0051513462886045	0.00128988600495722	0.00666251914201381	0.00666251914201381	0.00666251914201381	0.0003416676483084	0.000709666860595291
"Clethrionomys_rufocanus"	0.246798188948482	1.05852910196429	0.0150021432652835	0.00762805054757556	0.000309300728461416	0.000264592001016866	0.00239248066635214	0.00239248066635214	1.6994545519858e-05	0.107790283675369	0.190915597510247	0.184221011309115	0.049264923268341	0.00511098454555526	0.00472958201817648	0.0475450752617313	0.00299349948666834	0.000118961818639006	0.00133407182330885	0.000926072003559032	0.00124132653068359	0.0661580688727681	0.00128988600495722	0.00128988600495722	0.00128988600495722	6.61480002542165e-05	0.000381402527378778
"Microtus_agrestis"	0.247199020145991	0.0180025719183401	1.03233264802619	0.0290319704829119	0.000309803071618421	0.000265021731595809	0.00308763790494772	0.00308763790494772	1.70221467922209e-05	0.300895044262624	0.0392315017480957	0.237748118680974	0.00591803092938245	0.00618886197642068	0.00473726345227509	0.00419538967400969	0.056537609653203	0.000119155027545547	0.00133623852318934	0.000927576060585332	0.00231291915183198	0.00112516074489626	0.00129198094152957	0.00129198094152957	0.00129198094152957	6.62554328989523e-05	0.0014515985241456
"Microtus_oeconomus"	0.203674388990849	0.00915366065709067	0.0290319704829119	1.08884214498119	0.000255255669225974	0.00021835903402932	0.00107176424063337	0.00107176424063337	1.40250367706579e-05	0.228538313358804	0.0314957504211256	0.0825258465287691	0.00463940369095053	0.0583452749823336	0.0039031677332741	0.00322006996975994	0.138621366937687	9.81752573946055e-05	0.00110096538649665	0.000764256619102621	0.0551517741096548	0.000572103791068167	0.00106450029089294	0.00106450029089294	0.00106450029089294	5.45897585073301e-05	0.0544421072490595
"Sorex_araneus"	0.0655016045292583	0.00106045964043914	0.000885151633195489	0.000729301912074212	1.19902807167893	7.02241806799875e-05	8.89282398467418e-05	8.89282398467418e-05	0.0658806632790621	0.0101149094268626	0.00985436532065398	0.00684747446819912	0.00141355734161139	0.00129172232525849	0.00125525722965478	0.000957100167191468	0.00047776320148399	0.461164642953435	0.171632067406376	0.000245784632379956	0.00026469368281367	6.62787275274462e-05	0.000342342880814939	0.000342342880814939	0.000342342880814939	1.75560451699969e-05	3.64650956037106e-05
"Tamias_sibiricus"	0.098058615064511	0.0015875520061012	0.00132510865797905	0.0010917951701466	0.000122892316189978	1.2308743592764	0.000133129258468791	0.000133129258468791	6.75232506538341e-06	0.0151424383727588	0.0147523930539968	0.0102509529020969	0.00211615389010462	0.00193376182420353	0.0018791720656962	0.00143281859348782	0.000715231301629878	4.72662754576839e-05	0.000530057517632598	0.308060257467409	0.000396257406815731	9.92220003813248e-05	0.000512501472462601	0.000512501472462601	0.000512501472462601	0.307718589819101	5.45897585073301e-05
"Apodemus_peninsulae"	0.24835263167353	0.0287097679962257	0.0308763790494772	0.0107176424063336	0.000311248839463596	0.000266258516937582	1.00704115163339	0.00704115163339011	1.71015845859119e-05	0.0481660003352453	0.0409637988181197	0.542168675771039	0.00638828141345892	0.00529525311057596	0.00475937099025928	0.00465760105336463	0.00418153452333628	0.000119711092101383	0.00134247438999408	0.000931904809281537	0.00140122230036382	0.0017943604997641	0.00129801027007071	0.00129801027007071	0.00129801027007071	6.65646292343955e-05	0.000535882120316683
"Sicista_betulina"	0.24835263167353	0.0287097679962257	0.0308763790494772	0.0107176424063336	0.000311248839463596	0.000266258516937582	0.00704115163339011	1.00704115163339	1.71015845859119e-05	0.0481660003352453	0.0409637988181197	0.542168675771039	0.00638828141345892	0.00529525311057596	0.00475937099025928	0.00465760105336463	0.00418153452333628	0.000119711092101383	0.00134247438999408	0.000931904809281537	0.00140122230036382	0.0017943604997641	0.00129801027007071	0.00129801027007071	0.00129801027007071	6.65646292343955e-05	0.000535882120316683
"Sorex_caecutiens"	0.0125964624094728	0.000203934546238296	0.000170221467922209	0.000140250367706579	0.230582321476717	1.35046501307668e-05	1.71015845859119e-05	1.71015845859119e-05	1.08959243524597	0.00194517488978126	0.00189507025397192	0.00131682201311521	0.000271837950309882	0.000248408139472786	0.000241395621087457	0.000184057724459898	9.18775387469211e-05	0.627147046721814	0.0330061668089185	4.72662754576839e-05	5.09026313103211e-05	1.27459091398935e-05	6.58351693874882e-05	6.58351693874882e-05	6.58351693874882e-05	3.3761625326917e-06	7.01251838532896e-06
"Peromyscopsylla_silvatica"	0.538061310178695	0.0246377791257987	0.0573133417643093	0.0435311073064389	0.000674327295124172	0.000576854795152715	0.000917447625433244	0.000917447625433244	3.70509502815479e-05	1.10316420899554	0.0832710780363144	0.0706434671583598	0.0122752426357196	0.0124878348286767	0.0103112794633548	0.0085256864672269	0.0111192226278898	0.000259356651970835	0.00290849959710151	0.0020189917830345	0.00405133344956827	0.00153986119536242	0.00281216712636948	0.00281216712636949	0.00281216712636949	0.000144213698788179	0.00217655536532194
