"Sideroxylon_cinereum"	"Geniostoma_borbonicum"	"Croton_fothergillifolius"	"Aphloia_theiformis"	"Psiadia_terebinthina"	"Erythroxylum_macrocarpum"	"Toddalia_asiatica"	"Molinaea_alternifolia"	"Claoxylon_linostachys"	"Antirhea_borbonica"	"Roussea_simplex"	"Pachycerina_crinicornis"	"Melanostoma_annulipes"	"Apis_mellifera"	"Stomorhina_lunata"	"Musca_domestica"	"Stomoxys_niger"	"Fannia_pusio"	"Stomoxys_calcitrans"	"Brachymyrmex_sp1_M_PL_060"	"Nacoleia_sp1_M_PL_060"	"Technomyrmex_albipes"	"Zosterops_mauritianus"	"Chrysomya_megacephala"	"Henotesia_narcissus"	"Miridae_sp1_M_PL_060"	"Nyctemera_insulare"	"Orthellia_albigena"	"Ceratitis_roas"	"Chaetocnema_sp1_M_PL_060"	"Homoneura_quadrivittata"	"Lygistorrhina_sp1_M_PL_060"	"Ophyra_capensis"	"Orchisia_costata"	"Chironomidae_sp1_M_PL_060"	"Cicadellidae_sp1_M_PL_060"	"Dysauxes_florida"	"Episyrphus_sp1_M_PL_060"	"Eristalinus_flaveolus"	"Ischiodon_aegyptius"	"Limnophora_quaterna"	"Ornidia_obesa"	"Pelecophora_intemipta"	"Psyllidae_sp1_M_PL_060"	"Sapromyza_sp1_M_PL_060"	"Scirtidae_sp1_M_PL_060"	"Scirtidae_sp2_M_PL_060"	"Syritta_nigrofemorata"	"Tarundia_servillei"	"Tettigoniidae_sp1_M_PL_060"
"Sideroxylon_cinereum"	1.21222678413809	0.0359764226699473	0.0234440490245243	0.0249990142684449	0.0114292283064257	0.0113430318432809	0.00716787540232543	0.000813604915408878	0.00529796400484103	0.000594226430241961	4.11323298021014e-05	0.0829878777707131	0.0279883878734927	0.31315858590234	0.0164928188742648	0.0268901906225034	0.0356260355167382	0.0926845500094981	0.0137403059693382	0.000271201638469626	0.00238223926234355	0.00119547120910065	0.02139590668451	0.00113946295972408	0.000246793978812609	0.000686451292486656	0.00113013364812709	0.00104623053590004	0.000692398780967786	0.000427692216193109	0.000817645969771529	0.000407535692680079	0.000512160362210535	0.00060793063495036	0.0101018898678174	0.000228584566128514	0.000285903036884443	0.000199107650064595	0.000408822984885764	0.000285903036884443	0.000312487678355561	0.000285903036884443	0.000312487678355561	0.000285903036884443	0.0101018898678174	0.000199107650064595	0.000408822984885765	0.000285903036884443	0.000408822984885765	2.71201638469626e-05
"Geniostoma_borbonicum"	0.0490587581862917	1.13725702799126	0.0496667785382866	0.0418744590932189	0.0141183369272563	0.0117761481789346	0.0155162151374927	0.00098749124071677	0.00875165815381836	0.00424211036774557	8.43495183149132e-05	0.209187631340143	0.025958710443166	0.0126735125314587	0.0110219720850918	0.0371742484535378	0.107861631133802	0.0432553302954296	0.00567029498470549	0.00032916374690559	0.0538831520241301	0.00197272720206215	0.00245331485604873	0.00193492063707421	0.000506097109889479	0.00106201191720015	0.0263701813748302	0.0261291173747101	0.0132177790225558	0.000713372714586589	0.0258467506361649	0.000673204473370643	0.00057677044301849	0.0133543812941239	0.000408822984885765	0.000282366738545125	0.000605692421198618	0.000431005976041463	0.0129233753180825	0.000605692421198618	0.000523430738665237	0.000605692421198617	0.000523430738665237	0.000605692421198617	0.000408822984885765	0.000431005976041464	0.0129233753180825	0.000605692421198617	0.0129233753180825	3.2916374690559e-05
"Croton_fothergillifolius"	0.0343083644261331	0.0533009330654783	1.11495259470755	0.0444027580049741	0.0338613800997074	0.0198200745678297	0.0234537961006431	0.00108847434380763	0.00637318328745153	0.00164672439989584	0.000125050329864708	0.219679846841245	0.0286047463888561	0.00886299414341772	0.107717796578929	0.130264543807634	0.00921904515388164	0.00562246667261216	0.0334467053099429	0.000362824781269209	0.0169864681221178	0.00198279081557312	0.00267287875228472	0.0153842794144057	0.000750301979188249	0.00139211863445747	0.00176641931745941	0.00188861244439138	0.00110119428539436	0.00132872193812312	0.00121138484239724	0.000490244868265502	0.00117272946618989	0.00125718675732759	0.000285903036884443	0.000677227601994148	0.0135969828622872	0.000651494336128973	0.000605692421198617	0.0135969828622872	0.000555034475062177	0.0135969828622872	0.000555034475062176	0.0135969828622872	0.000285903036884443	0.000651494336128974	0.000605692421198617	0.0135969828622872	0.000605692421198618	3.62824781269209e-05
"Aphloia_theiformis"	0.0374985214026673	0.0460619050025408	0.0455128269550985	1.09670306576817	0.026020928174854	0.0327381601510695	0.011789504161716	0.0114550253526004	0.0220938886447921	0.00333054037343535	0.000128967346388063	0.0484620970168354	0.138776240662294	0.00968711802902238	0.026905460665486	0.118494780257469	0.0753370695065526	0.018611888206795	0.0483075504076582	0.00381834178420012	0.0171901808451841	0.0427397982710231	0.0296794600084689	0.0284930296827635	0.000773804078328376	0.00199570517836769	0.0147556497994326	0.00156728004082755	0.00134188474244197	0.000847904790211411	0.00104686147733047	0.00169952989575324	0.00133887256727382	0.000850916965379569	0.000312487678355561	0.000520418563497079	0.000555034475062177	0.000327486226714332	0.000523430738665237	0.000555034475062177	0.0137087883221021	0.000555034475062176	0.0137087883221021	0.000555034475062176	0.000312487678355561	0.000327486226714332	0.000523430738665237	0.000555034475062177	0.000523430738665237	0.000381834178420012
"Psiadia_terebinthina"	0.0274301479354217	0.024848272991971	0.0555326633635201	0.0416334850797663	1.09324953826318	0.0320888239823161	0.0380000010998281	0.003064755222446	0.0151704645803558	0.00210468734298273	0.000210493471549309	0.0437055367146085	0.12545816413275	0.00708612154998393	0.252886713891131	0.0347497314996506	0.0069324804307266	0.0252897706395526	0.0308781654093253	0.00102158507414867	0.00285328495541741	0.00234905211225773	0.00310244745836699	0.0235830554942518	0.00126296082929586	0.002441255592601	0.00108515204058733	0.0224297242423538	0.00108458733810303	0.0229205463513699	0.000564733477090251	0.00116695881387352	0.0226672113648214	0.00133792232465146	0.000228584566128514	0.0218649907652635	0.000677227601994148	0.00105555558610633	0.000282366738545125	0.000677227601994148	0.000520418563497079	0.000677227601994148	0.000520418563497079	0.000677227601994148	0.000228584566128514	0.00105555558610634	0.000282366738545125	0.000677227601994148	0.000282366738545125	0.000102158507414867
"Erythroxylum_macrocarpum"	0.0340290955298426	0.0259075259936561	0.0406311528640509	0.065476320302139	0.0401110299778951	1.07770218314857	0.023356080732434	0.0032499493083549	0.0205766454726091	0.00215569333760496	0.00013765666617404	0.0196592722323579	0.127989145614954	0.00879084967854267	0.0705239787035215	0.0668504375660729	0.0350321910628852	0.00505606788149293	0.166836269627993	0.0010833164361183	0.00303049402026718	0.00346343473980807	0.0560891687571461	0.00293463047130712	0.000825939997044239	0.0283827440403139	0.00140726141272347	0.00139102800850463	0.0272369582831877	0.00145100061990329	0.00058880740894673	0.0015828188825084	0.0277447751782722	0.000943183724818753	0.000283575796082022	0.000802220599557901	0.000495501864195743	0.000648780020345388	0.000294403704473365	0.000495501864195743	0.000818454003776738	0.000495501864195743	0.000818454003776738	0.000495501864195743	0.000283575796082022	0.000648780020345388	0.000294403704473365	0.000495501864195743	0.000294403704473365	0.00010833164361183
"Toddalia_asiatica"	0.0238929180077514	0.0379285258916488	0.0534225355625759	0.0261988981371466	0.0527777793053168	0.0259512008138155	1.08166099025783	0.00863123330637432	0.0159645096177	0.00138949763405118	0.0055152447991186	0.140140360346317	0.0773264862913455	0.00617233715200245	0.168226418808908	0.0120966817178847	0.00694560151312331	0.00446802859152641	0.0374789293289174	0.00287707776879144	0.00305037887552196	0.00217189383458205	0.00235074779424863	0.00236202237566397	0.0330914687947116	0.0313089382392993	0.00118949817879726	0.00191756753818926	0.00107978599638685	0.0311016942043795	0.000862011952082927	0.00122803920136154	0.00170433560645172	0.0304771445943146	0.000199107650064595	0.00105555558610634	0.000651494336128974	0.0300461386182732	0.000431005976041464	0.000651494336128974	0.000327486226714332	0.000651494336128974	0.000327486226714332	0.000651494336128974	0.000199107650064595	0.0300461386182732	0.000431005976041464	0.000651494336128974	0.000431005976041464	0.000287707776879144
"Molinaea_alternifolia"	0.00325441966163551	0.00289664097276919	0.00297516320640752	0.030546734273601	0.00510792537074333	0.0043332657444732	0.0103574799676492	1.25215874951356	0.0132413950411518	0.000820408170312002	0.00764115141102991	0.00375376633562209	0.0505881994505526	0.00084072507925584	0.00344187744233833	0.00382011060221596	0.00287147844943694	0.000826823284529219	0.00228504380132583	0.417386249837853	0.00075488419788717	0.0851320369274904	0.00103457197175761	0.000902109342381811	0.0458469084661795	0.000905323845150658	0.00044766692780113	0.000167991256795985	0.000141248018302389	0.000389866284294011	6.5832749381118e-05	0.00101856884931937	0.000210490151026697	0.000320624151569703	2.71201638469626e-05	0.000102158507414867	3.62824781269209e-05	0.000287707776879144	3.2916374690559e-05	3.62824781269209e-05	0.000381834178420012	3.62824781269209e-05	0.000381834178420012	3.62824781269209e-05	2.71201638469626e-05	0.000287707776879144	3.2916374690559e-05	3.62824781269209e-05	3.2916374690559e-05	0.0417386249837854
"Claoxylon_linostachys"	0.0244521415608048	0.0296209968283083	0.0201000395988856	0.0679811958301295	0.029173970346838	0.0316563776501679	0.0221047056245077	0.0152785327397906	1.08779247293482	0.00496866312356485	0.000204237095516446	0.0567295047280191	0.310566873352683	0.00631680323654123	0.0138405801953625	0.0122512599457036	0.0501825276490946	0.0042769616819297	0.00918926321337812	0.00509284424659685	0.00368346210964187	0.0454060357289038	0.00368988447094171	0.00252813173682275	0.00122542257309868	0.0432436010778895	0.00152296942124726	0.0012566838803074	0.00112801167793952	0.00119749900761753	0.000673204473370643	0.0836763440719092	0.00137488884819096	0.000950621837366092	0.00020376784634004	0.000583479406936761	0.000245122434132751	0.00061401960068077	0.000336602236685322	0.000245122434132751	0.000849764947876619	0.000245122434132751	0.000849764947876619	0.000245122434132751	0.00020376784634004	0.00061401960068077	0.000336602236685322	0.000245122434132751	0.000336602236685322	0.000509284424659685
"Antirhea_borbonica"	0.0178267929072588	0.0933264280904027	0.0337578501978648	0.0666108074687071	0.0263085917872842	0.0215569333760496	0.0125054787064606	0.00615306127734002	0.0322963103031716	1.02289062895496	0.00010045026383469	0.0279461320689845	0.279367258828176	0.0046052548343752	0.012465568305306	0.0143883975501783	0.0148741551402593	0.00587739917295811	0.00757691033825085	0.00205102042578	0.261209083799818	0.00415027514612373	0.00304023007064114	0.00260312312243732	0.00060270158300814	0.00212846352380525	0.00295369027723163	0.00264722701961847	0.00159945092633763	0.000873546244258477	0.00212105518387279	0.00248433156178243	0.00106509517014692	0.00140790200044919	0.00014855660756049	0.000526171835745684	0.000411681099973961	0.000347374408512794	0.00106052759193639	0.000411681099973961	0.000832635093358839	0.00041168109997396	0.000832635093358839	0.00041168109997396	0.00014855660756049	0.000347374408512794	0.00106052759193639	0.00041168109997396	0.00106052759193639	0.000205102042578
