"Toddalia_asiatica"	"Molinaea_alternifolia"	"Aphloia_theiformis"	"Psiadia_terebinthina"	"Stillingia_lineata"	"Croton_fothergillifolius"	"Roussea_simplex"	"Erythroxylum_macrocarpum"	"Chassalia_coriacea"	"Bertiera_zaluzania"	"Dodonaea_viscosa"	"Antirhea_borbonica"	"Claoxylon_linostachys"	"Stomorhina_lunata"	"Pachycerina_crinicornis"	"Apis_mellifera"	"Brachymyrmex_sp1_M_PL_062"	"Fannia_pusio"	"Technomyrmex_albipes"	"Chaetocnema_sp1_M_PL_062"	"Chrysomya_megacephala"	"Eristalinus_flaveolus"	"Musca_domestica"	"Allograpta_nasuta"	"Syritta_nigrofemorata"	"Phorinia_sp1_M_PL_062"	"Leptotes_pirithous"	"Lygaeidae_sp1_M_PL_062"	"Lygistorrhina_sp1_M_PL_062"	"Nacoleia_sp1_M_PL_062"	"Polistes_hebraeus"	"Psilopa_iceryae"	"Diptera_sp1_M_PL_062"	"Paragus_borbonicus"	"Stomoxys_niger"	"Episyrphus_sp1_M_PL_062"	"Unidentified_sp7_M_PL_062"	"Graphomya_maculata"	"Sepsis_lateralis"	"Acalyptrate_sp1_M_PL_062"	"Homoneura_sp1_M_PL_062"	"Limnophora_quaterna"	"Pelecophora_intemipta"	"Stomoxys_calcitrans"	"Villa_unifasciata"	"Zosterops_mauritianus"	"Dioxyna_sororcula"	"Henotesia_narcissus"	"Phelsuma_cepediana"	"Pteromalidae_sp1_M_PL_062"	"Tarundia_servillei"	"Cheloninae_sp1_M_PL_062"	"Hyadina_sp1_M_PL_062"	"Ischiodon_aegyptius"	"Mauritiborium_undulatus"	"Panara_naso"	"Pterophoridae_sp1_M_PL_062"	"Sarcophaga_arno"
"Toddalia_asiatica"	1.15551893701011	0.0390167850451976	0.0232742680213073	0.0284595973910582	0.029293268830361	0.0225003468026851	0.0124821766936755	0.010487339534485	0.0056605115826235	0.0019831310246528	0.0038273159724824	0.00038489666464026	0.000444758760057087	0.111403939969784	0.252602854183838	0.0111665819864148	0.0207389860228593	0.0283514047703677	0.0486966213618727	0.00490334823393451	0.0070278052538487	0.00639835817942173	0.0113363540851334	0.00609647467433694	0.0145277447163583	0.0304212819493129	0.00602526741046498	0.00132370220423526	0.00106231291010004	0.00117596063551741	0.00100525531542173	0.0339858510885326	0.00186411710738661	0.00123852015519258	0.00539264013751898	0.000868064510381393	0.00106667926916497	0.00066906635293609	0.0169929255442663	0.000798907331737118	0.000798907331737118	0.000561821760775979	0.0127446941581997	0.000593377709405636	0.000571566564676384	0.000398367341287515	0.00849646277213315	0.00849646277213315	0.00026557822752501	0.000532604887824745	0.000514591962056682	0.00424823138606657	0.000266302443912373	0.00018727392025866	0.00018727392025866	0.000257295981028341	0.000165462775529408	0.000239365391517926
"Molinaea_alternifolia"	0.0453528441551015	1.11577099648513	0.0554620612422055	0.0384039241141848	0.0201258876208651	0.0204532114897864	0.014390180311456	0.00952642974684519	0.00375225641735438	0.00585493898265133	0.000399440801154448	0.00208120928164087	0.0017599526849568	0.109556178295024	0.0263630928761935	0.101957962579229	0.0624103634698041	0.14575506913906	0.0357607750702442	0.00414580324415393	0.0317546944263186	0.0125089688005906	0.0121353834152721	0.0025897542590754	0.00261228569393059	0.00200711948602382	0.0159382008324493	0.00178622902856673	0.00122469619671966	0.0246568791563361	0.00179090519915278	0.0013339071810324	0.00128073830314596	0.0242821265935018	0.0151299481039425	0.00149606766999433	0.00133398049912853	0.0102743939201472	0.000666953590516198	0.000548887844205412	0.000548887844205412	0.000510344450723849	0.000500215192887149	0.00515595429491361	0.00520911810657649	0.000459261073769874	0.000333476795258099	0.000333476795258099	0.000306174049179916	0.000365925229470275	0.000341114219759489	0.000166738397629049	0.000182962614735137	0.00017011481690795	0.00017011481690795	0.000170557109879744	0.000223278628570842	0.000217587356274324
"Aphloia_theiformis"	0.0310323573617431	0.0636182467190005	1.11683490856746	0.0534835880402941	0.00440867672447584	0.0123995915733811	0.0304430982909238	0.0130593999335653	0.00315248397425479	0.00422661356204019	0.000349152086571296	0.000177906553428586	0.000147309946199066	0.144188104407465	0.0230440377137055	0.263102995525559	0.0828120864761523	0.00936787561193468	0.00327833162289034	0.00163427256981052	0.0043654411374006	0.0349593442395734	0.00241027023693218	0.00915544971300635	0.0131992997613275	0.0019646836938832	0.00175779885491389	0.00248760874606019	0.00259090198220628	0.0177834070191833	0.0179179127877377	0.000912716392992445	0.000280552155193917	0.001802225888043	0.00150448028736705	0.0170004875700481	0.00168666601494061	0.000720132885463133	0.000456358196496223	0.00012023663794025	0.00012023663794025	0.00069961071072671	0.000342268647372167	0.000636986968121726	0.000714734491137012	0.000971588243327355	0.000228179098248111	0.000228179098248111	0.00064772549555157	8.01577586268335e-05	0.00028658945220498	0.000114089549124056	4.00788793134167e-05	0.000233203570242237	0.000233203570242237	0.00014329472610249	0.000310951093257524	0.000131910548652991
"Psiadia_terebinthina"	0.0450058749439989	0.0522471990855769	0.0634340230245349	1.1053889301209	0.00607620086658575	0.0197593023119342	0.0184951917811769	0.0136489046704228	0.00391127561459967	0.00460674519104224	0.000425243715232789	0.000182845322975449	0.000151596684352311	0.167164897788418	0.0280660852053641	0.0720972925268864	0.149434246602407	0.00814699659310822	0.00354875549990808	0.00236068710449778	0.0166483893254102	0.0162724829101586	0.00898283377945935	0.0154248731776137	0.021517511912539	0.020682009348102	0.00190072163043517	0.0514134386102745	0.00157405887499378	0.00204924642262678	0.00818014244373166	0.00132370220423526	0.000386667327873639	0.0077532783128825	0.0076823891750142	0.00161712632361193	0.0323436044751655	0.000702473931629526	0.000661851102117631	0.000165714569088702	0.000165714569088702	0.000731191321629792	0.000496388326588224	0.000677214412858087	0.00686016379859913	0.000590272078122665	0.000330925551058816	0.000330925551058816	0.000393514718748444	0.000110476379392468	0.000355570510418152	0.000165462775529408	5.52381896962341e-05	0.000243730440543264	0.000243730440543264	0.000177785255209076	0.00642667982628431	0.00021020534374398
"Stillingia_lineata"	0.0724342647441654	0.0428132518480221	0.00817609137993702	0.00950096862775227	1.13931711562688	0.0365042793225509	0.00920477789620561	0.00558109397356054	0.00244390797939732	0.000623200898154355	0.00267941509865421	0.00019866062711471	0.00385630531093574	0.015962342624173	0.176841396511178	0.00675393906052236	0.0156852260955786	0.0803843884256238	0.0352823501578243	0.117713854062146	0.00263752636002882	0.00167050790285906	0.0244849519032002	0.00133280471605599	0.00184319695999234	0.00212949406886032	0.00196337808405078	0.000441905517569873	0.000783385352868563	0.00103504971161594	0.000500404379869913	0.00213041955129898	0.0725019982671653	0.00135839466042033	0.00164711527191085	0.000639402472281391	0.000664534345529584	0.000803933783297365	0.00106520977564949	0.0310722849716423	0.0310722849716423	0.000298987177155029	0.000798907331737118	0.000670968404168561	0.000626544201479785	0.000293769507325711	0.000532604887824745	0.000532604887824746	0.000195846338217141	0.0207148566477615	0.000222173452672483	0.000266302443912372	0.0103574283238808	9.96623923850095e-05	9.96623923850095e-05	0.000111086726336242	5.52381896962342e-05	0.000388343397048413
"Croton_fothergillifolius"	0.065107386492876	0.0509154413681918	0.0269097519252101	0.0361553191239646	0.0427177736753255	1.06631757026345	0.00984973572140902	0.0161175207606077	0.00631363204810107	0.00597633299075726	0.00189577261337875	0.00281772347124932	0.00223937287880821	0.111433117380393	0.125120992482998	0.0129235134717454	0.0216021968147219	0.0111074790674285	0.0053211609917627	0.0845260610307701	0.0270214337332751	0.0140936566346208	0.0814122096288039	0.00239961997662428	0.0141067591291537	0.00259398664258256	0.0251459456266516	0.00168164274995184	0.000838275380545449	0.00148366842733059	0.00121910690694536	0.00191492313214341	0.00271840377933889	0.0126419460640885	0.0237899406820307	0.0123261651051949	0.0123948306576928	0.0124834095193339	0.000957461566071706	0.00116503019114524	0.00116503019114524	0.00086343861217541	0.00071809617455378	0.0118492041659724	0.0117715966389912	0.000314353267704543	0.000478730783035853	0.000478730783035853	0.000209568845136362	0.000776686794096827	0.00057396654982737	0.000239365391517926	0.000388343397048413	0.000287812870725137	0.000287812870725137	0.000286983274913685	0.00021020534374398	0.0113438039389729
"Roussea_simplex"	0.0361186389434014	0.0358223637540502	0.0660680005462601	0.0338422658123662	0.0107715486019427	0.00984973572140902	1.12285833601603	0.00873691063434265	0.00142976879953402	0.00619888469698569	0.00127154358797958	0.000110588781968227	0.000254747437065921	0.0203723674655483	0.0839218768066522	0.162570929079047	0.058605115618688	0.0179510067965168	0.00282605893084297	0.00203034893876557	0.00382609275693786	0.0033484875748964	0.0136431483792526	0.0850892534666442	0.00227418761240048	0.00167581213578775	0.00111526147126416	0.00157405887499378	0.0955624115758322	0.00173702336627715	0.0373141941784879	0.00106231291010004	0.000685462183759993	0.00106697690489219	0.000998376392042963	0.00154233316207237	0.00108857121943929	0.000438605667240154	0.00053115645505002	0.000293769507325711	0.000293769507325711	0.000468048783982642	0.000398367341287515	0.000413887708485687	0.000454628806532361	0.035835904340937	0.00026557822752501	0.00026557822752501	0.023890602893958	0.000195846338217141	0.00012997898177582	0.000132789113762505	9.79231691085703e-05	0.000156016261327547	0.000156016261327547	6.49894908879098e-05	0.000196757359374222	0.000104784422568181
"Erythroxylum_macrocarpum"	0.0509385063103555	0.0398068671564602	0.0475735283294163	0.0419216357734414	0.010962863162351	0.0270544098481629	0.0146655285647895	1.07941435218941	0.00756697635431527	0.0110281530516013	0.000564171353141911	0.00119249744335599	0.000643843796530405	0.157321528989276	0.0372353093073662	0.0176114695957627	0.0118383411602846	0.00705442806568701	0.00354980401835593	0.0225471936495403	0.0441300079379168	0.0605277675946296	0.00332853905605001	0.0411019724316536	0.060216955431556	0.0213173650525371	0.0215345317036698	0.00194984352434611	0.00124813009062038	0.00155018479526646	0.00196279758783268	0.00149819136206928	0.000697636746695067	0.00138211739580815	0.00151697455297605	0.0208140875231285	0.00150646507344146	0.000926166865380035	0.000749095681034639	0.000298987177155028	0.000298987177155028	0.0578257688672899	0.00056182176077598	0.0197331839767297	0.000701658128176351	0.000468048783982642	0.00037454784051732	0.00037454784051732	0.000312032522655095	0.000199324784770019	0.000687906941301388	0.00018727392025866	9.96623923850095e-05	0.0192752562890966	0.0192752562890966	0.000343953470650694	0.000243730440543264	0.000287812870725137
"Chassalia_coriacea"	0.0699845068397087	0.0399103637118602	0.029232124124908	0.0305790638959611	0.0122195398969866	0.0269764278418864	0.00610901214346352	0.0192613943564389	1.09016172961281	0.00154552906471731	0.00182805797968284	0.00535230027978099	0.000173283585128612	0.169982466843107	0.120651826659067	0.0118637413108775	0.00908015117049582	0.00728911067305779	0.00435741573947868	0.0036181112810273	0.00336174136126891	0.00313259275468669	0.00332953730498143	0.0019762710483016	0.0524634827392744	0.00267838110347631	0.102130574184074	0.00142228204167261	0.000519915927103278	0.00128266972770619	0.000879914359416142	0.00205836784822673	0.000777607084353692	0.00131755407952148	0.00152071911570402	0.00113809737710772	0.00117590955095906	0.00196617256461842	0.00102918392411336	0.000333260179008725	0.000333260179008725	0.00103186041195208	0.000771887943085023	0.000801493855444124	0.000635325640002505	0.000194968472663729	0.000514591962056682	0.000514591962056682	0.00012997898177582	0.000222173452672483	0.0991056117829827	0.000257295981028341	0.000111086726336242	0.000343953470650694	0.000343953470650694	0.0495528058914914	0.000177785255209076	0.000286983274913685
"Bertiera_zaluzania"	0.0269705819352781	0.0685027860970206	0.04311145833281	0.0396180086429633	0.00342760493984895	0.0280887650565591	0.0291347580758328	0.0308788285444838	0.00170008197118904	1.06128172873991	0.000196078315747143	0.000234863666732829	0.000187789014961806	0.0775474578389806	0.0129411688393115	0.020552685171687	0.0129021582534715	0.00985320303308395	0.00323343084221016	0.00303283194707045	0.32240127999134	0.00436634864449212	0.00347812513171228	0.0571076731345393	0.00344145884907221	0.00193651528986488	0.00233970717344107	0.0018426980764169	0.00247955387879428	0.00209772677996886	0.0548582484354013	0.000793252409861119	0.000218120314354024	0.00199288865475281	0.00180536795725818	0.0545483027734193	0.00145050294729842	0.000943026464486203	0.00039662620493056	9.34801347231533e-05	9.34801347231532e-05	0.0016542229577402	0.00029746965369792	0.0011429712512505	0.000821900858222542	0.000929832704547854	0.00019831310246528	0.00019831310246528	0.000619888469698569	6.23200898154355e-05	0.000154552906471731	9.91565512326399e-05	3.11600449077177e-05	0.000551407652580067	0.000551407652580067	7.72764532358654e-05	0.000230337259552112	0.000298816649537863
