"Sideroxylon_puberulum"	"Labourdonnaisia_callophylloides"	"Psiadia_terebinthina"	"Bakerella_hoyifolia"	"Stillingia_lineata"	"Warneckea_trinervis"	"Gaertnera_sp1_M_PL_066"	"Eugenia_orbiculata"	"Phyllanthus_phillyreifolius"	"Euodia_chapelieri"	"Flagellaria_indica"	"Gaertnera_petrinensis"	"Agauria_salicifolia"	"Antidesma_madagascariense"	"Cordemoya_integrifolia"	"Erythrospermum_monticolum"	"Euodia_obtusifolia"	"Helichrysum_proteoides"	"Olea_lancea"	"Smilax_anceps"	"Mimusops_erythroxylon"	"Monimiastrum_globosum"	"Pandanus_barklyi"	"Pyrostria_fasciculata"	"Badula_platiphylla"	"Grangeria_borbonica"	"Ocotea_laevigata"	"Pandanus_wiehii"	"Gaertnera_rotundifolia"	"Apis_mellifera"	"Technomyrmex_albipes"	"Villa_unifasciata"	"Chrysomya_megacephala"	"Paragus_borbonicus"	"Lygistorrhina_sp1_M_PL_066"	"Pachycerina_crinicornis"	"Fannia_pusio"	"Musca_domestica"	"Nacoleia_sp1_M_PL_066"	"Phelsuma_cepediana"	"Stomorhina_lunata"	"Ceratitis_roas"	"Chaetocnema_sp1_M_PL_066"	"Melanostoma_bituberculatum"	"Brachymyrmex_sp1_M_PL_066"	"Cerambycidae_sp1_M_PL_066"	"Hippotion_eson"	"Macroglossum_milvus"	"Mordellidae_sp1_M_PL_066"	"Panara_naso"	"Psilopa_iceryae"	"Ahasverus_advena"	"Allograpta_nasuta"	"Bactrocera_cucurbitae"	"Dioxyna_sororcula"	"Ischiodon_aegyptius"	"Lauxania_sp1_M_PL_066"	"Ornidia_obesa"	"Orthellia_albigena"	"Phalanta_phalantha"	"Phorinia_sp1_M_PL_066"	"Polistes_hebraeus"	"Sapromyza_sp1_M_PL_066"	"Sepsis_lateralis"	"Siphona_sp1_M_PL_066"	"Stomoxys_calcitrans"	"Syritta_sp1_M_PL_066"	"Zosterops_mauritianus"
"Sideroxylon_puberulum"	1.19387981214815	0.0096936583024372	0.0249203889614182	0.00765176215274315	0.0119513895127962	0.0121057736854935	0.0029818819179832	0.00291630858584141	0.0045253514061485	0.00505156079170532	0.00439547991356115	0.000386640970846982	0.00600697895956366	0.000517163174328974	0.00401895423214328	0.00567846936749779	0.00247712240076943	0.00750872369945457	0.00489274919273262	0.00260392075643333	0.00632880024066318	0.000454445691501326	0.0021890153840937	0.00755423471376619	0.000151195647094854	0.00200947711607164	0.000264560867509117	0.000170182081572062	4.73314590156062e-05	0.210244263584728	0.0111128800614718	0.00569559927255995	0.046339891036846	0.00425078146129163	0.099489984345679	0.00324087062698668	0.0158425898400887	0.0433307977462827	0.0438976038385377	0.000680728326288248	0.00181394734755219	0.0426385647195767	0.00162973493356311	0.0291355184839883	0.00101772312126023	0.000819901405223107	0.000189325836062425	0.000331320213109244	7.73281941693963e-05	0.00010330949387582	0.0145899675237046	3.77989117737135e-05	0.000709808670937225	0.000377112617179042	0.0142128549065256	0.000439547991356115	0.00054324497785437	0.0142128549065256	0.0142128549065256	0.000692233026706061	0.000692233026706061	0.000230801388153267	6.61402168772791e-05	0.0142128549065256	0.000377112617179042	0.0142128549065256	0.000750872369945457	0.0142128549065256
"Labourdonnaisia_callophylloides"	0.0193873166048744	1.09897910138592	0.0171295439243214	0.0541580259842249	0.00223767994375538	0.00812863845178784	0.00816166571741233	0.0127080859809001	0.0117825480955158	0.00699150005519684	0.00303060072826187	0.00664417331059601	0.00379279530894444	0.0112301843217994	0.0126754253922011	0.000510364210436566	0.00672861275961632	0.00474099413618055	0.00192788294280731	0.00174384002995667	0.0026333843636708	0.0106151725487707	0.00546151721751294	0.00161570377456594	0.00588853047092047	0.00633771269610055	0.000226662170398439	0.00773612055720076	0.000129550249482735	0.132747835813056	0.432806989612655	0.00930732673979605	0.00473197132044943	0.00346627195950833	0.00161560971707287	0.00277661158738087	0.000535939562301727	0.00116822482902428	0.000961688126887457	0.030944482228803	0.00326566723893938	0.0006924041644598	0.00030513817414846	0.000525398302611104	0.000693800668309067	0.00114870579505806	0.000518200997930942	0.000906851746379148	0.0013288346621192	0.00206819037128452	0.00121268039611292	0.00147213261773012	6.37955263045708e-05	0.000981879007959653	0.000230801388153267	0.000303060072826187	0.000101712724716153	0.000230801388153267	0.000230801388153267	0.000475820664564484	0.000475820664564484	0.0261661690806172	5.66655425996097e-05	0.000230801388153267	0.000981879007959653	0.000230801388153267	0.000474099413618055	0.000230801388153267
"Psiadia_terebinthina"	0.0581475742433091	0.0199844679117083	1.0852268415398	0.0132416123876231	0.00619860199068626	0.0203266737858018	0.0134788235734934	0.0111559103863998	0.00191577067362295	0.005682917004186	0.00805695072850079	0.0037365959359243	0.00802954784264041	0.00955274653168234	0.0062699178676495	0.000886701552676271	0.00371702434820931	0.0100369348033005	0.0051262364366982	0.0109718051334962	0.00698436005762695	0.00359672334781831	0.0107423358201263	0.00522290447760916	0.000715114551999566	0.00313495893382475	0.000331843324121629	0.000647488562262534	0.000213949580531641	0.281034174492414	0.0525609195719681	0.070358186454572	0.0353860678075805	0.00525064510400645	0.00484563118694243	0.00406508072048996	0.00153749693452691	0.0322218891228905	0.00294718315971971	0.00258995424905014	0.0632748627053594	0.00207669908011819	0.000845263907820853	0.00149530374749666	0.0315166656844594	0.00143763029647298	0.000855798322126565	0.00149764706372149	0.000747319187184858	0.00156775291005272	0.000851880582841308	0.000178778637999891	0.000110837694084534	0.000159647556135246	0.000692233026706061	0.000805695072850078	0.000281754635940284	0.000692233026706061	0.000692233026706061	0.0301451900427723	0.0301451900427723	0.000475820664564484	8.29608310304073e-05	0.000692233026706062	0.000159647556135246	0.000692233026706062	0.00100369348033005	0.000692233026706061
"Bakerella_hoyifolia"	0.0247210777242471	0.0874860419745172	0.0183345402290167	1.05919636641521	0.00476450196953587	0.007203273487912	0.00836100562751079	0.0132783385547125	0.0125543515012287	0.00941549438815923	0.00271259988898824	0.00703402429328132	0.00327893391813493	0.0118275745185151	0.0129836764463383	0.00059611276463313	0.0069401754093041	0.00409866739766867	0.00410403941816291	0.00168192865511643	0.00452465267768946	0.0112523309266696	0.00171073978026466	0.0014839322376601	0.00624819585571656	0.00649183822316916	0.000239597733187342	0.000676606941744012	0.000132714375039854	0.114762687134723	0.459242395395167	0.00953964537496719	0.0445557416193923	0.00429640505272835	0.00206008981035393	0.00293507223154494	0.000944003358363894	0.00139218841714818	0.00113021767261884	0.00270642776697605	0.00278215567980387	0.000882895633008826	0.000649704814027619	0.000663111184251691	0.000719533866028907	0.0014614576811784	0.000530857500159415	0.000929000625278976	0.00140680485865626	0.00218184924414252	0.001340494502772	0.00156204896392914	7.45140955791413e-05	0.00104619595843573	0.000294298544336275	0.000271259988898824	0.00021656827134254	0.000294298544336275	0.000294298544336275	0.000509292784139352	0.000509292784139352	0.00208300099939327	5.98994332968355e-05	0.000294298544336275	0.00104619595843573	0.000294298544336275	0.000409866739766867	0.000294298544336275
"Stillingia_lineata"	0.0456325781397671	0.00427193443807845	0.0101431668938502	0.00563077505490603	1.18547515711023	0.00471314622040715	0.00112056074181575	0.00143571510402569	0.00758073675525355	0.0107845402186805	0.00176927506016403	0.000199909462831125	0.00216243776975277	0.000304317158803243	0.00154944666561372	0.0075286498842972	0.00749490406746116	0.00270304721219096	0.0107854225513097	0.0141015589235941	0.00464115975731482	0.000264372398523755	0.000801256171691953	0.000966054136594357	0.000113098891153281	0.000774723332806861	0.000300386699491247	6.72158342851845e-05	1.77866784415198e-05	0.0756853219413468	0.00831276849976619	0.00199348017016536	0.0592134507219481	0.11623216270679	0.0038027148449806	0.00367973706876778	0.162198948220158	0.00191148956950339	0.00179074395632884	0.000268863337140738	0.000735091612012967	0.00162973493356311	0.161655703242304	0.00202757119124589	0.00204444950138954	0.00145072889777269	7.11467137660792e-05	0.000124506749090639	3.9981892566225e-05	5.80305911335179e-05	0.00117497304079217	2.82747227883204e-05	0.00094108123553715	0.000631728062937795	0.00054324497785437	0.000176927506016403	0.0538852344141013	0.000543244977854371	0.00054324497785437	0.000281754635940284	0.000281754635940284	0.000101712724716154	7.50966748728118e-05	0.000543244977854371	0.000631728062937795	0.000543244977854371	0.000270304721219096	0.000543244977854371
"Warneckea_trinervis"	0.0508442494790726	0.0170701407487545	0.0365880128144432	0.0093642555342856	0.00518446084244786	1.04318295852273	0.0207910383419099	0.0160269718790007	0.00112639064593856	0.0121767068699576	0.0193591235908156	0.00486213827058673	0.0102409979202905	0.00102316596218179	0.0069232476183422	0.00934509132244786	0.0118261946266567	0.0128012474003631	0.00430671712780351	0.00425767191528044	0.00675113594348239	0.00448370900952553	0.00369332450192092	0.00754557977674077	0.000298642238948938	0.0034616238091711	0.00917652413683237	0.00029199600178368	0.000330016481617618	0.358434927210167	0.0219502045627469	0.118832552740947	0.00630922037941499	0.00603201955963164	0.00423702078992272	0.112412420676197	0.00131226061733575	0.00283219974211411	0.00307346268228082	0.00116798400713472	0.00277611720750639	0.00181586605282402	0.000706971933061072	0.00237871378385533	0.00154854267870014	0.00168312334661834	0.00132006592647047	0.00231011537132332	0.000972427654117344	0.000614109572331396	0.000699154571436221	7.46605597372344e-05	0.00116813641530598	9.38658871615462e-05	0.000605288684274674	0.00193591235908155	0.000235657311020357	0.000605288684274674	0.000605288684274674	0.00101633368929009	0.00101633368929009	0.000406431922589392	0.00229413103420809	0.000605288684274674	9.38658871615463e-05	0.000605288684274674	0.00128012474003631	0.000605288684274674
"Gaertnera_sp1_M_PL_066"	0.0139154489505882	0.0190438866739621	0.0269576471469868	0.0120770081286267	0.00136957423999703	0.0231011537132333	1.11683809395223	0.0298742452739619	0.00243297205757431	0.00235774241438016	0.0112973858767578	0.0113347070230992	0.00261779287582954	0.00268081033366375	0.00369644666647276	0.000464162324536594	0.00221848542854338	0.00327224109478693	0.00161918167500973	0.00119830585983311	0.00177537753323024	0.0108642563818244	0.00116388823926243	0.00989015803547218	0.00117732921090245	0.00184822333323638	0.000334246597464343	0.000184973498971422	0.0177275887928926	0.091622750654034	0.0865336970013302	0.264117907882354	0.00250662574506202	0.00140033380546267	0.00115962074588235	0.0040945208189382	0.00035242023019058	0.00124580385152461	0.00214533999224256	0.00073989399588569	0.00202672972863986	0.000496980319663866	0.000186760123635958	0.000389340503676318	0.000898611764339884	0.00233627237180207	0.0709103551715703	0.124093121550248	0.00226694140461983	0.00146857199401788	0.000368407778019148	0.000294332302725613	5.80202905670743e-05	0.000202747671464526	0.000165660106554622	0.00112973858767578	6.22533745453193e-05	0.000165660106554622	0.000165660106554622	0.000748823531860744	0.000748823531860744	0.000453425873189574	8.35616493660858e-05	0.000165660106554622	0.000202747671464526	0.000165660106554622	0.000327224109478693	0.000165660106554622
"Eugenia_orbiculata"	0.0174978515150485	0.0381242579427003	0.0286866267078852	0.0246597716016089	0.00225612373489752	0.0228956741128581	0.0384097439236653	1.04918239866787	0.00533196103762313	0.00414671784298285	0.0109898256574928	0.0120024736513253	0.00322400858179477	0.00523917049426451	0.00647838760589218	0.000708114471395315	0.00381886281634795	0.00403001072724347	0.0209877129629851	0.00178466463354881	0.00234286039025663	0.0125701314880991	0.00148452519940088	0.00938794961993753	0.00255050413844026	0.00323919380294609	0.000364091160191774	0.000330040369649703	0.000609678474978814	0.112840300362817	0.187462054175359	0.243202477374859	0.00590139047942816	0.00469960646821308	0.00145815429292071	0.00446011671234923	0.000515960992708463	0.00142177401028029	0.00218958153838418	0.00132016147859881	0.00249601866212128	0.000624923268394588	0.000307653236576934	0.000505129821187473	0.0010199338210793	0.0775650640252212	0.00243871389991526	0.0042677493248517	0.00240049473026506	0.00185514367691559	0.000652637842600124	0.000637626034610064	8.85143089244144e-05	0.000444330086468594	0.000208307756131529	0.00109898256574928	0.000102551078858978	0.000208307756131529	0.000208307756131529	0.000796850741885701	0.000796850741885701	0.000907720427207149	9.10227900479435e-05	0.000208307756131529	0.000444330086468594	0.000208307756131529	0.000403001072724347	0.000208307756131529
"Phyllanthus_phillyreifolius"	0.0316774598430395	0.0412389183343054	0.00574731202086884	0.0272010949193289	0.0138980173846315	0.00187731774323093	0.00364945808636146	0.00622062121056032	1.12863188446102	0.00899991913237755	0.000784894607405901	0.00339276075571637	0.00061762878265554	0.00571247421406397	0.00569590455853633	0.00655857488241777	0.00873427504909144	0.000772035978319425	0.00643265449166916	0.011929515109426	0.00065166207244582	0.00544509412675063	0.000484056382866329	0.000479625991553371	0.00303422089678664	0.00284795227926817	0.000256484949145007	0.000303587163363059	5.79279061327216e-05	0.0216170073929439	0.223015235913818	0.00405622672122036	0.00478159349914993	0.101914171907785	0.00263978832025329	0.00314194062702634	0.00227229680599243	0.00129098540767237	0.00121127551679602	0.00121434865345224	0.00111403045283954	0.00113133785153712	0.00189518418881339	0.0015740470946603	0.0016508369448135	0.00124841189792724	0.000231711624530886	0.000405495342929051	0.000678552151143273	0.00105333535232963	0.094429769655597	0.00075855522419666	0.000819821860302221	0.0940526570384179	0.000377112617179042	7.84894607405901e-05	0.000631728062937795	0.000377112617179042	0.000377112617179042	0.000159647556135246	0.000159647556135246	0.000981879007959653	6.41212372862518e-05	0.000377112617179042	0.0940526570384179	0.000377112617179042	7.72035978319425e-05	0.000377112617179042
"Euodia_chapelieri"	0.0424331106503247	0.0293643002318267	0.0204585012150696	0.024480285409214	0.0237259884810971	0.0243534137399151	0.00424393634588429	0.00580540498017599	0.0107999029588531	1.02338284755997	0.01145468330163	0.00223718476739367	0.00414322474690921	0.00355904026299401	0.00574899970078409	0.015909146505527	0.0172894987874017	0.00517903093363651	0.0143286856935202	0.0146736622303056	0.00868286423938484	0.00342605878023382	0.00166672667572054	0.00178801614573555	0.00180541956226619	0.00287449985039204	0.00917241042681395	0.000279125081373269	6.73640689822903e-05	0.145012866141822	0.132698337826565	0.00799723638803956	0.109680277906198	0.115004516643853	0.00353609255419373	0.112362027728471	0.00374051814477468	0.0020837599379302	0.00181347092846752	0.00111650032549307	0.00185925121299821	0.0015154682375116	0.00323536206560415	0.00299895547153194	0.00240249947920681	0.00220575749598831	0.000269456275929161	0.000471548482876032	0.000447436953478734	0.000668598509613619	0.00140514799240829	0.000451354890566547	0.00198864331319088	0.000899991913237754	0.000505156079170532	0.00114546833016299	0.00107845402186805	0.000505156079170532	0.000505156079170532	0.000568291700418601	0.000568291700418601	0.000699150005519684	0.00229310260670349	0.000505156079170532	0.000899991913237755	0.000505156079170532	0.000517903093363651	0.000505156079170532
