"Dillenia_ferruginea"	"Erythroxylum_sechellarum"	"Nephrosperma_vanhoutteanum"	"Excoecaria_benthiamiana"	"Psychotria_pervillei"	"Roscheria_melanochaetes"	"Memecylon_eleagni"	"Aphloia_theiformis"	"Soulamea_terminaloides"	"Syzygium_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Lygistorrhina_sp1_M_PL_105"	"Unidentified_sp2_M_PL_105"	"Unidentified_sp4_M_PL_105"	"Ornidia_obesa"	"Eristalinus_vicarians"	"Forcipomyia_sp1_M_PL_105"	"Cratopus_aurostriatus"	"Hemipyrellia_germana"	"Neophyllomyza_approximatonervis"	"Unidentified_sp3_M_PL_105"	"Nectarinia_dussumieri"	"Phelsuma_sp1_M_PL_105"	"Rhiparida_seychellensis"	"Simosyrphus_aegyptius"	"Unidentified_sp1_M_PL_105"	"Xylocopa_caffra"
"Dillenia_ferruginea"	1.12646756415356	0.0693294269931895	0.0347194320685342	0	0.0715515374007482	0	0.0183914576984027	0.0128739150188978	0	0	0.421359053582184	0.0953825464748371	0	0	0	0.0514956600755914	0.00306524294973378	0	0.0450587025661424	0.00288872612471623	0	0	0	0.000913669264961427	0.0225293512830712	0	0.00144436306235811	0.0225293512830712
"Erythroxylum_sechellarum"	0.0722181531179057	1.10940625624566	0.0622254933979223	0	0.0656528411542996	0	0.0230052390961977	0.000825350321347494	0	0	0.386622286797542	0.19615591581876	0	0	0	0.00330140128538998	0.00383420651603294	0	0.00288872612471623	0.0462252606769025	0	0	0	0.00163751298415585	0.00144436306235811	0	0.0231126303384513	0.00144436306235811
"Nephrosperma_vanhoutteanum"	0.0456834632480713	0.0786006232394808	1.15716793041838	0	0.0192613203456307	0	0.0320978993589359	0.000522096722835101	0	0	0.113427775368714	0.506781850858554	0	0	0	0.0020883868913404	0.00534964989315598	0	0.00182733852992285	0.0032750259683117	0	0	0	0.0304517876425889	0.000913669264961427	0	0.00163751298415585	0.000913669264961427
"Excoecaria_benthiamiana"	0	0	0	1.28620725713688	0	0.0156854543553278	0	0	0.0314406218411238	0	0	0	0.408728083934609	0.00522848478510928	0.178639896824567	0	0	0.0365993934957649	0	0	0.000871414130851546	0.000871414130851546	0	0	0	0.0357279793649134	0	0
"Psychotria_pervillei"	0.0993771352788169	0.0875371215390661	0.0203313936981657	0	1.10426099340017	0	0.0206909507282152	0.00113573868890077	0	0	0.613981405578771	0.0307375369494923	0	0	0	0.00454295475560306	0.00344849178803586	0	0.00397508541115268	0.00364738006412775	0	0	0	0.000535036676267518	0.00198754270557634	0	0.00182369003206388	0.00198754270557634
"Roscheria_melanochaetes"	0	0	0	0.0156854543553278	0	1.31726445676043	0	0	0.00038342221757468	0	0	0	0.00498448882847084	0.439088152253477	0.00217853532712886	0	0	0.0736170657743386	0	0	0.0731813587089128	0.0731813587089128	0	0	0	0.000435707065425773	0	0
"Memecylon_eleagni"	0.0510873824955631	0.0613473042565271	0.0677622319799758	0	0.0413819014564304	0	1.11117065734489	0.000583855799949292	0	0	0.243693419687868	0.225738300474791	0	0	0	0.00233542319979717	0.185195109557481	0	0.00204349529982252	0.00255613767735529	0	0	0	0.00178321663105199	0.00102174764991126	0	0.00127806883867765	0.00102174764991126
"Aphloia_theiformis"	0.160923937736223	0.00990420385616993	0.00495991886693346	0	0.0102216482001069	0	0.00262735109977181	1.14469627357413	0	0	0.0601941505117406	0.0136260780678339	0	0	0	0.578785094296513	0.000437891849961969	0	0.00643695750944892	0.000412675160673747	0	0	0	0.000130524180708775	0.00321847875472446	0	0.000206337580336873	0.00321847875472446
"Soulamea_terminaloides"	0	0	0	0.282965596570114	0	0.00345079995817212	0	0	1.04691693680505	0	0	0	0.609920178465614	0.00115026665272404	0.0393007773014047	0	0	0.00805186656906828	0	0	0.00019171110878734	0.00019171110878734	0	0	0	0.00786015546028094	0	0
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0
"Apis_mellifera"	0.198754270557634	0.175074243078132	0.0406627873963314	0	0.208521986800337	0	0.0413819014564304	0.00227147737780153	0	0	1.22796281115754	0.0614750738989846	0	0	0	0.00908590951120612	0.00689698357607173	0	0.00795017082230536	0.00729476012825551	0	0	0	0.00107007335253504	0.00397508541115268	0	0.00364738006412775	0.00397508541115268
"Lasioglossum_mahense"	0.082226333167963	0.162335930332767	0.332029488493536	0	0.0190784712100297	0	0.0700567139404522	0.000939729521919577	0	0	0.112350997125731	1.18008557871236	0	0	0	0.00375891808767831	0.0116761189900754	0	0.00328905332671852	0.00676399709719861	0	0	0	0.00873761811825093	0.00164452666335926	0	0.00338199854859931	0.00164452666335926
"Lygistorrhina_sp1_M_PL_105"	0	0	0	0.565931193140228	0	0.00690159991634424	0	0	0.0938338736100945	0	0	0	1.21984035693123	0.00230053330544808	0.0786015546028094	0	0	0.0161037331381366	0	0	0.00038342221757468	0.00038342221757468	0	0	0	0.0157203109205619	0	0
"Unidentified_sp2_M_PL_105"	0	0	0	0.00784272717766391	0	0.658632228380215	0	0	0.00019171110878734	0	0	0	0.00249224441423542	1.21954407612674	0.00108926766356443	0	0	0.0368085328871693	0	0	0.0365906793544564	0.0365906793544564	0	0	0	0.000217853532712886	0	0
"Unidentified_sp4_M_PL_105"	0	0	0	0.643103628568441	0	0.00784272717766391	0	0	0.0157203109205619	0	0	0	0.204364041967305	0.00261424239255464	1.08931994841228	0	0	0.0182996967478825	0	0	0.000435707065425773	0.000435707065425773	0	0	0	0.0178639896824567	0	0
"Ornidia_obesa"	0.321847875472446	0.0198084077123399	0.00991983773386692	0	0.0204432964002138	0	0.00525470219954363	0.289392547148257	0	0	0.120388301023481	0.0272521561356677	0	0	0	1.15757018859303	0.000875783699923938	0	0.0128739150188978	0.000825350321347494	0	0	0	0.00026104836141755	0.00643695750944892	0	0.000412675160673747	0.00643695750944892
"Eristalinus_vicarians"	0.0255436912477815	0.0306736521282635	0.0338811159899879	0	0.0206909507282152	0	0.555585328672444	0.000291927899974646	0	0	0.121846709843934	0.112869150237395	0	0	0	0.00116771159989858	1.09259755477874	0	0.00102174764991126	0.00127806883867765	0	0	0	0.000891608315525997	0.000510873824955631	0	0.000639034419338824	0.000510873824955631
"Forcipomyia_sp1_M_PL_105"	0	0	0	0.21959636097459	0	0.441702394646032	0	0	0.00536791104604552	0	0	0	0.0697828435985918	0.147234131548677	0.0304994945798041	0	0	1.03063892084074	0	0	0.0245390219247795	0.0245390219247795	0	0	0	0.00609989891596082	0	0
"Cratopus_aurostriatus"	0.563233782076781	0.0346647134965947	0.0173597160342671	0	0.0357757687003741	0	0.00919572884920135	0.00643695750944892	0	0	0.210679526791092	0.0476912732374185	0	0	0	0.0257478300377957	0.00153262147486689	0	1.02252935128307	0.00144436306235811	0	0	0	0.000456834632480713	0.0112646756415356	0	0.000722181531179057	0.0112646756415356
"Hemipyrellia_germana"	0.0361090765589528	0.55470312812283	0.0311127466989612	0	0.0328264205771498	0	0.0115026195480988	0.000412675160673747	0	0	0.193311143398771	0.0980779579093799	0	0	0	0.00165070064269499	0.00191710325801647	0	0.00144436306235811	1.02311263033845	0	0	0	0.000818756492077925	0.000722181531179057	0	0.0115563151692256	0.000722181531179057
"Neophyllomyza_approximatonervis"	0	0	0	0.00784272717766391	0	0.658632228380215	0	0	0.00019171110878734	0	0	0	0.00249224441423542	0.219544076126738	0.00108926766356443	0	0	0.0368085328871693	0	0	1.03659067935446	0.0365906793544564	0	0	0	0.000217853532712886	0	0
"Unidentified_sp3_M_PL_105"	0	0	0	0.00784272717766391	0	0.658632228380215	0	0	0.00019171110878734	0	0	0	0.00249224441423542	0.219544076126738	0.00108926766356443	0	0	0.0368085328871693	0	0	0.0365906793544564	1.03659067935446	0	0	0	0.000217853532712886	0	0
"Nectarinia_dussumieri"	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0
"Phelsuma_sp1_M_PL_105"	0.0228417316240357	0.0393003116197404	0.57858396520919	0	0.00963066017281533	0	0.0160489496794679	0.00026104836141755	0	0	0.056713887684357	0.253390925429277	0	0	0	0.0010441934456702	0.00267482494657799	0	0.000913669264961427	0.00163751298415585	0	0	0	1.01522589382129	0.000456834632480713	0	0.000818756492077925	0.000456834632480713
"Rhiparida_seychellensis"	0.563233782076781	0.0346647134965947	0.0173597160342671	0	0.0357757687003741	0	0.00919572884920135	0.00643695750944892	0	0	0.210679526791092	0.0476912732374185	0	0	0	0.0257478300377957	0.00153262147486689	0	0.0225293512830712	0.00144436306235811	0	0	0	0.000456834632480713	1.01126467564154	0	0.000722181531179057	0.0112646756415356
"Simosyrphus_aegyptius"	0	0	0	0.643103628568441	0	0.00784272717766391	0	0	0.0157203109205619	0	0	0	0.204364041967305	0.00261424239255464	0.0893199484122835	0	0	0.0182996967478825	0	0	0.000435707065425773	0.000435707065425773	0	0	0	1.01786398968246	0	0
"Unidentified_sp1_M_PL_105"	0.0361090765589529	0.55470312812283	0.0311127466989612	0	0.0328264205771498	0	0.0115026195480988	0.000412675160673747	0	0	0.193311143398771	0.0980779579093799	0	0	0	0.00165070064269499	0.00191710325801647	0	0.00144436306235811	0.0231126303384513	0	0	0	0.000818756492077925	0.000722181531179057	0	1.01155631516923	0.000722181531179057
"Xylocopa_caffra"	0.56323378207678	0.0346647134965947	0.0173597160342671	0	0.0357757687003741	0	0.00919572884920135	0.00643695750944892	0	0	0.210679526791092	0.0476912732374185	0	0	0	0.0257478300377957	0.00153262147486689	0	0.0225293512830712	0.00144436306235811	0	0	0	0.000456834632480713	0.0112646756415356	0	0.000722181531179057	1.01126467564154
