"Abutilon_bedfordianum"	"Aechmea_nudicaulis"	"Aechmea_vanhoutteana"	"Billbergia_distachya"	"Billbergia_vitata"	"Bomarea_edulis"	"Fuchsia_regia"	"Hippeastrum_aulicum"	"Justicia_sebastianopolitanae"	"Manettia_mirtis"	"Mendoncia_sp1_M_PL_066"	"Nematanthus_crassifolius"	"Nematanthus_fornix"	"Nematanthus_lanceolatus"	"Nidularium_itatiaiae"	"Odontonema_barlerioides"	"Pitcaimia_flammea"	"Psittacanthus_flavo_viridis"	"Pyrostegia_venusta"	"Quesnelia_augusto-coburgii"	"Salvia_sellowiana"	"Sinningia_cooperi"	"Sinningia_gigantifolia"	"Siphocampylus_longepedunculatus"	"Staurogyne_itatiaiae"	"Tillandsia_gardneri"	"Velloziela_dracocephaloides"	"Vriesea_carinata"	"Vriesea_longicaulis"	"Vriesea_sp1_M_PL_066"	"Stromanthe_thalia"	"Phaethornis_eurynome"	"Thalurania_glaucopis"	"Phaethornis_squalidus"	"Clytolaema_rubricauda"	"Leucochloris_albicollis"
"Abutilon_bedfordianum"	1.03079963883109	0.0255799619520243	0.025693499055129	0.00626096226740751	0.0077025498694672	0.00624996988958559	0.00876336426279261	0.0121960815914818	0.00298416887880118	0.00693298460608787	0.0194840272786229	0.00298416887880118	0.0253546363151971	0.00212183203996654	0.00298416887880118	0.00210166041800549	0.0127245793714688	0.029933661622832	0.00531174875348228	0.00298416887880118	0.00283540316683848	0.010229390786307	0.00262360113624751	0.00298416887880118	0.00208401024878958	0.018692883711345	0.00298416887880118	0.00625198448256647	0.0193232468976276	0.0184591318425139	0.00771750966365327	0.0921869450039259	0.465535989459392	0.0216671191883979	0.0830291750276273	0.00424743798732332
"Aechmea_nudicaulis"	0.0255799619520243	1.0217892328724	0.0215389293404777	0.0072984690306839	0.009228372135614	0.00732055247431696	0.00916891842559625	0.0116312129895632	0.00486707260471281	0.00784304362491194	0.0160176551460324	0.00486707260471281	0.0212376629407348	0.00432146451670451	0.00486707260471281	0.00430870175441192	0.0119978630828319	0.0255579444071551	0.00642796763399769	0.00486707260471281	0.00477294723280495	0.0101836015293636	0.00463893822873273	0.00486707260471281	0.0042975343374059	0.0164193598002084	0.00486707260471281	0.00725729730814063	0.0168181961218519	0.0191255501740183	0.00934952064507697	0.150353606904788	0.375554698567388	0.0511604963150454	0.0860267246827343	0.00357114019671064
"Aechmea_vanhoutteana"	0.025693499055129	0.0215389293404777	1.02315100215415	0.00827324400352985	0.00526556353781091	0.00828110739100052	0.0102437671236813	0.0128904254155602	0.00570267286915688	0.00882547181733957	0.0173953802458813	0.00570267286915688	0.02312727924395	0.00507757368718331	0.00570267286915688	0.00506295148409621	0.0132911187899458	0.0222408690384865	0.00731638439237183	0.00570267286915688	0.00559483412138951	0.0113539697530035	0.00544130098897495	0.00570267286915688	0.005050157056395	0.0179692961984118	0.00570267286915688	0.00824738630430224	0.0184262400448837	0.00439623910612406	0.00496330582431666	0.176166970273994	0.406629583457849	0.0602046072353507	0.019774283499346	0.00389122220012669
"Billbergia_distachya"	0.00626096226740751	0.0072984690306839	0.00827324400352985	1.01252967893496	0.00934258522624253	0.0127756216961134	0.012353242900382	0.0112735131915623	0.012905395253359	0.0128242690257845	0.00498677698853698	0.012905395253359	0.00849229771230714	0.0137668840815201	0.012905395253359	0.0137870358669742	0.0110066031216465	0.00463999006461545	0.0118156700483125	0.012905395253359	0.0130540146710827	0.011593541627292	0.0132656084183503	0.012905395253359	0.0138046686792465	0.0102655277800377	0.012905395253359	0.0122514730996068	0.00963578448459828	0.00118243902748283	0.00942105986490488	0.398673470166766	0.0831040316865437	0.178080894545758	0.00531861074561777	0.00148965952198146
"Billbergia_vitata"	0.0077025498694672	0.00922837213561399	0.00526556353781091	0.00934258522624253	1.02156621169688	0.00678699355512593	0.00504784036658955	0.00795296569023719	0.0134471172218897	0.0045982463243941	0.00257602116858078	0.0134471172218897	0.00483231367430995	0.00651923368031946	0.0134471172218897	0.00635717792496109	0.00945741394235282	0.0148968615727017	0.00924765566896451	0.0134471172218897	0.0122519560261218	0.00942383367330858	0.0105503705948589	0.0134471172218897	0.00621537913902251	0.00257740979353735	0.0134471172218897	0.0122860242072091	0.00764165214848638	0.0410574318126768	0.0192685665722258	0.415408345218618	0.0239695860781338	0.0417218479407592	0.18467632829342	0.000890559135735646
"Bomarea_edulis"	0.00624996988958559	0.00732055247431695	0.00828110739100053	0.0127756216961134	0.00678699355512593	1.01673859552249	0.0179290743637548	0.01138020177593	0.00837940952370786	0.0197189155343122	0.00474674094228511	0.00837940952370786	0.00834803690357188	0.0196200393537663	0.00837940952370786	0.0198829780632414	0.00873528784291609	0.00494693119922288	0.0115226043827619	0.00837940952370786	0.0103185825060864	0.0102783629950093	0.0130794389555744	0.00837940952370786	0.0201130494340321	0.0158199022816344	0.00837940952370786	0.00822414114107409	0.00760306761053901	0.00118169717440535	0.0114549832023396	0.258856719006383	0.0891160772534702	0.311950027502077	0.00531527389047525	0.00142856901426049
"Fuchsia_regia"	0.00876336426279261	0.00916891842559625	0.0102437671236813	0.012353242900382	0.00504784036658955	0.0179290743637548	1.02014401759469	0.0116624717854985	0.00546219539736967	0.0222706455013761	0.00627528668952177	0.00546219539736967	0.010217656365812	0.0210992290425491	0.00546219539736967	0.0214650076073486	0.00805294243837003	0.00729366551035711	0.0108286250237194	0.00546219539736967	0.00815981231276612	0.00968959238814029	0.0120004872431611	0.00546219539736967	0.0217850638515482	0.0193055905906911	0.00546219539736967	0.00594475840603696	0.00787501044070611	0.00129635409159377	0.0116877366224363	0.168738140215544	0.134297273868692	0.356081227826953	0.0058310007039888	0.00171902405148896
"Hippeastrum_aulicum"	0.0121960815914818	0.0116312129895632	0.0128904254155602	0.0112735131915623	0.00795296569023719	0.01138020177593	0.0116624717854985	1.01182565670515	0.0108281560606481	0.0115291661526413	0.00884365075195134	0.0108281560606481	0.0130514702743683	0.0110481316592369	0.0108281560606481	0.0110532772872741	0.0118062681584493	0.00984529486441607	0.0104908022537066	0.0108281560606481	0.0108661050674222	0.0116001530550897	0.0109201341618124	0.0108281560606481	0.0110577797118066	0.0125923436204513	0.0108281560606481	0.0111488333973765	0.0124315427442899	0.00145344425220916	0.00781347041196143	0.334503397025542	0.18321196875222	0.14017475522467	0.00653759224643679	0.00223895341779761
"Justicia_sebastianopolitanae"	0.00298416887880118	0.00486707260471281	0.00570267286915688	0.012905395253359	0.0134471172218897	0.00837940952370786	0.00546219539736967	0.0108281560606481	1.01996175284272	0.00454784094898159	0.00316121406875372	0.0199617528427226	0.00615235105482499	0.00763860000126486	0.0199617528427226	0.00735033911608456	0.0135262761998965	0.00135312411088234	0.0129326600954172	0.0199617528427226	0.0178358288145179	0.0133056252383771	0.0148090895201248	0.0199617528427226	0.0070981108415518	0.0017291645531089	0.0199617528427226	0.0181168657171767	0.0107373172149932	0.00103312940593804	0.00765909156545838	0.616658468817386	0.0197491562401419	0.0244581662082895	0.0046470160679093	0.00115385933293996
"Manettia_mirtis"	0.00693298460608787	0.00784304362491194	0.00882547181733957	0.0128242690257845	0.0045982463243941	0.0197189155343122	0.0222706455013761	0.0115291661526413	0.00454784094898159	1.02503597808033	0.00500588817236174	0.00454784094898159	0.00876499381095673	0.023945191124378	0.00454784094898159	0.0243989303097674	0.00702715355376205	0.00579703340055915	0.0111357678042013	0.00454784094898159	0.00789416744122834	0.00923609181271012	0.0126584288878169	0.00454784094898159	0.0247959520969831	0.020496153243131	0.00454784094898159	0.0049016334991278	0.00631680369971261	0.00121269422856832	0.0128806838870006	0.140491902595939	0.105551595244091	0.413701021330309	0.00545469864010029	0.00146744885622681
"Mendoncia_sp1_M_PL_066"	0.0194840272786229	0.0160176551460324	0.0173953802458813	0.00498677698853698	0.00257602116858078	0.00474674094228511	0.00627528668952177	0.00884365075195134	0.00316121406875371	0.00500588817236174	1.10949137189609	0.00316121406875371	0.0173909757989734	0.00195174518083036	0.00316121406875371	0.00192345351093742	0.00933531796296845	0.0165248275713294	0.0221987373975904	0.00316121406875371	0.00295256300329325	0.00765760326968555	0.00265550046941734	0.00316121406875371	0.00189869829978109	0.0127146249889829	0.00316121406875371	0.00524871918963044	0.0135987396731374	0.00147939528895765	0.00201234803543473	0.0976562250119398	0.313769406932759	0.017512603653991	0.00665432000973149	0.231074111058245
"Nematanthus_crassifolius"	0.00298416887880118	0.00486707260471281	0.00570267286915688	0.012905395253359	0.0134471172218897	0.00837940952370786	0.00546219539736967	0.0108281560606481	0.0199617528427226	0.00454784094898159	0.00316121406875372	1.01996175284272	0.00615235105482499	0.00763860000126486	0.0199617528427226	0.00735033911608456	0.0135262761998965	0.00135312411088234	0.0129326600954172	0.0199617528427226	0.0178358288145179	0.0133056252383771	0.0148090895201248	0.0199617528427226	0.0070981108415518	0.0017291645531089	0.0199617528427226	0.0181168657171767	0.0107373172149932	0.00103312940593804	0.00765909156545838	0.616658468817386	0.0197491562401419	0.0244581662082895	0.0046470160679093	0.00115385933293996
"Nematanthus_fornix"	0.0253546363151971	0.0212376629407348	0.02312727924395	0.00849229771230714	0.00483231367430995	0.00834803690357188	0.010217656365812	0.0130514702743683	0.00615235105482499	0.00876499381095673	0.0173909757989734	0.00615235105482499	1.02315734780441	0.00511139993553616	0.00615235105482499	0.00508705020175162	0.013543888628609	0.0213907242379904	0.00754888756122306	0.00615235105482499	0.00597277176816405	0.0115943635314695	0.00571709956342644	0.00615235105482499	0.00506574418469015	0.017837472693826	0.00615235105482499	0.00864156121877854	0.0185984018745927	0.00205427714970558	0.00428091361002961	0.190058428785654	0.405254285472181	0.0582145541400621	0.00924013861937572	0.00389925964939406
"Nematanthus_lanceolatus"	0.00212183203996654	0.00432146451670451	0.00507757368718331	0.0137668840815201	0.00651923368031946	0.0196200393537663	0.0210992290425491	0.0110481316592369	0.00763860000126486	0.023945191124378	0.00195174518083036	0.00763860000126486	0.00511139993553615	1.02433273974231	0.00763860000126486	0.0247232459350877	0.00708390207212062	0.00147916072388537	0.0123015218827205	0.00763860000126486	0.0105185831729664	0.00963920340883729	0.0146188981970839	0.00763860000126486	0.0250649388537642	0.0168835355561571	0.00763860000126486	0.00704692340741147	0.00468021703199793	0.000993085297428818	0.0135530537419775	0.235971631239074	0.0224768218548905	0.40287272018736	0.00446689766783482	0.000878595717507038
"Nidularium_itatiaiae"	0.00298416887880118	0.00486707260471281	0.00570267286915688	0.012905395253359	0.0134471172218897	0.00837940952370786	0.00546219539736967	0.0108281560606481	0.0199617528427226	0.00454784094898159	0.00316121406875372	0.0199617528427226	0.00615235105482499	0.00763860000126486	1.01996175284272	0.00735033911608456	0.0135262761998965	0.00135312411088234	0.0129326600954172	0.0199617528427226	0.0178358288145179	0.0133056252383771	0.0148090895201248	0.0199617528427226	0.0070981108415518	0.0017291645531089	0.0199617528427226	0.0181168657171767	0.0107373172149932	0.00103312940593804	0.00765909156545838	0.616658468817386	0.0197491562401419	0.0244581662082895	0.0046470160679093	0.00115385933293996
"Odontonema_barlerioides"	0.00210166041800549	0.00430870175441192	0.00506295148409621	0.0137870358669742	0.00635717792496109	0.0198829780632414	0.0214650076073486	0.0110532772872741	0.00735033911608456	0.0243989303097674	0.00192345351093742	0.00735033911608456	0.00508705020175162	0.0247232459350877	0.00735033911608456	1.02512962972033	0.00693320326211416	0.00148210894875094	0.0122867584157568	0.00735033911608456	0.0103474195322284	0.00955343915551472	0.0146144492772467	0.00735033911608456	0.0254852155324124	0.0172380237667547	0.00735033911608456	0.0067879773884696	0.00453853047800974	0.000992148593136205	0.0136909242022469	0.227066675974084	0.0225406268985103	0.411724522619619	0.00446268437192665	0.000872156802526151
"Pitcaimia_flammea"	0.0127245793714688	0.0119978630828319	0.0132911187899458	0.0110066031216465	0.00945741394235282	0.00873528784291609	0.00805294243837003	0.0118062681584493	0.0135262761998965	0.00702715355376205	0.00933531796296845	0.0135262761998965	0.013543888628609	0.00708390207212062	0.0135262761998965	0.00693320326211417	1.0133221498392	0.0101073117641112	0.0105609166703152	0.0135262761998965	0.0124148724760989	0.0124378019207834	0.0108325349710312	0.0135262761998965	0.00680134180335852	0.00926161742148366	0.0135262761998965	0.0136152120067543	0.0139709552341853	0.00147772884996673	0.00637769094911058	0.417853724367203	0.188181689740662	0.051640754422528	0.00664682436715034	0.00234367376912309
"Psittacanthus_flavo_viridis"	0.029933661622832	0.0255579444071551	0.0222408690384865	0.00463999006461545	0.0148968615727017	0.00494693119922288	0.00729366551035711	0.00984529486441607	0.00135312411088234	0.00579703340055915	0.0165248275713294	0.00135312411088234	0.0213907242379904	0.00147916072388537	0.00135312411088234	0.00148210894875094	0.0101073117641112	1.03543161372616	0.00381585656561136	0.00135312411088234	0.0013748672692659	0.00799539895385689	0.00140582363035437	0.00135312411088234	0.00148468864550831	0.0160202135554713	0.00135312411088234	0.00426811559439032	0.0159280815284223	0.0453035638114138	0.0160499804611739	0.0418007100333771	0.398186670400591	0.0193280440101329	0.203775430023739	0.00357581219882689
