"Cornus_florida"	"Vitis_sp1_M_SD_001"	"Celastrus_orbiculatus"	"Rhus_radicans"	"Lindera_benzoin"	"Smilax_rotundifolia"	"Lonicera_japonica"	"Quiscalus_quiscula"	"Turdus_migratorius"	"Zonotrichia_albicollis"	"Junco_hyemalis"	"Cardinalis_cardinalis"	"Dendroica_coronata"	"Parus_atricapillus"	"Catharus_guttata"	"Parus_bicolor"	"Picoides_pubescens"	"Mimus_polyglottos"	"Bombycilla_cedrorum"	"Melanerpes_carolinensis"	"Picoides_villosus"	"Sturnus_vulgaris"	"Carpodacus_purpureus"	"Colaptes_auratus"	"Zenaidura_macroura"	"Euphagus_carolinus"	"Pipilo_erythophtalmus"	"Vireo_olivaceus"
"Cornus_florida"	1.19364166744263	0.064236422252308	0.0323325730541834	0.00995007050062208	0.0217474977378473	0.00608401877058069	0.00534108357515947	0.214135103803251	0.246114287500951	0.0443161668434234	0.114721399313312	0.0104975243030812	0.00177679830368251	0.00113715091435681	0.0135979326099744	0.00316847408177169	0.000568575457178405	0.00298761265587445	0.000687927086259221	0.000742484259175984	0.000213215796441902	0.000515945314694415	0.00427828554638936	0.00221021470534198	0.000547300853552593	0.000171981771564805	0.00213914277319468	0.00213914277319468
"Vitis_sp1_M_SD_001"	0.167494970171906	1.10899328136192	0.0219313290404184	0.00626816829154827	0.0140529602503495	0.00913115658352934	0.00546146763366471	0.400134552620401	0.124819834185084	0.0376556035962386	0.0191239128204827	0.0551066440142409	0.00111931576634791	0.00071636209046266	0.00231068193136418	0.00596666770115401	0.00035818104523133	0.000945848564694835	0.000466624022136561	0.0104539684516061	0.000134317891961749	0.00034996801660242	0.000600340394881383	0.000344942828094608	0.00534190432526676	0.00011665600553414	0.000300170197440691	0.000300170197440691
"Celastrus_orbiculatus"	0.0959658285331612	0.024964385184306	1.10979724804456	0.0197682044365604	0.0236692725118923	0.0337673632887278	0.025401031334129	0.0238775918392906	0.0442590266422676	0.221821604671431	0.17594242625799	0.0824410438408582	0.00353003650652864	0.00225922336417833	0.0190103901891083	0.0184217727117849	0.00112961168208917	0.0244224695089223	0.0236127074052033	0.000515714931590572	0.000423604380783437	0.0177095305539025	0.00034396354312961	0.000313183231825951	0.000385625011351098	0.00590317685130083	0.000171981771564805	0.000171981771564805
"Rhus_radicans"	0.0396581381381937	0.00958134295993808	0.0265458745290954	1.25017983955028	0.00218726097558399	0.00285306690629777	0.00232781027394458	0.00962010330033902	0.00952461164364017	0.0172158508660938	0.0969199769923672	0.00278830078553336	0.223246399919693	0.142877695948603	0.000874891212026149	0.0273290169339478	0.0714388479743017	0.00960769063624868	0.000564805841044582	0.0179492572548833	0.0267895679903631	0.000423604380783437	0.000142143864294601	0.00900092792893501	6.96278690128252e-05	0.000141201460261146	7.10719321473006e-05	7.10719321473006e-05
"Lindera_benzoin"	0.137898906110441	0.0341742442451682	0.0505661730935882	0.00347973337024726	1.04632690506677	0.032790192697162	0.0280971787499591	0.0337396356185389	0.280397703401784	0.275792172543402	0.0209036661331701	0.0214117527024951	0.000621380958972724	0.000397683813742544	0.0141797694207901	0.00128829611875711	0.000198841906871272	0.00183007063387338	0.00107587602326783	0.000369095936953035	7.45657150767269e-05	0.000806907017450874	0.000494261312223802	0.00027198589447081	0.0120497711967854	0.000268969005816958	0.000247130656111901	0.000247130656111901
"Smilax_rotundifolia"	0.0499247422644709	0.0287362868952247	0.0933568279158945	0.00587396127767188	0.0424343670198567	1.06306751490556	0.0499396330546557	0.0177206612259761	0.0237407038704479	0.471572632452421	0.0198115991731626	0.104109183807597	0.00104892165672712	0.000671309860305357	0.00250877051745337	0.00183935979322333	0.000335654930152679	0.0177510890255492	0.00198631548757222	0.000352477161465503	0.000125870598807254	0.00148973661567917	0.000178941728546491	0.00013142773054233	0.000616490430598401	0.000496578871893056	8.94708642732454e-05	8.94708642732454e-05
"Lonicera_japonica"	0.0551911969433145	0.0216435939556342	0.0884332202003008	0.00603506367318966	0.0457879949999333	0.062886945328085	1.05335531823288	0.0161837628034854	0.024937185014655	0.520320038426698	0.0381529177900197	0.0524065900810053	0.00107768994164101	0.000689721562650247	0.00252494026302413	0.00174053844505639	0.000344860781325123	0.00294838244889399	0.00188155787660215	0.0002884917743559	0.000129322792996921	0.00141116840745161	0.000197817910191091	0.000142016552761186	0.000621456414511552	0.000470389469150536	9.89089550955457e-05	9.89089550955457e-05
"Quiscalus_quiscula"	0.368788234327821	0.264286402039401	0.0138548989684772	0.00415683475940575	0.00916385164947971	0.00371915112150116	0.0026972938005809	1.14840076274988	0.096102820791394	0.0206779582556706	0.0361168137693605	0.0151618998651316	0.000742291921322455	0.000475066829646372	0.00429068837640715	0.00220605784519303	0.000237533414823186	0.00104008097434175	0.000294785084435686	0.0025293497279058	8.90750305586947e-05	0.000221088813326764	0.00132182162841513	0.000690602491060463	0.001339117864935	7.36962711089215e-05	0.000660910814207565	0.000660910814207565
"Turdus_migratorius"	0.454740968296459	0.0884484917735362	0.0275519768501533	0.00441538288115769	0.0817052910574733	0.00534558895096179	0.00445896685692506	0.103103688531164	1.11660807171396	0.0396424637461536	0.0460637904304074	0.00923347867501986	0.000788461228778159	0.000504615186418022	0.00625781625276256	0.0017625332335886	0.000252307593209011	0.00151131029663612	0.000586212273407517	0.000889698316746516	9.46153474533791e-05	0.000439659205055638	0.00162989594371491	0.00084648642100858	0.00134177992578433	0.000146553068351879	0.000814947971857454	0.000814947971857454
"Zonotrichia_albicollis"	0.102183558258803	0.0332987568991531	0.172324221810864	0.00995958314567409	0.100288062743056	0.132508012424647	0.11610447138447	0.0276845391522202	0.0494711737658611	1.15941415385548	0.0378661487062079	0.0309699887375585	0.00177849699029894	0.00113823807379132	0.00498823961825718	0.00330200056633156	0.000569119036895662	0.00586938458201514	0.00366647280448647	0.00045348309473002	0.000213419638835873	0.00274985460336485	0.000366249312755566	0.000254264535989741	0.00129523874437868	0.000916618201121617	0.000183124656377783	0.000183124656377783
"Junco_hyemalis"	0.355636337871267	0.0227362074643516	0.183762089647234	0.0753822043273967	0.0102195701095498	0.00748438190986142	0.0114458753370059	0.065010264784849	0.0772848039443503	0.0509089332605684	1.06546962215509	0.0162445142496528	0.0134611079156065	0.00861510906598819	0.00687255189326118	0.00529129178824926	0.0043075545329941	0.00519568155839335	0.00390983169462201	0.00128937655347611	0.00161533294987279	0.0029323737709665	0.00127468221459235	0.00117578542392044	0.000222375438631404	0.000977457923655502	0.000637341107296177	0.000637341107296177
"Cardinalis_cardinalis"	0.0861414494282252	0.173423850280111	0.227925238854137	0.00574061926433338	0.0277093270267583	0.104109183807597	0.0416169980055042	0.072241993475039	0.0410075082331765	0.110216724624841	0.0430001847784928	1.03521581021161	0.00102511058291667	0.000656070773066672	0.00487823573593466	0.00472488532641907	0.000328035386533336	0.00657587035675948	0.0048494731671093	0.00170279249411101	0.000123013269950001	0.00363710487533198	0.000308750714796506	0.00019537978071492	0.001125270539952	0.00121236829177733	0.000154375357398253	0.000154375357398253
"Dendroica_coronata"	0.0198290690690969	0.00479067147996904	0.0132729372645477	0.62508991977514	0.001093630487792	0.00142653345314888	0.00116390513697229	0.00481005165016951	0.00476230582182008	0.00860792543304689	0.0484599884961836	0.00139415039276668	1.11162319995985	0.0714388479743017	0.000437445606013075	0.0136645084669739	0.0357194239871509	0.00480384531812434	0.000282402920522291	0.00897462862744163	0.0133947839951816	0.000211802190391718	7.10719321473006e-05	0.00450046396446751	3.48139345064126e-05	7.06007301305728e-05	3.55359660736503e-05	3.55359660736503e-05
"Parus_atricapillus"	0.0198290690690969	0.00479067147996904	0.0132729372645477	0.62508991977514	0.001093630487792	0.00142653345314888	0.00116390513697229	0.00481005165016951	0.00476230582182008	0.00860792543304689	0.0484599884961836	0.00139415039276668	0.111623199959846	1.0714388479743	0.000437445606013075	0.0136645084669739	0.0357194239871509	0.00480384531812434	0.000282402920522291	0.00897462862744163	0.0133947839951816	0.000211802190391718	7.10719321473006e-05	0.00450046396446751	3.48139345064126e-05	7.06007301305728e-05	3.55359660736503e-05	3.55359660736503e-05
"Catharus_guttata"	0.379382319818286	0.0247242966655967	0.178697667777618	0.00612423848418304	0.0623909854514764	0.00852981975934148	0.00681733871016514	0.0695091516977959	0.0944930254167146	0.0603576993809119	0.0618529670393506	0.0165860015021778	0.00109361401503269	0.000699912969620919	1.0076399267824	0.0037782229372371	0.00034995648481046	0.00465115775479435	0.00380207803782166	0.000318557314339033	0.000131233681803922	0.00285155852836624	0.00135979326099744	0.000723641191100028	0.000824522567607714	0.000950519509455414	0.00067989663049872	0.000679896630498721
"Parus_bicolor"	0.110500533601788	0.0798041805029348	0.216455829363472	0.239128898172043	0.00708562865316411	0.00781727912119917	0.0058743172520653	0.0446726713651588	0.0332678147839849	0.0499427585657648	0.0595270326178042	0.020080762637281	0.0427015889592934	0.0273290169339478	0.00472277867154637	1.00914921942001	0.0136645084669739	0.00662649635350515	0.00460544317794622	0.00416196057938772	0.00512419067511521	0.00345408238345966	0.000396059260221461	0.00190609318848247	0.000453435238744445	0.00115136079448655	0.000198029630110731	0.000198029630110731
