"Prunus_mahaleb"	"Crataegus_monogyna"	"Juniperus_phoenicea"	"Berberis_vulgaris"	"Hedera_helix"	"Rosa_canina"	"Lonicera_arborea"	"Juniperus_sabina"	"Taxus_baccata"	"Juniperus_communis"	"Daphne_laureola"	"Rhamnus_myrtifolius"	"Rubus_ulmifolius"	"Sorbus_aria"	"Amelanchier_ovalis"	"Arum_italicum"	"Prunus_prostrata"	"Rhamnus_saxatilis"	"Rubia_peregrina"	"Cotoneaster_granatensis"	"Juniperus_oxycedrus"	"Lonicera_splendida"	"Lonicera_etrusca"	"Paeonia_officinalis"	"Polygonatum_odoratum"	"Turdus_viscivorus"	"Phoenicurus_ochruros"	"Turdus_merula"	"Fringilla_coelebs"	"Turdus_torquatus"	"Parus_ater"	"Turdus_iliacus"	"Erithacus_rubecula"	"Sylvia_communis"	"Sylvia_atricapilla"	"Garrulus_glandarius"	"Phoenicurus_phoenicurus"	"Turdus_pilaris"	"Coccothraustes_coccothraustes"	"Parus_major"	"Columba_palumbus"	"Parus_caeruleus"	"Parus_cristatus"	"Corvus_corone"	"Sylvia_melanocephala"	"Sitta_europaea"	"Sylvia_cantillans"	"Dendrocopos_major"	"Serinus_serinus"	"Pica_pica"	"Sylvia_borin"	"Turdus_philomelos"	"Loxia_curvirostra"	"Serinus_citinella"	"Sylvia_conspicillata"	"Corvus_corax"	"Ficedula_hypoleuca"	"Emberiza_cia"
"Prunus_mahaleb"	1.27033891170493	0.0238793602916389	0.0081520907055701	0.0067298727783593	0.00956701180026584	0.00394380685956405	0.00188606471967044	0.00108036326609374	0.00244665615126201	0.00133680379435298	0.000717593022609014	0.000890083281523916	0.000560115778039202	6.18893776654416e-05	0.000586723853602315	0.000195327233193093	0.000150285277188174	0.000132460365736501	0.000181582515541783	0.000105243321183255	0.000104823985516729	0.000129512398914622	6.66669389069201e-05	4.50419560049187e-05	4.50419560049187e-05	0.119184871532521	0.1319757847102	0.0870210590015029	0.110105245933494	0.00981227951350274	0.0548002237814884	0.00268465886082767	0.0249233651838314	0.0253806499986702	0.0107546905196363	0.0189802542128328	0.0155035652637904	0.00129947242301358	0.0013445272780451	0.00614008831071317	0.00796257755690634	0.00861896569318009	0.00518246686331812	0.00283006315692306	0.00487093140991152	0.00460365797743475	0.00445342300334768	0.00292255884594691	0.00250505043938307	0.000196021124443311	0.00111335575083692	9.9886875812169e-05	6.81638806847555e-05	0.00083501681312769	0.000299881852249199	2.2131010464911e-05	0.000160712383394584	1.10655052324555e-05
"Crataegus_monogyna"	0.101005931761854	1.12254130581432	0.0314238439863012	0.0247730453955626	0.00857304803049017	0.0163835664690551	0.00914818205245081	0.0100273674825159	0.00383123868015282	0.00227836136347595	0.000404307596959766	0.000248244143263774	0.000546346011839051	0.0013829560955123	7.54718469678521e-05	0.000121936754940814	8.45347034979891e-05	0.00019810241085717	5.06312781494986e-05	4.71326520551642e-05	7.06960626459881e-05	3.39692577475187e-05	8.30937983163145e-06	3.74020514428248e-05	3.74020514428248e-05	0.0803814232284885	0.0122471898392355	0.0722607633875376	0.0449561061086345	0.219261402779404	0.00683031022160105	0.0823622844581336	0.00402846865350849	0.0020433738068128	0.00603541231862219	0.00844318691975398	0.00133256544137477	0.0403865823283846	0.0355215710620022	0.014942574404251	0.00721393089514214	0.00450827178929982	0.00196995377582651	0.00576628514296765	0.000387292683135942	0.000885338366746249	0.000354096167438575	0.000232375609881565	0.000199179094184199	0.00695433613457135	8.85240418596438e-05	0.00319172064371731	0.00218000111853757	6.63930313947329e-05	4.31443186125668e-05	0.00104035338815044	3.20788133801113e-05	0.000520176694075218
"Juniperus_phoenicea"	0.110732565417327	0.100911689467914	1.04559972839152	0.0215542993623879	0.00435897699535062	0.0155881430225245	0.0124817386789277	0.0125468102758393	0.00333179392865377	0.00308226864419572	0.000129139199139387	0.000153365111905486	0.000283190985250439	0.00201589505730195	6.14831116894337e-05	6.04371768007743e-05	4.2779431748664e-05	4.32210544990869e-05	0.000100457880757755	2.51216866965536e-05	0.000173838460615088	1.44038459789873e-05	6.67065620420362e-06	1.76577450521103e-05	1.76577450521103e-05	0.197654329719355	0.0129972694388975	0.0341147634406772	0.0135485484854209	0.319610998175872	0.00548327939985538	0.0132100713990519	0.00309007184079953	0.0022354928405227	0.00244755728117526	0.00846940644440471	0.0014352066632773	0.0173067415060764	0.0158615182273363	0.00216360649902296	0.00612064912675173	0.00123441562907537	0.000589135250096722	0.0055971166447712	0.000424588057581776	0.00044708755546148	0.000388194795503338	0.000254752834549066	0.000218359572470628	0.000774989335739108	9.70486988758345e-05	0.000338698793601099	0.000281520284470556	7.27865241568759e-05	3.51541356901293e-05	9.3523345197325e-05	2.302304833065e-05	4.67616725986625e-05
"Berberis_vulgaris"	0.119050927753612	0.103605100704698	0.0280707154486912	1.02673946107436	0.0116541107038334	0.0139889991100512	0.0095533460472597	0.0100986045489734	0.00396002775410783	0.00202689200383921	0.000857442729924858	0.000467913602296796	0.000572421346541058	0.0014223981970627	0.000237995897772996	0.000195473835945531	0.00015817605988022	0.00029457354379425	0.000109306337525736	0.000120878283814908	3.83323728907005e-05	2.86040976209521e-05	7.03632670903499e-06	3.72977760653113e-05	3.72977760653113e-05	0.0435839079767265	0.056947674818988	0.0720593033581815	0.0377867346376788	0.225514768697941	0.00578386055482676	0.0824340035393276	0.0346023302083332	0.00241394874573039	0.0195323363279181	0.00255193723385731	0.00544291262501183	0.0285699878553308	0.00382552155856514	0.0178249428860333	0.00164006814162537	0.00909087480919823	0.000626597730592988	0.0049516362925353	0.000456483618687161	0.000478408618374844	0.000417356451371119	0.000273890171212297	0.000234763003896254	0.00858334774116229	0.00010433911284278	0.000352465779420552	0.000276820924381698	7.82543346320848e-05	4.81009838468895e-05	9.60195557967542e-05	3.5058594741542e-05	4.80097778983771e-05
"Hedera_helix"	0.178219762679238	0.0377564033669343	0.0059780255936237	0.0122724920881184	1.06843362960582	0.0100543217075006	0.00424624697937237	0.00189842685350243	0.0024374948961015	0.0022287711409697	0.00535317191799337	0.000948425096413762	0.00175212973475745	0.000121774529276463	8.98545285067977e-05	0.000514280571840092	0.000346357978319588	6.4536090368265e-05	3.72780791698484e-05	0.000178435384799085	3.38182706510616e-05	2.2212145057926e-05	9.63890795393334e-06	0.000167922593520503	0.000167922593520503	0.038451373730257	0.0218810414698097	0.324426450681613	0.0220283114061951	0.0193067980961956	0.00792318233813321	0.0194485659903692	0.00435229558933266	0.00362706414419098	0.186531843761129	0.00289884107227278	0.00224640300914	0.00223016416608723	0.00146446909212011	0.0016429636078575	0.0014739606710264	0.00140860305886731	0.000774895062655728	0.000642515774190354	0.000683357985733274	0.000661804974365843	0.000624784444098994	0.000410014791439965	0.000351441249805684	0.000322583810636134	0.000156196111024748	0.000202833345053392	0.000130919348630783	0.000117147083268561	0.000106438632939166	3.49920327775109e-05	8.69141190610725e-05	1.74960163887555e-05
"Rosa_canina"	0.109088087921517	0.107138595273397	0.0317431276095044	0.0218737076993529	0.0149291443535615	1.02041251702769	0.00919491410360108	0.00924050658001042	0.00337500802584907	0.0027488104457748	0.000180283170003567	0.000516720543984484	0.000454142707763996	0.00137879569046132	6.03371581238852e-05	0.000278711631811161	0.000188348109526366	9.82743427180839e-05	5.37292381381718e-05	9.79845872415708e-05	8.0251720613098e-05	1.41783864268032e-05	6.4299616886881e-06	9.0363522284795e-05	9.0363522284795e-05	0.0912462063370924	0.0129653635756277	0.174582325054224	0.0135752401411777	0.218601789469503	0.00528542850810162	0.0380303848967627	0.00315512089210521	0.00220149113794368	0.00423625250190177	0.00244773594614836	0.00142855904731982	0.0633114996234457	0.0161649943346622	0.00222328572725668	0.00161175876792106	0.0012461005459303	0.000591125918821318	0.00105874342487517	0.000418282545711338	0.000444027857074753	0.000382429756078938	0.000250969527426803	0.000215116737794403	0.000814976850114912	9.56074390197344e-05	0.00340750919643995	0.00638290696948973	7.17055792648008e-05	4.13688869766257e-05	9.92943422366974e-05	2.9417957099159e-05	4.96471711183487e-05
"Lonicera_arborea"	0.0906105197955357	0.103904088785204	0.0441459389065232	0.0259448766336106	0.0109508474731182	0.0159701139694124	1.01623654372179	0.0147280407445046	0.00339631792269952	0.00260759348860016	0.000867724674007689	0.000251905356879397	0.000340161196906272	0.00251018235652738	0.000368274754038153	9.59501065518224e-05	6.63052116631917e-05	5.39161275096097e-05	2.51880139531773e-05	3.66603167745609e-05	2.64325069953673e-05	7.92425009005842e-05	5.72189798502341e-05	2.96448948886308e-05	2.96448948886308e-05	0.0300537604537326	0.0217507620181272	0.0572739369248346	0.0385852088802133	0.397978002707614	0.0470340014368925	0.0162587448553738	0.00290438466077508	0.00182393259359936	0.0248727930054815	0.00222880030817411	0.0012108172451132	0.00561138369393852	0.00403144718039082	0.00748337858248102	0.00153477250580904	0.00114368740240048	0.000511731267290309	0.00114100242721161	0.000347432974676134	0.000375727988429344	0.00031765300541818	0.00020845978480568	0.000178679815547726	0.000827051320373154	7.94132513545449e-05	0.000350367367264807	0.000289381875878976	5.95599385159087e-05	3.29364357965697e-05	9.62966531836927e-05	2.30097793772516e-05	4.81483265918464e-05
"Juniperus_sabina"	0.0580091523111979	0.127288582513349	0.0495968029727294	0.0306522349839429	0.00547193622480112	0.017937453949432	0.0164607514203287	1.01706076841829	0.00412453380498558	0.00299932269719535	0.000123195291094809	0.00014972165278793	0.000282586420967182	0.00266912306908187	4.08613696146111e-05	7.14922615653845e-05	4.96167182617868e-05	0.000156170677464898	4.04962096289294e-05	2.77411749581891e-05	6.2879404430773e-05	9.98344297185926e-06	4.17525764825141e-06	2.18755433035977e-05	2.18755433035977e-05	0.071493882837789	0.0081163352276803	0.0422635496625507	0.0101759406869609	0.423177330225343	0.00343206178686266	0.0660943713982626	0.00242837150500086	0.00117424227929411	0.00257657875497655	0.00191995328999246	0.000829211496079315	0.00670089738541628	0.00484763175745722	0.00241862746782081	0.00153392786076759	0.00103816558708955	0.000412091431135388	0.0130162338449587	0.000222427731254593	0.000268702089785937	0.000203362497147057	0.000133456638752756	0.000114391404645219	0.00100441291452118	5.08406242867641e-05	0.00041913171717583	0.000344649900529908	3.81304682150731e-05	2.35788645704288e-05	0.000117969029206069	1.72237865345833e-05	5.89845146030346e-05
"Taxus_baccata"	0.186108977905997	0.0688984422647483	0.0186580460004611	0.0170281193426637	0.00995310415908112	0.00928127207108495	0.00537750337760758	0.00584308955706291	1.00565046673085	0.0022945687131813	0.000282289468103092	0.000982748092125482	0.000530244749844145	0.000748714595552901	0.000363142800755314	0.000276119683496589	0.000221376189756939	0.000316178376064404	0.000151905845594747	0.000166632696017288	5.96176697908128e-05	2.09970148782967e-05	1.02890411414305e-05	5.47434937396502e-05	5.47434937396502e-05	0.0677852905521542	0.154483997209395	0.105764429905004	0.0187603699869897	0.118705295876751	0.00845759181825584	0.0572498790447605	0.0463221297429422	0.00375647349918666	0.00368333488779635	0.00327859882480811	0.00236191567222334	0.00351509582750804	0.0192957356418195	0.00199857668576005	0.0435536435858225	0.00159920672503736	0.00085016661364294	0.000924694654830455	0.000713608044118086	0.000704757430598326	0.000652441640336536	0.000428164826470852	0.000366998422689301	0.000547051782153484	0.000163110410084134	0.000240081029729876	0.000183958089769245	0.0001223328075631	6.11716313611929e-05	6.38539780025471e-05	4.07828301006762e-05	3.19269890012735e-05
"Juniperus_communis"	0.169477014372972	0.0682875530886263	0.0287678406791601	0.0145260593608477	0.0151680258204883	0.0125987145431345	0.00688114948380599	0.00708173414615569	0.00382428118863549	1.00342353746799	0.000195798968765459	0.000550867443069651	0.000335692392744221	0.000983278589097072	8.54825639599347e-05	0.000283421945073735	0.000192226941599944	6.59328670020735e-05	0.000110287694287334	0.000101031938126154	0.000182366543982601	1.92609838230893e-05	9.38430303980819e-06	9.11950034737904e-05	9.11950034737904e-05	0.207350760508217	0.0189107240685531	0.176188746711363	0.0173039447323085	0.155894350853208	0.00771389709872234	0.0210600612818749	0.00407249094607853	0.00341043545287048	0.00440763124263237	0.00308911506305031	0.00213557065339204	0.00374731934120247	0.00273476598748576	0.00188280659738838	0.0295615454095222	0.00146668234743362	0.000781900340020668	0.000937251681418367	0.000649835177810476	0.000644345646904504	0.000594135019712436	0.000389901106686286	0.000334200948588245	0.000523975913063114	0.000148533754928109	0.00024095261568909	0.000202931477020186	0.000111400316196082	5.0044684606805e-05	6.32878156521097e-05	3.14779652407914e-05	3.16439078260548e-05
