"Clethrionomys_rufocanus"	"Clethrionomys_rutilus"	"Apodemus_peninsulae"	"Tamias_sibiricus"	"Microtus_evoronensis"	"Myopus_schisticolor"	"Sciurus_vulgaris"	"Megabothris_advenarius"	"Pectinoctenus_pectiniceps"	"Amalaraeus_dissimilis"	"Neopsylla_acanthina"	"Catallagia_ioffi"	"Hystrichopsylla_microti"	"Megabothris_asio"	"Ctenophthalmus_pisticus"	"Ceratophyllus_indages"	"Catallagia_dacenkoi"	"Corrodopsylla_birulai"	"Ctenophthalmus_congeneroides"	"Rhadinopsylla_pseudodahurica"
"Clethrionomys_rufocanus"	3.68949636932166	1.19436386635128	0.276193809023653	0.0563003331825619	0.0445679972862325	0.00119622710825086	0.00103929246320463	1.92858392674667	0.93326524595572	0.69118465232827	0.513763212447735	0.202633273753691	0.142682436200718	0.131485142671435	0.0642327970335835	0.0485003149495492	0.0275075909644998	0.0206497452050453	0.0185249412001814	0.0138288258060576
"Clethrionomys_rutilus"	2.6771868700848	2.20950136557894	0.27490230330002	0.056426457154078	0.042884652594092	0.00124053078022014	0.00101571524469104	2.00001129122158	0.915496388206404	0.668601616503575	0.477195434033886	0.201873124172265	0.13902502205376	0.114447180292343	0.0798876792512567	0.0474000447522484	0.0250652539558643	0.0263762672355959	0.0241914016156067	0.0172714019687695
"Apodemus_peninsulae"	2.5955284312432	1.15251927994402	1.38493516924528	0.0865340749752839	0.0413805965093923	0.00102792020471651	0.00123242261495148	1.65723579671518	1.04518006992625	0.530618464432085	0.816769429758441	0.164140555166464	0.108998289167845	0.103555683905759	0.168815718404744	0.0575130553644023	0.0249569304017579	0.0217789269237793	0.0258677015047056	0.0114114835917429
"Tamias_sibiricus"	2.43174131400065	1.08729442439204	0.397723921521016	1.29924427445058	0.0354961279988677	0.000902229520631032	0.0107556028530537	1.45459448270625	0.725496520930447	0.494191702234339	0.889878372806723	0.147309110302292	0.102156314076329	0.0927647090080007	0.221093297097813	0.501928133142504	0.020020584830712	0.0169972033606949	0.0596798599987141	0.0107318147683375
"Microtus_evoronensis"	2.70539788932104	1.1613627540346	0.267296285560669	0.0498864501605708	1.07731152799862	0.00103923081097445	0.000863756850367314	1.67547100747104	1.00238553195699	0.694669382873371	0.418171750725909	0.160615320330038	0.162883210874768	0.404911927125058	0.0847800090565477	0.0403086530171413	0.0214404121503061	0.043104210362568	0.0164214160276424	0.0116792732917877
"Myopus_schisticolor"	2.68672608513144	1.24301184178058	0.245672928927246	0.0469159350728137	0.0384515400060548	1.0015354534866	0.000844110332100282	2.47549223229311	0.753329865770595	0.550301816030207	0.412162234414205	0.162982005902261	0.113917194233007	0.102025338891149	0.0585367387444912	0.0393918154980131	0.021540104954424	0.0183683616184597	0.0167125087129137	0.0120818882003176
"Sciurus_vulgaris"	2.33425087235759	1.01774667518042	0.294549004973403	0.55929134835879	0.0319590034635906	0.000844110332100282	1.02451688007095	1.36089343541945	0.667110462224835	0.470548004744796	0.571913830942978	0.139697239455969	0.0972818082665254	0.0877970478822	0.12016224168172	1.14412106997751	0.0187962034876065	0.0157260343020893	0.0326330484717214	0.0101616784057524
"Megabothris_advenarius"	2.9852512057016	1.38112426864509	0.272969921030274	0.0521288167475707	0.0427239333400609	0.00170605942956107	0.000937900369000313	2.75054692477013	0.83703318418955	0.611446462255786	0.457958038238006	0.181091117669178	0.126574660258897	0.113361487656832	0.0650408208272125	0.0437686838866813	0.02393344994936	0.0204092906871774	0.0185694541254597	0.0134243202225752
"Pectinoctenus_pectiniceps"	2.97321098215113	1.30117359004655	0.35432345632961	0.0535118001253663	0.0526074676346219	0.00106855300109304	0.000946255974787	1.72274489398445	1.84749866771558	0.601605680078134	0.481868364126476	0.177975342054357	0.124615907901221	0.115281480915311	0.0716424027657305	0.0441586121567267	0.023880184228197	0.0202807973252875	0.0186362365164096	0.0129693249689579
"Amalaraeus_dissimilis"	3.06193437698086	1.3213783426757	0.250133753450233	0.0506863284342912	0.0506957932274453	0.00108540792116412	0.000928102573461137	1.74991877067682	0.836552277031725	1.61632618642217	0.453013527541925	0.181669222830776	0.127680088609424	0.117055735626813	0.0620212067811071	0.0433114534281864	0.0240937184296517	0.0202185981830898	0.0180411335053394	0.0132559756698156
