"Clethrionomys_rutilus"	"Spermophilus_undulatus"	"Microtus_gregalis"	"Tamias_sibiricus"	"Microtus_oeconomus"	"Myopus_schisticolor"	"Sorex_araneus"	"Sciurus_vulgaris"	"Citellophilus_tesquorum"	"Megabothris_advenarius"	"Catallagia_ioffi"	"Amphipsylla_primaris"	"Catallagia_dacenkoi"	"Frontopsylla_luculenta"	"Amalaraeus_penicilliger"	"Megabothris_calcarifer"	"Ceratophyllus_indages"	"Corrodopsylla_birulai"	"Megabothris_rectangulatus"	"Oropsylla_alaskensis"	"Ceratophyllus_paradoxus"	"Amphipsylla_marikovskii"	"Neopsylla_mana"	"Rhadinopsylla_dahurica"	"Rhadinopsylla_pseudodahurica"
"Clethrionomys_rutilus"	3.59292864484419	0.366021054798445	0.825649575910279	0.175016743894248	0.213853609268373	0.0603208124952328	0.0228407606562131	0.00652669286986319	0.244200671184657	1.07827600646039	0.92538249204542	0.48185679307341	0.655906878470588	0.158480423523541	0.379828650179801	0.206661005968775	0.137785738363778	0.125798398721985	0.157129685720444	0.0267556897095901	0.0808408945089943	0.0269469648363314	0.0150625260470119	0.0179646432242209	0.0179646432242209
"Spermophilus_undulatus"	0.633497979458846	3.84827607862772	0.434962452075212	0.115204144989731	0.0723680118172539	0.0364059664950526	0.118575451071408	0.00386781020162206	2.52371515346252	0.24244116402704	0.187391263535129	0.174472850652999	0.127244831328072	0.678233554607459	0.0860923675563089	0.0930156172515697	0.0816537709231323	0.17262765969221	0.0881979260213913	0.24848090121209	0.014253704537824	0.00475123484594135	0.00793512581488562	0.00316748989729423	0.00316748989729423
"Microtus_gregalis"	2.00833680626825	0.611298581294892	2.10878259595337	0.175389643335919	0.289198999494277	0.0379946535601031	0.0260099197649439	0.00614669506508949	0.403474819921366	0.895316270144404	0.638456399067082	0.776258227798074	0.36855653519899	0.315732124860401	0.318540372035847	0.402662911955537	0.129763562485223	0.0952875686889823	0.232580583477058	0.0414082235343727	0.0451875781410356	0.0150625260470119	0.0384710338450953	0.0100416840313412	0.0100416840313412
"Tamias_sibiricus"	1.34055378301977	0.509839620380087	0.552290791781193	2.47036260965927	0.180043398556735	0.0777876136122257	0.0523702448814564	0.07990983284611	0.347552774181217	0.459924968468875	0.458463302773784	0.26205769917499	0.269601338153962	0.144268569397781	0.164581924801798	0.28919881817245	1.68698536008454	0.369669199937928	0.1780219787752	0.0428184447643733	0.0301624601179449	0.0100541533726483	0.0100755752554677	0.00670276891509886	0.00670276891509886
"Microtus_oeconomus"	2.02598156148985	0.396119643631285	1.12635399803034	0.222685256109646	1.42615182652345	0.0379413357386834	0.0202496717216356	0.00767460149195228	0.262672786680151	0.959864284779738	0.63259750243641	0.59229106350997	0.371620374343132	0.184852318251335	0.374027556930048	0.764622048848022	0.162019364830104	0.0938646796685727	0.209073371242913	0.0277491413191015	0.0455845851335217	0.0151948617111739	0.020548349964067	0.0101299078074493	0.0101299078074493
"Myopus_schisticolor"	2.17154924982838	0.757244103097093	0.562320872689526	0.365601783977461	0.144177075806997	1.1618877441776	0.0880626583696649	0.0123144067901208	0.519906567711734	0.664541436644159	0.574188864741906	0.311508258055683	0.902870603599888	0.19007845278877	0.234445109609593	0.154277514800563	0.259970810013661	0.646293047769658	0.115269014514161	0.0663718985590212	0.0488598581211385	0.0162866193737128	0.0102585564612278	0.0108577462491419	0.0108577462491419
"Sorex_araneus"	0.822267383623674	2.4663693822853	0.384946812521171	0.246140150942845	0.0769487525422154	0.0880626583696649	1.17029038185001	0.00813237260197018	2.01140133633359	0.283065490254524	0.234109909166474	0.171329671000612	0.183524988400492	0.447093664043855	0.100306312896465	0.096103182662787	0.171683421597148	0.462306954393812	0.081292119978868	0.45471168085305	0.0185010161315327	0.00616700537717755	0.00702267833653487	0.00411133691811837	0.00411133691811837
"Sciurus_vulgaris"	1.17480471657537	0.402252260968694	0.454855434816622	1.87788107188359	0.145817428347093	0.061572033950604	0.0406618630098509	1.10531308518502	0.273974944702305	0.396183088567857	0.3882682516631	0.21983719186526	0.233298240678462	0.116269782499258	0.141503810399472	0.228128814792158	2.22327624279488	0.285444837059377	0.141761280547997	0.0336053926921489	0.0264331061229459	0.0088110353743153	0.00829803833787081	0.00587402358287687	0.00587402358287687
"Citellophilus_tesquorum"	0.574589814552134	3.4309330190863	0.390289368289948	0.106764577689655	0.0652389927702335	0.0339808214190676	0.131464139629646	0.00358137182617392	3.25928919536029	0.219152914123806	0.169751399431766	0.156951608419408	0.115844587185204	0.604971613486393	0.0778175765733876	0.0837867041243237	0.0756067385525606	0.162180877127732	0.0792156438653105	0.22848530002361	0.012928270827423	0.00430942360914101	0.00712014388096527	0.00287294907276067	0.00287294907276067
"Megabothris_advenarius"	2.87540268389438	0.373538978649069	0.981531910973124	0.160122026059534	0.270184020900963	0.0492252916032711	0.0209678140929277	0.00586937908989418	0.248373302673647	1.93242009302995	0.767495187278819	0.490590523541627	0.525346850902988	0.171295843788392	0.330913091976882	0.249726491363162	0.123909114119988	0.106226883294551	0.157265202654078	0.0266728773541007	0.0646965603876235	0.0215655201292078	0.0179063254028881	0.0143770134194719	0.0143770134194719
"Catallagia_ioffi"	3.02852451942137	0.354339843775518	0.859014064199346	0.195888865730617	0.218533682659851	0.0521989877038096	0.021282719015134	0.00705942275751092	0.236108764664183	0.941925911660369	1.79458937154569	0.458377636689186	0.553481335365455	0.156984016774083	0.332712694005865	0.214115967266608	0.149032258214119	0.113940645491294	0.149399159414122	0.0256779503464591	0.0681418016869809	0.0227139338956603	0.0156712025225556	0.0151426225971069	0.0151426225971069
"Amphipsylla_primaris"	2.25283695462893	0.471303284880828	1.49202880148201	0.15995729689902	0.292299485888037	0.0404556179293095	0.0222506066234561	0.00571005693156519	0.31186488426194	0.860126242572983	0.654825195270266	1.60744600525866	0.412451495128252	0.233927690911129	0.306473096826139	0.324337032753475	0.120545646333043	0.0942511693296864	0.187058039991875	0.0325184735628798	0.0506888314791509	0.016896277159717	0.027219444351361	0.0112641847731447	0.0112641847731447
"Catallagia_dacenkoi"	3.14835301665882	0.352892332216519	0.727284896126006	0.168950171909816	0.188287656333853	0.120382747146652	0.0244699984533989	0.00622128641809233	0.236322957857816	0.945624331625378	0.811772625202667	0.423450201665006	1.60513401413129	0.144528262927101	0.333122772727608	0.182851895901804	0.131338268826394	0.144448237792647	0.138905076876023	0.026457093269597	0.0708379428748235	0.0236126476249412	0.0132680352671636	0.0157417650832941	0.0157417650832941
"Frontopsylla_luculenta"	1.01880272265134	2.51915320282771	0.834434901416773	0.121082549315995	0.125435501670549	0.0339425808551375	0.0798381542935454	0.00415249223211637	1.65286887256104	0.412945337704159	0.308361461520521	0.321650575002803	0.193564637848796	1.5004891951412	0.146696998179743	0.166990533087629	0.0876637249002345	0.133972215505259	0.118720766183893	0.163258669318316	0.0229230612596551	0.00764102041988502	0.0152227988771979	0.00509401361325668	0.00509401361325668
"Amalaraeus_penicilliger"	2.84871487634851	0.373066926077339	0.982166147110528	0.16115313470176	0.296105149236288	0.0488427311686652	0.0208971485200968	0.00589599209997799	0.248043525327673	0.93069307118498	0.762466590430108	0.491633926158598	0.520504332386888	0.171146497876367	1.3310683062313	0.260917305223107	0.124470944332869	0.105674827352711	0.158044832559014	0.0266272446922765	0.0640960847178414	0.0213653615726138	0.0179178959270164	0.0142435743817425	0.0142435743817425
"Megabothris_calcarifer"	1.77138005116093	0.460648771150631	1.4189074040338	0.323627248907266	0.691800901338687	0.0367327416191816	0.0228817101578064	0.0108632768948647	0.305222993595751	0.802692293667308	0.560779914269688	0.594617893381371	0.326521242681794	0.222654044116838	0.298191205969265	1.4947153103896	0.229335845558254	0.102848802349644	0.196748118679634	0.0320895551198308	0.0398560511511208	0.0132853503837069	0.0258854729114274	0.00885690025580463	0.00885690025580463
"Ceratophyllus_indages"	1.30533857397264	0.446946956631882	0.505394927574024	2.0865345243151	0.162019364830104	0.0684133710562266	0.0451798477887232	0.117014539094467	0.304416605224784	0.440203431742063	0.431409168514556	0.244263546516955	0.259220267420514	0.129188647221398	0.157226455999413	0.253476460880175	2.47030693643875	0.317160930065975	0.157512533942219	0.0373393252134988	0.0293701179143843	0.00979003930479478	0.00922004259763423	0.00652669286986319	0.00652669286986319
"Corrodopsylla_birulai"	1.6773119829598	1.32987234133258	0.522317043184051	0.643498236928985	0.132105845459473	0.239367795470244	0.171224797923634	0.0211440620043983	0.919024970390482	0.531134416472753	0.464202629779346	0.268790371792069	0.401245104979575	0.277868298825722	0.187866359738153	0.159987025877224	0.446374642315076	1.29175853502881	0.117248288711002	0.121036014639339	0.0377395196165955	0.0125798398721985	0.00952875686889823	0.008386559914799	0.008386559914799
"Megabothris_rectangulatus"	2.09506247627259	0.679450689349978	1.27488616128165	0.309890111201274	0.294251411378915	0.0426922275978375	0.0301081925847659	0.0105008355961479	0.448888648570093	0.786326013270389	0.608663242057536	0.533461817754605	0.38584743576673	0.246235663196223	0.280968591216024	0.306052629057209	0.221684307029789	0.117248288711002	1.17437238743481	0.0463483132738232	0.0471389057161333	0.0157129685720444	0.0232580583477058	0.0104753123813629	0.0104753123813629
"Oropsylla_alaskensis"	0.602003018465777	3.23025171575716	0.383026067692946	0.125779181495346	0.0659042106328658	0.0414824365993881	0.284194800533156	0.0042006740865186	2.18489068147576	0.225052402675224	0.176535908631906	0.156495154021359	0.124017624701236	0.571405342614105	0.0798817340768294	0.0842350821895557	0.0886808973820593	0.204248274703884	0.0782127786495764	1.25843425515529	0.01354506791548	0.00451502263849332	0.00698763772142537	0.00301001509232888	0.00301001509232888
"Ceratophyllus_paradoxus"	3.23363578035977	0.3294189493186	0.743084618319251	0.157515069504823	0.192468248341536	0.0542887312457095	0.0205566845905918	0.00587402358287687	0.219780604066191	0.970448405814352	0.832844242840878	0.433671113766069	0.590316190623529	0.142632381171187	0.341845785161821	0.185994905371897	0.124007164527401	0.113218558849786	0.1414167171484	0.0240801207386311	1.07275680505809	0.0242522683526983	0.0135562734423107	0.0161681789017989	0.0161681789017989
"Amphipsylla_marikovskii"	3.23363578035977	0.3294189493186	0.743084618319251	0.157515069504823	0.192468248341536	0.0542887312457095	0.0205566845905918	0.00587402358287687	0.219780604066191	0.970448405814352	0.832844242840878	0.433671113766069	0.590316190623529	0.142632381171187	0.341845785161821	0.185994905371897	0.124007164527401	0.113218558849786	0.1414167171484	0.0240801207386311	0.0727568050580948	1.0242522683527	0.0135562734423107	0.0161681789017989	0.0161681789017989
"Neopsylla_mana"	1.80750312564142	0.550168723165403	1.89790433635803	0.157850679002327	0.260279099544849	0.0341951882040928	0.0234089277884496	0.00553202555858054	0.363127337929229	0.805784643129963	0.574610759160373	0.698632405018267	0.331700881679091	0.284158912374361	0.286686334832262	0.362396620759983	0.1167872062367	0.0857588118200841	0.209322525129352	0.0372674011809354	0.040668820326932	0.0135562734423107	1.03462393046059	0.00903751562820712	0.00903751562820712
"Rhadinopsylla_dahurica"	3.23363578035977	0.3294189493186	0.743084618319251	0.157515069504823	0.192468248341536	0.0542887312457095	0.0205566845905918	0.00587402358287687	0.219780604066191	0.970448405814352	0.832844242840878	0.433671113766069	0.590316190623529	0.142632381171187	0.341845785161821	0.185994905371897	0.124007164527401	0.113218558849786	0.1414167171484	0.0240801207386311	0.0727568050580949	0.0242522683526983	0.0135562734423107	1.0161681789018	0.0161681789017989
"Rhadinopsylla_pseudodahurica"	3.23363578035977	0.3294189493186	0.743084618319251	0.157515069504823	0.192468248341536	0.0542887312457095	0.0205566845905918	0.00587402358287687	0.219780604066191	0.970448405814352	0.832844242840878	0.433671113766069	0.590316190623529	0.142632381171187	0.341845785161821	0.185994905371897	0.124007164527401	0.113218558849786	0.1414167171484	0.0240801207386311	0.0727568050580949	0.0242522683526983	0.0135562734423107	0.0161681789017989	1.0161681789018
