"Lasiopodomys_brandtii"	"Spermophilus_undulatus"	"Marmota_sibirica"	"Ellobius_tancrei"	"Alticola_argentatus"	"Allactaga_sibirica"	"Phodopus_sungorus"	"Amphipsylla_primaris"	"Neopsylla_mana"	"Citellophilus_tesquorum"	"Oropsylla_silantiewi"	"Frontopsylla_hetera"	"Rhadinopsylla_dahurica"	"Amalaraeus_penicilliger"	"Neopsylla_pleskei"	"Rhadinopsylla_li"	"Oropsylla_alaskensis"	"Amphipsylla_dumalis"	"Rhadinopsylla_rothschildi"	"Frontopsylla_elatoides"	"Paradoxopsyllus_scorodumovi"	"Ctenophyllus_hirticrus"	"Paramonopsyllus_scalonae"	"Frontopsylla_elata"	"Pectinoctenus_pavlovskii"	"Frontopsylla_luculenta"	"Ophthalmopsylla_praefecta"
"Lasiopodomys_brandtii"	4.97761924505763	0.221812556812413	0.0455556732008163	0.00736801946378571	0.0102793446648522	0	0.000523055537346016	2.18399387963638	1.38225980089439	0.149746564398561	0.0446602018696855	0.281578230937939	0.28945370022394	0.139568870128944	0.134171883436909	0.0487142635961887	0.0271903572385593	0.00637617068981456	0.0354990387067097	0.00763215015840038	0.00253837872178173	0.000810568554241232	0.000459768081831345	0.000367814465465075	0.00121364234894734	0.000606821174473669	0
"Spermophilus_undulatus"	1.50855016183108	3.53512612130252	0.213277704430199	0.00239918840367853	0.00351353641189696	0	0.000291182357465517	0.671980813171508	0.475107366854164	2.0365355932969	0.21443029608627	0.15675316910227	0.0877237500134214	0.0422986635284841	0.0464135687865204	0.415864646681267	0.390652176485492	0.00207622073395258	0.0107585731148536	0.121636997356655	0.0398291094623435	0.0110398849606152	0.00732752996124421	0.00586202396899537	0.000367814465465079	0.00018390723273254	0
"Marmota_sibirica"	0.456329385895558	0.314128830609201	4.49067305803453	0.000762425155902564	0.00116945875323443	0	9.47362884195689e-05	0.201085152458456	0.158937472685909	0.215163490769554	3.94277650327451	0.0509997019325346	0.026536025108698	0.0127951483752632	0.0127875484595337	0.0384464312275162	0.0348898801855606	0.000659791000300295	0.00325441817370825	0.0108085783724126	0.00899990483182904	0.0173631506453845	0.000651119179061182	0.000520895343248785	0.000111262159784897	5.56310798924486e-05	0
"Ellobius_tancrei"	0.697364149889718	0.0333887052845263	0.00720394025513063	4.52311313930092	0.00201458600851057	0	7.3373998032461e-05	0.384278114830623	0.272452542082036	0.0223124496543362	0.00699502231693877	0.0394996689408081	0.0405524455872206	0.0195535901154313	0.0188013077142935	0.00709236371465783	0.00406440167626477	3.91423252439503	0.00497341313805535	0.00114884213945376	0.000382516945448801	0.000123281940929799	6.92073577984186e-05	5.53658862387347e-05	0.000170031218395055	8.50156091975275e-05	0
"Alticola_argentatus"	3.99406642043533	0.200733882900744	0.0453626895333565	0.00827040571914867	1.01430386384283	0	0.000420632305432693	1.8002096469365	1.96737995474277	0.133274843517752	0.0437340630898549	0.226440391091267	0.232259087611634	0.111990755032863	0.107697911277965	0.0417198991606109	0.0243264028629851	0.0071570818723402	0.0284846050844456	0.00690687289391322	0.00230220948855047	0.000748693596379386	0.000416076680356215	0.000332861344284971	0.00097383265245968	0.00048691632622984	0
"Allactaga_sibirica"	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316
"Phodopus_sungorus"	3.86145750445697	0.316078449028819	0.0698206445652223	0.00572317184653196	0.00799201380322117	0	1.00208611103608	1.69468253944851	1.07480154286687	0.199042322588806	0.065973547920042	1.12302310775811	0.224547742182645	0.108272496230625	0.104324499629755	0.0544464443570294	0.0369729031148738	0.00495274486719112	0.0275388740412677	0.0108756610513371	0.00362312830278365	0.00117301240474921	0.000655160304297409	0.000524128243437925	0.000941499967222829	0.000470749983611415	0
"Amphipsylla_primaris"	4.47497496986277	0.202452171162274	0.0411323223319129	0.00831909324362713	0.00949319547371453	0	0.000470353188856094	2.96350238419251	1.24297105038359	0.13636961121636	0.0403282628038616	0.253206800000864	0.26022441646625	0.125475085507835	0.120628129580224	0.0441464839792526	0.0247797053980452	0.00719921530698502	0.0319143152269929	0.00696599594003769	0.00231627630231652	0.000738181924265355	0.000419638309640822	0.000335710647712656	0.00109108770006813	0.000545543850034066	0
"Neopsylla_mana"	4.43578916761696	0.224181285251117	0.0509180253725341	0.00923768671262718	0.0162487368572539	0	0.000467203452669795	1.94671797197656	2.23836698733132	0.148733912144602	0.0490525779125782	0.251511192020573	0.25794572159268	0.124376343744898	0.119610802324637	0.0464781634858197	0.0271543160208936	0.00799415196285045	0.0316348526481588	0.00771365361964921	0.0025714402228626	0.000837087320948735	0.000464677928894527	0.000371742343115621	0.00108153342386868	0.000540766711934339	0
"Citellophilus_tesquorum"	1.50511097572822	3.00974729274852	0.215895837572718	0.0023694636801065	0.00344754530542857	0	0.000270990228167197	0.668944464550777	0.465843927690481	2.73510609257448	0.212804995441294	0.145883072830008	0.0875237577893836	0.0422022312191996	0.0454499248098418	0.35508288119926	0.332715839487343	0.00205049741547678	0.0107340457666225	0.103559706480107	0.0339517421378488	0.00952488569634177	0.00623853653494615	0.00499082922795693	0.000366975923645214	0.000183487961822607	0
