"Alticola_strelzowi"	"Alticola_barakshin"	"Alticola_argentatus"	"Spermophilus_undulatus"	"Meriones_meridianus"	"Cricetulus_longicaudatus"	"Cricetulus_barabensis"	"Phodopus_sungorus"	"Allactaga_sibirica"	"Meriones_unguiculatus"	"Apodemus_peninsulae"	"Amphipsylla_primaris"	"Paradoxopsyllus_scorodumovi"	"Callopsylla_caspia"	"Paramonopsyllus_scalonae"	"Citellophilus_tesquorum"	"Wagnerina_tuvensis"	"Paradoxopsyllus_dashidorzhii"	"Frontopsylla_elatoides"	"Nosopsyllus_laeviceps"	"Amphipsylla_vinogradovi"	"Frontopsylla_hetera"	"Pectinoctenus_pavlovskii"	"Neopsylla_mana"	"Frontopsylla_wagneri"	"Neopsylla_bidentatiformis"	"Amphipsylla_longispina"	"Ophthalmopsylla_praefecta"	"Oropsylla_alaskensis"	"Rhadinopsylla_li"	"Neopsylla_pleskei"	"Echidnophaga_oschanini"	"Frontopsylla_luculenta"	"Ophthalmopsylla_kukuschkini"	"Amphalius_runatus"	"Ctenophyllus_hirticrus"	"Rhadinopsylla_rothschildi"
"Alticola_strelzowi"	2.41705859048968	1.23341982403228	1.07068623773239	0.166977791681359	0.097306741406565	0.134595237918604	0.0691617864510086	0.055256659630539	0	0.0163113192465572	0.00238370614785858	1.65343030692567	0.945601642671775	0.565638313238462	0.314965960753329	0.133023934207166	0.298553359962733	0.221632839259664	0.145998810638775	0.0819212813265052	0.110951811601378	0.115534391985796	0.046835796518234	0.0490723994111164	0	0.0187511344673327	0.0117929793641533	0	0.00436296810522261	0.00697760486110222	0.00305837235872948	0.00339341963739537	0	0.00224762321332341	0.00193909693565447	0.000579028909822398	0.000579028909822398
"Alticola_barakshin"	1.31893306682653	2.44432082635717	0.991780650928308	0.158982924674925	0.103294491776228	0.113627844839395	0.0600895132614915	0.0532486147245198	0	0.0169209546296623	0.00195900671861152	1.65327711944765	0.616151374660491	0.717575413882736	0.416451554527267	0.124131099831431	0.306777170898368	0.334437498153814	0.148137400220477	0.0834127950687723	0.0891151888726234	0.110791785194126	0.0465217480114745	0.0391758674379944	0	0.0181407268375976	0.0104247918113065	0	0.00415406996731255	0.00703609513266554	0.00317267899306169	0.00323094330790977	0	0.00187437969777543	0.00184625331880556	0.000503074994747371	0.000503074994747371
"Alticola_argentatus"	1.39122961875746	1.20514802561636	2.11725549760363	0.18083205459644	0.0927153236850161	0.129964357250208	0.0711938481620599	0.0570925436139627	0	0.0152999499238292	0.00242667552788231	1.76235422183132	0.896167109397908	0.502621845359386	0.316835731604464	0.142922770402413	0.268894823752391	0.18987020796113	0.223970015318912	0.0754909922605064	0.102037331676644	0.102040734263095	0.0453620948197037	0.0496782914763382	0	0.0247576225372669	0.010868287424196	0	0.00472496658784246	0.00611456138800268	0.00286874061071799	0.00367497401276636	0	0.00229471438901393	0.00209998515015218	0.000596041519496316	0.000596041519496316
"Spermophilus_undulatus"	0.735240921435661	0.65465065595981	0.61278733339858	2.60849299170437	0.179465308615897	0.166947520475071	0.210225658207869	0.0658107334425605	0	0.0247004245928665	0.00483634690415769	0.739233451160807	0.436758592201726	0.247571396271977	0.182285878159963	1.78059009974212	0.131835646688747	0.157751919220384	0.231266432938702	0.137705450493037	0.17280485814958	0.128895233773714	0.0503140991340966	0.0747568497369209	0	0.0358239503529737	0.038174305219036	0	0.0681573975251787	0.0263161998868413	0.00463132961116246	0.0530113091862503	0	0.00514547159930185	0.0302921766778569	0.00176002876639146	0.00176002876639146
"Meriones_meridianus"	0.714105924838501	0.708900100819115	0.52364219102747	0.299108847693161	2.38218039319788	0.148074521526079	0.11498635218137	0.0626825704239281	0	0.306944067808892	0.00253292522044275	0.707824950768885	0.347619709351183	0.253221968794011	0.198052358788484	0.285206675994813	0.129295331922441	0.253221725480182	0.16286764808141	1.7901522079734	0.1977395366925	0.138753999781668	0.0441734303974683	0.0374183893730215	0	0.0326822324282956	0.0728960653369378	0	0.0078154247300471	0.00613517390816516	0.0575520127141676	0.00607866367892555	0	0.00273572409117722	0.00347352210224312	0.000962676436867287	0.000962676436867287
"Cricetulus_longicaudatus"	1.10676204674033	0.873770746611372	0.822455164405682	0.311769465947421	0.165914825324402	1.4740861839922	0.326062880964067	0.149287604249544	0	0.0235176393025609	0.00953133719926219	1.02942117187907	0.702600244441755	0.35351202233733	0.213591638513026	0.290208284198228	0.286167454221374	0.149756499788009	0.182689457686193	0.128886248660593	0.708895263104879	0.132005100585502	0.231541529594367	0.178645055383454	0	0.0673332065325135	0.0345414488808842	0	0.00814623443281971	0.00967375655063891	0.00440955736923019	0.00633596011441535	0	0.00940176481034549	0.00362054863680872	0.00272982877086196	0.00272982877086196
"Cricetulus_barabensis"	0.87819384656397	0.713528034216688	0.6957129069232	0.606232130645948	0.198953130285906	0.503501751070095	1.49621402321487	0.121692995889579	0	0.0273345508198609	0.0217945251067241	0.844381404143942	0.488232444313751	0.281478796446141	0.176531381384971	0.652087679899006	0.17597969039724	0.132057918275111	0.18370075236887	0.152793265626699	0.872203063486419	0.139078249200052	0.148546966544969	0.142105583846174	0	0.217737525600842	0.0258362349548787	0	0.0158402588975232	0.0109298486376695	0.00512522827872393	0.0123202013647403	0	0.0277826105597616	0.00704011506556575	0.0125264429850547	0.0125264429850547
"Phodopus_sungorus"	1.10919618228949	0.999586127880141	0.881995839212761	0.30001952010579	0.171455266159568	0.364437386844475	0.192382309678379	1.21215752266911	0	0.0245944392033785	0.00733330069374639	1.34244068866614	0.569175125040364	0.375132961334217	0.240354120307677	0.243904946124922	0.207251549495436	0.164795619289175	0.223290499494139	0.133292228687401	0.331186148551294	0.153937283759005	0.386802667676316	0.158203419858719	0	0.0373257352942757	0.0928765524132928	0	0.00783921971889323	0.0448753753923491	0.00461145735063348	0.00609717089247253	0	0.00674395307827867	0.0034840976528414	0.0016106425926562	0.0016106425926562
"Allactaga_sibirica"	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24812030075188	0	0	0.947368421052632	0	0	0	0	0.541353383458647	0	0	0	0
"Meriones_unguiculatus"	0.618470854765294	0.599988849576776	0.446461038749517	0.212698100660795	1.58587768367928	0.108442447895142	0.081624005920418	0.046456162939715	0	1.56127730100158	0.00186144954832829	0.63587322623127	0.29561361594956	0.215752741401772	0.192924223143452	0.200305252450321	0.109112243093317	0.187917222907216	0.120912732716896	2.09109757693127	0.139297413273607	0.100817809670452	0.0331448834058343	0.0285207359459361	0	0.0232457635347776	0.0492279578128948	0	0.00555759553339494	0.00463589456503438	0.292739493937796	0.00432257430375165	0	0.00198637845432633	0.00247004245928662	0.000683363770496523	0.000683363770496523
