"Agropyron_smithii"	"Amaranthus_retroflexus"	"Ambrosia_psilostachya"	"Andropogon_hallii"	"Argemone_intermedia"	"Aristida_longiseta"	"Artemisia_filifolia"	"Astragalus_spp."	"Asclepias_pumila"	"Bouteloua_gracilis"	"Bromus_tectorum"	"Buchloe_dactyloides"	"Calamovilfa_longifolia"	"Carex_heliophila"	"Chenopodium_album"	"Cirsium_undulatum"	"Croton_texensis"	"Eriogonum_annum"	"Euphorbia_spp."	"Evolvulus_nuttallianus"	"Festuca_octoflora"	"Ipamoea_leptophylla"	"Juncus_balticus"	"Lepidium_densiflorum"	"Lesquerella_ludoviciana"	"Lithospermum_incisum"	"Lupinus_pussilus"	"Medicago_sativa"	"Melilotus_alba"	"Other_grasses"	"Other_forbs"	"Paspalum_stramineum"	"Penstemon_aIbidus"	"Psoralea_lanceolata"	"Psoralea_tenuiflora"	"Solanum_rostratum"	"Sphaeralcea_coccinea"	"Sporobolus_cryptandrus"	"Stipa_comata"	"Tradescantia_occidentalis"	"Ageneotettix_deorum"	"Amphitornus_coloradus"	"Cordillacris_occipitalis"	"Eritettix_simplex"	"Mermiria_maculipennis"	"Melanoplus_angustipennis"	"Melanoplus_confusus"	"Melanoplus_foedus"	"Arphia_conspersa"	"Arphia_pseudonictana"	"Pardalophora_apiculata"	"Spharagemon_collare"	"Trachyrhachys_kiowa"	"Xanthippus_corallipes"
"Agropyron_smithii"	1.65699023923808	0.0508306805544464	0.0639935605505281	0.067445994452099	0.00689602146820347	0.0025215462693023	0.0448484789929228	0.0162336247157866	0.00458188424207543	1.20084169506482	0.00423947233105412	0.0125411676728406	0.363476190544243	0.167167666700776	0.00470932879532703	0.0327450765936763	0.0138152380414973	0.00479038313839796	0.00229094212103771	0.0230368657636287	0.275206454500239	0.00462827445225609	0.0041803892242802	0.00718557470759695	0.00470932879532703	0.00462827445225609	0.00647133134531792	0.00921015869433152	0.00462827445225609	0.00931440814249279	0.06112849391889	0.00432052515884591	0.00708132525943568	0.00462827445225609	0.0231643103168803	0.00229094212103771	0.0138730972794779	0.0640853756405979	0.891986839459801	0.116440185112529	0.311921715355326	0.280171807700256	0.358186918252357	0.279281016184878	0.305913782020765	0.197987296013177	0.260809748646112	0.208730282138992	0.4804735308528	0.397039855439753	0.465605995062341	0.441263307007355	0.274199083115998	0.47525776747305
"Amaranthus_retroflexus"	0.672529004258829	1.08663353341324	0.0847669139908917	0.0763226179300496	0.00965857494400878	0.00220816696752624	0.0644292257527188	0.0211025642553113	0.0070238379191251	1.10940701784249	0.00266879115232844	0.0255124879877912	0.341420651776893	0.158134022454098	0.00617451526153514	0.0475796572270514	0.0184399679533387	0.00707955647330293	0.00351191895956255	0.0342698669380355	0.235403539811329	0.00526947404976735	0.00850416266259706	0.0106193347099544	0.00617451526153514	0.00526947404976735	0.0120160816221596	0.0122933119688925	0.00526947404976735	0.0123211712459814	0.0837774261386723	0.00332434289544095	0.0105914754328655	0.00526947404976735	0.0334205442804456	0.00351191895956255	0.0202221910997853	0.10271490382655	0.733945135455163	0.174367049708713	0.242274756927755	0.245351885280693	0.25980045493394	0.253092140478804	0.260126481805335	0.225416389906714	0.385442519102049	0.319974838537921	0.30246299726389	0.274407677526632	0.456899556711614	0.897661614385245	0.248253073904063	0.365677718498504
"Ambrosia_psilostachya"	0.423342015949647	0.0423834569954458	1.24504478183876	0.0520844147009848	0.0295571865723854	0.00170024784246191	0.139005599759371	0.0690610872476342	0.0182955985298601	0.862602117871874	0.00181580864271185	0.00804918833492468	0.308890161934966	0.110094901806384	0.0169807245901982	0.111724790960668	0.0612281619223661	0.0114382730953458	0.00914779926493004	0.0901631187096385	0.133155809729839	0.0225231760850506	0.00268306277830823	0.0171574096430187	0.0169807245901982	0.0225231760850506	0.0118308620432383	0.0408187746149107	0.0225231760850506	0.0373901118976535	0.212294264562195	0.00219260802790179	0.0205860723602758	0.0225231760850506	0.0888482447699766	0.00914779926493004	0.0535719216499183	0.112532381063249	0.548191868730793	0.253073838099682	0.184563902705303	0.188916426940212	0.194174076733364	0.20649638769643	0.206791617130231	0.963491421416054	0.622750424079936	0.833466155249182	0.20579164617401	0.198247046919591	0.214411718248628	0.283212182154757	0.193342216746265	0.241186883069196
"Andropogon_hallii"	0.610563739250581	0.0522207385837182	0.0712734095908212	1.0833177625072	0.00741537752863664	0.00242274137014498	0.0509232693961491	0.0188806141003072	0.0045156539708889	1.22165981045268	0.00441788990443358	0.0137729308067966	0.4402614451202	0.145943776062465	0.00566578945617508	0.0359428044187262	0.0154726516295766	0.00553213179685467	0.00225782698544445	0.0237284053397307	0.246532077855909	0.00579944711549548	0.00459097693559888	0.00829819769528201	0.00566578945617508	0.00579944711549548	0.00684880392104333	0.0103151010863844	0.00579944711549548	0.0108233399993673	0.0710876766410628	0.00313345173864704	0.00778995878229913	0.00579944711549548	0.0248785408250169	0.00225782698544445	0.0146970973979529	0.0692888983671701	0.806695275262326	0.130868325053653	0.261552519518753	0.269193485571664	0.278598825048563	0.294505894384561	0.58257315241848	0.24808745994064	0.301193842273199	0.205713125340494	0.500694189169139	0.287237366587675	0.40753213757824	0.484603120979881	0.270677295200696	0.344679691251174
"Argemone_intermedia"	0.395371897510332	0.0418538247573714	0.25616228362734	0.0469640576813654	1.03575717613218	0.0016611406963743	0.141050555142831	0.069407243360528	0.0262067588789909	0.846181850282516	0.00172705594226419	0.00685217050632383	0.316649832160611	0.11068215629668	0.014549232721964	0.127714003955993	0.0679613900780594	0.00999763093754606	0.0131033794394955	0.119376268237928	0.123119060351827	0.019100834506382	0.00228405683544128	0.0149964464063191	0.014549232721964	0.019100834506382	0.0153874362749367	0.0453075933853729	0.019100834506382	0.0372030294146505	0.20335187413075	0.00179475660741053	0.0231010103770415	0.019100834506382	0.107718742080901	0.0131033794394955	0.0669627504799459	0.112480507599323	0.52491483471797	0.23124993754127	0.180161175178949	0.184571188486033	0.188439664618445	0.206047301577999	0.203705753145128	0.817091253884119	0.544315462155286	1.19386346004292	0.195733006789942	0.190415301181925	0.204689919897895	0.241094888185468	0.189290503303893	0.197423226815159
"Aristida_longiseta"	0.433705958319996	0.0287061705778411	0.0442064439040097	0.0460320860327545	0.00498342208912289	1.01176157329527	0.0277375045744143	0.0113580512991891	0.00330556808556215	1.96449259063761	0.00241082973141575	0.00719045374951762	0.346453134592432	0.102119988190791	0.00301892120294472	0.0213188154601118	0.00999191413902544	0.00268213439876797	0.00165278404278108	0.0162411935451933	0.157342997889332	0.00335570800712148	0.00239681791650587	0.00402320159815196	0.00301892120294472	0.00335570800712148	0.00404960195928695	0.00666127609268363	0.00335570800712148	0.00634955924928654	0.0391456957951627	0.00244033315741654	0.00433491844154904	0.00335570800712148	0.0159545466625759	0.00165278404278108	0.00963005737406902	0.0440679325966402	0.793406075799156	0.0658908050620605	0.306370667438709	1.3068414772523	0.341822324164035	0.311131668250064	0.322541596608133	0.143549731415752	0.146027317266256	0.150586990564498	0.273227369560452	0.270478278454386	0.227635713678473	0.252997446742287	0.415194876551992	0.26843664731582
"Artemisia_filifolia"	0.405996757199091	0.0440831544623866	0.190218189144402	0.0509232693961491	0.0222711402857102	0.00145986866181128	1.20857508831423	0.0564924614613318	0.0152247675324345	0.734411359164462	0.0016471722099808	0.00674959602334177	0.27760604502391	0.0941977425716607	0.0201285756690702	0.138260265598622	0.0439762695584788	0.026164405831589	0.00761238376621724	0.0810276457988081	0.118845813382814	0.0140927455065514	0.00224986534111392	0.0392466087473835	0.0201285756690702	0.0140927455065514	0.00986224910733117	0.0293175130389859	0.0140927455065514	0.0347873321885632	0.263935527749679	0.00168961828315965	0.0337767895978063	0.0140927455065514	0.0859314539354439	0.00761238376621724	0.0505781107339392	0.0825937483791482	0.482442894154541	0.516762270961753	0.161335540933075	0.162207629090142	0.170784049022693	0.181103400853113	0.18361236029535	0.602856335558033	1.42450653971985	0.693572743144238	0.186679517131157	0.176587597566345	0.205557042683542	0.23748578600647	0.164695552111591	0.185858011147562
"Astragalus_spp."	0.398883350159328	0.0391904764741495	0.256512609776927	0.0512473811294052	0.0297459614402263	0.00162257875702701	0.153336681109329	1.0736005710885	0.017391374081644	0.823977746397466	0.00171803057793599	0.00684380788610647	0.301614231240903	0.104034902770534	0.0191454349311068	0.117628382397244	0.0631508231982129	0.0135816951450491	0.00869568704082198	0.0887109312576826	0.122158054264929	0.0247091747171646	0.00228126929536882	0.0203725427175736	0.0191454349311068	0.0247091747171646	0.0109769563361908	0.0421005487988086	0.0247091747171646	0.0401957093305111	0.234255052833348	0.00177882630754123	0.022277382185871	0.0247091747171646	0.0904649921071456	0.00869568704082198	0.0539281830943948	0.113110829360576	0.520420979704349	0.291526090700052	0.1763336976501	0.180286528558557	0.1850282250068	0.199033019065902	0.199212385172204	1.05700358512315	0.739447846786005	0.79227370816378	0.194710132166079	0.188058624318637	0.204164510572842	0.240800647844487	0.184818301005076	0.195670893829535
"Asclepias_pumila"	0.394042044818487	0.0456549464743131	0.237842780888181	0.0428987127234446	0.0393101383184864	0.00165278404278107	0.144635291558128	0.0608698092857539	1.03380439441317	0.842489070212533	0.00171620365212397	0.00683436400520381	0.324094953898584	0.114184519659835	0.0105481831566358	0.142679306558063	0.0672238233357033	0.0100848785026398	0.0169021972065853	0.145765760809318	0.123112386335944	0.0110114878106317	0.00227812133506794	0.0151273177539598	0.0105481831566358	0.0110114878106317	0.0191803185416532	0.0448158822238022	0.0110114878106317	0.0329561242685369	0.182712194241343	0.00178533542209989	0.0269870757092251	0.0110114878106317	0.122509549552783	0.0169021972065853	0.0781569719829768	0.103612001126058	0.518779362581384	0.236414758536292	0.179644333203973	0.183642671420119	0.187741153633571	0.207693953252903	0.203643873796268	0.471046978565912	0.549065607365947	1.5399779677111	0.194503080574049	0.189490079579355	0.20555577298692	0.24046836314606	0.187981373595992	0.196386896430988
"Bouteloua_gracilis"	0.498900414374755	0.0348364522510926	0.0541730798663496	0.0560665130400988	0.0061317525382791	0.00474515118511501	0.033704869140398	0.0139319908811166	0.00406999550827311	2.66236181163576	0.00282321094822115	0.00885006707261455	0.422570004113395	0.119637735972038	0.00367672428282548	0.0260233041017482	0.0122902643524276	0.00322993450563897	0.00203499775413655	0.0199567063159179	0.185497047001318	0.00412351406001199	0.00295002235753818	0.00484490175845846	0.00367672428282548	0.00412351406001199	0.00498502011167474	0.0081935095682851	0.00412351406001199	0.00777347906696803	0.0476903785732535	0.00287530182586551	0.00526493225977552	0.00412351406001199	0.0195634350904703	0.00203499775413655	0.0118167152993717	0.0546139157276441	0.815421863455831	0.0794466145231802	0.383292335012013	0.527239020568334	0.42968090318137	0.394678351123924	0.406067641146462	0.176394768122735	0.175851989751455	0.185410906487997	0.319963907465064	0.29417873535383	0.261722586553644	0.311391248851253	0.554686510799872	0.316283200845207
