"Xysmalobium_gerrardii"	"Sisyranthus_trichostomus"	"Pachycarpus_natalensis"	"Asclepias_woodii"	"Miraglossum_verticillare"	"Xysmalobium_involucratum"	"Aspidonepsis_diploglossa"	"Miraglossum_pilosum"	"Asclepias_cucullata"	"Aspilocoryphus_fasciativentris"	"Hemipepsis_hilaris"	"Atrichelaphinis_tigrina"	"Sarcophaga_sp1_M_PL_013"	"Cyrtothyrea_marginalis"	"Diptera_sp3_M_PL_013"	"Unidentified_sp15_M_PL_013"	"Unidentified_sp20_M_PL_013"	"Unidentified_sp6_M_PL_013"	"Unidentified_sp19_M_PL_013"	"Unidentified_sp25_M_PL_013"	"Unidentified_sp4_M_PL_013"	"Apis_mellifera"	"Musca_domestica"	"Unidentified_sp13_M_PL_013"	"Unidentified_sp33_M_PL_013"	"Unidentified_sp9_M_PL_013"	"Unidentified_sp11_M_PL_013"	"Unidentified_sp12_M_PL_013"	"Unidentified_sp28_M_PL_013"	"Unidentified_sp10_M_PL_013"	"Unidentified_sp16_M_PL_013"	"Unidentified_sp17_M_PL_013"	"Unidentified_sp2_M_PL_013"	"Unidentified_sp30_M_PL_013"	"Unidentified_sp38_M_PL_013"	"Unidentified_sp5_M_PL_013"	"Unidentified_sp7_M_PL_013"	"Unidentified_sp8_M_PL_013"	"Actea_sp1_M_PL_013"	"Arge_sp1_M_PL_013"	"Dacus_sp1_M_PL_013"	"Diptera_sp1_M_PL_013"	"Diptera_sp2_M_PL_013"	"Homoecerus_annulatus"	"Microphthalma_sp1_M_PL_013"	"Microphthalma_sp2_M_PL_013"	"Spilostethus_rivularis"	"Tiphia_sp1_M_PL_013"	"Unidentified_sp1_M_PL_013"	"Unidentified_sp14_M_PL_013"	"Unidentified_sp18_M_PL_013"	"Unidentified_sp21_M_PL_013"	"Unidentified_sp22_M_PL_013"	"Unidentified_sp23_M_PL_013"	"Unidentified_sp24_M_PL_013"	"Unidentified_sp26_M_PL_013"	"Unidentified_sp27_M_PL_013"	"Unidentified_sp29_M_PL_013"	"Unidentified_sp3_M_PL_013"	"Unidentified_sp31_M_PL_013"	"Unidentified_sp32_M_PL_013"	"Unidentified_sp34_M_PL_013"	"Unidentified_sp35_M_PL_013"	"Unidentified_sp36_M_PL_013"	"Unidentified_sp37_M_PL_013"
"Xysmalobium_gerrardii"	3.6625745101362	0.511944281849004	0.372677845735813	0.158581270924283	0.21974933256821	0.182463074321162	0.0598450209422408	0.0649361848569912	0.0303863734029343	1.4394974885981	0.729529978022988	0.426771465677455	0.650606015787727	0.302231412723415	0.167966421638917	0.0927547414747462	0.104399872266152	0.0724859673777107	0.0627273916868466	0.0695182629636827	0.0371506322024519	0.0401451833666431	0.0408297061324233	0.0357202494969249	0.035720249496925	0.0226505885364202	0.0203833770407331	0.0300576023628199	0.0154444037409224	0.0119911388541471	0.009514876255457	0.0200384015752133	0.0107721037696033	0.0154052526724083	0.00911591202088029	0.0156818479217117	0.0200384015752133	0.0200384015752133	0.0100192007876066	0.00470152911902147	0.0063284917200421	0.00470152911902146	0.0063284917200421	0.00632849172004209	0.0063284917200421	0.0100192007876066	0.0063284917200421	0.0047574381277285	0.0100192007876066	0.0100192007876066	0.00470152911902146	0.0100192007876066	0.0100192007876066	0.0100192007876066	0.0100192007876066	0.0100192007876066	0.00538605188480167	0.0100192007876066	0.00455795601044015	0.0100192007876066	0.0100192007876066	0.00566264713410503	0.00659247997704628	0.0100192007876066	0.00470152911902146
"Sisyranthus_trichostomus"	1.71867008906451	2.47073254574877	0.21799178754061	0.390171520959792	0.150562974568226	0.216762041723928	0.0437945603938718	0.0387253294371519	0.0157470452999807	0.704615981695359	0.43506234305936	1.08514363009601	0.335433842897365	1.07936406805605	0.0904467189867578	0.252437223626149	0.0592850652180231	0.052903892520048	0.0457145078625044	0.0735899765748204	0.0405294787230777	0.0407364987228587	0.0219876082279613	0.020831685203669	0.020831685203669	0.0269083913864187	0.0341190278959719	0.0141045873570644	0.00842586092558949	0.0104288451821999	0.0234102912575876	0.00940305823804292	0.00788302087089693	0.00864303955446992	0.00472411358999422	0.0114286269656261	0.00940305823804293	0.00940305823804293	0.00470152911902146	0.0226904009303459	0.00370174733559526	0.0226904009303458	0.00370174733559526	0.00370174733559526	0.00370174733559526	0.00470152911902147	0.00370174733559526	0.0117051456287938	0.00470152911902146	0.00470152911902146	0.0226904009303458	0.00470152911902146	0.00470152911902146	0.00470152911902146	0.00470152911902146	0.00470152911902146	0.00394151043544847	0.00470152911902146	0.00236205679499711	0.00470152911902146	0.00470152911902146	0.00672709784660466	0.00451688923704678	0.00470152911902146	0.0226904009303458
"Pachycarpus_natalensis"	2.31341530654872	0.403079154320373	1.70267134558912	0.145522256177403	0.283712553202346	0.164400470087833	0.0963935151172592	0.0970959083222204	0.0568673853715639	1.02115881237998	1.09083057497803	0.329097425749067	0.713992228984696	0.2368810564939	0.136717707082594	0.067433523790571	0.0982567644658771	0.281936083411559	0.0457223010979683	0.0453744449914431	0.0346758264292675	0.0313626388562749	0.036336307881233	0.0240875587145763	0.0240875587145763	0.0204083342178	0.0151323226100873	0.0189854751601263	0.0459735026120392	0.03401537055502	0.00873133537064416	0.0126569834400842	0.0173508327211067	0.0150039080805954	0.0170602156114692	0.0114305752744921	0.0126569834400842	0.0126569834400842	0.0063284917200421	0.00370174733559526	0.02891328700057	0.00370174733559526	0.02891328700057	0.02891328700057	0.02891328700057	0.0063284917200421	0.02891328700057	0.00436566768532208	0.0063284917200421	0.0063284917200421	0.00370174733559526	0.0063284917200421	0.0063284917200421	0.0063284917200421	0.0063284917200421	0.0063284917200421	0.00867541636055333	0.0063284917200421	0.00853010780573459	0.0063284917200421	0.0063284917200421	0.00510208355445	0.00851137659607037	0.0063284917200421	0.00370174733559526
"Asclepias_woodii"	1.73910793780297	1.27456030180199	0.257089319246744	1.48611016093871	0.153360609582312	0.238622996665422	0.0592765970663763	0.0383178941234557	0.0167120775088595	0.704964887313965	0.430484983362279	1.19882530728854	0.379760321136954	0.881428002088468	0.12491136271688	0.143486750074675	0.0618370735462663	0.0945441014680077	0.0486519176142078	0.0519549200239585	0.076892260519334	0.0313123537479531	0.0249421018551333	0.0216778556590089	0.021677855659009	0.0296221651032938	0.0238681250323457	0.0142723143831855	0.00937929093797994	0.0117712089611455	0.0891666096563227	0.00951487625545699	0.0106697874719477	0.0100923318637024	0.00501362325265786	0.0121629794035519	0.00951487625545701	0.009514876255457	0.0047574381277285	0.0117051456287938	0.00436566768532207	0.0117051456287938	0.00436566768532207	0.00436566768532207	0.00436566768532208	0.0047574381277285	0.00436566768532208	0.0445833048281613	0.0047574381277285	0.0047574381277285	0.0117051456287938	0.0047574381277285	0.0047574381277285	0.0047574381277285	0.0047574381277285	0.0047574381277285	0.00533489373597387	0.0047574381277285	0.00250681162632893	0.0047574381277285	0.0047574381277285	0.00740554127582345	0.00460081828746935	0.0047574381277285	0.0117051456287938
"Miraglossum_verticillare"	2.40991768049803	0.491839050256205	0.501225510657477	0.153360609582312	1.3496107479379	0.164119032657031	0.0514469860216088	0.114512397029086	0.027125880097188	1.00456766617283	1.2864972999564	0.397039015438646	0.695650683545876	0.306559096556134	0.152487716977371	0.0766321615680091	0.11192623742929	0.0904636651359922	0.0467433170656096	0.0485886583363713	0.0311035748745288	0.0289245579101304	0.0290378974150285	0.024870789220495	0.024870789220495	0.0203733971574245	0.0162027185034492	0.0197774399311388	0.0166491406252268	0.0136047258854265	0.0092016365749387	0.0131849599540926	0.00926045748388959	0.0112227087189911	0.00813776402915641	0.0116858292664024	0.0131849599540926	0.0131849599540926	0.00659247997704628	0.00451688923704679	0.00851137659607036	0.00451688923704678	0.00851137659607036	0.00851137659607036	0.00851137659607037	0.00659247997704629	0.00851137659607037	0.00460081828746935	0.00659247997704629	0.00659247997704629	0.00451688923704678	0.00659247997704629	0.00659247997704628	0.00659247997704628	0.00659247997704628	0.00659247997704629	0.00463022874194479	0.00659247997704628	0.00406888201457821	0.00659247997704628	0.00659247997704628	0.00509334928935612	0.0404883224381371	0.00659247997704628	0.00451688923704679
"Xysmalobium_involucratum"	2.07001211902284	0.732506209963619	0.300456031539833	0.246851375860782	0.169778309645204	1.59996900639263	0.0760265952534543	0.0473168207616817	0.0202414262968016	0.8720271574821	0.531584035717659	0.734489863328764	0.443863064761696	0.38085167185797	0.102540681131205	0.139575777545686	0.154805031003085	0.0670090804114952	0.221267430709298	0.0474300784978395	0.168873213612398	0.0305574328217306	0.0306727285479369	0.0666421519455346	0.0666421519455346	0.198616842172878	0.0620439555239291	0.0169879414023151	0.0111745114434905	0.0547562940976696	0.0148110825516469	0.0113252942682101	0.0136847871456218	0.0125050407069159	0.00607242788904047	0.0553168576773245	0.0113252942682101	0.0113252942682101	0.00566264713410503	0.00672709784660467	0.00510208355444999	0.00672709784660466	0.00510208355444999	0.00510208355444999	0.00510208355445	0.00566264713410504	0.00510208355445	0.00740554127582345	0.00566264713410503	0.00566264713410504	0.00672709784660466	0.00566264713410503	0.00566264713410503	0.00566264713410503	0.00566264713410503	0.00566264713410503	0.00684239357281089	0.00566264713410503	0.00303621394452023	0.00566264713410503	0.00566264713410503	0.0496542105432195	0.00509334928935612	0.00566264713410503	0.00672709784660466
"Aspidonepsis_diploglossa"	1.96890118899972	0.429186691859944	0.510885630121474	0.177829791199129	0.154340958064826	0.220477126235018	1.72950901576125	0.0476464996884704	0.0243809928070095	0.802434159100901	0.535287836006273	0.34445163973114	0.420848989621029	0.245169128227381	0.099431317110497	0.0678017054665022	0.0700788473265332	0.394725263817979	0.0489137818304503	0.040199332179707	0.186903937757721	0.175755477508366	0.327469778491431	0.0230005492272159	0.0230005492272159	0.0273695742912436	0.016169955893061	0.016158155654405	0.0159897142026562	0.0155178099333642	0.0106697874719477	0.0107721037696033	0.311311622837025	0.161041863303314	0.00731429784210285	0.0122284454576126	0.0107721037696033	0.0107721037696033	0.00538605188480167	0.00394151043544847	0.00867541636055332	0.00394151043544846	0.00867541636055332	0.00867541636055332	0.00867541636055333	0.00538605188480167	0.00867541636055333	0.00533489373597387	0.00538605188480167	0.00538605188480167	0.00394151043544846	0.00538605188480167	0.00538605188480167	0.00538605188480167	0.00538605188480167	0.00538605188480167	0.155655811418513	0.00538605188480167	0.00365714892105142	0.00538605188480167	0.00538605188480167	0.00684239357281089	0.00463022874194479	0.00538605188480167	0.00394151043544846
"Miraglossum_pilosum"	2.37377831310557	0.421675809426765	0.571787015675298	0.127726313744852	0.381707990096954	0.152465311343197	0.0529405552094116	1.15279102641393	0.0282855597208716	0.965749621521989	1.71654116094659	0.330261103660619	0.528238188602462	0.243713649551905	0.122396897232963	0.0694314854561165	0.0825731425730599	0.100747406840038	0.0449012022474691	0.0467067768016251	0.0292851040953962	0.0281180383696596	0.0290101553947915	0.0242125375332655	0.0242125375332655	0.0189267283046727	0.0150978335055825	0.0194808554570973	0.0181952587484835	0.0144412729083902	0.00766357882469113	0.0129872369713982	0.00952929993769409	0.0112582684545462	0.00848566791626149	0.0112253005618673	0.0129872369713983	0.0129872369713982	0.00649361848569912	0.00387253294371519	0.00970959083222203	0.00387253294371518	0.00970959083222203	0.00970959083222203	0.00970959083222204	0.00649361848569912	0.00970959083222205	0.00383178941234556	0.00649361848569912	0.00649361848569912	0.00387253294371518	0.00649361848569912	0.00649361848569912	0.00649361848569911	0.00649361848569912	0.00649361848569912	0.00476464996884704	0.00649361848569912	0.00424283395813074	0.00649361848569912	0.00649361848569912	0.00473168207616817	0.0114512397029086	0.00649361848569912	0.00387253294371519
"Asclepias_cucullata"	1.66618614159423	0.257201739899685	0.502328570782148	0.0835603875442977	0.13562940048594	0.0978335604345409	0.0406349880116825	0.0424283395813075	2.43735476640301	1.04274668438867	0.476664061962837	0.210929668058135	0.365359172074727	0.150677496477729	0.0834751416032439	0.0448886059362519	0.0551350657928744	0.0865920797200431	0.0303766798198415	0.0320718496526351	0.0198305583913812	0.019693073747369	0.0209881658734233	0.0167100819758407	0.0167100819758407	0.0121448557780809	0.00995622674995749	0.0136738680313204	0.739736537726638	0.0115663217502548	0.00501362325265786	0.00911591202088029	0.00731429784210285	0.00821510493149157	0.731206429920903	0.00759416995496038	0.00911591202088029	0.00911591202088029	0.00455795601044014	0.00236205679499711	0.00853010780573459	0.00236205679499711	0.00853010780573459	0.00853010780573458	0.00853010780573459	0.00455795601044015	0.0085301078057346	0.00250681162632893	0.00455795601044015	0.00455795601044015	0.00236205679499711	0.00455795601044015	0.00455795601044015	0.00455795601044014	0.00455795601044015	0.00455795601044015	0.00365714892105143	0.00455795601044015	0.365603214960451	0.00455795601044015	0.00455795601044015	0.00303621394452023	0.00406888201457821	0.00455795601044015	0.00236205679499711
"Aspilocoryphus_fasciativentris"	3.22173247448147	0.469743987796906	0.368172905143803	0.143870385166115	0.205013809423027	0.172032568482863	0.054587357761966	0.059127527848285	0.042561089158721	2.27223720604732	0.664272226443696	0.386113626178066	0.58243170534926	0.274745773025377	0.148917267519419	0.083731695482621	0.0935862900140929	0.0704097705118506	0.0566087668427804	0.0615074503774245	0.0340590490252608	0.0356665873872892	0.0362654741877314	0.0317786915710801	0.0317786915710801	0.0213557671220106	0.01846616710883	0.0264397497905774	0.0190203194764734	0.0115909345093597	0.00863222310996693	0.0176264998603849	0.00982572439715389	0.0137261121287694	0.0127683267476163	0.0141521917106951	0.017626499860385	0.017626499860385	0.00881324993019247	0.00431397539813485	0.00625199272885703	0.00431397539813485	0.00625199272885703	0.00625199272885703	0.00625199272885704	0.00881324993019248	0.00625199272885704	0.00431611155498346	0.00881324993019248	0.00881324993019248	0.00431397539813485	0.00881324993019248	0.00881324993019248	0.00881324993019247	0.00881324993019248	0.00881324993019248	0.00491286219857695	0.00881324993019248	0.00638416337380816	0.00881324993019248	0.00881324993019248	0.00533894178050265	0.00615041428269081	0.00881324993019248	0.00431397539813485
