"Diplopterys_pubipetala"	"Byrsonima_gardnerana"	"Banisteriopsis_muricata"	"Heteropterys_sp1_M_PL_059"	"Heteropterys_sp2_M_PL_059"	"Dicella_bracteosa"	"Carolus_chasei"	"Stigmaphyllon_paralias"	"Banisteriopsis_stellaris"	"Banisteriopsis_schizoptera"	"Stigmaphyllon_auriculatum"	"Stigmaphyllon_ciliatum"	"Janusia_anisandra"	"Centris_aenea"	"Centris_fuscata"	"Centris_caxiensis"	"Centris_tarsata"	"Centris_flavifrons"	"Centris_trigonoides"	"Centris_obsoleta"	"Epicharis_sp1_M_PL_059"	"Apis_mellifera"	"Centris_sp1_M_PL_059"	"Centris_sp2_M_PL_059"	"Xylocopa_sp1_M_PL_059"	"Xylocopa_grisescens"
"Diplopterys_pubipetala"	1.93093718378172	0.606880847807568	0.548192749098476	0.458236655041524	0.430960304683608	0.311013693931528	0.252389372234331	0.201804162779776	0.14248528045001	0.104648493774975	0.100215281848718	0.0949547224621821	0.080439146842427	1.1855715014093	1.0952739346559	0.827596166396777	0.396553838340338	0.372254712241804	0.244289319124229	0.113282127004036	0.165590895303155	0.136853695665229	0.112910733627914	0.0457103319489968	0.0305209694266864	0.0104338801187927
"Byrsonima_gardnerana"	0.832696977224338	1.74907145883995	0.473702259354383	0.4699212747945	0.42714738993232	0.324506763389617	0.274159860694199	0.182179865108303	0.153836199196024	0.109536398790309	0.100614089755078	0.0898728712310845	0.0759124864267347	1.17677147748126	0.929278733488241	1.23326509921936	0.434462545418451	0.369137097039451	0.189236607025303	0.0978889261022351	0.102162120524079	0.079421059222802	0.048691602905491	0.0394990403570422	0.028011711180556	0.00901608529889007
"Banisteriopsis_muricata"	0.781712923185742	0.49230687981241	2.060947923144	0.443969501196742	0.400993657615964	0.26767604589566	0.206642650368868	0.168933841387478	0.116816084614737	0.0862159547045374	0.0871434233594406	0.0826380372525936	0.0671609721986744	0.975955925145141	0.926094148419563	0.642280108874456	0.329284027408392	0.364575426537936	0.416671850388357	0.42588772792462	0.229233921466217	0.0836535884677225	0.0457103319489968	0.171849434074847	0.086419113350695	0.039226501256215
"Heteropterys_sp1_M_PL_059"	0.840496248107252	0.628184916564668	0.571064397264721	1.48492782574558	0.426412768522077	0.324712962638684	0.255504809985736	0.199151929460714	0.144083812491208	0.10562174844925	0.104662763750174	0.0980772823795337	0.0802564293772499	1.18911253545046	1.07019718863236	0.870712822114022	0.41282139692834	0.428806745728852	0.292608732465834	0.11800847363416	0.118854588786537	0.0739729457148778	0.0491476619655935	0.047617454273433	0.0541123580497528	0.0108692015189358
"Heteropterys_sp2_M_PL_059"	0.868050912421038	0.62704993799453	0.566410671426248	0.46826551536137	1.44743463868897	0.301992591337508	0.260072789675659	0.201580951120639	0.146685832398295	0.107659662819448	0.0956274476854101	0.0905857243491194	0.0817412194586142	1.20273412795655	1.08374278286136	0.887061278095904	0.431837066881858	0.301264892765052	0.310028350153205	0.117046797358173	0.149517347874636	0.113420425021822	0.0507589092856369	0.0472294094603155	0.0314200914761829	0.0107806260724633
"Dicella_bracteosa"	0.846914212705854	0.644021115034778	0.511158295335365	0.48207385991743	0.408270753288978	1.35254440454822	0.257959357969399	0.20457404107861	0.145442025414737	0.106166357503362	0.115577503012505	0.107623725183851	0.0808322437437573	1.21856407088658	1.10096733209898	0.880180222130957	0.380335823130317	0.546604290886133	0.194453556903778	0.105629085803441	0.105390725133719	0.0731700262127361	0.0495229497260203	0.0426222626926166	0.0296727649128295	0.00972899474505378
"Carolus_chasei"	0.846879978871593	0.670457289659748	0.486246805251862	0.467416382248787	0.433249220715612	0.317864611715847	1.27695346452347	0.212642131522185	0.155847255036082	0.11384164957408	0.100793813362502	0.0952775334992917	0.0856877587557845	1.30347536137624	1.12380148075229	0.971284666583019	0.436246848008085	0.303578277531969	0.192080534813277	0.100481212928179	0.104142058885187	0.0740084330747669	0.0495209479170677	0.0405450508306689	0.0284223840032401	0.00925484855917441
"Stigmaphyllon_paralias"	0.865923316655039	0.569726123611421	0.508337286356867	0.465894816799004	0.429428511023663	0.322359095032961	0.271924180310188	1.25396166645683	0.154862011933263	0.114441168652005	0.106479443850552	0.105809895187454	0.0940103788676022	1.33177514028643	1.46785105979368	0.696481231205287	0.322038927493847	0.304778143567636	0.195589457221063	0.105046134099123	0.106802269098888	0.0745733391994869	0.0506344990247438	0.0423870365663128	0.0292095658817459	0.00967530182491921
"Banisteriopsis_stellaris"	0.847727550912665	0.667054443572677	0.487388117741317	0.467364299341229	0.433277899899166	0.317772492502786	0.276334208509356	0.214724638394861	1.15606337770572	0.113992997588117	0.100363073215074	0.0948986162487412	0.0861961791051339	1.25756062675343	1.16758665055979	0.970063514355904	0.439087015812646	0.303264121916587	0.192282043243255	0.10071706118884	0.104281005342218	0.0740491259961016	0.0495705093330287	0.0406402176726899	0.0284636416633758	0.00927657142528791
"Banisteriopsis_schizoptera"	0.851622225203248	0.649664158342523	0.492025534606929	0.468620631050696	0.434969787138345	0.317278769550276	0.276098713334839	0.21704359571932	0.155921456471103	1.11525495503723	0.100240926833889	0.0957944539209208	0.0886226875275229	1.27679492097718	1.17703838198178	0.892822427202372	0.484084663084154	0.302944875831748	0.193410869175037	0.101675367272247	0.104939538768464	0.0742772764581147	0.0497982487618849	0.0410269025835385	0.0286637967073541	0.00936483645928595
