"Syzygium_glomeratum"	"Stillingia_lineata"	"Badula_insularis"	"Aphloia_theiformis"	"Syzygium_petrinese"	"Diospyros_revaughanii"	"Pleurostylia_leucocarpa"	"Calophyllum_eputamen"	"Pandanus_rigidifolius"	"Turraea_rigida"	"Xyris_sp1_M_PL_071"	"Apis_mellifera"	"Stomorhina_lunata"	"Musca_domestica"	"Chrysomya_megacephala"	"Ophyra_capensis"	"Paragus_borbonicus"	"Eristalinus_flaveolus"	"Ornidia_obesa"	"Phelsuma_cepediana"	"Polistes_hebraeus"	"Phorinia_sp1_M_PL_071"	"Trirhithrum_sp1_M_PL_071"	"Sepsis_lateralis"	"Episyrphus_sp1_M_PL_071"	"Graphomya_maculata"	"Lygistorrhina_sp1_M_PL_071"	"Syritta_sp1_M_PL_071"	"Lecithoceridae_sp1_M_PL_071"	"Nacoleia_sp1_M_PL_071"	"Pachycerina_crinicornis"	"Paleorhiza_sp1_M_PL_071"	"Scolia_carniflex"	"Simulium_sp1_M_PL_071"	"Simulium_sp2_M_PL_071"	"Zizeeria_knysa"	"Zosterops_mauritianus"
"Syzygium_glomeratum"	2.31059463445602	0.731274557784601	0.586303416551011	0.486644591406079	0.191232640568587	0.238195266331917	0.422420035855653	0.16678178350094	0.103117069350247	0	0.0265938989317869	0.410148644089916	0.730698740353897	0.692611584075319	0.639987928407808	0.196492073122327	0.236390212726995	0.300508216166263	0.163367159705262	0.0815555256614648	0.0795074364715247	0.371716484449161	0.127866068538375	0.105303536320983	0.207953517101042	0.0789776522407369	0.0475222540337609	0.0475222540337609	0.0693178390336806	0.0133984837311702	0.0263258840802456	0.0101240809712782	0.024332229570304	0.0237611270168805	0.0263258840802456	0.0251272892807576	0
"Stillingia_lineata"	0.877529469341521	2.42376905617687	0.452894276706828	0.440948745958894	0.156550569886017	0.191890149364495	0.473074763583602	0.148376806005423	0.0754143165765517	0	0.022709741136644	0.340013062066958	0.483641867932284	0.737569730259939	0.57476112466514	0.436420464812546	0.201864365659058	0.159174672228243	0.129890031779732	0.0640641517074994	0.0664202187570508	0.151039175117235	0.307787268234686	0.349022744089469	0.0789776522407369	0.261767058067102	0.0532209109031552	0.0532209109031552	0.0263258840802456	0.0107938209017528	0.0872556860223673	0.0082879713469068	0.0220474372979447	0.0266104554515776	0.0872556860223673	0.0194097547160069	0
"Badula_insularis"	0.837576309358588	0.539159853222414	1.90286286727001	0.548158319483977	0.29708413299689	0.407466065927075	0.337925754721786	0.214624231670138	0.159827600504127	0	0.0184727595818377	0.660758450269824	1.10967715084383	0.441204578062423	0.362489225543673	0.175608400578416	0.164202307394113	0.235894191593704	0.458084210883313	0.126588197709239	0.118513127132491	0.207187712143931	0.158788853591264	0.0776390188640276	0.0753818678422729	0.0582292641480207	0.0380166474062009	0.0380166474062009	0.0251272892807576	0.0229199662083978	0.0194097547160069	0.0157279835116001	0.0274079159741988	0.0190083237031005	0.0194097547160069	0.0815512657401432	0
"Aphloia_theiformis"	0.811074319010132	0.612428813831797	0.639518039397972	1.59749841956108	0.341784553641502	0.432870071599673	0.410770494584227	0.234382954136704	0.155324983224777	0	0.0275052457489784	0.799743042600472	0.890163208435311	0.512705842802942	0.365798193136159	0.297413513808629	0.244491073324252	0.286522528981598	0.24126344237653	0.137069876813713	0.134934940555915	0.149069063825719	0.116656068188396	0.0881897491917788	0.0729966887109119	0.0661423118938341	0.0462116806407256	0.0462116806407256	0.024332229570304	0.0243489415274814	0.0220474372979447	0.0180944763692561	0.079874920978054	0.0231058403203628	0.0220474372979447	0.0274079159741988	0
"Syzygium_petrinese"	0.337469365709272	0.230221426302966	0.366986281937336	0.36188952738512	2.47473233006645	0.692796551501316	0.15072848910914	0.313597173066277	0.325898105651701	0	0.00883864400726452	1.43530357352767	0.488297636505554	0.179536711349482	0.13784291206743	0.113098997608484	0.0785657245090179	0.117568861133903	0.135704199949206	0.7528456367131	0.821371127991064	0.0663483883679909	0.0490703750647095	0.0331518853876271	0.0303722429138345	0.0248639140407203	0.0169569550247783	0.0169569550247783	0.0101240809712782	0.0389698060219487	0.00828797134690678	0.131015241003518	0.018094476369256	0.00847847751238914	0.00828797134690678	0.0157279835116001	0
"Diospyros_revaughanii"	0.446616124372344	0.299828358382023	0.534799211529286	0.486978830549632	0.736096335970149	1.99204500175684	0.198774883568327	0.310168062728167	0.246128196431385	0	0.0117228894486814	1.92601890853545	0.648478230030465	0.239521117761303	0.184233577461083	0.137948160919612	0.104203461766057	0.146707207513791	0.251001303918294	0.268687489039161	0.268712743188613	0.0899123848642496	0.0664825161143749	0.0431752836070114	0.040195451193511	0.0323814627052585	0.0223621744014368	0.0223621744014368	0.0133984837311703	0.112052531348822	0.0107938209017528	0.0389698060219492	0.0243489415274816	0.0111810872007184	0.0107938209017528	0.022919966208398	0
"Pleurostylia_leucocarpa"	0.792037567229349	0.739179318099378	0.443527553072344	0.462116806407256	0.160149019678461	0.198774883568327	2.16374401858379	0.138279066119514	0.0833082189592933	0	0.0820414430191295	0.347734016338598	0.570645566807975	0.705970846839012	0.314883874947937	0.28992049843082	0.729257271281151	0.152059780332913	0.129328546036584	0.0673848532497337	0.0664272600127802	0.137813958787503	0.220550291103171	0.10644182180631	0.0712833810506414	0.0798313663547328	0.243421202090676	0.243421202090676	0.0237611270168805	0.0111810872007183	0.0266104554515776	0.00847847751238916	0.0231058403203628	0.121710601045338	0.0266104554515776	0.0190083237031005	0
"Calophyllum_eputamen"	0.625431688128524	0.463677518766948	0.563388608134113	0.527361646807583	0.666393992765838	0.620336125456334	0.276558132239029	1.29903495786021	0.205589729876061	0	0.0153854947021996	1.23336989191439	0.828609335320064	0.31959023280017	0.2486235256127	0.281203555080918	0.136759952908441	0.27931167543449	0.181988119711751	0.238075328812599	0.357819524579011	0.117959979282169	0.0897787930281663	0.0667695627024406	0.0562888519315672	0.0500771720268304	0.0311127898768907	0.0311127898768907	0.0187629506438557	0.0348939070569184	0.0166923906756101	0.0352796819699563	0.0263680823403792	0.0155563949384454	0.0166923906756101	0.0241452260628905	0
"Pandanus_rigidifolius"	0.515585346751233	0.314226319068965	0.559396601764446	0.465974949674333	0.923377966013154	0.65634185715036	0.222155250558116	0.274119639834748	1.31930642777473	0	0.0126735361467526	1.30655125158339	0.901015549313144	0.25742643342237	0.200794400323026	0.135180777238667	0.112653654637801	0.147812775732072	0.18008867732652	0.640215507571196	0.324146754567941	0.101311942088304	0.0704068153789614	0.045248589945931	0.046402681207611	0.0339364424594483	0.024992465687788	0.024992465687788	0.015467560402537	0.0369192294647074	0.0113121474864828	0.0488847158477553	0.0232987474837166	0.012496232843894	0.0113121474864828	0.0239741400756191	0
"Turraea_rigida"	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316
