"Stillingia_lineata"	"Aphloia_theiformis"	"Croton_grangeroides"	"Phyllanthus_phillyreifolius"	"Psiadia_terebinthina"	"Syzygium_petrinese"	"Badula_insularis"	"Calophyllum_eputamen"	"Diospyros_revaughanii"	"Molinaea_macrantha"	"Rubus_alcefolius"	"Psidium_cattleianum"	"Embelia_angustifolia"	"Tabernaemontana_persicarifolia"	"Apis_mellifera"	"Technomyrmex_albipes"	"Musca_domestica"	"Brachymyrmex_sp1_M_PL_083"	"Chaetocnema_sp1_M_PL_083"	"Chrysomya_megacephala"	"Dysauxes_florida"	"Orthellia_albigena"	"Eristalinus_flaveolus"	"Ophyra_capensis"	"Paragus_borbonicus"	"Pheidole_megacephala"	"Nacoleia_sp1_M_PL_083"	"Ornidia_obesa"	"Polistes_hebraeus"	"Stomorhina_lunata"	"Fannia_pusio"	"Macroglossum_milvus"	"Musca_confiscata"	"Phelsuma_cepediana"	"Sapromyza_sp1_M_PL_083"	"Sarcophaga_arno"	"Simulium_sp1_M_PL_083"	"Syritta_sp1_M_PL_083"
"Stillingia_lineata"	2.35663913802698	0.789374621550489	0.565922099648553	0.210202572093024	0.0586466036263118	0.344159700148743	0.246283179160033	0.169383334409009	0.126983781337674	0.0760875869622611	0.0611795342181296	0.11965772534411	0.13863801821153	0	0.404464698442079	0.401573375634156	1.29173358204215	0.0479835847851642	0.342615774450553	0.604183774011658	0.169776629894566	0.319007638130479	0.17760928984886	0.05153792439888	0.164034362285117	0.0472955787209303	0	0.0473008591853735	0.0275307903981583	0.0528356510441338	0.0309743730133869	0.0163264861719866	0.141398348281619	0.0309743730133869	0.0424441574736415	0.141398348281619	0.141398348281619	0.0424441574736415
"Aphloia_theiformis"	0.986718276938111	2.20206066366459	0.492130674360976	0.320242503570604	0.0616114340445795	0.27871397947313	0.276955937305054	0.133623079950879	0.101022271694946	0.119575191083811	0.0485376642088482	0.0895585224891131	0.152407695952197	0	0.320887891158497	0.631091286275669	1.02863730512219	0.0504093551273832	0.253019279539022	0.443450997524585	0.147639202308293	0.55466674594082	0.495463649324534	0.0541433814331153	0.270647813530406	0.0720545633033857	0	0.038072835941932	0.0218419488939817	0.0402298647418218	0.0250842581525817	0.0129885777893502	0.0592030966162867	0.0250842581525818	0.0369098005770732	0.0592030966162867	0.0592030966162867	0.0369098005770732
"Croton_grangeroides"	0.707402624560691	0.492130674360976	2.56509345270358	0.296368001729151	0.0455840584569639	0.156683479171213	0.460526137968698	0.100730768526674	0.0698793976950665	0.112167932983808	0.034557747833942	0.103336622949571	0.118696995796509	0	0.22846511067995	0.59199742408121	0.489455178405957	0.037296047828425	0.757748025722556	0.580007277788405	0.769528035811073	0.153173559204861	0.11072940173122	0.040058718037938	0.28270545763827	0.0666828003890589	0	0.0230860071147749	0.0155509865252739	0.0410740637375387	0.0141015131254092	0.00898449398936568	0.0424441574736415	0.0141015131254092	0.192382008952768	0.0424441574736415	0.0424441574736415	0.192382008952768
"Phyllanthus_phillyreifolius"	0.262753215116279	0.320242503570604	0.296368001729151	2.48361857405562	0.252395924945434	0.165339008510859	0.811287753463627	0.0685812720132646	0.0544675373009281	0.457072534480053	0.0257595288713605	0.0310180448802204	0.0342539957994408	0	0.170299107538439	2.41232726531139	0.227586233293926	0.206505756773537	0.325834319335124	0.125074380212164	0.0889104005187452	0.0878197562103626	0.0720545633033858	0.221802479497502	0.0616600860072299	0.558814179162514	0	0.0218834798475252	0.0115917879921122	0.0161635406653926	0.0148805107659773	0.00700296908154789	0.0157651929069768	0.0148805107659773	0.0222276001296863	0.0157651929069768	0.0157651929069768	0.0222276001296863
"Psiadia_terebinthina"	0.0799726413086069	0.0672124735031776	0.0497280637712334	0.275341009031382	4.23218378711064	0.210425792477193	0.0950333842454782	0.0774840697843077	0.0643131822830747	0.0519134554139516	0.0300020213532104	0.0192035246175787	0.0103444898370034	0	0.198346696724002	0.273987681351411	0.0912429789603762	3.4626958258178	0.0444971881006874	0.0326562778992462	0.01491841913137	0.0199211650167314	0.015122806538215	0.385858479582081	0.0134255607222324	0.061951727032061	0	0.027207159045057	0.0135009096089447	0.0135094643637044	0.0189383213229474	0.00826883772210959	0.00479835847851642	0.0189383213229474	0.0037296047828425	0.00479835847851642	0.00479835847851642	0.0037296047828425
"Syzygium_petrinese"	0.516239550223114	0.334456775367756	0.188020175005456	0.198406810213031	0.231468371724912	1.88436408117439	0.114407804186771	0.68617096329314	0.571990497530503	0.048602975663253	0.26648238282843	0.156038509728046	0.0665089977980372	0	1.7617446420324	0.25651570488939	0.66118796917196	0.189383213229474	0.107601253645646	0.193021956361975	0.0564060525016368	0.106227147471132	0.0752527744577451	0.20341159939462	0.0691148202871077	0.0446415322979319	0	0.243134402702474	0.119917072272793	0.115428649247728	0.169592767305695	0.0735416353967788	0.0309743730133869	0.169592767305696	0.0141015131254092	0.0309743730133869	0.0309743730133869	0.0141015131254092
"Badula_insularis"	0.410471965266723	0.369274583073405	0.61403485062493	1.08171700461817	0.116151914077807	0.127119782429746	1.90755601057996	0.0612444516573992	0.0462288357643089	0.416023721463057	0.0222228433688062	0.0414672897411667	0.0496446420713623	0	0.146917686715996	2.19568075216613	0.300706656373007	0.0950333842454782	0.735052962480601	0.206125961994605	0.184210455187479	0.107715099107519	0.0830867811915161	0.102072894189588	0.0960882964594881	0.243386326039088	0	0.0173844878740883	0.0100002795159628	0.0185646320880899	0.0114407804186771	0.00594370745541114	0.0246283179160033	0.0114407804186772	0.0460526137968698	0.0246283179160033	0.0246283179160033	0.0460526137968698
"Calophyllum_eputamen"	0.282305557348348	0.178164106601171	0.134307691368899	0.0914416960176862	0.0947027519585982	0.762412181436824	0.0612444516573992	2.12224630342508	0.785442894792669	0.0239788317106917	0.415620004123722	0.27829340708511	0.0329980172106479	0	2.74771002726238	0.126554945139762	0.310738558474989	0.0774840697843077	0.0655308994961229	0.167811484148658	0.0402923074106698	0.0570252574261644	0.0400869239852636	0.0832236305090712	0.0382844925925468	0.0205743816039794	0	0.169602611374086	0.187029001855675	0.295712652468041	0.0686170963293139	0.100985515044772	0.0169383334409009	0.0686170963293144	0.0100730768526674	0.0169383334409008	0.0169383334409009	0.0100730768526674
"Diospyros_revaughanii"	0.272108102866444	0.173181037191337	0.119793253191543	0.0933729210873055	0.101063572159117	0.817129282186435	0.0594370745541115	1.00985515044772	1.95808143316103	0.0239104359534976	0.393358457559347	0.209026219898705	0.0328409544802542	0	2.60053646942013	0.126193967532348	0.315112836881629	0.0826883772210961	0.0611110905063171	0.142644890253653	0.0359379759574628	0.0552922195400374	0.0389657333680507	0.0888134422004365	0.0367515012948303	0.0210089072446437	0	0.325294962517483	0.177011305901706	0.163693381014383	0.0735416353967789	0.251753327120703	0.0163264861719866	0.0735416353967795	0.0089844939893657	0.0163264861719866	0.0163264861719866	0.0089844939893657
"Molinaea_macrantha"	0.285328451108479	0.358725573251433	0.336503798951424	1.37121760344016	0.142762002388367	0.121507439158132	0.936053373291878	0.0539523713490562	0.0418432629186207	1.52795439178421	0.0199391036718262	0.0301440585140913	0.0372264649091673	0	0.131819629830407	2.78642595663886	0.239174451704723	0.116805274681391	0.373649073818143	0.137782326590325	0.100951139685427	0.0978329610480811	0.0807132539815724	0.125457517250383	0.0688941121243395	0.308523960774036	0	0.0163155176137689	0.00897259665232179	0.014438454689133	0.0109356695242319	0.00537984808953694	0.0171197070665087	0.0109356695242319	0.0252377849213568	0.0171197070665087	0.0171197070665087	0.0252377849213568
