"Nephrosperma_vanhoutteanum"	"Erythroxylum_sechellarum"	"Paragenipa_wrightii"	"Canthium_bibracteatum"	"Phoenicophorium_borsigianum"	"Memecylon_eleagni"	"Psychotria_pervillei"	"Syzygium_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp2_M_PL_087"	"Nectarinia_dussumieri"	"Unidentified_sp1_M_PL_087"	"Hemipyrellia_sp1_M_PL_087"	"Rhiparida_seychellensis"	"Unidentified_sp4_M_PL_087"	"Cratopus_aurostriatus"	"Neophyllomyza_approximatonervis"	"Megachile_seychellensis"	"Mabuya_sechellensis"	"Chalcidoma_disjunctum"	"Unidentified_sp3_M_PL_087"
"Nephrosperma_vanhoutteanum"	3.22241333640016	0.529832445717167	0.494592470217291	0.333085653981923	0.295071528147323	0.238390023400843	0.149772436872139	0	1.76606547983184	1.2526398784186	0.483362000460023	0.137028259998654	0.219927580808239	0.227464470804717	0.170598353103538	0.170598353103538	0.103003468240608	0.113732235402358	0.0486638933075414	0	0.0153250729329117	0.0284330588505895
"Erythroxylum_sechellarum"	1.86354860217762	1.64750191991325	0.575959801978765	0.415373590562138	0.294391978270904	0.294012612691363	0.172369389142799	0	2.17813446427787	1.24926549571178	0.279532290326643	0.158958504007851	0.25204656519443	0.131544607212538	0.0986584554094035	0.0986584554094035	0.066992746400956	0.065772303606269	0.121934330988575	0	0.0189008108158738	0.0164430759015671
"Paragenipa_wrightii"	1.73960110214357	0.575959801978765	1.72034128814349	0.401513048725828	0.279664987944379	0.303278208659382	0.242799457141428	0	2.24677680490834	1.16939708755415	0.260940165321536	0.393179249417422	0.145720372569518	0.122795371916017	0.0920965289370127	0.0920965289370127	0.0628281637451691	0.0613976859580085	0.0547682682385079	0	0.0194964562709607	0.0153494214895019
"Canthium_bibracteatum"	1.78814403716611	0.633991269805368	0.612835705949947	1.44323825696121	0.274405313442355	0.32917206824133	0.18137124317052	0	2.43860635756708	1.12067806968834	0.268221605574917	0.168525607852181	0.153693222422113	0.126221932035255	0.0946664490264412	0.0946664490264412	0.0637975433197619	0.0631109660176275	0.107715099698786	0	0.0211610615298003	0.0157777415044067
"Phoenicophorium_borsigianum"	2.0064863914018	0.569157824657082	0.540685643359132	0.347580063693649	1.404182487071	0.227171695031359	0.167893789522825	0	1.68295670626772	1.79628223415514	0.30097295871027	0.151047532516824	0.159216306221799	0.141634333510715	0.106225750133036	0.106225750133036	0.137363824290778	0.0708171667553576	0.0517913561990498	0	0.0146038946805877	0.0177042916888393
"Memecylon_eleagni"	1.73684159906328	0.609026126289251	0.628219146508719	0.446733521184661	0.243398244676456	1.41503070192389	0.18390855509058	0	2.61972805964959	0.942148752183006	0.260526239859493	0.172151304152935	0.148652870045088	0.122600583463291	0.091950437597468	0.091950437597468	0.0605791134793213	0.0613002917316453	0.0589626831615463	0	0.0909662594093935	0.0153250729329111
"Psychotria_pervillei"	1.69742095121757	0.555412476126798	0.782353806344601	0.382894846693319	0.279822982538042	0.286079974585346	1.27917285723116	0	2.11936707911982	1.18470201329144	0.254613142682636	0.529431531454205	0.141574278866123	0.119817949497711	0.0898634621232833	0.0898634621232833	0.0617211100139242	0.0599089747488556	0.0526110021456119	0	0.0183908555090584	0.0149772436872137
"Syzygium_wrightii"	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0
"Apis_mellifera"	1.95802911894399	0.686585863739762	0.708223123286325	0.503625226019289	0.274395115152346	0.398654269946677	0.207329388174765	0	2.95335154758787	1.06213179840118	0.293704367841599	0.194074846305745	0.167583876572197	0.138213820160752	0.103660365120564	0.103660365120564	0.0682938894694229	0.0691069100803762	0.0664716060598971	0	0.0256277744965727	0.0172767275200938
"Lasioglossum_mahense"	2.24156609822276	0.63559121711652	0.594956412966146	0.373559356562781	0.472705851093458	0.231404956676528	0.187058212624964	0	1.71431799040191	2.21367318487493	0.336234914733414	0.166902451029461	0.177846880383899	0.158228195168665	0.118671146376499	0.118671146376499	0.087697924253857	0.0791140975843327	0.0571454062280827	0	0.0148760329292057	0.019778524396083
