"Phoenicophorium_borsigianum"	"Erythroxylum_sechellarum"	"Canthium_bibracteatum"	"Cinnamomum_verum"	"Roscheria_melanochaetes"	"Colea_seychellarum"	"Lasioglossum_mahense"	"Rhiparida_seychellensis"	"Apis_mellifera"	"Unidentified_sp3_M_PL_094"	"Unidentified_sp4_M_PL_094"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Unidentified_sp1_M_PL_094"	"Leptotes_pirithous"	"Nectarinia_dussumieri"	"Parasarcophaga_hirticeps"	"Unidentified_sp2_M_PL_094"
"Phoenicophorium_borsigianum"	4.22927083937355	0.58146466098149	0.174439416327683	0.169734314269854	0.108248663784261	0	2.05106808621823	1.58283601711208	0.323206534610431	0.37686571836002	0.210483512913841	0.0392488686737286	0.0403643937370058	0.0550861257771934	0.0101840588561913	0	0.00981221716843216	0.0376865718360017
"Erythroxylum_sechellarum"	3.09094372416476	1.84156328210991	0.127488269165774	0.124049566318511	0.0791130529778847	0	2.63975170533589	1.15680864132107	0.236214053841756	0.275430628885969	0.153830936345887	0.0286848605622991	0.0295001370779068	0.174463889884096	0.00744297397911073	0	0.0071712151405748	0.0275430628885966
"Canthium_bibracteatum"	1.1011488155685	0.151392319634357	2.65996455727976	1.32246817421724	0.0281840280369859	0	0.534023778463921	0.41211312107415	2.39849570995854	0.0981221716843215	0.0548022767385838	0.598492025387947	0.38766727770609	0.0143424302811494	0.0793480904530353	0	0.149623006346987	0.00981221716843208
"Cinnamomum_verum"	1.14287771608368	0.157129450670114	1.41063271916506	2.52326592486936	0.0292520839486344	0	0.554261029604912	0.427730471960031	2.48938859151269	0.101840588561912	0.0568790521223446	0.317392361812138	0.533535956929519	0.0148859479582212	0.151395955492162	0	0.0793480904530347	0.0101840588561912
"Roscheria_melanochaetes"	2.73327876055259	0.375787001644952	0.112736112147944	0.109695314807379	1.93166070558398	0	1.32555730040168	1.02294987276127	0.208880818910465	0.243559493514587	1.81156248307996	0.0253656252332873	0.02608656297365	0.035600873840048	0.0065817188884428	0	0.00634140630832185	0.0243559493514586
"Colea_seychellarum"	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0
"Lasioglossum_mahense"	3.51115045267866	0.850089532226813	0.14482000771903	0.140913821085995	0.0898682915526559	0	2.99861991102861	1.31407412981439	0.268326814102596	0.31287479281295	0.174743900241275	0.0325845017367816	0.0335106132296745	0.0805347977899081	0.00845482926515977	0	0.00814612543419542	0.0312874792812947
"Rhiparida_seychellensis"	3.8063437554362	0.523318194883341	0.156995474694914	0.152760882842869	0.0974237974058349	0	1.84596127759641	2.42455241540088	0.290885881149388	0.339179146524018	0.189435161622457	0.0353239818063557	0.0363279543633052	0.0495775131994741	0.00916565297057221	0	0.00883099545158895	0.0339179146524016
"Apis_mellifera"	1.36016083315223	0.187002792624723	1.59899713997236	1.55586786969544	0.0348134698184108	0	0.659636751335548	0.509050292011429	2.96266942037711	0.121202450478912	0.0676928579802431	0.359774356493781	0.369999805668623	0.0177160540381315	0.0933520721817271	0	0.0899435891234456	0.0121202450478911
"Unidentified_sp3_M_PL_094"	3.8063437554362	0.523318194883341	0.156995474694914	0.152760882842869	0.0974237974058349	0	1.84596127759641	1.42455241540087	0.290885881149388	1.33917914652402	0.189435161622457	0.0353239818063557	0.0363279543633052	0.049577513199474	0.0091656529705722	0	0.00883099545158895	0.0339179146524016
