"Decagonocarpus_cornutus"	"Retiniphyllum_rhabdocalyx"	"Aechmea_chantiniii"	"Aphelandra_macrostachya"	"Isertia_hypoleuca"	"Monotagma_secundum"	"Payparola_hulkiana"	"Tachia_occidentalis"	"Drymonia_semicordata"	"Satyria_panurensis"	"Billbergia_decora"	"Passiflora_vitifolia"	"Aechmea_contracta"	"Heliconia_sp1_M_PL_071"	"Alloplectus_savanarum"	"Pepinia_sp1_M_PL_071"	"Ischnosiphon_lasiocoleus"	"Palicourea_sp1_M_PL_071"	"Symphonia_globulifera"	"Ryania_pyrifera"	"Markea_coccinea"	"Pslicourea_quadrifolia"	"Psychotria_bahiensis"	"Psychotria_platypoda"	"Tabernamontana_macrocalyx"	"Psychotria_peppigiana"	"Psittacanthus_lasianthus"	"Aechmea_corymbosa"	"Vriesea_chrysostachys"	"Zygia_lathetica"	"Costus_scaber"	"Columnea_ericae"	"Isertia_rosea"	"Amasonia_arborea"	"Bromelia_sp1_M_PL_071"	"Calathea_zingiberea"	"Heliconia_tarumaensis"	"Passiflora_sp1_M_PL_071"	"Aechmea_rubiginosa"	"Ferdinandusa_sprucei"	"Gurania_rufipila"	"Justicia_cuatrecasii"	"Palicourea_subspicata"	"Renealmia_sp1_M_PL_071"	"Phaethornis_bourcieri"	"Chlorostilbon_olivaresi"	"Phaethornis_malaris"	"Thalurania_furcata"	"Phaethornis_ruber"	"Amazilia_versicolor"	"Florisuga_mellivora"	"Topaza_pyra"
"Decagonocarpus_cornutus"	2.75484856054288	0.243181565503557	0.685070026631632	0.0988367552911487	0.0813630045132787	0.0924380302559721	0.0910216158647194	0.0674203164131464	0.0644308531825363	0.195675190788452	0.0488204849994524	0.0430372610500667	0.053805339300613	0.0391346690042957	0.0470268070610863	0.0350907487199831	0.0393464955372318	0.0382541198810905	0.0388219764924935	0.0364297699936962	0.0338482779577647	0.0318707724525509	0.0312444029918957	0.0321658922232211	0.0292531504973045	0.027002908151358	0.0397068211118462	0.022502423459465	0.0479102493804413	0.0164915532205983	0.0157516964216255	0.0135487754599626	0.0102913974445972	0.0107410135844703	0.00959886202990803	0.0113458544982997	0.00959886202990803	0.0105196796483874	0.0067507270378395	0.0366590376507088	0.0067507270378395	0.0067507270378395	0.0067507270378395	0.00204976534384346	1.08261659532759	3.039443585254	0.229433096583298	0.319106073643067	0.0614929603153038	0.00193338244520461	0.00140820584734517	0.00140820584734523
"Retiniphyllum_rhabdocalyx"	0.335196211910309	1.51817254458354	0.18909119580288	0.211819601996111	0.198973619900413	0.226418781110647	0.204348544886742	0.1433984882018	0.134448451803198	0.145145932907208	0.104119793718335	0.0939835185457184	0.111075034684111	0.0864013540245027	0.0987497718791745	0.0763452462848738	0.0653881743478406	0.079663460307956	0.133183889485825	0.11511769629089	0.0792113600366648	0.1177346048573	0.0762032560467779	0.128045703314066	0.060919116706084	0.056233030805616	0.0501470963763497	0.04686085900468	0.0346889901461474	0.0479727158774635	0.032802601303276	0.0325765511676304	0.0312444296909574	0.0223679517922103	0.0205343508815923	0.0323505010319848	0.0205343508815923	0.030902461721611	0.014058257701404	0.0112585606438074	0.014058257701404	0.014058257701404	0.014058257701404	0.00329505897334733	2.25452799433627	0.580568602328313	0.521685283959614	1.27029467573478	0.0988517692004198	0.00402623132259773	0.00344377419058399	0.00344377419058412
"Aechmea_chantiniii"	1.34379120608512	0.269091317104098	1.54723173278237	0.144444122407137	0.114969361205409	0.13094377522498	0.132722491996737	0.0987046666553924	0.094740680534238	0.173746851817167	0.0714292639793377	0.0626179143789728	0.0797068932125005	0.0567900602402477	0.069050872306645	0.0511013428860771	0.0673004945175737	0.0562755365851257	0.0487175547261562	0.0472967245094205	0.0483952215790081	0.0390456545387511	0.0449732177900072	0.0375269140385606	0.0430342338592138	0.0397239081777358	0.0462776804038497	0.0331032568147798	0.0462108012670076	0.0220755815298344	0.0231722797703459	0.0192321222672871	0.0135672335312121	0.0158010772385586	0.0140340999501428	0.0152919647642283	0.0140340999501428	0.0140332005356048	0.00993097704443395	0.0296591728596177	0.00993097704443395	0.00993097704443395	0.00993097704443395	0.00356940253850692	1.59263446675552	2.32748150073567	0.330529345182103	0.372290813874609	0.107082076155208	0.00284419390294045	0.00198985432855512	0.0019898543285552
"Aphelandra_macrostachya"	0.193872096917253	0.301435587456005	0.144444122407137	1.33119326736853	0.371204849069064	0.200953338729505	0.206198976785901	0.20823279447186	0.157013274775441	0.0997718774023537	0.155352729744983	0.172553073187905	0.125512463755789	0.17213793693029	0.124621017927132	0.13607670501399	0.0605285655517051	0.0906018416736347	0.0678603916237566	0.068216234037777	0.0761525598017568	0.0494758127214194	0.0641358816518381	0.0480815896534296	0.0692837612798383	0.0639542411813892	0.0551959078170131	0.053295200984491	0.0357785342557388	0.0418651821159579	0.0373066406891437	0.0300819997532048	0.0380156465973842	0.0254392367467742	0.0315619843330801	0.0228573588172658	0.0315619843330801	0.0253145507376831	0.0159885602953473	0.00913093376349328	0.0159885602953473	0.0159885602953473	0.0159885602953473	0.00293350149145923	2.56409133625385	0.335791540412236	1.25452582526181	0.476999897355452	0.0880050447437769	0.00457906261441917	0.00642469931081063	0.00642469931081079
"Isertia_hypoleuca"	0.159596662699124	0.283154766781357	0.11496936120541	0.371204849069065	1.54776947191194	0.164491072689214	0.16902146517065	0.218276976966346	0.125664355213608	0.086464644036749	0.167079900183985	0.217613618721983	0.096354971523934	0.227967504964577	0.111512327132343	0.168315612858958	0.0492344039099616	0.069433423917603	0.0674874397891182	0.0638896167672628	0.0609404551215689	0.0535657968556827	0.0533565991805407	0.0549101519391075	0.0530961477016964	0.0490118286477198	0.0424078637034834	0.0408431905397665	0.0276352606512937	0.0466262616962628	0.0285902333778365	0.0243437489798195	0.0530579942289208	0.0194955563435643	0.0348598005664541	0.0200972645818025	0.0348598005664541	0.0273163672300879	0.0122529571619299	0.00721366538141045	0.0122529571619299	0.0122529571619299	0.0122529571619299	0.00241563328247108	1.96501127819099	0.276425592256653	1.82110682980889	0.544743570824479	0.0724689984741323	0.00350920014184148	0.0267883177830911	0.0267883177830913
"Monotagma_secundum"	0.229967782588028	0.40865828785824	0.166075031992657	0.254867649120347	0.208622823898515	1.23656122495795	0.232900673761075	0.173908608464423	0.16632479864121	0.124254099297686	0.125917062595531	0.110893011513671	0.13849423992841	0.100791077502251	0.121366776701603	0.0904314436202922	0.0945657114388327	0.0987589157965303	0.0977210196460504	0.0921711456956392	0.0869672371287212	0.079362863897618	0.0792111742261391	0.0801199929902101	0.0755215238444055	0.0697121758563743	0.0603480659841161	0.0580934798803119	0.0393652601357955	0.041922723843241	0.0406654359162184	0.0347695965823138	0.0260979331896633	0.0277295846684071	0.0247541539167674	0.0288737572484093	0.0247541539167674	0.026727464236715	0.0174280439640936	0.0103185201956396	0.0174280439640936	0.0174280439640936	0.0174280439640936	0.00487923620369237	2.79494186535278	0.398310211672075	0.590158857298721	0.794841200299704	0.146377086110771	0.00499132524031306	0.00361077964439728	0.00361077964439743
"Payparola_hulkiana"	0.226444019956131	0.368824202966315	0.168330965459277	0.261520653484558	0.214368687533506	0.232900673761075	1.23939644606464	0.17766117810627	0.168045818904405	0.117317998777655	0.128837254901906	0.115048883871465	0.14259553203355	0.105246742870841	0.123068039380787	0.0936149209292227	0.143570146996279	0.0996643091484813	0.0856255580170465	0.0832726393794063	0.0855993044522444	0.0699307166971263	0.0823527579872789	0.0656979469003107	0.0762138834664857	0.0703512770459868	0.0608461036163236	0.058626064204989	0.0396157173456626	0.0394516290010066	0.0410382449434923	0.0340057425953738	0.0249567775075025	0.0279838015298281	0.0253734975223686	0.0269732402472554	0.0253734975223686	0.0250034729571924	0.0175878192614967	0.0103026852431681	0.0175878192614967	0.0175878192614967	0.0175878192614967	0.00775558436207539	2.82056508897336	0.392206962669116	0.627179637681349	0.65176534623324	0.232667530862262	0.00503708427536883	0.00371022728423368	0.00371022728423383
"Tachia_occidentalis"	0.202260949239439	0.312102591968623	0.15096007841413	0.318473685662845	0.333835376536763	0.209713321971804	0.214238479481091	1.20388399070463	0.1631307848807	0.103796220160364	0.151086201666636	0.160080318548859	0.131416894911536	0.157069172745343	0.126634278172277	0.127036355766833	0.0631196481613273	0.0948751892305689	0.0700070459751184	0.0706431883048299	0.0795687117196916	0.0507398168145742	0.0668663755480713	0.0491196749800899	0.0725516152939645	0.0669707218098134	0.0577918853242507	0.0558089348415111	0.0374512618703859	0.0409998597399814	0.0390662543890578	0.0314130156336191	0.0344801657236019	0.0266391097095523	0.0304742151013907	0.0237597768781805	0.0304742151013907	0.0250446507184981	0.0167426804524533	0.00954679444963031	0.0167426804524533	0.0167426804524533	0.0167426804524533	0.0030563447760603	2.6850298651527	0.350321251950663	1.10615140227551	0.487298362897717	0.0916903432818089	0.00479503974771921	0.00577791997852081	0.00577791997852097
"Drymonia_semicordata"	0.226618862917886	0.343075359773678	0.169879840957944	0.281541044424929	0.225329188658883	0.235148853251366	0.237582019830366	0.191256782273924	1.18089361790576	0.115481321977312	0.138697889338833	0.123864365619656	0.148561030830065	0.113315433477923	0.132479990717937	0.100786752349345	0.0706431286226519	0.107283302630601	0.0762400823166508	0.0776901048874559	0.0894878675629112	0.0544099854392909	0.0747946513204411	0.0521338647412785	0.0820401725998714	0.075729390092189	0.0653295786348427	0.0631078250768242	0.0423082021621315	0.0384873053489212	0.0441754775537769	0.035277760019932	0.0242145257256683	0.0301230668624464	0.0273157629043615	0.026380042486087	0.0273157629043615	0.0242609676690617	0.0189323475230473	0.0107542896237194	0.0189323475230473	0.0189323475230473	0.0189323475230473	0.00341303315336983	3.03618758425165	0.392509795249934	0.67533068349476	0.517201039099985	0.102390994601095	0.0054221520352401	0.00389992826524981	0.00389992826524997
"Satyria_panurensis"	0.739217387423042	0.397807371671608	0.334623566462691	0.192153245367496	0.166524499626331	0.188682150785375	0.178149553699402	0.13070635131305	0.124035493975632	1.15414767077736	0.0947424512162643	0.0842615450771376	0.102516014287794	0.0769382843872958	0.090739936813813	0.0686070539061817	0.0589016882926646	0.0735881733372676	0.0924551180777381	0.0834096658139576	0.0680752319700204	0.0780957982416362	0.0625724180861699	0.0826134606318281	0.0562733090226164	0.0519445929439536	0.0505343900750892	0.043287160786628	0.0404667550488992	0.036351920203241	0.0303010125506396	0.027544541867016	0.0231276980396971	0.0206621292537607	0.018649035782135	0.0247880711833924	0.018649035782135	0.0232907988778029	0.0129861482359884	0.0188231746555852	0.0129861482359884	0.0129861482359884	0.0129861482359884	0.00295554447854936	2.08259340228999	1.28034384096148	0.456177052328473	0.819577982458612	0.0886663343564807	0.00371918326567679	0.00288215480122489	0.00288215480122501
"Billbergia_decora"	0.199187578797766	0.308194589406273	0.148572869077022	0.323133677869565	0.347526192382688	0.206503982656671	0.211293098039126	0.205477234266625	0.160889551633046	0.102321847313565	1.15264930240807	0.164649882293891	0.129253726042658	0.162589819987646	0.12589669282792	0.130348410991019	0.0621703697143475	0.0933095900801649	0.0692205898809376	0.0697540405142641	0.0783171578806664	0.0502767316786275	0.0658660218751786	0.0487393582649589	0.0713543924142437	0.0658655929977634	0.056840813564781	0.0548879941648029	0.0368384352988379	0.041316882392271	0.038421595915362	0.0309253798156128	0.0357754373528149	0.0261995198877345	0.030872734192637	0.0234291637158636	0.030872734192637	0.0251435322709813	0.0164663982494409	0.00939443821643647	0.0164663982494409	0.0164663982494409	0.0164663982494409	0.003011339463611	2.64072238592885	0.34499809399613	1.16051039542413	0.483525379612687	0.0903401839083299	0.00471591357979202	0.00601487640662336	0.00601487640662351
"Passiflora_vitifolia"	0.175592025084272	0.278191214895327	0.130245261908263	0.358910392230842	0.452636326941724	0.18186453888242	0.188680169549203	0.217709233226448	0.143682664118801	0.0910024686833087	0.164649882293891	1.19973233943317	0.112646171500947	0.204974143976943	0.120233940829303	0.155776447873476	0.0548823609923739	0.0812898288609337	0.0631826366417437	0.0629276800576627	0.0687084542133118	0.0467214328929721	0.0581858872252283	0.0458195073552433	0.0621628103054199	0.0573810556665415	0.0495390368307872	0.0478175463887845	0.0321335087172761	0.0437507982388812	0.0334722824721492	0.0271815951483382	0.0457197808287079	0.0228246044815205	0.0339323323770434	0.0208909078245273	0.0339323323770434	0.0259026874158528	0.0143452639166354	0.00822473552288379	0.0143452639166354	0.0143452639166354	0.0143452639166354	0.00266581480674217	2.30055528737152	0.304129978087138	1.57784718153287	0.454558604714716	0.0799744442022652	0.00410842880667354	0.00783409027399128	0.00783409027399143
"Aechmea_contracta"	0.228672692027605	0.342481356942677	0.172698268627084	0.271943671470875	0.208769104968523	0.236594326544367	0.243600700557315	0.186173934458009	0.179511245586329	0.115330516073768	0.134639297961102	0.117339761980153	1.15025910480433	0.106121775073846	0.130641684638094	0.0958488994105163	0.113327731288542	0.106679459785464	0.0761631027173254	0.0775169296440387	0.089042875593465	0.0569901243329749	0.079530200770693	0.0522512561850045	0.0815784104241787	0.0753031480838573	0.0649945125407399	0.0627526234032144	0.0421353523169797	0.0376302848895513	0.0439268363822501	0.0351085442862504	0.0226800653986013	0.0299535195242078	0.0264335871356218	0.0262902521902507	0.0264335871356218	0.023818889907258	0.0188257870209643	0.0107590406153725	0.0188257870209643	0.0188257870209643	0.0188257870209643	0.00592807097693526	3.01909843706576	0.396067080962845	0.612850564791852	0.518365636755997	0.177842129308058	0.00539163351435715	0.00361331143214742	0.00361331143214758
"Heliconia_sp1_M_PL_071"	0.166322343268257	0.266404174908884	0.123045130520537	0.372965530015629	0.493929594089917	0.172184757399679	0.179796519071019	0.222514661389236	0.13692281545249	0.0865555699357078	0.169364395820465	0.213514733309315	0.106121775073846	1.22162512840131	0.118009288258417	0.165766033791584	0.0520192147087413	0.0765677798105215	0.060810583583489	0.0602458955925693	0.0649336063439939	0.045324708370036	0.0551686914698907	0.0446724230692837	0.0585518316198105	0.0540478445721328	0.0466704816852897	0.0450398704767773	0.030285144703091	0.0447069794643352	0.0315279093337441	0.0257108226004804	0.0496264871942373	0.0214987448576507	0.0351343173780602	0.0198937358672166	0.0351343173780602	0.0262009269370523	0.0135119611430332	0.00776520946470238	0.0135119611430332	0.0135119611430332	0.0135119611430332	0.00253007297725799	2.16691821293829	0.288074646837177	1.74180091893273	0.443178800290512	0.0759021893177398	0.003869774074377	0.00854878143617154	0.00854878143617168
"Alloplectus_savanarum"	0.218033378192309	0.332158323593587	0.163211152724797	0.294558769645949	0.263574591403718	0.226183538398443	0.229354073391467	0.195707520811701	0.174632715037281	0.111362649726043	0.14306442366809	0.136629478215117	0.142518201423375	0.128737405372819	1.13041954020344	0.110039004909576	0.0679913117455343	0.102909788976044	0.0740431109745795	0.0752062634763549	0.0859916419786185	0.0531163534360016	0.0720001553942948	0.0510714469785629	0.0786957209816809	0.0726422039830901	0.0626727521250487	0.0605351699859084	0.0405962662698256	0.0393729106446537	0.0423746189901359	0.033915545491423	0.0278328773038873	0.0288950692056847	0.0284290291492474	0.0254564719927101	0.0284290291492474	0.0245371940708567	0.0181605509957725	0.0103286812768714	0.0181605509957725	0.0181605509957725	0.0181605509957725	0.00328731045578545	2.91241428932204	0.377639511248117	0.827182962363254	0.506661180342886	0.0986193136735634	0.00520111245702301	0.00456186792814118	0.00456186792814134
