"R1"	"R2"	"C1"	"C2"
"1"	"Perca_flavescens"	"Coregonus_hoyi"	"Echinorhynchus_salmonis"	"Cyathocephalus_truncatus"
"2"	"Perca_flavescens"	"Oncorhynchus_tshawytscha"	"Echinorhynchus_salmonis"	"Cyathocephalus_truncatus"
"3"	"Perca_flavescens"	"Alosa_pseudoharengus"	"Echinorhynchus_salmonis"	"Cyathocephalus_truncatus"
"4"	"Perca_flavescens"	"Coregonus_clupeaformis"	"Echinorhynchus_salmonis"	"Cyathocephalus_truncatus"
"5"	"Perca_flavescens"	"Cottus_cognatus"	"Echinorhynchus_salmonis"	"Cyathocephalus_truncatus"
"6"	"Perca_flavescens"	"Myoxocephalus_thompsonii"	"Echinorhynchus_salmonis"	"Cyathocephalus_truncatus"
"7"	"Perca_flavescens"	"Catostomus_commersonii"	"Echinorhynchus_salmonis"	"Proteocephalus_sp."
"8"	"Perca_flavescens"	"Coregonus_hoyi"	"Echinorhynchus_salmonis"	"Proteocephalus_sp."
"9"	"Perca_flavescens"	"Oncorhynchus_tshawytscha"	"Echinorhynchus_salmonis"	"Proteocephalus_sp."
"10"	"Perca_flavescens"	"Alosa_pseudoharengus"	"Echinorhynchus_salmonis"	"Proteocephalus_sp."
"11"	"Perca_flavescens"	"Oncorhynchus_mykiss"	"Echinorhynchus_salmonis"	"Proteocephalus_sp."
"12"	"Perca_flavescens"	"Salvelinus_namaycush"	"Echinorhynchus_salmonis"	"Proteocephalus_sp."
"13"	"Perca_flavescens"	"Lota_lota"	"Echinorhynchus_salmonis"	"Proteocephalus_sp."
"14"	"Perca_flavescens"	"Oncorhynchus_kisutch"	"Echinorhynchus_salmonis"	"Proteocephalus_sp."
"15"	"Perca_flavescens"	"Oncorhynchus_tshawytscha"	"Echinorhynchus_salmonis"	"Ergasilus_luciopercarum"
"16"	"Perca_flavescens"	"Alosa_pseudoharengus"	"Echinorhynchus_salmonis"	"Ergasilus_luciopercarum"
"17"	"Perca_flavescens"	"Oncorhynchus_mykiss"	"Echinorhynchus_salmonis"	"Ergasilus_luciopercarum"
"18"	"Perca_flavescens"	"Salmo_trutta"	"Echinorhynchus_salmonis"	"Ergasilus_luciopercarum"
"19"	"Perca_flavescens"	"Catostomus_commersonii"	"Echinorhynchus_salmonis"	"Triaenophorus_nodulosus"
"20"	"Perca_flavescens"	"Catostomus_catostomus"	"Echinorhynchus_salmonis"	"Triaenophorus_nodulosus"
"21"	"Perca_flavescens"	"Oncorhynchus_tshawytscha"	"Echinorhynchus_salmonis"	"Spinitectus_gracilis"
"22"	"Perca_flavescens"	"Salvelinus_namaycush"	"Echinorhynchus_salmonis"	"Echinorhynchus_leidyi"
"23"	"Perca_flavescens"	"Petromyzon_marinus"	"Echinorhynchus_salmonis"	"Echinorhynchus_leidyi"
"24"	"Perca_flavescens"	"Catostomus_commersonii"	"Echinorhynchus_salmonis"	"Ergasilus_caeruleus"
"25"	"Perca_flavescens"	"Alosa_pseudoharengus"	"Echinorhynchus_salmonis"	"Diplostomum_sp.1"
"26"	"Perca_flavescens"	"Catostomus_commersonii"	"Echinorhynchus_salmonis"	"Dichelyne_cotylophora"
"27"	"Perca_flavescens"	"Catostomus_commersonii"	"Echinorhynchus_salmonis"	"Leptorhynchoides_thecatus"
"28"	"Perca_flavescens"	"Esox_americanus"	"Echinorhynchus_salmonis"	"Raphidascaris_acus"
"29"	"Perca_flavescens"	"Catostomus_commersonii"	"Echinorhynchus_salmonis"	"Desserobdella_picta"
"30"	"Catostomus_commersonii"	"Coregonus_hoyi"	"Echinorhynchus_salmonis"	"Acanthocephalus_dirus"
"31"	"Catostomus_commersonii"	"Oncorhynchus_tshawytscha"	"Echinorhynchus_salmonis"	"Acanthocephalus_dirus"
"32"	"Catostomus_commersonii"	"Alosa_pseudoharengus"	"Echinorhynchus_salmonis"	"Acanthocephalus_dirus"
"33"	"Catostomus_commersonii"	"Oncorhynchus_mykiss"	"Echinorhynchus_salmonis"	"Acanthocephalus_dirus"
