"R1"	"R2"	"C1"	"C2"
"1"	"Coregonus_artedi"	"Catostomus_commersonii"	"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"
"2"	"Coregonus_artedi"	"Catostomus_catostomus"	"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"
"3"	"Coregonus_artedi"	"Perca_flavescens"	"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"
"4"	"Coregonus_artedi"	"Prosopium_cylindraceum"	"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"
"5"	"Coregonus_artedi"	"Oncorhynchus_kisutch"	"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"
"6"	"Coregonus_artedi"	"Percopsis_omiscomaycus"	"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"
"7"	"Coregonus_artedi"	"Osmerus_mordax"	"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"
"8"	"Coregonus_artedi"	"Acipenser_fulvescens"	"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"
"9"	"Coregonus_artedi"	"Cottus_bairdii"	"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"
"10"	"Coregonus_artedi"	"Oncorhynchus_gorbuscha"	"Echinorhynchus_salmonis"	"Cystidicola_farionis"
"11"	"Coregonus_artedi"	"Prosopium_cylindraceum"	"Echinorhynchus_salmonis"	"Cystidicola_farionis"
"12"	"Coregonus_artedi"	"Salvelinus_namaycush"	"Echinorhynchus_salmonis"	"Cystidicola_farionis"
"13"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Echinorhynchus_salmonis"	"Cystidicola_farionis"
"14"	"Coregonus_artedi"	"Oncorhynchus_kisutch"	"Echinorhynchus_salmonis"	"Cystidicola_farionis"
"15"	"Coregonus_artedi"	"Osmerus_mordax"	"Echinorhynchus_salmonis"	"Cystidicola_farionis"
"16"	"Coregonus_artedi"	"Coregonus_hoyi"	"Echinorhynchus_salmonis"	"Cystidicola_farionis"
"17"	"Coregonus_artedi"	"Oncorhynchus_tshawytscha"	"Echinorhynchus_salmonis"	"Cystidicola_farionis"
"18"	"Coregonus_artedi"	"Catostomus_commersonii"	"Echinorhynchus_salmonis"	"Ichthyocotylurus_sp."
"19"	"Coregonus_artedi"	"Ambloplites_rupestris"	"Echinorhynchus_salmonis"	"Ichthyocotylurus_sp."
"20"	"Coregonus_artedi"	"Percopsis_omiscomaycus"	"Echinorhynchus_salmonis"	"Ichthyocotylurus_sp."
"21"	"Coregonus_artedi"	"Cottus_bairdii"	"Echinorhynchus_salmonis"	"Ichthyocotylurus_sp."
"22"	"Coregonus_artedi"	"Oncorhynchus_gorbuscha"	"Echinorhynchus_salmonis"	"Crepidostomum_farionis"
"23"	"Coregonus_artedi"	"Prosopium_cylindraceum"	"Echinorhynchus_salmonis"	"Crepidostomum_farionis"
"24"	"Coregonus_artedi"	"Salvelinus_namaycush"	"Echinorhynchus_salmonis"	"Crepidostomum_farionis"
"25"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Echinorhynchus_salmonis"	"Crepidostomum_farionis"
"26"	"Coregonus_artedi"	"Coregonus_hoyi"	"Echinorhynchus_salmonis"	"Crepidostomum_farionis"
"27"	"Coregonus_artedi"	"Catostomus_commersonii"	"Echinorhynchus_salmonis"	"Diplostomum_sp."
"28"	"Coregonus_artedi"	"Osmerus_mordax"	"Echinorhynchus_salmonis"	"Diplostomum_sp."
"29"	"Coregonus_artedi"	"Oncorhynchus_gorbuscha"	"Echinorhynchus_salmonis"	"Eubothrium_salvelini"
"30"	"Coregonus_artedi"	"Prosopium_cylindraceum"	"Echinorhynchus_salmonis"	"Eubothrium_salvelini"
"31"	"Coregonus_artedi"	"Salvelinus_namaycush"	"Echinorhynchus_salmonis"	"Eubothrium_salvelini"
"32"	"Coregonus_artedi"	"Oncorhynchus_kisutch"	"Echinorhynchus_salmonis"	"Eubothrium_salvelini"
"33"	"Coregonus_artedi"	"Oncorhynchus_gorbuscha"	"Echinorhynchus_salmonis"	"Diphyllobothrium_sp."
"34"	"Coregonus_artedi"	"Salvelinus_namaycush"	"Echinorhynchus_salmonis"	"Diphyllobothrium_sp."
"35"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Echinorhynchus_salmonis"	"Diphyllobothrium_sp."
"36"	"Coregonus_artedi"	"Oncorhynchus_kisutch"	"Echinorhynchus_salmonis"	"Diphyllobothrium_sp."
"37"	"Coregonus_artedi"	"Oncorhynchus_tshawytscha"	"Echinorhynchus_salmonis"	"Diphyllobothrium_sp."
"38"	"Coregonus_artedi"	"Prosopium_cylindraceum"	"Echinorhynchus_salmonis"	"Echinorhynchus_lateralis"
"39"	"Coregonus_artedi"	"Salvelinus_namaycush"	"Echinorhynchus_salmonis"	"Echinorhynchus_lateralis"
"40"	"Coregonus_artedi"	"Oncorhynchus_kisutch"	"Echinorhynchus_salmonis"	"Echinorhynchus_lateralis"
"41"	"Coregonus_artedi"	"Acipenser_fulvescens"	"Echinorhynchus_salmonis"	"Echinorhynchus_lateralis"
"42"	"Coregonus_artedi"	"Prosopium_cylindraceum"	"Echinorhynchus_salmonis"	"Ichthyocotylurus_erraticus"
"43"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Echinorhynchus_salmonis"	"Ichthyocotylurus_erraticus"
"44"	"Coregonus_artedi"	"Prosopium_cylindraceum"	"Echinorhynchus_salmonis"	"Discocotyle_sagittata"
"45"	"Coregonus_artedi"	"Salvelinus_namaycush"	"Echinorhynchus_salmonis"	"Discocotyle_sagittata"
"46"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Echinorhynchus_salmonis"	"Discocotyle_sagittata"
"47"	"Coregonus_artedi"	"Coregonus_hoyi"	"Echinorhynchus_salmonis"	"Discocotyle_sagittata"
"48"	"Coregonus_artedi"	"Catostomus_commersonii"	"Echinorhynchus_salmonis"	"Cyathocephalus_truncatus"
"49"	"Coregonus_artedi"	"Catostomus_catostomus"	"Echinorhynchus_salmonis"	"Cyathocephalus_truncatus"
"50"	"Coregonus_artedi"	"Oncorhynchus_gorbuscha"	"Echinorhynchus_salmonis"	"Cyathocephalus_truncatus"
"51"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Echinorhynchus_salmonis"	"Cyathocephalus_truncatus"
"52"	"Coregonus_artedi"	"Oncorhynchus_gorbuscha"	"Echinorhynchus_salmonis"	"Triaenophorus_crassus"
"53"	"Coregonus_artedi"	"Salvelinus_namaycush"	"Echinorhynchus_salmonis"	"Triaenophorus_crassus"
"54"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Echinorhynchus_salmonis"	"Triaenophorus_crassus"
"55"	"Coregonus_artedi"	"Coregonus_hoyi"	"Echinorhynchus_salmonis"	"Triaenophorus_crassus"
"56"	"Coregonus_artedi"	"Oncorhynchus_gorbuscha"	"Echinorhynchus_salmonis"	"Cystidicoloides_ephemeridarum"
"57"	"Coregonus_artedi"	"Salvelinus_namaycush"	"Echinorhynchus_salmonis"	"Cystidicoloides_ephemeridarum"
"58"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Echinorhynchus_salmonis"	"Cystidicoloides_ephemeridarum"
"59"	"Coregonus_artedi"	"Oncorhynchus_kisutch"	"Echinorhynchus_salmonis"	"Cystidicoloides_ephemeridarum"
"60"	"Coregonus_artedi"	"Ambloplites_rupestris"	"Echinorhynchus_salmonis"	"Clinostomum_complanatum"
"61"	"Coregonus_artedi"	"Salvelinus_namaycush"	"Echinorhynchus_salmonis"	"Cystidicola_stigmatura"
"62"	"Coregonus_artedi"	"Osmerus_mordax"	"Echinorhynchus_salmonis"	"Cystidicola_stigmatura"
"63"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Echinorhynchus_salmonis"	"Proteocephalus_exiguus"
"64"	"Coregonus_artedi"	"Coregonus_hoyi"	"Echinorhynchus_salmonis"	"Proteocephalus_exiguus"
"65"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Echinorhynchus_salmonis"	"Proteocephalus_laruei"
"66"	"Coregonus_artedi"	"Coregonus_hoyi"	"Echinorhynchus_salmonis"	"Proteocephalus_laruei"
"67"	"Coregonus_artedi"	"Catostomus_commersonii"	"Echinorhynchus_salmonis"	"Neoechinorhynchus_crassus"
