"R1"	"R2"	"C1"	"C2"
"1"	"Perca_fluviatilis"	"Rutilus_rutilus"	"Ergasilus_sieboldi"	"Tylodelphys_clavata"
"2"	"Perca_fluviatilis"	"Abramiz_brama"	"Ergasilus_sieboldi"	"Tylodelphys_clavata"
"3"	"Perca_fluviatilis"	"Scardinius_erythrophtalmus"	"Ergasilus_sieboldi"	"Tylodelphys_clavata"
"4"	"Perca_fluviatilis"	"Esox_lucius"	"Ergasilus_sieboldi"	"Tylodelphys_clavata"
"5"	"Perca_fluviatilis"	"Esox_lucius"	"Ergasilus_sieboldi"	"Triaenophorus_nodulosus"
"6"	"Perca_fluviatilis"	"Esox_lucius"	"Ergasilus_sieboldi"	"Camallanus_lacustris"
"7"	"Perca_fluviatilis"	"Sander_lucioperca"	"Ergasilus_sieboldi"	"Hysterothylacium_aduncum"
"8"	"Rutilus_rutilus"	"Abramiz_brama"	"Ergasilus_sieboldi"	"Tylodelphys_clavata"
"9"	"Rutilus_rutilus"	"Scardinius_erythrophtalmus"	"Ergasilus_sieboldi"	"Tylodelphys_clavata"
"10"	"Rutilus_rutilus"	"Esox_lucius"	"Ergasilus_sieboldi"	"Tylodelphys_clavata"
"11"	"Rutilus_rutilus"	"Abramiz_brama"	"Ergasilus_sieboldi"	"Posthodiplostomum_cuticola"
"12"	"Rutilus_rutilus"	"Scardinius_erythrophtalmus"	"Ergasilus_sieboldi"	"Posthodiplostomum_cuticola"
"13"	"Rutilus_rutilus"	"Abramiz_brama"	"Ergasilus_sieboldi"	"Diplozoon_paradoxum"
"14"	"Rutilus_rutilus"	"Scardinius_erythrophtalmus"	"Ergasilus_sieboldi"	"Diplozoon_paradoxum"
"15"	"Rutilus_rutilus"	"Abramiz_brama"	"Ergasilus_sieboldi"	"Caryophyllaeus_laticeps"
"16"	"Abramiz_brama"	"Scardinius_erythrophtalmus"	"Ergasilus_sieboldi"	"Tylodelphys_clavata"
"17"	"Abramiz_brama"	"Esox_lucius"	"Ergasilus_sieboldi"	"Tylodelphys_clavata"
"18"	"Abramiz_brama"	"Scardinius_erythrophtalmus"	"Ergasilus_sieboldi"	"Posthodiplostomum_cuticola"
"19"	"Abramiz_brama"	"Scardinius_erythrophtalmus"	"Ergasilus_sieboldi"	"Diplozoon_paradoxum"
"20"	"Scardinius_erythrophtalmus"	"Esox_lucius"	"Ergasilus_sieboldi"	"Tylodelphys_clavata"
"21"	"Perca_fluviatilis"	"Esox_lucius"	"Tylodelphys_clavata"	"Triaenophorus_nodulosus"
"22"	"Perca_fluviatilis"	"Esox_lucius"	"Tylodelphys_clavata"	"Camallanus_lacustris"
"23"	"Rutilus_rutilus"	"Abramiz_brama"	"Tylodelphys_clavata"	"Posthodiplostomum_cuticola"
"24"	"Rutilus_rutilus"	"Scardinius_erythrophtalmus"	"Tylodelphys_clavata"	"Posthodiplostomum_cuticola"
"25"	"Rutilus_rutilus"	"Abramiz_brama"	"Tylodelphys_clavata"	"Diplozoon_paradoxum"
"26"	"Rutilus_rutilus"	"Scardinius_erythrophtalmus"	"Tylodelphys_clavata"	"Diplozoon_paradoxum"
"27"	"Rutilus_rutilus"	"Abramiz_brama"	"Tylodelphys_clavata"	"Caryophyllaeus_laticeps"
"28"	"Abramiz_brama"	"Scardinius_erythrophtalmus"	"Tylodelphys_clavata"	"Posthodiplostomum_cuticola"
"29"	"Abramiz_brama"	"Scardinius_erythrophtalmus"	"Tylodelphys_clavata"	"Diplozoon_paradoxum"
"30"	"Rutilus_rutilus"	"Abramiz_brama"	"Posthodiplostomum_cuticola"	"Diplozoon_paradoxum"
"31"	"Rutilus_rutilus"	"Scardinius_erythrophtalmus"	"Posthodiplostomum_cuticola"	"Diplozoon_paradoxum"
"32"	"Rutilus_rutilus"	"Abramiz_brama"	"Posthodiplostomum_cuticola"	"Caryophyllaeus_laticeps"
"33"	"Abramiz_brama"	"Scardinius_erythrophtalmus"	"Posthodiplostomum_cuticola"	"Diplozoon_paradoxum"
"34"	"Rutilus_rutilus"	"Abramiz_brama"	"Diplozoon_paradoxum"	"Caryophyllaeus_laticeps"
"35"	"Perca_fluviatilis"	"Esox_lucius"	"Triaenophorus_nodulosus"	"Camallanus_lacustris"
