"R1"	"R2"	"C1"	"C2"
"1"	"Lepomis_gibbosus"	"Ambloplites_rupestris"	"Diplostomum_spathaceum"	"Echinorhynchus_salmonis"
"2"	"Lepomis_gibbosus"	"Sander_vitreus"	"Diplostomum_spathaceum"	"Echinorhynchus_salmonis"
"3"	"Lepomis_gibbosus"	"Coregonus_clupeaformis"	"Diplostomum_spathaceum"	"Echinorhynchus_salmonis"
"4"	"Lepomis_gibbosus"	"Morone_chrysops"	"Diplostomum_spathaceum"	"Echinorhynchus_salmonis"
"5"	"Lepomis_gibbosus"	"Coregonus_artedi"	"Diplostomum_spathaceum"	"Echinorhynchus_salmonis"
"6"	"Lepomis_gibbosus"	"Esox_lucius"	"Diplostomum_spathaceum"	"Echinorhynchus_salmonis"
"7"	"Lepomis_gibbosus"	"Percopsis_omiscomaycus"	"Diplostomum_spathaceum"	"Echinorhynchus_salmonis"
"8"	"Lepomis_gibbosus"	"Anguilla_rostrata"	"Diplostomum_spathaceum"	"Echinorhynchus_salmonis"
"9"	"Lepomis_gibbosus"	"Gasterosteus_aculeatus"	"Diplostomum_spathaceum"	"Echinorhynchus_salmonis"
"10"	"Lepomis_gibbosus"	"Acipenser_fulvescens"	"Diplostomum_spathaceum"	"Echinorhynchus_salmonis"
"11"	"Lepomis_gibbosus"	"Osmerus_mordax"	"Diplostomum_spathaceum"	"Echinorhynchus_salmonis"
"12"	"Lepomis_gibbosus"	"Salvelinus_fontinalis"	"Diplostomum_spathaceum"	"Echinorhynchus_salmonis"
"13"	"Lepomis_gibbosus"	"Oncorhynchus_mykiss"	"Diplostomum_spathaceum"	"Echinorhynchus_salmonis"
"14"	"Lepomis_gibbosus"	"Salvelinus_namaycush"	"Diplostomum_spathaceum"	"Echinorhynchus_salmonis"
"15"	"Lepomis_gibbosus"	"Micropterus_dolomieu"	"Diplostomum_spathaceum"	"Ichthyocotylurus_sp."
"16"	"Lepomis_gibbosus"	"Morone_americana"	"Diplostomum_spathaceum"	"Ichthyocotylurus_sp."
"17"	"Lepomis_gibbosus"	"Sander_vitreus"	"Diplostomum_spathaceum"	"Ichthyocotylurus_sp."
"18"	"Lepomis_gibbosus"	"Notropis_hudsonius"	"Diplostomum_spathaceum"	"Ichthyocotylurus_sp."
"19"	"Lepomis_gibbosus"	"Morone_chrysops"	"Diplostomum_spathaceum"	"Ichthyocotylurus_sp."
"20"	"Lepomis_gibbosus"	"Pomoxis_nigromaculatus"	"Diplostomum_spathaceum"	"Ichthyocotylurus_sp."
"21"	"Lepomis_gibbosus"	"Esox_lucius"	"Diplostomum_spathaceum"	"Ichthyocotylurus_sp."
"22"	"Lepomis_gibbosus"	"Aplodinotus_grunniens"	"Diplostomum_spathaceum"	"Ichthyocotylurus_sp."
"23"	"Lepomis_gibbosus"	"Osmerus_mordax"	"Diplostomum_spathaceum"	"Ichthyocotylurus_sp."
"24"	"Lepomis_gibbosus"	"Umbra_limi"	"Diplostomum_spathaceum"	"Ichthyocotylurus_sp."
"25"	"Lepomis_gibbosus"	"Etheostoma_exile"	"Diplostomum_spathaceum"	"Ichthyocotylurus_sp."
"26"	"Lepomis_gibbosus"	"Couesius_plumbeus"	"Diplostomum_spathaceum"	"Ichthyocotylurus_sp."
"27"	"Lepomis_gibbosus"	"Ambloplites_rupestris"	"Diplostomum_spathaceum"	"Leptorhynchoides_thecatus"
"28"	"Lepomis_gibbosus"	"Micropterus_dolomieu"	"Diplostomum_spathaceum"	"Leptorhynchoides_thecatus"
"29"	"Lepomis_gibbosus"	"Morone_americana"	"Diplostomum_spathaceum"	"Leptorhynchoides_thecatus"
"30"	"Lepomis_gibbosus"	"Micropterus_salmoides"	"Diplostomum_spathaceum"	"Leptorhynchoides_thecatus"
"31"	"Lepomis_gibbosus"	"Sander_vitreus"	"Diplostomum_spathaceum"	"Leptorhynchoides_thecatus"
"32"	"Lepomis_gibbosus"	"Morone_chrysops"	"Diplostomum_spathaceum"	"Leptorhynchoides_thecatus"
"33"	"Lepomis_gibbosus"	"Pomoxis_nigromaculatus"	"Diplostomum_spathaceum"	"Leptorhynchoides_thecatus"
"34"	"Lepomis_gibbosus"	"Esox_lucius"	"Diplostomum_spathaceum"	"Leptorhynchoides_thecatus"
"35"	"Lepomis_gibbosus"	"Aplodinotus_grunniens"	"Diplostomum_spathaceum"	"Leptorhynchoides_thecatus"
"36"	"Lepomis_gibbosus"	"Fundulus_diaphanus"	"Diplostomum_spathaceum"	"Leptorhynchoides_thecatus"
"37"	"Lepomis_gibbosus"	"Anguilla_rostrata"	"Diplostomum_spathaceum"	"Leptorhynchoides_thecatus"
"38"	"Lepomis_gibbosus"	"Etheostoma_nigrum"	"Diplostomum_spathaceum"	"Leptorhynchoides_thecatus"
"39"	"Lepomis_gibbosus"	"Lepisosteus_osseus"	"Diplostomum_spathaceum"	"Leptorhynchoides_thecatus"
"40"	"Lepomis_gibbosus"	"Ambloplites_rupestris"	"Diplostomum_spathaceum"	"Proteocephalus_ambloplitis"
"41"	"Lepomis_gibbosus"	"Micropterus_dolomieu"	"Diplostomum_spathaceum"	"Proteocephalus_ambloplitis"
"42"	"Lepomis_gibbosus"	"Morone_americana"	"Diplostomum_spathaceum"	"Proteocephalus_ambloplitis"
"43"	"Lepomis_gibbosus"	"Micropterus_salmoides"	"Diplostomum_spathaceum"	"Proteocephalus_ambloplitis"
"44"	"Lepomis_gibbosus"	"Fundulus_diaphanus"	"Diplostomum_spathaceum"	"Proteocephalus_ambloplitis"
"45"	"Lepomis_gibbosus"	"Lepisosteus_osseus"	"Diplostomum_spathaceum"	"Proteocephalus_ambloplitis"
"46"	"Lepomis_gibbosus"	"Micropterus_dolomieu"	"Diplostomum_spathaceum"	"Triaenophorus_nodulosus"
"47"	"Lepomis_gibbosus"	"Catostomus_commersonii"	"Diplostomum_spathaceum"	"Triaenophorus_nodulosus"
"48"	"Lepomis_gibbosus"	"Morone_americana"	"Diplostomum_spathaceum"	"Triaenophorus_nodulosus"
"49"	"Lepomis_gibbosus"	"Notropis_hudsonius"	"Diplostomum_spathaceum"	"Triaenophorus_nodulosus"
"50"	"Lepomis_gibbosus"	"Morone_chrysops"	"Diplostomum_spathaceum"	"Triaenophorus_nodulosus"
"51"	"Lepomis_gibbosus"	"Esox_lucius"	"Diplostomum_spathaceum"	"Triaenophorus_nodulosus"
"52"	"Lepomis_gibbosus"	"Acipenser_fulvescens"	"Diplostomum_spathaceum"	"Triaenophorus_nodulosus"
"53"	"Lepomis_gibbosus"	"Ambloplites_rupestris"	"Diplostomum_spathaceum"	"Myxobolus_sp."
"54"	"Lepomis_gibbosus"	"Micropterus_salmoides"	"Diplostomum_spathaceum"	"Myxobolus_sp."
"55"	"Lepomis_gibbosus"	"Sander_vitreus"	"Diplostomum_spathaceum"	"Myxobolus_sp."
"56"	"Lepomis_gibbosus"	"Notemigonus_crysoleucas"	"Diplostomum_spathaceum"	"Myxobolus_sp."
"57"	"Lepomis_gibbosus"	"Pomoxis_nigromaculatus"	"Diplostomum_spathaceum"	"Myxobolus_sp."
"58"	"Lepomis_gibbosus"	"Ambloplites_rupestris"	"Diplostomum_spathaceum"	"Camallanus_oxycephalus"
"59"	"Lepomis_gibbosus"	"Micropterus_dolomieu"	"Diplostomum_spathaceum"	"Camallanus_oxycephalus"
"60"	"Lepomis_gibbosus"	"Notemigonus_crysoleucas"	"Diplostomum_spathaceum"	"Camallanus_oxycephalus"
"61"	"Lepomis_gibbosus"	"Pomoxis_nigromaculatus"	"Diplostomum_spathaceum"	"Camallanus_oxycephalus"
"62"	"Lepomis_gibbosus"	"Esox_lucius"	"Diplostomum_spathaceum"	"Camallanus_oxycephalus"
"63"	"Lepomis_gibbosus"	"Fundulus_diaphanus"	"Diplostomum_spathaceum"	"Camallanus_oxycephalus"
"64"	"Lepomis_gibbosus"	"Etheostoma_exile"	"Diplostomum_spathaceum"	"Camallanus_oxycephalus"
"65"	"Lepomis_gibbosus"	"Ambloplites_rupestris"	"Diplostomum_spathaceum"	"Eustrongylides_tubifex"
"66"	"Lepomis_gibbosus"	"Micropterus_dolomieu"	"Diplostomum_spathaceum"	"Eustrongylides_tubifex"
"67"	"Lepomis_gibbosus"	"Morone_americana"	"Diplostomum_spathaceum"	"Eustrongylides_tubifex"
"68"	"Lepomis_gibbosus"	"Sander_vitreus"	"Diplostomum_spathaceum"	"Eustrongylides_tubifex"
"69"	"Lepomis_gibbosus"	"Aplodinotus_grunniens"	"Diplostomum_spathaceum"	"Eustrongylides_tubifex"
"70"	"Lepomis_gibbosus"	"Ambloplites_rupestris"	"Diplostomum_spathaceum"	"Ergasilus_caeruleus"
"71"	"Lepomis_gibbosus"	"Catostomus_commersonii"	"Diplostomum_spathaceum"	"Ergasilus_caeruleus"
"72"	"Lepomis_gibbosus"	"Sander_vitreus"	"Diplostomum_spathaceum"	"Ergasilus_caeruleus"
"73"	"Lepomis_gibbosus"	"Pomoxis_nigromaculatus"	"Diplostomum_spathaceum"	"Ergasilus_caeruleus"
"74"	"Lepomis_gibbosus"	"Cyprinus_carpio"	"Diplostomum_spathaceum"	"Ergasilus_caeruleus"
"75"	"Lepomis_gibbosus"	"Ambloplites_rupestris"	"Diplostomum_spathaceum"	"Clinostomum_complanatum"
"76"	"Lepomis_gibbosus"	"Morone_americana"	"Diplostomum_spathaceum"	"Clinostomum_complanatum"
"77"	"Lepomis_gibbosus"	"Micropterus_salmoides"	"Diplostomum_spathaceum"	"Clinostomum_complanatum"
"78"	"Lepomis_gibbosus"	"Aplodinotus_grunniens"	"Diplostomum_spathaceum"	"Clinostomum_complanatum"
"79"	"Lepomis_gibbosus"	"Micropterus_dolomieu"	"Diplostomum_spathaceum"	"Azygia_angusticauda"
"80"	"Lepomis_gibbosus"	"Micropterus_salmoides"	"Diplostomum_spathaceum"	"Azygia_angusticauda"
"81"	"Lepomis_gibbosus"	"Sander_vitreus"	"Diplostomum_spathaceum"	"Azygia_angusticauda"
"82"	"Lepomis_gibbosus"	"Esox_lucius"	"Diplostomum_spathaceum"	"Azygia_angusticauda"
"83"	"Lepomis_gibbosus"	"Ambloplites_rupestris"	"Diplostomum_spathaceum"	"Hysterothylacium_brachyurum"
"84"	"Lepomis_gibbosus"	"Micropterus_dolomieu"	"Diplostomum_spathaceum"	"Hysterothylacium_brachyurum"
"85"	"Lepomis_gibbosus"	"Sander_vitreus"	"Diplostomum_spathaceum"	"Hysterothylacium_brachyurum"
"86"	"Lepomis_gibbosus"	"Coregonus_artedi"	"Diplostomum_spathaceum"	"Hysterothylacium_brachyurum"
"87"	"Lepomis_gibbosus"	"Ambloplites_rupestris"	"Diplostomum_spathaceum"	"Myzobdella_lugubris"
"88"	"Lepomis_gibbosus"	"Micropterus_dolomieu"	"Diplostomum_spathaceum"	"Myzobdella_lugubris"
"89"	"Lepomis_gibbosus"	"Pomoxis_nigromaculatus"	"Diplostomum_spathaceum"	"Myzobdella_lugubris"
"90"	"Lepomis_gibbosus"	"Ambloplites_rupestris"	"Diplostomum_spathaceum"	"Uvulifer_ambloplitis"
"91"	"Lepomis_gibbosus"	"Micropterus_dolomieu"	"Diplostomum_spathaceum"	"Uvulifer_ambloplitis"
"92"	"Lepomis_gibbosus"	"Sander_vitreus"	"Diplostomum_spathaceum"	"Uvulifer_ambloplitis"
"93"	"Lepomis_gibbosus"	"Esox_lucius"	"Diplostomum_spathaceum"	"Uvulifer_ambloplitis"
"94"	"Lepomis_gibbosus"	"Micropterus_dolomieu"	"Diplostomum_spathaceum"	"Dichelyne_cotylophora"
"95"	"Lepomis_gibbosus"	"Morone_americana"	"Diplostomum_spathaceum"	"Dichelyne_cotylophora"
"96"	"Lepomis_gibbosus"	"Sander_vitreus"	"Diplostomum_spathaceum"	"Dichelyne_cotylophora"
"97"	"Lepomis_gibbosus"	"Ambloplites_rupestris"	"Diplostomum_spathaceum"	"Ergasilus_centrarchidarum"
"98"	"Lepomis_gibbosus"	"Micropterus_dolomieu"	"Diplostomum_spathaceum"	"Ergasilus_centrarchidarum"
"99"	"Lepomis_gibbosus"	"Micropterus_salmoides"	"Diplostomum_spathaceum"	"Ergasilus_centrarchidarum"
"100"	"Lepomis_gibbosus"	"Morone_chrysops"	"Diplostomum_spathaceum"	"Ergasilus_centrarchidarum"
"101"	"Lepomis_gibbosus"	"Fundulus_diaphanus"	"Diplostomum_spathaceum"	"Gyrodactylus_avalonia"
"102"	"Lepomis_gibbosus"	"Gasterosteus_aculeatus"	"Diplostomum_spathaceum"	"Gyrodactylus_avalonia"
"103"	"Lepomis_gibbosus"	"Micropterus_dolomieu"	"Diplostomum_spathaceum"	"Gyrodactylus_macrochiri"
"104"	"Lepomis_gibbosus"	"Micropterus_salmoides"	"Diplostomum_spathaceum"	"Gyrodactylus_macrochiri"
"105"	"Lepomis_gibbosus"	"Ambloplites_rupestris"	"Diplostomum_spathaceum"	"Achtheres_pimelodi"
"106"	"Lepomis_gibbosus"	"Micropterus_dolomieu"	"Diplostomum_spathaceum"	"Achtheres_pimelodi"
"107"	"Lepomis_gibbosus"	"Micropterus_salmoides"	"Diplostomum_spathaceum"	"Achtheres_pimelodi"
"108"	"Lepomis_gibbosus"	"Ambloplites_rupestris"	"Diplostomum_spathaceum"	"Glochidia_of_Lampsilis_radiata_siliquoidea"
"109"	"Lepomis_gibbosus"	"Morone_americana"	"Diplostomum_spathaceum"	"Glochidia_of_Lampsilis_radiata_siliquoidea"
"110"	"Lepomis_gibbosus"	"Micropterus_dolomieu"	"Diplostomum_spathaceum"	"Posthodiplostomum_minimum_centrarchi"
"111"	"Lepomis_gibbosus"	"Micropterus_dolomieu"	"Diplostomum_spathaceum"	"Onchocleidus_ferox"
"112"	"Lepomis_gibbosus"	"Micropterus_dolomieu"	"Diplostomum_spathaceum"	"Urocleidus_dispar"
"113"	"Lepomis_gibbosus"	"Morone_americana"	"Diplostomum_spathaceum"	"Spinitectus_carolini"
"114"	"Lepomis_gibbosus"	"Ambloplites_rupestris"	"Diplostomum_spathaceum"	"Proterometra_macrostoma"
