"R1"	"R2"	"C1"	"C2"
"1"	"Coregonus_clupeaformis"	"Prosopium_cylindraceum"	"Discocotyle_sagittata"	"Crepidostomum_farionis"
"2"	"Coregonus_clupeaformis"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Crepidostomum_farionis"
"3"	"Coregonus_clupeaformis"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Crepidostomum_farionis"
"4"	"Coregonus_clupeaformis"	"Prosopium_cylindraceum"	"Discocotyle_sagittata"	"Diplostomum_spathaceum_(L)"
"5"	"Coregonus_clupeaformis"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Diplostomum_spathaceum_(L)"
"6"	"Coregonus_clupeaformis"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Diplostomum_spathaceum_(L)"
"7"	"Coregonus_clupeaformis"	"Prosopium_cylindraceum"	"Discocotyle_sagittata"	"Tetracotyle_sp._(L)"
"8"	"Coregonus_clupeaformis"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Tetracotyle_sp._(L)"
"9"	"Coregonus_clupeaformis"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Tetracotyle_sp._(L)"
"10"	"Coregonus_clupeaformis"	"Prosopium_cylindraceum"	"Discocotyle_sagittata"	"Cyathocephalus_truncatus"
"11"	"Coregonus_clupeaformis"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Cyathocephalus_truncatus"
"12"	"Coregonus_clupeaformis"	"Prosopium_cylindraceum"	"Discocotyle_sagittata"	"Diphyllobothrium_sp._(L)"
"13"	"Coregonus_clupeaformis"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Diphyllobothrium_sp._(L)"
"14"	"Coregonus_clupeaformis"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Diphyllobothrium_sp._(L)"
"15"	"Coregonus_clupeaformis"	"Prosopium_cylindraceum"	"Discocotyle_sagittata"	"Eubothrium_salvelini"
"16"	"Coregonus_clupeaformis"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Eubothrium_salvelini"
"17"	"Coregonus_clupeaformis"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Eubothrium_salvelini"
"18"	"Coregonus_clupeaformis"	"Prosopium_cylindraceum"	"Discocotyle_sagittata"	"Proteocephalus_tumidocollus"
"19"	"Coregonus_clupeaformis"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Proteocephalus_tumidocollus"
"20"	"Coregonus_clupeaformis"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Proteocephalus_tumidocollus"
"21"	"Coregonus_clupeaformis"	"Prosopium_cylindraceum"	"Discocotyle_sagittata"	"Triaenophorus_crassus_(L)"
"22"	"Coregonus_clupeaformis"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Triaenophorus_crassus_(L)"
"23"	"Coregonus_clupeaformis"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Triaenophorus_crassus_(L)"
"24"	"Coregonus_clupeaformis"	"Prosopium_cylindraceum"	"Discocotyle_sagittata"	"Cystidicola_farionis"
"25"	"Coregonus_clupeaformis"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Cystidicola_farionis"
"26"	"Coregonus_clupeaformis"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Cystidicola_farionis"
"27"	"Coregonus_clupeaformis"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Raphidascaris_acus_(L)"
"28"	"Coregonus_clupeaformis"	"Prosopium_cylindraceum"	"Discocotyle_sagittata"	"Neoechinorhynchus_tumidus"
"29"	"Coregonus_clupeaformis"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Neoechinorhynchus_tumidus"
"30"	"Coregonus_clupeaformis"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Neoechinorhynchus_tumidus"
"31"	"Coregonus_clupeaformis"	"Prosopium_cylindraceum"	"Discocotyle_sagittata"	"Piscicola_milneri"
"32"	"Coregonus_clupeaformis"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Piscicola_milneri"
"33"	"Prosopium_cylindraceum"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Crepidostomum_farionis"
"34"	"Prosopium_cylindraceum"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Crepidostomum_farionis"
"35"	"Prosopium_cylindraceum"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Diplostomum_spathaceum_(L)"
"36"	"Prosopium_cylindraceum"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Diplostomum_spathaceum_(L)"
"37"	"Prosopium_cylindraceum"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Tetracotyle_sp._(L)"
"38"	"Prosopium_cylindraceum"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Tetracotyle_sp._(L)"
"39"	"Prosopium_cylindraceum"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Cyathocephalus_truncatus"
"40"	"Prosopium_cylindraceum"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Diphyllobothrium_sp._(L)"
"41"	"Prosopium_cylindraceum"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Diphyllobothrium_sp._(L)"
"42"	"Prosopium_cylindraceum"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Eubothrium_salvelini"
"43"	"Prosopium_cylindraceum"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Eubothrium_salvelini"
"44"	"Prosopium_cylindraceum"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Proteocephalus_tumidocollus"
"45"	"Prosopium_cylindraceum"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Proteocephalus_tumidocollus"
"46"	"Prosopium_cylindraceum"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Triaenophorus_crassus_(L)"
"47"	"Prosopium_cylindraceum"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Triaenophorus_crassus_(L)"
"48"	"Prosopium_cylindraceum"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Capillaria_salvelini"
"49"	"Prosopium_cylindraceum"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Capillaria_salvelini"
"50"	"Prosopium_cylindraceum"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Cystidicola_farionis"
"51"	"Prosopium_cylindraceum"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Cystidicola_farionis"
"52"	"Prosopium_cylindraceum"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Neoechinorhynchus_tumidus"
"53"	"Prosopium_cylindraceum"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Neoechinorhynchus_tumidus"
"54"	"Prosopium_cylindraceum"	"Salvelinus_namaycush"	"Discocotyle_sagittata"	"Piscicola_milneri"
"55"	"Salvelinus_namaycush"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Crepidostomum_farionis"
"56"	"Salvelinus_namaycush"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Diplostomum_spathaceum_(L)"
"57"	"Salvelinus_namaycush"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Tetracotyle_sp._(L)"
"58"	"Salvelinus_namaycush"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Diphyllobothrium_sp._(L)"
"59"	"Salvelinus_namaycush"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Eubothrium_salvelini"
"60"	"Salvelinus_namaycush"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Proteocephalus_tumidocollus"
"61"	"Salvelinus_namaycush"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Triaenophorus_crassus_(L)"
"62"	"Salvelinus_namaycush"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Capillaria_salvelini"
"63"	"Salvelinus_namaycush"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Cystidicola_farionis"
"64"	"Salvelinus_namaycush"	"Thymallus_arcticus"	"Discocotyle_sagittata"	"Neoechinorhynchus_tumidus"
"65"	"Esox_lucius"	"Thymallus_arcticus"	"Allocreadium_isosporum"	"Crepidostomum_farionis"
"66"	"Esox_lucius"	"Thymallus_arcticus"	"Allocreadium_isosporum"	"Diplostomum_spathaceum_(L)"
"67"	"Esox_lucius"	"Thymallus_arcticus"	"Allocreadium_isosporum"	"Proteocephalus_tumidocollus"
