"R1"	"R2"	"C1"	"C2"
"1"	"Arvicola_terrestris"	"Sorex_araneus"	"Ctenophthalmus_assimilis"	"Megabothris_walkeri"
"2"	"Arvicola_terrestris"	"Clethrionomys_rutilus"	"Ctenophthalmus_assimilis"	"Megabothris_walkeri"
"3"	"Arvicola_terrestris"	"Microtus_gregalis"	"Ctenophthalmus_assimilis"	"Megabothris_walkeri"
"4"	"Arvicola_terrestris"	"Apodemus_agrarius"	"Ctenophthalmus_assimilis"	"Megabothris_walkeri"
"5"	"Arvicola_terrestris"	"Neomys_fodiens"	"Ctenophthalmus_assimilis"	"Megabothris_walkeri"
"6"	"Arvicola_terrestris"	"Microtus_agrestis"	"Ctenophthalmus_assimilis"	"Megabothris_walkeri"
"7"	"Arvicola_terrestris"	"Microtus_oeconomus"	"Ctenophthalmus_assimilis"	"Megabothris_walkeri"
"8"	"Arvicola_terrestris"	"Clethrionomys_glareolus"	"Ctenophthalmus_assimilis"	"Megabothris_walkeri"
"9"	"Arvicola_terrestris"	"Cricetus_cricetus"	"Ctenophthalmus_assimilis"	"Megabothris_walkeri"
"10"	"Arvicola_terrestris"	"Sorex_araneus"	"Ctenophthalmus_assimilis"	"Palaeopsylla_soricis"
"11"	"Arvicola_terrestris"	"Clethrionomys_rutilus"	"Ctenophthalmus_assimilis"	"Palaeopsylla_soricis"
"12"	"Arvicola_terrestris"	"Microtus_gregalis"	"Ctenophthalmus_assimilis"	"Palaeopsylla_soricis"
"13"	"Arvicola_terrestris"	"Neomys_fodiens"	"Ctenophthalmus_assimilis"	"Palaeopsylla_soricis"
"14"	"Arvicola_terrestris"	"Sicista_betulina"	"Ctenophthalmus_assimilis"	"Palaeopsylla_soricis"
"15"	"Arvicola_terrestris"	"Talpa_europaea"	"Ctenophthalmus_assimilis"	"Palaeopsylla_soricis"
"16"	"Arvicola_terrestris"	"Cricetus_cricetus"	"Ctenophthalmus_assimilis"	"Palaeopsylla_soricis"
