"R1"	"R2"	"C1"	"C2"
"1"	"Saurauia_ferox"	"Mallotus_wrayi"	"Haaniella_echinata"	"Necrosciinae"
"2"	"Saurauia_ferox"	"Aglaia_sp."	"Haaniella_echinata"	"Necrosciinae"
"3"	"Popowia_pisocarpa"	"Mallotus_wrayi"	"Haaniella_echinata"	"Lonchodes_hosei_herberti"
"4"	"Mallotus_floribundus"	"Mallotus_wrayi"	"Haaniella_echinata"	"Asceles_margaritatus"
"5"	"Mallotus_floribundus"	"Aglaia_sp."	"Haaniella_echinata"	"Asceles_margaritatus"
"6"	"Mallotus_floribundus"	"Brownlowia_peltata"	"Haaniella_echinata"	"Asceles_margaritatus"
"7"	"Mallotus_floribundus"	"Urophyllum_sp."	"Haaniella_echinata"	"Unidentified_juveniles"
"8"	"Mallotus_wrayi"	"Aglaia_sp."	"Haaniella_echinata"	"Necrosciinae"
"9"	"Mallotus_wrayi"	"Aglaia_sp."	"Haaniella_echinata"	"Asceles_margaritatus"
"10"	"Mallotus_wrayi"	"Brownlowia_peltata"	"Haaniella_echinata"	"Asceles_margaritatus"
"11"	"Aglaia_sp."	"Brownlowia_peltata"	"Haaniella_echinata"	"Asceles_margaritatus"
"12"	"Mallotus_wrayi"	"Aglaia_sp."	"Necrosciinae"	"Asceles_margaritatus"
"13"	"Diospyros_sp."	"Mallotus_wrayi"	"Asceles_margaritatus"	"Lonchodes_hosei_herberti"
