"R1"	"R2"	"C1"	"C2"
"1"	"Carex"	"Vaccinium_calycinum"	"Scotorythra_complex"	"Thyrocopa_complex"
"2"	"Carex"	"Dicranopteris_linearis"	"Scotorythra_complex"	"Thyrocopa_complex"
"3"	"Carex"	"Metrosideros_polymorpha"	"Scotorythra_complex"	"Thyrocopa_complex"
"4"	"Carex"	"Rubus_argutus"	"Scotorythra_complex"	"Thyrocopa_complex"
"5"	"Carex"	"Coprosma_kauensis"	"Scotorythra_complex"	"Thyrocopa_complex"
"6"	"Vaccinium_calycinum"	"Dicranopteris_linearis"	"Scotorythra_complex"	"Thyrocopa_complex"
"7"	"Vaccinium_calycinum"	"Metrosideros_polymorpha"	"Scotorythra_complex"	"Thyrocopa_complex"
"8"	"Vaccinium_calycinum"	"Rubus_argutus"	"Scotorythra_complex"	"Thyrocopa_complex"
"9"	"Vaccinium_calycinum"	"Coprosma_kauensis"	"Scotorythra_complex"	"Thyrocopa_complex"
"10"	"Vaccinium_calycinum"	"Metrosideros_polymorpha"	"Scotorythra_complex"	"Eupithecia_orichloris"
"11"	"Vaccinium_calycinum"	"Coprosma_kauensis"	"Scotorythra_complex"	"Eupithecia_orichloris"
"12"	"Dicranopteris_linearis"	"Metrosideros_polymorpha"	"Scotorythra_complex"	"Thyrocopa_complex"
"13"	"Dicranopteris_linearis"	"Rubus_argutus"	"Scotorythra_complex"	"Thyrocopa_complex"
"14"	"Dicranopteris_linearis"	"Coprosma_kauensis"	"Scotorythra_complex"	"Thyrocopa_complex"
"15"	"Metrosideros_polymorpha"	"Rubus_argutus"	"Scotorythra_complex"	"Thyrocopa_complex"
"16"	"Metrosideros_polymorpha"	"Coprosma_kauensis"	"Scotorythra_complex"	"Thyrocopa_complex"
"17"	"Metrosideros_polymorpha"	"Coprosma_kauensis"	"Scotorythra_complex"	"Eupithecia_orichloris"
"18"	"Rubus_argutus"	"Coprosma_kauensis"	"Scotorythra_complex"	"Thyrocopa_complex"
"19"	"Vaccinium_calycinum"	"Metrosideros_polymorpha"	"Thyrocopa_complex"	"Eupithecia_orichloris"
"20"	"Vaccinium_calycinum"	"Coprosma_kauensis"	"Thyrocopa_complex"	"Eupithecia_orichloris"
"21"	"Metrosideros_polymorpha"	"Coprosma_kauensis"	"Thyrocopa_complex"	"Eupithecia_orichloris"
