"R1"	"R2"	"C1"	"C2"
"1"	"Angelica_sylvestris"	"Chaerophyllum_temulentum"	"Unidentified_sp1_M_PL_038"	"Meligethes_sp1_M_PL_038"
"2"	"Angelica_sylvestris"	"Stachys_sylvatica"	"Unidentified_sp1_M_PL_038"	"Meligethes_sp1_M_PL_038"
"3"	"Angelica_sylvestris"	"Lapsana_communis"	"Unidentified_sp1_M_PL_038"	"Meligethes_sp1_M_PL_038"
"4"	"Angelica_sylvestris"	"Chaerophyllum_temulentum"	"Unidentified_sp1_M_PL_038"	"Unidentified_sp2_M_PL_038"
"5"	"Angelica_sylvestris"	"Stachys_sylvatica"	"Unidentified_sp1_M_PL_038"	"Unidentified_sp2_M_PL_038"
"6"	"Angelica_sylvestris"	"Chaerophyllum_temulentum"	"Unidentified_sp1_M_PL_038"	"Crambus_pratella"
"7"	"Angelica_sylvestris"	"Stachys_sylvatica"	"Unidentified_sp1_M_PL_038"	"Crambus_pratella"
"8"	"Angelica_sylvestris"	"Chaerophyllum_temulentum"	"Unidentified_sp1_M_PL_038"	"Dasytes_plumbeus"
"9"	"Angelica_sylvestris"	"Chaerophyllum_temulentum"	"Unidentified_sp1_M_PL_038"	"Unidentified_sp3_M_PL_038"
"10"	"Angelica_sylvestris"	"Lapsana_communis"	"Unidentified_sp1_M_PL_038"	"Unidentified_sp3_M_PL_038"
"11"	"Angelica_sylvestris"	"Chaerophyllum_temulentum"	"Unidentified_sp1_M_PL_038"	"Anaspis_rufilabris"
"12"	"Angelica_sylvestris"	"Chaerophyllum_temulentum"	"Unidentified_sp1_M_PL_038"	"Chrysogaster_solstitialis"
"13"	"Angelica_sylvestris"	"Chaerophyllum_temulentum"	"Unidentified_sp1_M_PL_038"	"Leptura_rubra"
"14"	"Angelica_sylvestris"	"Chaerophyllum_temulentum"	"Unidentified_sp1_M_PL_038"	"Unidentified_sp5_M_PL_038"
"15"	"Chaerophyllum_temulentum"	"Lapsana_communis"	"Unidentified_sp1_M_PL_038"	"Anaspis_flava"
"16"	"Chaerophyllum_temulentum"	"Vicia_sepium"	"Unidentified_sp1_M_PL_038"	"Anaspis_flava"
