"R1"	"R2"	"C1"	"C2"
"1"	"Nephrosperma_vanhoutteanum"	"Erythroxylum_sechellarum"	"Apis_mellifera"	"Lasioglossum_mahense"
"2"	"Nephrosperma_vanhoutteanum"	"Paragenipa_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"
"3"	"Nephrosperma_vanhoutteanum"	"Dillenia_ferruginea"	"Apis_mellifera"	"Lasioglossum_mahense"
"4"	"Nephrosperma_vanhoutteanum"	"Gastonia_crassa"	"Apis_mellifera"	"Neophyllomyza_approximatonervis"
"5"	"Nephrosperma_vanhoutteanum"	"Gastonia_crassa"	"Apis_mellifera"	"Phelsuma_sp1_M_PL_131"
"6"	"Erythroxylum_sechellarum"	"Paragenipa_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"
"7"	"Erythroxylum_sechellarum"	"Dillenia_ferruginea"	"Apis_mellifera"	"Lasioglossum_mahense"
"8"	"Erythroxylum_sechellarum"	"Canthium_bibracteatum"	"Apis_mellifera"	"Lygistorrhina_sp1_M_PL_131"
"9"	"Erythroxylum_sechellarum"	"Nepenthes_pervillei"	"Apis_mellifera"	"Unidentified_sp2_M_PL_131"
"10"	"Paragenipa_wrightii"	"Dillenia_ferruginea"	"Apis_mellifera"	"Lasioglossum_mahense"
"11"	"Canthium_bibracteatum"	"Nepenthes_pervillei"	"Apis_mellifera"	"Hemipyrellia_sp1_M_PL_131"
"12"	"Nepenthes_pervillei"	"Dillenia_ferruginea"	"Apis_mellifera"	"Hemipyrellia_germana"
"13"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Lasioglossum_mahense"	"Unidentified_sp2_M_PL_131"
"14"	"Nephrosperma_vanhoutteanum"	"Gastonia_crassa"	"Neophyllomyza_approximatonervis"	"Phelsuma_sp1_M_PL_131"
