"R1"	"R2"	"C1"	"C2"
"1"	"Phoradendron_sp1_M_SD_004"	"Schefflera_morototoni"	"Spindalis_portoricensis"	"Euphonia_musica"
"2"	"Phoradendron_sp1_M_SD_004"	"Miconia_serrulata"	"Spindalis_portoricensis"	"Euphonia_musica"
"3"	"Phoradendron_sp1_M_SD_004"	"Anthurium_scandens"	"Spindalis_portoricensis"	"Euphonia_musica"
"4"	"Phoradendron_sp1_M_SD_004"	"Schefflera_morototoni"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"5"	"Phoradendron_sp1_M_SD_004"	"Cecropia_schreberiana"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"6"	"Phoradendron_sp1_M_SD_004"	"Ficus_sp1_M_SD_004"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"7"	"Phoradendron_sp1_M_SD_004"	"Miconia_serrulata"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"8"	"Phoradendron_sp1_M_SD_004"	"Miconia_affinis"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"9"	"Phoradendron_sp1_M_SD_004"	"Musa_acuminata"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"10"	"Phoradendron_sp1_M_SD_004"	"Casearia_arborea"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"11"	"Phoradendron_sp1_M_SD_004"	"Citrus_sinensis"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"12"	"Phoradendron_sp1_M_SD_004"	"Schefflera_morototoni"	"Spindalis_portoricensis"	"Loxigilla_portoricensis"
"13"	"Phoradendron_sp1_M_SD_004"	"Cecropia_schreberiana"	"Spindalis_portoricensis"	"Loxigilla_portoricensis"
"14"	"Phoradendron_sp1_M_SD_004"	"Alchornea_latifolia"	"Spindalis_portoricensis"	"Loxigilla_portoricensis"
"15"	"Phoradendron_sp1_M_SD_004"	"Musa_acuminata"	"Spindalis_portoricensis"	"Loxigilla_portoricensis"
"16"	"Phoradendron_sp1_M_SD_004"	"Schefflera_morototoni"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"17"	"Phoradendron_sp1_M_SD_004"	"Cecropia_schreberiana"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"18"	"Phoradendron_sp1_M_SD_004"	"Ficus_sp1_M_SD_004"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"19"	"Phoradendron_sp1_M_SD_004"	"Alchornea_latifolia"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"20"	"Phoradendron_sp1_M_SD_004"	"Miconia_affinis"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"21"	"Phoradendron_sp1_M_SD_004"	"Inga_laurina"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"22"	"Phoradendron_sp1_M_SD_004"	"Andira_inermis"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"23"	"Phoradendron_sp1_M_SD_004"	"Schefflera_morototoni"	"Spindalis_portoricensis"	"Coereba_flaveola"
"24"	"Phoradendron_sp1_M_SD_004"	"Cecropia_schreberiana"	"Spindalis_portoricensis"	"Coereba_flaveola"
"25"	"Schefflera_morototoni"	"Miconia_serrulata"	"Spindalis_portoricensis"	"Euphonia_musica"
"26"	"Schefflera_morototoni"	"Anthurium_scandens"	"Spindalis_portoricensis"	"Euphonia_musica"
"27"	"Schefflera_morototoni"	"Cecropia_schreberiana"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"28"	"Schefflera_morototoni"	"Ficus_sp1_M_SD_004"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
