"R1"	"R2"	"C1"	"C2"
"1"	"R4"	"R5"	"C1"	"C4"
"2"	"R4"	"R6"	"C1"	"C4"
"3"	"R4"	"R7"	"C1"	"C4"
"4"	"R4"	"R10"	"C1"	"C4"
"5"	"R4"	"R5"	"C1"	"C5"
"6"	"R4"	"R6"	"C1"	"C5"
"7"	"R4"	"R7"	"C1"	"C5"
"8"	"R4"	"R10"	"C1"	"C5"
"9"	"R5"	"R6"	"C1"	"C4"
"10"	"R5"	"R7"	"C1"	"C4"
"11"	"R5"	"R10"	"C1"	"C4"
"12"	"R5"	"R6"	"C1"	"C5"
"13"	"R5"	"R7"	"C1"	"C5"
"14"	"R5"	"R10"	"C1"	"C5"
"15"	"R6"	"R7"	"C1"	"C2"
"16"	"R6"	"R10"	"C1"	"C2"
"17"	"R6"	"R10"	"C1"	"C3"
"18"	"R6"	"R7"	"C1"	"C4"
"19"	"R6"	"R10"	"C1"	"C4"
"20"	"R6"	"R7"	"C1"	"C5"
"21"	"R6"	"R10"	"C1"	"C5"
"22"	"R6"	"R10"	"C1"	"C6"
"23"	"R7"	"R10"	"C1"	"C2"
"24"	"R7"	"R10"	"C1"	"C4"
"25"	"R7"	"R10"	"C1"	"C5"
"26"	"R2"	"R6"	"C2"	"C4"
"27"	"R2"	"R7"	"C2"	"C4"
"28"	"R2"	"R10"	"C2"	"C4"
"29"	"R2"	"R6"	"C2"	"C5"
"30"	"R2"	"R7"	"C2"	"C5"
"31"	"R2"	"R10"	"C2"	"C5"
"32"	"R6"	"R10"	"C2"	"C3"
"33"	"R6"	"R7"	"C2"	"C4"
"34"	"R6"	"R10"	"C2"	"C4"
"35"	"R6"	"R7"	"C2"	"C5"
"36"	"R6"	"R10"	"C2"	"C5"
"37"	"R6"	"R10"	"C2"	"C6"
"38"	"R7"	"R10"	"C2"	"C4"
"39"	"R7"	"R10"	"C2"	"C5"
"40"	"R6"	"R10"	"C3"	"C4"
"41"	"R6"	"R10"	"C3"	"C5"
"42"	"R6"	"R10"	"C3"	"C6"
"43"	"R1"	"R2"	"C4"	"C5"
"44"	"R1"	"R4"	"C4"	"C5"
"45"	"R1"	"R5"	"C4"	"C5"
"46"	"R1"	"R6"	"C4"	"C5"
"47"	"R1"	"R7"	"C4"	"C5"
"48"	"R1"	"R8"	"C4"	"C5"
"49"	"R1"	"R10"	"C4"	"C5"
"50"	"R2"	"R4"	"C4"	"C5"
"51"	"R2"	"R5"	"C4"	"C5"
"52"	"R2"	"R6"	"C4"	"C5"
"53"	"R2"	"R7"	"C4"	"C5"
"54"	"R2"	"R8"	"C4"	"C5"
"55"	"R2"	"R10"	"C4"	"C5"
"56"	"R4"	"R5"	"C4"	"C5"
"57"	"R4"	"R6"	"C4"	"C5"
"58"	"R4"	"R7"	"C4"	"C5"
"59"	"R4"	"R8"	"C4"	"C5"
"60"	"R4"	"R10"	"C4"	"C5"
"61"	"R5"	"R6"	"C4"	"C5"
"62"	"R5"	"R7"	"C4"	"C5"
"63"	"R5"	"R8"	"C4"	"C5"
"64"	"R5"	"R10"	"C4"	"C5"
"65"	"R6"	"R7"	"C4"	"C5"
"66"	"R6"	"R8"	"C4"	"C5"
"67"	"R6"	"R10"	"C4"	"C5"
"68"	"R6"	"R10"	"C4"	"C6"
"69"	"R7"	"R8"	"C4"	"C5"
"70"	"R7"	"R10"	"C4"	"C5"
"71"	"R8"	"R10"	"C4"	"C5"
"72"	"R6"	"R10"	"C5"	"C6"
