"R1"	"R2"	"C1"	"C2"
"1"	"R4"	"R5"	"C1"	"C3"
"2"	"R4"	"R6"	"C1"	"C3"
"3"	"R4"	"R7"	"C1"	"C3"
"4"	"R4"	"R8"	"C1"	"C3"
"5"	"R4"	"R10"	"C1"	"C3"
"6"	"R4"	"R11"	"C1"	"C3"
"7"	"R4"	"R12"	"C1"	"C3"
"8"	"R4"	"R13"	"C1"	"C3"
"9"	"R4"	"R14"	"C1"	"C3"
"10"	"R4"	"R15"	"C1"	"C3"
"11"	"R4"	"R5"	"C1"	"C4"
"12"	"R4"	"R6"	"C1"	"C4"
"13"	"R4"	"R7"	"C1"	"C4"
"14"	"R4"	"R8"	"C1"	"C4"
"15"	"R4"	"R10"	"C1"	"C4"
"16"	"R4"	"R11"	"C1"	"C4"
"17"	"R4"	"R12"	"C1"	"C4"
"18"	"R4"	"R13"	"C1"	"C4"
"19"	"R4"	"R14"	"C1"	"C4"
"20"	"R4"	"R15"	"C1"	"C4"
"21"	"R4"	"R5"	"C1"	"C5"
"22"	"R4"	"R6"	"C1"	"C5"
"23"	"R4"	"R7"	"C1"	"C5"
"24"	"R4"	"R8"	"C1"	"C5"
"25"	"R4"	"R10"	"C1"	"C5"
"26"	"R4"	"R11"	"C1"	"C5"
"27"	"R4"	"R12"	"C1"	"C5"
"28"	"R4"	"R13"	"C1"	"C5"
"29"	"R4"	"R14"	"C1"	"C5"
"30"	"R4"	"R15"	"C1"	"C5"
"31"	"R4"	"R5"	"C1"	"C6"
"32"	"R4"	"R6"	"C1"	"C6"
"33"	"R4"	"R7"	"C1"	"C6"
"34"	"R4"	"R8"	"C1"	"C6"
"35"	"R4"	"R10"	"C1"	"C6"
"36"	"R4"	"R11"	"C1"	"C6"
"37"	"R4"	"R12"	"C1"	"C6"
"38"	"R4"	"R13"	"C1"	"C6"
"39"	"R4"	"R14"	"C1"	"C6"
"40"	"R4"	"R15"	"C1"	"C6"
"41"	"R4"	"R5"	"C1"	"C7"
"42"	"R4"	"R6"	"C1"	"C7"
"43"	"R4"	"R7"	"C1"	"C7"
"44"	"R4"	"R8"	"C1"	"C7"
"45"	"R4"	"R10"	"C1"	"C7"
"46"	"R4"	"R11"	"C1"	"C7"
"47"	"R4"	"R12"	"C1"	"C7"
"48"	"R4"	"R13"	"C1"	"C7"
"49"	"R4"	"R14"	"C1"	"C7"
"50"	"R4"	"R15"	"C1"	"C7"
"51"	"R4"	"R5"	"C1"	"C8"
"52"	"R4"	"R6"	"C1"	"C8"
"53"	"R4"	"R7"	"C1"	"C8"
"54"	"R4"	"R8"	"C1"	"C8"
"55"	"R4"	"R10"	"C1"	"C8"
"56"	"R4"	"R11"	"C1"	"C8"
"57"	"R4"	"R12"	"C1"	"C8"
"58"	"R4"	"R13"	"C1"	"C8"
"59"	"R4"	"R14"	"C1"	"C8"
"60"	"R4"	"R15"	"C1"	"C8"
"61"	"R4"	"R5"	"C1"	"C9"
"62"	"R4"	"R6"	"C1"	"C9"
"63"	"R4"	"R7"	"C1"	"C9"
"64"	"R4"	"R8"	"C1"	"C9"
"65"	"R4"	"R10"	"C1"	"C9"
"66"	"R4"	"R11"	"C1"	"C9"
"67"	"R4"	"R12"	"C1"	"C9"
"68"	"R4"	"R13"	"C1"	"C9"
"69"	"R4"	"R14"	"C1"	"C9"
"70"	"R4"	"R15"	"C1"	"C9"
"71"	"R4"	"R5"	"C1"	"C10"
"72"	"R4"	"R6"	"C1"	"C10"
"73"	"R4"	"R7"	"C1"	"C10"
"74"	"R4"	"R8"	"C1"	"C10"
"75"	"R4"	"R10"	"C1"	"C10"
"76"	"R4"	"R11"	"C1"	"C10"
"77"	"R4"	"R12"	"C1"	"C10"
"78"	"R4"	"R13"	"C1"	"C10"
"79"	"R4"	"R14"	"C1"	"C10"
"80"	"R4"	"R15"	"C1"	"C10"
"81"	"R4"	"R5"	"C1"	"C11"
"82"	"R4"	"R6"	"C1"	"C11"
"83"	"R4"	"R7"	"C1"	"C11"
"84"	"R4"	"R8"	"C1"	"C11"
"85"	"R4"	"R10"	"C1"	"C11"
"86"	"R4"	"R11"	"C1"	"C11"
"87"	"R4"	"R12"	"C1"	"C11"
"88"	"R4"	"R13"	"C1"	"C11"
"89"	"R4"	"R14"	"C1"	"C11"
"90"	"R4"	"R15"	"C1"	"C11"
"91"	"R4"	"R5"	"C1"	"C12"
"92"	"R4"	"R6"	"C1"	"C12"
"93"	"R4"	"R7"	"C1"	"C12"
"94"	"R4"	"R8"	"C1"	"C12"
"95"	"R4"	"R10"	"C1"	"C12"
"96"	"R4"	"R11"	"C1"	"C12"
"97"	"R4"	"R12"	"C1"	"C12"
"98"	"R4"	"R13"	"C1"	"C12"
"99"	"R4"	"R14"	"C1"	"C12"
"100"	"R4"	"R15"	"C1"	"C12"
"101"	"R4"	"R5"	"C1"	"C13"
"102"	"R4"	"R6"	"C1"	"C13"
"103"	"R4"	"R7"	"C1"	"C13"
"104"	"R4"	"R8"	"C1"	"C13"
"105"	"R4"	"R10"	"C1"	"C13"
"106"	"R4"	"R11"	"C1"	"C13"
"107"	"R4"	"R12"	"C1"	"C13"
"108"	"R4"	"R13"	"C1"	"C13"
"109"	"R4"	"R14"	"C1"	"C13"
"110"	"R4"	"R15"	"C1"	"C13"
"111"	"R4"	"R5"	"C1"	"C14"
"112"	"R4"	"R6"	"C1"	"C14"
"113"	"R4"	"R7"	"C1"	"C14"
"114"	"R4"	"R8"	"C1"	"C14"
"115"	"R4"	"R10"	"C1"	"C14"
"116"	"R4"	"R11"	"C1"	"C14"
"117"	"R4"	"R12"	"C1"	"C14"
"118"	"R4"	"R13"	"C1"	"C14"
"119"	"R4"	"R14"	"C1"	"C14"
"120"	"R4"	"R15"	"C1"	"C14"
"121"	"R4"	"R5"	"C1"	"C15"
"122"	"R4"	"R6"	"C1"	"C15"
"123"	"R4"	"R7"	"C1"	"C15"
"124"	"R4"	"R8"	"C1"	"C15"
"125"	"R4"	"R10"	"C1"	"C15"
"126"	"R4"	"R11"	"C1"	"C15"
"127"	"R4"	"R12"	"C1"	"C15"
"128"	"R4"	"R13"	"C1"	"C15"
"129"	"R4"	"R14"	"C1"	"C15"
"130"	"R4"	"R15"	"C1"	"C15"
"131"	"R4"	"R10"	"C1"	"C16"
"132"	"R5"	"R6"	"C1"	"C2"
"133"	"R5"	"R7"	"C1"	"C2"
"134"	"R5"	"R8"	"C1"	"C2"
"135"	"R5"	"R10"	"C1"	"C2"
"136"	"R5"	"R11"	"C1"	"C2"
"137"	"R5"	"R12"	"C1"	"C2"
"138"	"R5"	"R13"	"C1"	"C2"
"139"	"R5"	"R14"	"C1"	"C2"
"140"	"R5"	"R15"	"C1"	"C2"
"141"	"R5"	"R6"	"C1"	"C3"
"142"	"R5"	"R7"	"C1"	"C3"
"143"	"R5"	"R8"	"C1"	"C3"
"144"	"R5"	"R10"	"C1"	"C3"
"145"	"R5"	"R11"	"C1"	"C3"
"146"	"R5"	"R12"	"C1"	"C3"
"147"	"R5"	"R13"	"C1"	"C3"
"148"	"R5"	"R14"	"C1"	"C3"
"149"	"R5"	"R15"	"C1"	"C3"
"150"	"R5"	"R6"	"C1"	"C4"
"151"	"R5"	"R7"	"C1"	"C4"
"152"	"R5"	"R8"	"C1"	"C4"
"153"	"R5"	"R10"	"C1"	"C4"
"154"	"R5"	"R11"	"C1"	"C4"
"155"	"R5"	"R12"	"C1"	"C4"
